,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.008418255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08258308154999999,0.0
0.02,0.002355801,-5.854432960986514e-06,-0.0007205204559504224,-1.0010834335082107e-07,-7.88149466309819e-06,-6.07303457601214e-06,-0.0001906717202088319,-4.4496140569797166e-08,-9.117775130239103e-06,-0.0354231926751862,9.613698776390022e-06,0.03795197607044295,-0.001192664561898418
0.04,-0.003095681,-1.929973621462989e-05,-0.00018309947494422158,-2.1126369346870433e-07,-1.7909476051244025e-06,-3.031899678941241e-06,0.00038850175078476864,-3.2691098999134946e-07,-6.4920484237332475e-06,0.0901587448329645,0.00045506844917619796,0.010428577847927277,0.0020977864861545115
0.06,-0.00609407,-2.252836628081292e-06,0.0018185304109052936,-1.6220952359056877e-07,6.5578223308093735e-06,4.417494684470547e-06,0.0003139791405462105,-5.133824174844892e-08,2.7626506836060035e-05,0.07014182927559323,0.00043059738322593337,-0.0035768343370549327,0.000600529285742451
0.08,-0.01118143,3.888871032341287e-05,0.0018631416396253503,8.040482319564947e-08,1.894093075693181e-05,1.2085598303435043e-05,0.0005106579964126403,5.578507931085981e-07,2.969853978876467e-05,-0.05481792234821122,0.0007944164732251928,0.012948171959644792,-0.0006732532314037872
0.1,-0.01585875,6.23584628873573e-05,0.00043184938465618087,6.047215684977121e-07,3.24749186262086e-05,2.310717612183529e-05,0.0004964675591179513,8.94344374645541e-07,2.594650311121578e-06,-0.07173799199613798,0.0004762716763714186,-0.013933101432473803,-0.0010402318012768669
0.12,-0.0147843,5.832353196705567e-05,-0.0007587460174887097,1.2796917884048524e-06,3.186348505097693e-05,2.73136343530487e-05,-0.0001242593496843909,8.260742342212628e-07,-9.166358475289061e-06,-0.048254695555539295,-0.0004384013461826701,-0.029727913308546405,-0.0008912092117609044
0.14,-0.009583965,3.477254996519182e-05,-0.0015321146558098949,1.7969372734617807e-06,1.8594232419268285e-05,1.9514878393028985e-05,-0.0005804171162671087,4.6636973989406304e-07,-2.31848478211098e-05,-0.02679628450064143,-0.0007882246469572156,-0.009306261063366895,-2.5003529125891544e-05
0.16,-0.005283272,2.5476029923217144e-06,-0.0014620984120445046,2.0248821532886246e-06,4.92489325508672e-06,8.01064661215951e-06,-0.000505198880906748,6.184895373450025e-09,-2.305998933985925e-05,0.039010250342640725,-0.0005615299823873201,0.010328586670980836,0.00017405801999737725
0.18,0.005023172,-1.6930290296243023e-05,-0.00051195398627602,1.995954601498707e-06,-8.494698229860483e-06,-2.5905041806658674e-06,-0.0006187450980870346,-2.91059387969605e-07,-3.2328559245177834e-06,0.03247915298617192,-0.0007562978710933297,-0.00928994693938606,0.0009188965750011983
