,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.008418255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08258308154999999,0.0
0.02,0.002355801,-1.220473194371587e-05,-0.0010264850020155073,-1.2927418582318765e-07,-3.3777419101296634e-06,-1.2805546205668755e-07,1.1431189368574574e-05,-9.708342105946867e-12,-8.655145019496052e-10,-0.017401814417020003,0.000290085090526037,1.6975191726171634e-05,-1.7418202402259966e-08
0.04,-0.003095681,-3.200702176678297e-05,-0.0007479752296586006,-1.4423312088330486e-07,1.9165053810431755e-06,8.40017344191098e-08,1.0508947772323527e-05,-2.6857911981610665e-11,-6.721745686343321e-10,0.04464109136719371,0.00027463988339610466,1.7983278137438923e-05,3.6135574383612794e-08
0.06,-0.00609407,-3.573663636000732e-05,0.0004737169752124627,-7.402313345584864e-08,5.239218863050965e-06,2.138658952815188e-07,6.057796364202654e-06,-3.0914568746128196e-11,3.5341993865361523e-10,0.0752458415578136,0.00020318724403181956,-1.632313985950023e-05,6.363154285973842e-08
0.08,-0.01118143,-8.52763435974866e-06,0.00237441980001839,9.932532172617279e-08,1.2481658703254113e-05,4.1024780586410404e-07,1.06467768422265e-05,-8.92021190263424e-12,1.9560075480095617e-09,0.11241294814250713,0.0004119683331154714,7.105476755452957e-05,9.528872984196583e-08
0.1,-0.01585875,6.273610023205946e-05,0.004797405326130517,4.356348097805933e-07,2.1556871918930474e-05,6.166113299203771e-07,1.053327888505405e-05,5.043225778529014e-11,4.020495319277225e-09,0.12618561852419108,0.0005121364939860845,5.941901645144243e-05,1.0787370589192746e-07
0.12,-0.0147843,0.00018022396757697424,0.006733565478978702,9.129121439746303e-07,2.6309252484889284e-05,6.38174461928944e-07,-3.0476147306977194e-07,1.4966305141364378e-10,5.719589896192974e-09,0.06344829513959294,0.0002607977177566251,0.00012113211131307283,5.664652959924037e-08
0.14,-0.009583965,0.00032027749129642525,0.006890737038139204,1.4500029574435326e-06,2.7277689707405368e-05,4.957891350355133e-07,-8.191708483431971e-06,2.6938416724320375e-10,5.9270452444502255e-09,-0.04866847953273833,4.203209637396177e-05,-4.090157788481236e-05,-3.8177056484547424e-08
0.16,-0.005283272,0.00044174102615787805,0.004941303501505137,2.00820679766601e-06,2.822168904912987e-05,3.574562802603082e-07,-7.0753578658393436e-06,3.745209283945088e-10,4.314525370344335e-09,-0.14315398650519057,-3.0126288302317894e-05,3.73401997671545e-05,-1.2012936157173963e-07
0.18,0.005023172,0.0005031331301735461,0.0007682533379571498,2.4895149849576133e-06,1.9024895405021768e-05,2.875768243946587e-09,-2.0033348902612645e-05,4.2955876106678105e-10,8.192578382496649e-10,-0.2691660764387505,-0.0005917451134204443,-3.0349961783450452e-05,-2.2720789532215593e-07
0.2,0.02452899,0.0004528564282247863,-0.006364820424396932,2.6323413106977196e-06,-6.147997724953196e-06,-7.286811967844571e-07,-4.009269964405406e-05,3.908639507643643e-10,-5.179515272159278e-09,-0.4353113125694273,-0.0014450477924634157,-0.0001423699215635267,-3.6835326846791205e-07
0.22,0.03242312,0.00023818233621805457,-0.015018347497922191,2.3183654428791528e-06,-2.643958527045376e-05,-1.1607169278222528e-06,-1.9728723228683205e-05,2.124071138952788e-10,-1.2606010824494339e-08,-0.41511268138192947,-0.0012314726057599673,-0.00013734257978145412,-3.574831590159259e-07
0.24,0.01759062,-0.0001262672303069191,-0.020366507406173663,1.7783316834151629e-06,-2.7726948242710533e-05,-8.006848841497955e-07,2.3342275916212744e-05,-9.658238983099413e-11,-1.739647260473084e-08,-0.10786041264026341,-0.00015662206421444835,-1.6289375533763e-05,-1.0331540295711091e-07
0.26,-0.003134423,-0.000529821238396071,-0.018712336946954473,1.2599979442507943e-06,-2.3599924307512536e-05,-1.326541713499683e-07,3.52957000075097e-05,-4.437963178684462e-10,-1.6229170868670765e-08,0.2714556867714943,0.00028634511855898936,7.807497717630951e-05,2.2083591102583112e-07
0.28,0.02415906,-0.0008559703333148332,-0.01439614038059672,2.881513372467409e-07,-7.625974076408889e-05,-1.0490010138146087e-06,-5.79631701043526e-05,-7.261835747302026e-10,-1.240720785053482e-08,0.1446143128303789,-0.002898893420429316,-2.0313619080072898e-05,1.3144948059272236e-07
0.3,0.05145356,-0.0011248614825960287,-0.012998994224411631,-1.891825797019031e-06,-0.00014686335435729598,-2.204349266882523e-06,-5.755382424235327e-05,-9.564304404201716e-10,-1.1046704413060083e-08,-0.006789254471600378,-0.004476713184608849,2.909210296678233e-06,3.0741946510128015e-09
0.32,0.01907806,-0.0013597751861088336,-0.009009898219180629,-4.420051802773079e-06,-0.00010274651566292833,-1.3189080429944823e-06,6.0916520317683874e-05,-1.1585239826334405e-09,-7.914409710459766e-09,0.41091025697080896,0.002187787711966205,0.00018791556360234218,3.3809606630281694e-07
0.34,-0.04272343,-0.0014150395683037798,0.0056111702060847295,-5.640290347537328e-06,-2.0549374936560714e-05,9.397008912083421e-07,0.00012302740106333315,-1.2142786640202842e-09,4.1701059536188955e-09,1.0346577593414106,0.003942623916388874,0.00032571198059122564,8.672509562409128e-07
0.36,-0.09286532,-0.001069881898742947,0.029992217831551753,-5.321638451739266e-06,5.788537240449039e-05,3.0696040941189226e-06,0.00010694866534609694,-9.339128230126593e-10,2.4825293952940312e-08,1.3650458321088748,0.005092530734682826,0.0003843486358752618,1.1611657571291168e-06
0.38,-0.1142218,-0.00020427578749672453,0.055924926177251526,-3.2652752918928843e-06,0.0001653290999364451,4.3035837794477165e-06,5.756808131178681e-05,-2.091138970157135e-10,4.712479444705443e-08,1.1850428257850987,0.009199394667587124,0.0002824429187997801,1.020148880414792e-06
0.4,-0.08890205,0.0011000633099933093,0.07168388831708798,1.0618495069269771e-06,0.0002850520031758167,3.924094173767062e-06,-2.9490591715557324e-05,8.971476306245191e-10,6.109564213606343e-08,0.3601101197224107,0.009960888024456493,3.32194661033236e-05,3.30313475938775e-07
0.42,-0.009508029,0.002513635976764369,0.06493742918765646,6.078303192891252e-06,0.0002052201282061479,1.5014991462045201e-06,-0.00013708483326799878,2.111189300281956e-09,5.62706163856782e-08,-1.0334308288363026,-0.0043332356275408435,-0.00034237126076759605,-8.396517638168365e-07
0.44,0.06171272,0.0035254730700480315,0.03248982614047685,9.452146798931638e-06,0.00012716537138104272,-1.0429751473274595e-06,-0.00013003087807508085,2.998632738413338e-09,2.9214538711903844e-08,-2.1606288757602075,-0.0046332666707709635,-0.0006155653358778101,-1.8201125593832884e-06
0.46,0.07513414,0.003721288379716511,-0.013483832868583248,1.1948229917487335e-05,0.00011299467692447566,-1.8034023214784027e-06,-2.928584733561402e-05,3.1951601889711244e-09,-1.0118681104205155e-08,-2.3577957546854713,-0.0024630437863042975,-0.0006592277323379664,-2.0237086089990378e-06
0.48,0.07071065,0.002998328224080424,-0.057516991453019445,1.3825610017164175e-05,6.75715364761693e-05,-1.9126848224461773e-06,-7.149498631282551e-06,2.6017391712589606e-09,-4.815462901024455e-08,-1.9781754363590613,-0.0032815885438392534,-0.0005124067538905958,-1.7153389592879445e-06
0.5,0.08894136,0.0014814503042594926,-0.09252780432384752,1.4200118024392695e-05,-3.419916879013884e-05,-2.9350342949524495e-06,-6.201146143435474e-05,1.3214396173388372e-09,-7.848467116245778e-08,-1.476849847343225,-0.005931080380603637,-0.0005202183002443565,-1.2851632353932593e-06
0.52,0.07999621,-0.0006010277967855059,-0.11230988524225188,1.23574326369549e-05,-0.0001727065113492657,-3.321409734656437e-06,-1.4484689773959424e-05,-4.5284447453499886e-10,-9.602582601987205e-08,-0.46869154458053874,-0.012071044205969605,-3.5494618376333276e-05,-4.285696343928405e-07
0.54,0.08766889,-0.002879086502496374,-0.11245865664934633,-4.165809888025545e-07,-0.0019228975847599887,-4.069642904736235e-06,-2.7137127130532455e-05,-2.3998206585668688e-09,-9.54260673134612e-08,0.4468990799067952,-0.28558412505268105,0.0020921077964535517,5.767868597721798e-07
0.56,0.04768103,-0.004952973349484535,-0.09072963833692332,-0.00012052314300172133,-0.01120546487636629,-3.0585188209748956e-06,6.445129741158879e-05,-4.098427964214077e-09,-6.983085701869736e-08,1.6852818355818215,-0.6217286539796906,1.4561373056054538e-05,1.9379370963523712e-06
