,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.008418255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08258308154999999,0.0
0.02,0.002355801,-5.8542582439961135e-06,-0.0007204946293936622,-9.976008025680357e-08,-7.821419759387934e-06,-6.0732044812453645e-06,-0.00019069493191504008,-4.44966731776689e-08,-9.118046716279325e-06,-0.03542186144546879,1.4652170663851208e-05,0.03795148663697886,-0.0011927285062649812
0.04,-0.003095681,-1.9299150530298197e-05,-0.0001830793197672716,-2.0968640039404747e-07,-1.7619068879650815e-06,-3.0320652775548797e-06,0.0003885274916377092,-3.269296021042862e-07,-6.492654263571756e-06,0.09015922612604517,0.0004484779543048976,0.010431602520466937,0.0020979533223933373
0.06,-0.00609407,-2.251555689688994e-06,0.0018185553836893226,-1.6158795267436376e-07,6.422691593833967e-06,4.418013165182006e-06,0.00031402201944085145,-5.133628075748715e-08,2.7628715045122387e-05,0.07013857665373542,0.000420313231157215,-0.003576768456663417,0.0006007675155419328
0.08,-0.01118143,3.888884996038495e-05,0.0018629108031131929,7.582186612671018e-08,1.8522409847028402e-05,1.2087007910733632e-05,0.0005107106747339616,5.579263846604334e-07,2.970126957715452e-05,-0.05485078936232549,0.0007553199339567137,0.012963235104197427,-0.0006735961638164936
0.1,-0.01585875,6.235029261562478e-05,0.0004312367224329641,5.901282767195327e-07,3.194079548247691e-05,2.3108756346657115e-05,0.0004964241837043678,8.94440282614685e-07,2.594337086707448e-06,-0.07175802586658106,0.00047746944572895625,-0.013937923606525038,-0.0010404363001625498
0.12,-0.0147843,5.830052358751952e-05,-0.0007595710616266157,1.2569095536350966e-06,3.162068919418928e-05,2.7312802846790607e-05,-0.00012436362012752304,8.260897972812624e-07,-9.18066282525583e-06,-0.048254349823663244,-0.0004200656810819917,-0.02972598634587401,-0.0008917724406572493
0.14,-0.009583965,3.4733328196978445e-05,-0.0015326681839249786,1.767092636768776e-06,1.8209036056010928e-05,1.9514206941087554e-05,-0.0005804103290903937,4.662247488260709e-07,-2.3183028137692763e-05,-0.026749690699001787,-0.0007805837477680059,-0.009316968146679103,-2.454119725575632e-05
0.16,-0.005283272,2.5053858678759852e-06,-0.001461908397541954,1.987638870951511e-06,4.6766586103124154e-06,8.009274454733883e-06,-0.0005053053704114624,6.084771846877649e-09,-2.3052872928694134e-05,0.03902654111531121,-0.0005426092153011871,0.010329454536746928,0.000175069164140096
0.18,0.005023172,-1.6966962877094544e-05,-0.0005116894171999345,1.959826940924161e-06,-8.130836111295601e-06,-2.593581201446e-06,-0.000618753420239322,-2.9101151693789153e-07,-3.2363635278581155e-06,0.03247798788198401,-0.0007252223044275434,-0.009281984315593461,0.000917000142111728
0.2,0.02452899,-2.7899427737701847e-05,-0.0010327162846554294,1.6017431392136195e-06,-3.0247739154296072e-05,-1.9617336253913204e-05,-0.001123809055160388,-3.718347943378737e-07,-1.2765041493576118e-05,-0.09687327862850194,-0.0014862024637145746,-0.023983673223038966,-0.0013495859913557236
0.22,0.03242312,-7.093960978582129e-05,-0.0031213295769206037,7.202836199902982e-07,-5.66898535715795e-05,-4.072150445954944e-05,-0.0008321517473071742,-9.511337960724539e-07,-4.669901614230686e-05,-0.05515076796106909,-0.0011760553159319053,0.023732964021028303,-0.0015310544996417624
