,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.02810512894801036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27571131497998164,0.0
0.02,0.03962097732883351,-4.762562808634534e-06,-0.0007244444657866556,-8.751566459156597e-12,-9.220245779571605e-10,-5.786222461719676e-05,-0.005906884108432203,-1.268420390374745e-10,-2.966584388918071e-08,-0.07417193147195825,-5.3489653262239756e-08,-0.31207888401281936,-5.489704585048156e-06
0.04,0.045987785805186816,-3.9028378961037436e-05,-0.0029344681892475655,-3.85897271649334e-11,-2.1008501441938794e-09,-0.00023689034131712288,-0.01191855108754154,-3.2511125972943104e-09,-3.776186693862852e-07,-0.14360775593083466,-6.519104181479385e-08,-0.288945396597391,-3.401345239576926e-05
0.06,0.03299501374368208,-0.0001291123022890863,-0.006146538779781397,-9.287852685079102e-11,-3.2935047903625118e-09,-0.0005196063836512485,-0.015718397546620726,-2.0884680965766008e-08,-1.5681554322218369e-06,-0.1653012998433265,-5.476433828643934e-08,-0.09855116050536974,-8.84310368862537e-05
0.08,-0.02294710744956475,-0.0002812806362128401,-0.008744165272457268,-1.6518187122369478e-10,-3.7127899870384028e-09,-0.0008167496581927092,-0.01226458940414208,-7.411421290479239e-08,-3.956103526372702e-06,-0.06798667774661653,1.2680509337004153e-08,0.4211796108482701,-0.00014794886984968738
0.1,-0.08565816636046694,-0.0004558607332231664,-0.007912240445825145,-2.3162514564015514e-10,-2.6602359885399683e-09,-0.0009454708421977975,0.0008984424716081424,-1.8508235196887738e-07,-7.197383005813382e-06,0.17139109884061532,9.423706692768263e-08,0.8733399385414888,-0.00016390904143910205
0.12,-0.08290334113214762,-0.0005615995207866958,-0.0018280811014283293,-2.6588648184547167e-10,-7.428228836100042e-10,-0.0007690609022037623,0.015965527562044703,-3.5828073228439963e-07,-9.852527796498394e-06,0.4206814857545983,1.0104423667223195e-07,0.6402909566382867,-8.284605181380067e-05
0.14,-0.046705938718533756,-0.000504328891399454,0.007870599367404528,-2.6220644508192614e-10,1.0404635205651175e-09,-0.00035565515784579803,0.023775681226134823,-5.611217367615e-07,-9.820960998984748e-06,0.5148717194877873,7.965666836556862e-08,0.16054442449108466,9.936825874670797e-05
0.16,0.04867107045229506,-0.00025011976336530796,0.01697117418198026,-2.3184910907227584e-10,1.6792262580359596e-09,8.93175692581807e-05,0.017790506368629062,-7.229259192980606e-07,-5.625249771174744e-06,0.3422872452281541,-1.5529579316941877e-08,-0.7193673588127065,0.0003175354066534198
0.18,0.137089003255642,0.00013210848748174722,0.019788484959421985,-2.0741613786492435e-10,4.4539371638380276e-10,0.0002581492837142163,-0.0029058493117977047,-7.60421922695394e-07,2.340110172766192e-06,-0.09471965428733907,-1.1143837055915817e-07,-1.3195455363260737,0.0004548185135811592
