,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.032789317106012086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32166320080997857,0.0
0.02,0.04622447355030577,-5.573599736285792e-06,-0.0008470929380056611,-1.0110607341707678e-07,-1.0709874211734101e-05,-6.748806020719271e-05,-0.006889690467932391,-1.4555605077163646e-10,-3.4022961315969935e-08,-0.08666789471971126,-0.0006258728141260994,-0.36399913151687663,-6.315948327785505e-06
0.04,0.05365241677271795,-4.562348044424575e-05,-0.003429414584547791,-4.4958044682988986e-07,-2.4652734021732997e-05,-0.00027630172049292634,-0.01390133714902606,-3.749687046110511e-09,-4.364795971397354e-07,-0.16782173553841254,-0.0007811188147117121,-0.33699090354455297,-3.941375309250998e-05
0.06,0.03849418270096242,-0.00015090129091613891,-0.007184215673063747,-1.0918779202434858e-06,-3.925750619298098e-05,-0.0006060469268399208,-0.018332394551249125,-2.4174736323976422e-08,-1.8180742255805365e-06,-0.19332250309662338,-0.0006858329820422504,-0.11487976103732181,-0.00010271903216200684
0.08,-0.02677162535782554,-0.0003287978020842097,-0.010225191700995354,-1.9590763029197196e-06,-4.463442241207165e-05,-0.0009525905273558397,-0.014302313175137043,-8.595113278109762e-08,-4.594347931930945e-06,-0.0798783310122603,0.00015880748542745904,0.49134484876680545,-0.00017213475610300904
0.1,-0.09993452742054477,-0.0005330592101018175,-0.009265579528966665,-2.754115649132923e-06,-3.1570026759722873e-05,-0.0011026536765635102,0.0010524942920319266,-2.1491232666825593e-07,-8.368979852342404e-06,0.19945705410184253,0.001147766203167061,1.018724002893439,-0.00019108085154179717
0.12,-0.09672056465417221,-0.0006572067488512724,-0.0021761538345442012,-3.158148844811864e-06,-8.735458481985924e-06,-0.0008967892602519848,0.01862749130563494,-4.164278004484555e-07,-1.1469851072434998e-05,0.49048093212259763,0.0011808706328301014,0.7468335647822804,-9.715027920648221e-05
0.14,-0.05449026183828938,-0.0005912900170969543,0.009136414281574813,-3.116454584751912e-06,1.2088908544088214e-05,-0.00041449808064302146,0.02773616361120866,-6.527268034534191e-07,-1.1449429305653808e-05,0.6007835628505028,0.0009342379908324483,0.18714210290517871,0.00011480130314797096
0.16,0.05678291552767757,-0.0002955892970093765,0.01975990038781156,-2.7614283699536645e-06,1.9689724045828553e-05,0.00010457595560260931,0.020751661830134844,-8.415861560360745e-07,-6.580923730140687e-06,0.3998476016987021,-0.00018142535503705426,-0.8392913448123309,0.00036903688184431133
0.18,0.15993717046491568,0.000149674048009939,0.02306030789362922,-2.4750596741820717e-06,5.244149865932244e-06,0.00030146865268475563,-0.0033933715590822324,-8.859660387955073e-07,2.685880872626373e-06,-0.10971140777697756,-0.001296159937221826,-1.5393763880819056,0.0005295434697078075
0.2,0.13933474365071025,0.0005503424222839364,0.015222354217001747,-2.607937954489851e-06,-1.7822852104642085e-05,-3.4882905962733926e-05,-0.028362747991996434,-7.261580678526299e-07,1.3089885691752328e-05,-0.643347179727501,-0.0010895696682620276,-0.9757360214106132,0.0004677723133478728
0.22,-0.0024776407811340742,0.0007060043515086993,-0.000226916474391693,-3.077957760511778e-06,-2.4165361300832954e-05,-0.0006907307081550245,-0.0322157374595079,-3.8739120481899235e-07,1.978802566773088e-05,-0.8142767946517475,0.00040815326695978205,0.5264349025754352,0.00017059579083817715
0.24,-0.12119482254662525,0.0005517628927801339,-0.014194111603076933,-3.413626296187519e-06,-6.1704604749885374e-06,-0.0011622489216623604,-0.011800605133848967,1.6520839352483015e-08,1.929978486821422e-05,-0.5149207249265397,0.0013863555048501154,1.467773940161745,-0.00021666385559299377
