,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.04684188158001727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45951885829996947,0.0
0.02,0.06603496221472252,-0.00010039691631923252,-0.0107183188563539,-1.4290723867078997e-06,-9.065303627681228e-05,-2.523974094198087e-06,-4.1898996758890606e-05,-7.831665140070089e-11,-8.738204337292665e-09,-0.5998674474714745,-0.002340862202531435,-6.810097729779974e-05,-5.100705333457725e-07
0.04,0.07664630967531136,-0.0004336734931454462,-0.022442213102600337,-3.661985913444959e-06,-0.00013777118662671318,-3.081906826133949e-06,-2.7120226137660912e-05,-3.5500242314566886e-10,-1.8797824596890933e-08,-0.553770893410453,-0.003301789454083326,-0.0001590546249084085,-4.761612349584495e-07
0.06,0.05499168957280346,-0.0009655235806512591,-0.029201254331166698,-6.454390217185507e-06,-0.00014130216040751306,-2.5520259424111745e-06,3.4279210115963916e-05,-8.048929780478841e-10,-2.4887552179955254e-08,-0.10655298233985619,-0.00034676660557664274,-4.731810955593829e-05,-1.06801447277401e-07
0.08,-0.03824517908260792,-0.0014957410745670438,-0.01989831558892008,-8.124384572614744e-06,-3.113551857902934e-05,5.846668797368743e-07,0.00017758628736215607,-1.2645580687797218e-09,-1.772637851258247e-08,1.0357089827562753,0.00464260907872141,0.00033391918740140886,8.498466571547902e-07
0.1,-0.14276361060077825,-0.0016114032280114291,0.011901379030178353,-7.6065142727231874e-06,9.575349355708821e-05,4.59892644847386e-06,0.0002083664036612947,-1.3848377491091669e-09,8.782049011325179e-09,2.0984988507493223,0.009532864891586168,0.0005586461181438102,1.7649227703488667e-06
0.12,-0.13817223522024602,-0.0009671038251693275,0.051224539409265274,-5.281757039719053e-06,0.00014452370899479552,5.1705950291134505e-06,5.06541720745989e-06,-8.594420927498197e-10,4.271549915839344e-08,1.7555514050854009,0.004589699708824224,0.0004135964959494781,1.5212309689492491e-06
0.14,-0.07784323119755626,0.0003357013798849796,0.0750581407578611,-2.499403205489336e-06,0.00013715013395831157,3.4562574710330045e-06,-9.738205747594373e-05,2.4118780323680705e-10,6.395694366661672e-08,0.5837807418607635,0.0004613612590119165,0.00012326163657508382,5.427867794242404e-07
0.16,0.0811184507538251,0.0018086994330959209,0.06474412005003555,-1.2091356360173084e-06,-3.8219957115739656e-07,-1.8545275797757399e-06,-0.0002937712106960499,1.5113776480316752e-09,5.664530366913866e-08,-1.6162540733543307,-0.005995250074192014,-0.0005435869115108764,-1.3131432747628957e-06
0.18,0.22848167209273668,0.002652731812232022,0.013675587233056875,-2.624543128387514e-06,-0.00018011660037262552,-7.4566238166907095e-06,-0.0002840642919441905,2.2706714422288756e-09,1.4117312809944955e-08,-3.411239255221802,-0.019652928800652947,-0.0007193978246448629,-2.86401631880177e-06
0.2,0.1990496337867289,0.0022610031008630173,-0.05096941924889241,-5.9214638806358975e-06,-0.0001572051963606741,-7.327962636835185e-06,4.440823885039077e-05,1.9800754212926367e-09,-4.1699482347705896e-08,-2.92511821347071,-0.0019889442769285837,-0.00064115283281313,-2.5365189703120683e-06
0.22,-0.003539486830191534,0.0008214373795096282,-0.08393890276705507,-6.87071656943541e-06,4.089403062320926e-05,-6.629067252260661e-07,0.0003749285407819441,7.673423989366869e-10,-7.188680934678276e-08,-0.2935369025072745,0.008039416783780895,0.00010250170637037676,-3.494850594207635e-07
0.24,-0.17313546078089323,-0.0007556093494194314,-0.0659609538446407,-4.330528685838064e-06,0.00027169903693221063,5.731430407704191e-06,0.00031275360465849973,-6.004656223451009e-10,-5.820014234025071e-08,2.0555287027892266,0.027880976548040337,0.00020971117266196937,1.6702821537424844e-06
0.26,-0.1808563315109012,-0.0016222642226021845,-0.019470934975338163,1.1717015835423561e-07,0.00017571156953972747,6.637382325154307e-06,8.585296260934604e-06,-1.3796556976219025e-09,-1.8533612275788512e-08,2.493559265170139,-0.0011094358529812887,0.0005120779788949092,2.1356665682154517e-06
0.28,-0.039332157094351776,-0.001596875569323488,0.017066553234486557,1.2542629853947706e-06,-3.219633000231208e-05,1.8388261389156731e-06,-0.00027449057071510827,-1.3839897768640855e-09,1.3926970985874578e-08,1.0795205125257963,-0.007583584975172558,0.00017693244332130792,9.852143586686242e-07
0.3,0.13141232963847227,-0.0011628230262416739,0.0200453228478892,-2.8188730714710787e-06,-0.0006400735654284958,-4.580939044955807e-06,-0.00032063864173560535,-1.0108913035775826e-09,1.8182207963500348e-08,-0.7913682430647527,-0.11858000759518361,0.002387091101681005,-5.315117341257898e-07
0.32,0.09743163872764617,-0.0009135761134993457,0.005910912252123797,-1.4477548349979863e-05,-0.00027856586968843193,-4.302717283224871e-06,7.028654978782515e-05,-7.770486146266648e-10,5.708648139592478e-09,-0.5631746434607126,0.011030016866084735,-0.0008300901325618004,-5.0319803706028e-07
0.34,-0.01609303337802328,-0.0008388981493342032,0.005281580064389306,-1.6911219173651763e-05,-2.2640696753775406e-05,-2.1881095747895053e-07,0.00022526405920510596,-7.09603481827464e-10,4.249950828947378e-09,0.5159994096177363,0.006970767617112225,0.00021242194252409086,4.0192304865804135e-07
0.36,-0.09236282071998134,-0.0005843196853062305,0.02222725604277049,-1.6338893017219022e-05,8.704462443028599e-05,3.057679478317824e-06,0.0001563724112597983,-5.021530855862895e-10,1.8284247163932943e-08,1.1456890416012566,0.007477565720196533,0.0002536945324312506,9.599434755947715e-07
0.38,-0.05694574371002266,5.338651485929682e-05,0.039264711869653246,-1.4688322245787113e-05,7.68364547997205e-05,2.43754297728898e-06,-5.843313211430431e-05,3.276099301949767e-11,3.3314199184869954e-08,0.5123263855933724,-0.00012096579396081442,3.217306681051191e-05,4.633276544086155e-07
0.4,0.03793959380064875,0.0008572852095702687,0.03675411180343126,-1.3909672841891786e-05,1.4585065022822934e-06,-7.531409120031883e-07,-0.00017599795515699704,7.237951778263724e-10,3.2055235796012385e-08,-0.7694459618149925,-0.0036592919967394864,-0.0002808910936760473,-6.164676662474659e-07
0.42,0.056466457789853,0.0014053490623661979,0.016779637897828707,-1.3826621097439055e-05,5.774190303842805e-06,-1.724601562624274e-06,-3.128258191150256e-05,1.207695749434312e-09,1.5190822747514388e-08,-1.1832444925718595,-0.00027223373944780874,-0.00023075251285023177,-1.005674150326161e-06
0.44,0.010219106594514627,0.0015264652736475092,-0.0032063226258303127,-1.309562557195634e-05,6.788095454060164e-05,-2.0136291738369408e-07,9.058597589201917e-05,1.324676905465562e-09,-2.283419573345834e-09,-0.7740140127264434,0.0030266145128358124,-0.00018612041982936367,-6.837601351154625e-07
0.46,-0.0681585695808188,0.0013617580236112384,-0.010392456802768683,-1.043148609405122e-05,0.00022449734467430883,2.6711592009854718e-06,0.0001509418085485926,1.1861980563865026e-09,-9.1377674813002e-09,0.07116591229425889,0.013316247997797848,7.0503424767220935e-06,2.1731701735014375e-08
0.48,-0.1016703207969091,0.0011972159912217366,-0.004784729299363795,-4.5126601454967295e-06,0.00038596450668331616,4.181278039634127e-06,6.407464556895445e-05,1.0363408606181002e-09,-4.7382534157752265e-09,0.47235746575357296,0.013128429899852412,5.4424636880212596e-05,3.8272183150705325e-07
0.5,-0.006118057567528074,0.0011397411821801526,-0.0041922796457417155,-6.228237423830305e-07,6.819961622798497e-05,1.092266472384625e-06,-0.0001894384050636217,9.825330935920775e-10,-3.400164157000106e-09,-0.43817991299400383,-0.007053681670159462,-0.00023456096645602803,-3.404440853424333e-07
0.52,0.13050988904416483,0.0008851843699286941,-0.025400871645013205,-1.0559425046285566e-06,-0.00012981311144034084,-4.143017591920816e-06,-0.000275351368812921,7.774449376492503e-10,-2.0655233315063447e-08,-1.658058487829791,-0.016269467525260428,-0.0003968858690982513,-1.3747527014315152e-06
0.54,0.18835422324449005,2.5799584610045494e-05,-0.06102702047983602,-7.887775112765e-06,-0.0008836723634275069,-7.030967551274077e-06,-0.0001204114334432863,6.794345245526767e-11,-5.053806843517527e-08,-1.8389813055554116,-0.13503208778654896,0.0016525741166629193,-1.4773348263192714e-06
0.56,0.12527716660886554,-0.001484277873251109,-0.08555334327846983,-3.942917726362144e-05,-0.0019305327697732562,-5.640592854214025e-06,0.0001018275139646417,-1.1863228863660927e-09,-7.14713289208111e-08,-0.5600898621942765,-0.03866475482930043,-6.628120909246693e-05,-4.946212048156408e-07
0.58,-0.015539450856246778,-0.0031682756707019713,-0.0757016631006852,-6.040149671067418e-05,-0.00021112083710225527,-1.022171042738672e-06,0.0002624721275718243,-2.619626534292197e-09,-6.583166152897605e-08,1.5507173442343043,0.014237414473825982,-0.0033965252695099812,1.2513534349964037e-06
0.6,-0.1313531361475562,-0.004258710225182722,-0.028059163159472066,-6.299312254017932e-05,-6.066634086167794e-05,3.352459470306834e-06,0.00021899878833933796,-3.5850564468515133e-09,-2.6102699801467193e-08,3.1398900811681014,0.006377927054824206,0.0008411055562939571,2.6468100819609583e-06
0.62,-0.13884661289701597,-0.004178129342490175,0.03599678550119326,-6.41042582764745e-05,-4.2504636325069064e-05,4.2211304790000706e-06,2.388253171846877e-05,-3.557367656408094e-09,2.8869410266088972e-08,3.150757475823508,0.002509570736016681,0.0008260360398926331,2.713553682734751e-06
0.64,-0.09898614423381517,-0.002883990021532293,0.09006745814187335,-6.481466172002588e-05,-2.103204233600009e-05,3.2508895526166805e-06,-5.3425625460576354e-05,-2.4811495102857243e-09,7.59397637488919e-08,2.1693332474197016,0.002277008080330975,0.0006000288747271335,1.9015315740754553e-06
0.66,-0.08753975529690321,-0.0007167138142785796,0.12310302005369125,-6.43259808702854e-05,8.053079638559518e-05,3.2601375126092806e-06,1.241388956967797e-05,-6.417170725727904e-10,1.0495827989728733e-07,1.0929795248261762,0.007073389604816571,0.0004164497933006883,9.729864326914065e-07
0.68,-0.02954499946559367,0.00185307804639518,0.12813728163650562,-6.172696233832556e-05,0.00019194984775184975,1.9649619445610605e-06,-7.691043575548331e-05,1.560066241779706e-09,1.1030257354685277e-07,-0.6034954009585097,0.00809848794702206,-0.00018594944693132998,-4.691649812117553e-07
0.7000000000000001,0.02899623329013982,0.004185395858541071,0.09980337341000878,-5.578949947620836e-05,0.0004246506888906806,3.4560780177250474e-07,-8.542505569933396e-05,3.577217825075305e-09,8.68179592297101e-08,-2.185821525382576,0.014170480966589238,-0.0006383620361757048,-1.84252088061658e-06
0.72,0.07104029066947362,0.005666699789263962,0.044895702177228464,-4.271856671100431e-05,0.0008467700509178017,-9.453817563073922e-07,-6.630801471963208e-05,4.875054005050394e-09,3.9972910562483704e-08,-3.219115093589198,0.0034810521759962576,-0.0006532487917461638,-2.7453519919097558e-06
0.74,0.10817209102716166,0.005882279825977576,-0.024744447296433335,-2.9544189494102942e-05,0.0003438238645407073,-2.310170181766897e-06,-8.052846197601446e-05,5.094695433309257e-09,-1.91603873565911e-08,-3.6425544519576825,-0.025923521276934203,-0.0012992932602585716,-3.1013398088652194e-06
0.76,0.11608576426274,0.0046797666024489095,-0.09385787340170731,-2.5279523768796167e-05,0.0001112542382612861,-3.113129393030968e-06,-4.176210807646321e-05,4.1037211927377045e-09,-7.863101496647818e-08,-3.1623908120577906,-0.008415324023732906,-0.000893870323321222,-2.7349510543913866e-06
0.78,0.07397830652209104,0.0022609648328344393,-0.1429525671113208,-2.39481167815736e-05,2.1419175643016898e-05,-2.4023800332850206e-06,4.209846418518225e-05,2.0574768294995247e-09,-1.217059644196921e-07,-1.6676399137087796,-0.004775240926701146,-0.00046305289677381,-1.4843630422533248e-06
0.8,-0.057270103823480314,-0.0007612276156286239,-0.15039304458374628,-2.3526414986831175e-05,2.2567624856345654e-05,1.421895905074912e-06,0.0002144055317456906,-5.334722325666954e-10,-1.2980919467854037e-07,0.948069889968395,0.0001716161415251799,0.0003426331081039999,7.280041833458055e-07
0.8200000000000001,-0.16630620873123317,-0.0034244792891182057,-0.10854288913023093,-2.3181074635915734e-05,1.857987784818786e-05,5.046274080156898e-06,0.00018190633643793325,-2.8488607005852392e-09,-9.533517481595644e-08,3.1680426865304687,0.0010565526358803229,0.0008531097622395678,2.654432910498619e-06
0.84,-0.17928774859742494,-0.00489831243112701,-0.036494547422349186,-2.3444652554665646e-05,-3.6100082163413006e-05,5.606296934641814e-06,1.3069430546257104e-05,-4.1625653024154114e-09,-3.391667307385036e-08,3.9113565586521353,-0.0009903899237213576,0.0010607908193574697,3.3472962540472342e-06
0.86,-0.03795943893133005,-0.00492471490543763,0.028935851881955327,-2.736301982296198e-05,-0.0005316919850982809,8.413229710181289e-07,-0.00026585071689426263,-4.226408348358258e-09,2.356598794878408e-08,2.5065545604852746,-0.07428722111502961,0.0016872658419556097,2.264963204683633e-06
0.88,0.0902085909050435,-0.003954255398993773,0.0623817209652284,-7.957991207700799e-05,-0.006486885101232956,-3.6919915301998226e-06,-0.00021180680273329337,-3.3744920194829843e-09,5.822990288285424e-08,0.7855019157475432,-0.5898553676046655,0.00031848617436502913,1.2231559619419949e-06
0.9,0.10758425893153518,-0.002608105693211263,0.06947778191891121,-0.00029764991872034165,-0.013483109477616956,-4.766559456234231e-06,-2.8667491767143996e-05,-2.0404876508201603e-09,7.124592117078395e-08,-0.0767206552528383,-0.0802191660707211,4.7454743252101084e-05,5.052952840737049e-08
0.92,0.02112660583898746,-0.0012278261492724802,0.06919153375773834,-0.0004849208555963785,-0.00042623056186005305,-2.3688597720260133e-06,0.0001686591869982776,-6.852865224765019e-10,6.05628206424244e-08,0.042224311327676955,0.9922775610853254,0.04724367119041478,-9.542555347516208e-07
0.9400000000000001,-0.05694740861986258,0.00018316793225617523,0.07248602258084615,-0.00048453324040072525,0.00012128851627312831,1.980046137467722e-06,0.00017523066753607377,5.257871709531768e-10,6.203927673771608e-08,0.2354885941128615,0.013605025388219005,-3.44006196753982e-05,1.8686353451754806e-07
0.96,-0.05841994704694793,0.001640835131139326,0.07109041720755001,-0.00048011934049522196,0.000372966031343876,2.8681001042175745e-06,2.2747725182320634e-05,1.7753325414442897e-09,6.102327825025645e-08,-0.3865505327919474,0.025327291059843104,-0.0003242542041213825,-3.3234090574636374e-07
0.98,-0.024184197894751236,0.0029248076363902354,0.05429115480448876,-0.00046939302600067353,0.0006982933495784165,2.0892586104722794e-06,-5.109082836647549e-05,2.880328044278877e-09,4.688766518575075e-08,-1.273770698963153,0.016584198358157276,-0.0002866817304794378,-1.082344653046026e-06
1.0,0.025305053848684374,0.003697770128030327,0.020295888458549405,-0.00045688138608705964,0.00043403543230925614,4.837613405524347e-07,-9.102157260801006e-05,3.5557681683554094e-09,1.841583748423132e-08,-2.0782498457776986,-0.02079050109183922,-0.0007343088157245603,-1.7457510230510856e-06
1.02,0.0485787244441914,0.0036677440512243634,-0.023908435547725097,-0.0004501766204827665,0.0002379232497395402,-5.715893364892785e-07,-5.197085602990112e-05,3.5533207858325668e-09,-1.9246247267965906e-08,-2.272040004085721,-0.009957530842881201,-0.0007114097716812429,-1.9432110664550223e-06
