,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.003151096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030912251760000002,0.0
0.02,0.004442232,-1.96663092556206e-06,-0.00028804072272422545,-3.444944043897296e-08,-3.4305407521154057e-06,-5.043207842407211e-06,-0.000451611294719374,-3.507014939726961e-11,-7.319476357251583e-09,-0.0276156928641142,-0.00016748315183384363,-0.014987676847727553,-1.1656191988890874e-06
0.04,0.005156067,-1.452235273850173e-05,-0.0010168634520771349,-1.344747172727471e-07,-6.487941704931808e-06,-1.5990121706936607e-05,-0.0005978997349868141,-5.96352234430872e-10,-5.839191381263673e-08,-0.04241178542765898,-0.00014249293312028344,-0.0014068466150703295,-3.9900859090502745e-06
0.06,0.003699341,-4.3188740953070405e-05,-0.0018160846602669279,-2.854050883866897e-07,-8.2888010407834e-06,-2.6690382483458155e-05,-0.00041518726069457326,-2.7181059932492816e-09,-1.5979107916888736e-07,-0.03253814263565053,-4.713801215985164e-05,0.01586460610404252,-5.748845845827004e-06
0.08,-0.002572788,-8.345657084735706e-05,-0.002039511515287641,-4.413445075052476e-07,-6.437626891157598e-06,-2.913570146010777e-05,0.0002640439257682168,-7.0209450594076115e-09,-2.644494859951443e-07,0.01812656132192838,0.0002120974422635223,0.044405843007245885,-3.8841453283488885e-06
0.1,-0.009603838,-0.00011546016667409287,-0.0008883107196606372,-5.130738448984291e-07,-6.714613389657439e-08,-1.4468180470776408e-05,0.00120582071153336,-1.2683626956437769e-08,-2.7696135411927897e-07,0.09922393659980498,0.00041329166582721334,0.0457584045419003,3.5447529945816777e-06
0.12,-0.009294972,-0.00010900839327673432,0.001691144137251997,-4.445238500151597e-07,6.387791803457713e-06,1.4342030724274212e-05,0.0014947698176518754,-1.6808364596116967e-08,-9.977328503219168e-08,0.1465986453032312,0.0002548766623531283,-0.00859795831163165,1.4103024815229336e-05
0.14,-0.005236585,-4.661114109171234e-05,0.004440757693266886,-2.817626115228169e-07,9.234868513708953e-06,3.911324920577543e-05,0.0008621222435868751,-1.545465935297259e-08,2.5504663051008515e-07,0.1149672039452415,5.814369509256345e-05,-0.04527006393254266,1.99751932425922e-05
0.16,0.005456912,5.888423024128437e-05,0.005717566928484988,-1.1327155050203326e-07,6.390712945486616e-06,4.369341284143496e-05,-0.0005194528490360487,-6.460797150314226e-09,6.293827670492859e-07,-0.001107080450548306,-0.00030920597562163546,-0.08080480259214698,1.5440610773742252e-05
0.18,0.01537017,0.00016255244679353451,0.004117343581978594,-6.155946686713698e-08,-1.8881966485390644e-06,1.7903514480905172e-05,-0.002002177723468859,8.305424262778204e-09,7.929827622746824e-07,-0.15965237457420725,-0.0005112431298339663,-0.06417984435355878,-7.276452330341385e-07
0.2,0.01339025,0.00020485056373930967,-0.0001838866773567437,-1.7627592494627903e-07,-8.531250123953039e-06,-2.7311033375976238e-05,-0.0022145728541564428,2.2600948930761176e-08,5.658980201862571e-07,-0.24884422242804455,-0.00019902527074894955,0.027776000044521347,-2.1644703153190104e-05
0.22,-0.0002381045,0.00015308330439742422,-0.004753399780505325,-3.4104129892824386e-07,-6.022804489013631e-06,-5.7844774681408415e-05,-0.0005498128449283817,2.8566251545304125e-08,-7.456250247851015e-09,-0.17873182805403456,0.0003774444386346887,0.11598668058432651,-3.284564947950513e-05
0.24,-0.01164698,3.360079437850302e-05,-0.006575069989908171,-3.7275592995598104e-07,3.3668204374242674e-06,-4.623423127976036e-05,0.0016429695197811523,2.209206691438298e-08,-6.105217875105407e-07,0.005729801974174758,0.0005370305441873037,0.09654901052335146,-2.411946712939001e-05
0.26,-0.01216637,-8.470368064255598e-05,-0.004733651822512165,-2.2664062425900013e-07,1.0004474654826836e-05,-2.0946187987516613e-06,0.002437869184855003,6.4689222182768815e-09,-8.742824322614244e-07,0.16205614003169433,0.00016867834538344256,-0.003652948904900803,-1.1867226937396758e-06
0.28,-0.00264591,-0.0001428308728069459,-0.0010109084173579286,-3.704600314596725e-08,7.108842792798356e-06,3.771563918702406e-05,0.001243415370938583,-9.722542275741625e-09,-6.763927564062247e-07,0.18368915496699825,-0.0003848721575844538,-0.09480357728950681,1.9086699141389123e-05
0.3,0.008840227,-0.00013178017596257582,0.001756140366793017,4.167164043891461e-09,-3.939589607781815e-06,4.1583317772405935e-05,-0.00089346647346474,-1.8842245090888865e-08,-2.2165890569883065e-07,0.07716431812739961,-0.0006727414405284862,-0.10697988250434423,2.325120026115202e-05
0.32,0.006554315,-8.9645236511494e-05,0.002103660097742475,-1.7329954601268254e-07,-1.2136698440874545e-05,1.1032981894745546e-05,-0.0017961284977819367,-1.9212548923030258e-08,1.4612205154652815e-07,-0.02878282526452972,-0.00017826134863394016,0.0027616281749211612,1.1983898257529688e-05
0.34,-0.001082593,-5.5737684983709936e-05,0.0012562583863135852,-4.121030938682641e-07,-1.003633527587219e-05,-1.8032224650421722e-05,-0.0008783657959267293,-1.4804197437460277e-08,2.5368900012799236e-07,-0.03894471933420557,0.00033387681245019424,0.07330395981668662,-1.3022858341365877e-07
0.36,-0.006213331,-3.532025113568202e-05,0.000965629546312248,-5.345826798113799e-07,-1.7713349084706542e-06,-2.1297202409952094e-05,0.0005104449459888785,-1.0102973197695372e-08,2.080802950220213e-07,0.014397180439871086,0.00046864690097658205,0.06142787260742873,-2.6854641708416884e-06
0.38,-0.003830792,-9.968516024433833e-06,0.001676125189407458,-4.966822965528412e-07,4.623067820490942e-06,-4.1752551723224435e-06,0.0009794196239477696,-6.217474153553614e-09,1.9682087957803365e-07,0.046474780300634316,0.00018951583039758524,-0.005454317240067918,2.037211602698926e-06
0.4,0.002552231,3.1656488188261134e-05,0.0023653537515574115,-3.9177564470472004e-07,4.7442429847685514e-06,1.0208725103694616e-05,0.0003091342301037558,-1.5902573553697979e-09,2.755173060509203e-07,0.010943935938577364,-0.0001467783156704587,-0.051061764019942,4.812940395004715e-06
0.42,0.00379855,7.688307219983461e-05,0.001955364553308693,-3.239904059878296e-07,2.1540951572062046e-06,8.258619748477919e-06,-0.00040848402006961196,4.7042669361722436e-09,3.395403428261836e-07,-0.04957871930986374,-0.00011341789179511626,-0.02237400679541161,5.691990498922584e-07
0.44,0.0006874486,0.00010362385636585565,0.0006440634153037076,-2.8852830700030954e-07,2.037780422330541e-06,-8.368840172136705e-07,-0.0003619546914125412,1.1134693888755132e-08,2.800709087094829e-07,-0.07218504690092452,7.951704959179365e-05,0.01963546918022309,-6.328074082582541e-06
0.46,-0.004585089,0.00010333389570160178,-0.0005655593427483879,-2.1817100973010998e-07,5.571484787908088e-06,-2.0985764474728438e-06,0.00030320562438605514,1.5178202705679325e-08,1.1470495095194087e-07,-0.04047513170480938,0.0002513031328942525,0.04033509164527196,-9.145912732621032e-06
0.48,-0.006839455,8.749569247975349e-05,-0.0008432051581216299,-5.993293634853855e-08,1.0068681912026179e-05,1.0375488884210966e-05,0.0008668993653440265,1.5789841985864744e-08,-4.141177811015499e-08,0.011775811586692529,0.00019746497867531576,0.01730952840875881,-5.580409444424055e-06
0.5,-0.0004115673,7.471569855896755e-05,-0.0004162595449700001,1.5026420610278094e-07,9.575275865257936e-06,2.56743310485904e-05,0.00045253973540126274,1.425049137811598e-08,-9.310068094466514e-08,0.017929455691152885,-0.00021217955229769353,-0.046422219342903887,7.894624164987642e-08
0.52,0.008779519,6.680723597451132e-05,-0.0005837294417527321,2.7301718379654575e-07,1.5552612211025835e-06,2.2814997922729987e-05,-0.0008185366685538754,1.2542883542091841e-08,-7.73769045012081e-08,-0.04388972009065347,-0.0005562715147208941,-0.07117816657587551,1.1351423101462605e-07
0.54,0.01267076,4.118005685876466e-05,-0.002210599466641168,1.949132605158289e-07,-9.269967603298162e-06,-4.608040700738761e-06,-0.0017802175439030968,1.061068743854116e-08,-1.4116422806105775e-07,-0.11306783991249456,-0.0005300683671565568,-0.02823692315173789,-7.3425012342957666e-06
0.56,0.008427509,-2.715602243633486e-05,-0.004611635299934132,-7.034825177808535e-08,-1.6113513463351837e-05,-3.9868591343535254e-05,-0.001515242054570826,5.7223890781563825e-09,-3.743622419554148e-07,-0.11035784403671514,-0.00018849113595552358,0.041596202931202246,-1.5164048007744626e-05
0.58,-0.001045353,-0.0001363208663202751,-0.005967118219220826,-3.998802471611915e-07,-1.5510446320059912e-05,-5.7776809553129364e-05,-0.00014149664232922672,-4.919576897285011e-09,-6.860020982489617e-07,-0.010321182846472772,0.0002104128072273892,0.0827883188590269,-1.3943334861450789e-05
0.6,-0.008836245,-0.0002481449581416395,-0.004727816200848595,-6.560880813576383e-07,-9.56892378012688e-06,-4.512730367910355e-05,0.001336253041273872,-2.0712899329383835e-08,-8.482454573702742e-07,0.13496604012240587,0.0003753873574815561,0.06225839147241029,-5.324389866523415e-07
0.62,-0.009340338,-0.00030774789326124463,-0.0009117402152575973,-7.85570062988777e-07,-3.8884759006860395e-06,-1.1393106574992632e-05,0.0018151506179966924,-3.6516655707884235e-08,-6.677123616715888e-07,0.23110878515056782,0.00022486178818113475,-0.004581022880722836,1.856794317045741e-05
0.64,-0.006658888,-0.00027829206941774876,0.0038437373355247094,-8.292955422587193e-07,-8.516563061195438e-07,2.046796658713898e-05,0.0012467983772382469,-4.509733485858498e-08,-1.4557243966399183e-07,0.22765787255904343,0.0001141320647212599,-0.042458947677556834,3.187720982937049e-05
0.66,-0.005888879,-0.00016014649946362802,0.007718594303847896,-8.162265428313914e-07,2.57678257091298e-06,3.766864231493952e-05,0.0005215057744413806,-4.135189223985194e-08,5.236903202659403e-07,0.15250903580035638,0.00023654524597488923,-0.02831205431659064,3.2988856232960364e-05
0.68,-0.001987519,1.7624493387794358e-05,0.009669968040734889,-7.191482311699299e-07,7.052588655023136e-06,4.2022799179598826e-05,-8.857700552350792e-05,-2.4760693279023982e-08,1.1037635016693436e-06,0.03666491993905252,0.0002124149060791676,-0.029426090318081674,2.3531086724317427e-05
0.7000000000000001,0.001950603,0.00020955357645198762,0.009082492729083472,-5.381642926626769e-07,1.087167713497742e-05,3.4918808087282e-05,-0.0005906375940031721,9.994417873632782e-10,1.4164335071473532e-06,-0.09486167637451312,0.0001595219451791946,-0.020278277343981396,6.868115849813752e-06
0.72,0.004778945,0.0003643389780479841,0.006033224607425126,-2.925356020350916e-07,1.3416486148619182e-05,2.0216272543860338e-05,-0.0008316678592396287,2.9417795640837573e-08,1.3608503760584685e-06,-0.2033670632439353,7.65009494733751e-05,-0.005894427375485969,-1.2401542816465867e-05
0.74,0.007276835,0.000439397668108437,0.001269820659153725,-1.881868491319665e-08,1.3379047395685804e-05,2.958560389366916e-06,-0.0008761090511659913,5.2970169861776503e-08,9.389829257204544e-07,-0.2640392118755455,-9.576379379058753e-05,-0.00041983361762714007,-2.8948933060188027e-05
0.76,0.007809195,0.00041092703799689296,-0.004113162562345066,2.2077888997003123e-07,1.007421632115052e-05,-1.3730754191717649e-05,-0.0007641327569470434,6.516627988190717e-08,2.4753949849144866e-07,-0.26314546380672704,-0.0002462370922651294,0.008380246904950676,-3.8824745416237056e-05
0.78,0.004976588,0.00027961381977542057,-0.008776157555414908,3.7127041775329223e-07,4.838340170661615e-06,-2.5769956914598518e-05,-0.00038965318637963184,6.214458596683313e-08,-5.515835647790637e-07,-0.19116801147134177,-0.00028682809002877896,0.023811840885668675,-3.935305170717316e-05
0.8,-0.003852612,7.443796897823027e-05,-0.011243887685475474,4.2581979202107505e-07,1.3008729321283907e-06,-2.5899456008923212e-05,0.00047267902892965955,4.3748244320343395e-08,-1.2531071562236587e-06,-0.043067601344784906,-8.167227865846227e-05,0.053308652954530036,-2.884511474020307e-05
0.8200000000000001,-0.01118757,-0.0001468222596121667,-0.010267986969527446,4.416615371670857e-07,6.252798190901275e-07,-6.632659215748514e-06,0.0014031245979231428,1.4191655607463801e-08,-1.630846267547525e-06,0.14028282259678365,2.2387621393991832e-05,0.03841786128791477,-7.447393290447909e-06
0.84,-0.01206085,-0.0003137865336335152,-0.0059883607214747765,4.485189357069105e-07,-2.593270158936077e-07,2.4733718548606797e-05,0.0015607038237933264,-1.818708458740471e-08,-1.5204693194845434e-06,0.27228215660873323,-7.295317817390722e-05,-0.013746159725616413,1.830711265371883e-05
0.86,-0.002553566,-0.0003763335047722754,-0.00026520359501155136,3.9983516961821315e-07,-5.752729941836365e-06,4.672185283446304e-05,0.0004089437655583535,-4.3478827092866975e-08,-9.460624073662793e-07,0.2737924687036572,-0.0004150183583266215,-0.08363779496613434,3.6888844307024146e-05
0.88,0.006068414,-0.00033326164719914525,0.004183368761421911,1.9754796260181046e-07,-1.453532666247236e-05,3.817424100025783e-05,-0.0012271962716659,-5.4607174559217825e-08,-1.61521364851918e-07,0.15820108455887938,-0.0004358264429043107,-0.07348854329319643,3.849630218049065e-05
0.9,0.007237291,-0.00022731997462303513,0.005972254529035675,-1.52372270425506e-07,-1.916477004901973e-05,4.635058425590671e-06,-0.0018852325196471772,-5.085777935383604e-08,4.910777203937544e-07,0.0268807947312983,-5.2539721229996617e-05,-0.0009171966338133303,2.5108306235429895e-05
0.92,0.001421206,-0.00010824254180248158,0.005727374597998948,-5.067362700791588e-07,-1.458474530756112e-05,-2.7227348022307477e-05,-0.0010772433214229962,-3.7176839677986937e-08,8.204466388017061e-07,-0.03618839726949564,0.000452102866803028,0.06704100448154061,8.34115521311491e-06
0.9400000000000001,-0.003830904,-1.3833994140333858e-06,0.004976532893826525,-6.920300695489105e-07,-3.3429334841590534e-06,-3.469493020760078e-05,0.0003290514072214845,-1.9908356776492652e-08,8.735706881439232e-07,-0.03145075198552381,0.000635467852939494,0.06725973126199733,-1.5011450168750254e-06
0.96,-0.003929963,9.303490894735136e-05,0.0045032389281773975,-6.446690782564553e-07,7.431984608019434e-06,-1.8588098283523263e-05,0.0011097163397896098,-2.9667936085274965e-09,8.139803412011646e-07,-0.020118351585086174,0.0004438292261444224,0.015720848138599808,-3.6028384153425034e-06
0.98,-0.001626893,0.00017827956002046744,0.003949826378834463,-4.263638923857193e-07,1.3514080341543734e-05,3.4885456535459827e-06,0.0009703642880668583,1.2583204451857954e-08,7.397567397600605e-07,-0.04116187066563444,0.00017892755024437323,-0.022887873616385286,-4.066277956402806e-06
1.0,0.001702294,0.0002461538857235422,0.0026764872970599456,-1.3725646930666211e-07,1.4617072690070413e-05,1.6904386266817074e-05,0.00032600546479115595,2.639980467521776e-08,6.305067482341785e-07,-0.0890018279037539,-5.5199564913503696e-05,-0.03679562513235629,-7.490962529884407e-06
1.02,0.003267935,0.0002786061933852718,0.00042322110158170636,1.3747952115969974e-07,1.2535118201791358e-05,1.7109704424632874e-05,-0.00025513470243777853,3.7113099454013046e-08,4.193433439795708e-07,-0.13248637850484957,-0.0001526331479865528,-0.02179699900827123,-1.3876996531252172e-05
1.04,0.001426767,0.00025950677610962026,-0.002339560018898731,3.6193956326540483e-07,1.0063186071107888e-05,1.015782894303968e-05,-0.0003413254601764238,4.230156821060633e-08,8.071317581718461e-08,-0.13456568496478558,-0.00010776679411785006,0.008015589316380054,-1.9418008159049983e-05
1.06,0.00104315,0.00018791644526046966,-0.004691460068824249,5.363489248276694e-07,7.1010836859829255e-06,4.8943168371385795e-06,-0.00019205523381292245,3.990397100942767e-08,-3.2195175840304016e-07,-0.0963565481054617,-0.0001899420104640344,0.006036286909077117,-1.9859902886615625e-05
1.08,0.002338493,7.815505761326636e-05,-0.006118268261134062,6.299784447859032e-07,1.791312964973893e-06,1.1224476756732246e-06,-0.000231192459504621,2.973639735104935e-08,-6.792529190688805e-07,-0.04643065988978275,-0.0003301025861495114,-0.007846033514679203,-1.5237624051288323e-05
1.1,-0.001305022,-4.9561400074510456e-05,-0.006428757437001954,6.103372780624077e-07,-3.2433632793896064e-06,-2.927297868053159e-06,-9.162100163874639e-05,1.3558343735991014e-08,-9.137115113881833e-07,0.02047992817676554,-0.00017755186736592536,0.01707592880307054,-7.755923063017145e-06
1.12,-0.003066637,-0.00016883016915430295,-0.005246005826853177,5.131640588417433e-07,-6.2851068714889746e-06,-1.7785946136938717e-06,0.00018512676516336098,-5.618109427013151e-09,-9.693284349780338e-07,0.09581033882210548,-0.00011937224375985905,0.010732438078676965,2.5770329857784213e-06
1.1400000000000001,-0.007359907,-0.00025007006454870993,-0.002656626330765937,3.7817614209061066e-07,-6.476881543383846e-06,5.034703593479104e-06,0.0005305705350340069,-2.3737235314556645e-08,-8.050008206363802e-07,0.1618210367145325,9.970964063265794e-05,0.021251812905928362,1.3831649545525395e-05
1.16,-0.004610121,-0.0002682206004749904,0.0009062386708751212,2.602885102360777e-07,-5.624171330864176e-06,1.6429538192063298e-05,0.00047567507942302594,-3.636548776516537e-08,-4.253652163934701e-07,0.18150566672245486,8.228710211624635e-06,-0.019057553632370758,2.3444266137246262e-05
1.18,0.0004010815,-0.00021627605476863245,0.004104632568527747,1.421929926506201e-07,-6.442642937688031e-06,2.0191126072288785e-05,-0.00016090535048644708,-3.985893870445785e-08,8.469922802822675e-08,0.12709651796839136,-6.933815356604742e-05,-0.03800347423477259,2.5995691674919933e-05
1.2,0.0007121186,-0.00011437031680497188,0.005810105449856866,1.3876125985004685e-08,-5.71092019749042e-06,1.1991106887393116e-05,-0.0005455024532838795,-3.3274934057536e-08,5.515253316429401e-07,0.04459188792523825,0.00013128651219939183,-0.003975520988190229,1.9449663171276083e-05
1.22,0.0005029542,5.861913128041667e-06,0.005984826346574606,-6.382448317828423e-08,-1.6390173172725463e-06,1.8138909876534952e-06,-0.0004137048415382642,-1.9049710927543275e-08,8.346958300932978e-07,-0.0238242757687184,0.0002563992265030698,0.013722906820157567,8.63773152827958e-06
1.24,0.0006008071,0.00011720580812617629,0.004985196630749072,-4.357828728168757e-08,3.6694537510730962e-06,-3.563116203774975e-06,-0.00012448186704148287,-1.3503152132526999e-09,9.004313490769289e-07,-0.07308691805368708,0.0002588945389285814,0.013687440508615884,-1.776191132913539e-06
1.26,0.0006313566,0.0001999465415194866,0.0031876603478624326,7.794883206555339e-08,8.248888894279234e-06,-3.6162249286319366e-06,0.00010092278396961261,1.5716350345983686e-08,7.790875997953631e-07,-0.1034408903674819,0.00018887434317663154,0.008312683822135021,-9.909379928272792e-06
1.28,0.001553373,0.00024182450528819003,0.0009508450892599053,2.707598034600031e-07,1.0522275473052833e-05,-8.319996168302144e-07,0.00013875073075883632,2.8914225736358113e-08,5.2287752942208e-07,-0.11813738213201926,3.72245285115147e-05,-0.0033456016521619027,-1.525945109855014e-05
1.3,0.001652244,0.00023704633898910085,-0.0014190365025145933,4.811379036062957e-07,1.0142785461570196e-05,1.2438147011507741e-06,6.660761184709772e-05,3.609343764581934e-08,1.858969203867373e-07,-0.11523240110373804,-7.482628173809125e-05,-0.004020653415601847,-1.7987825635132598e-05
