,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.003151096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030912251760000002,0.0
0.02,0.004442232,-5.343666895879191e-07,-8.122427150592012e-05,-9.81524948444077e-13,-1.0337482971120727e-10,-6.488510105923682e-06,-0.0006622441862594521,-1.4624622207413958e-11,-3.3438963475881325e-09,-0.008315608221790642,-5.994195386577195e-09,-0.03498996073778952,-6.149759725302646e-07
0.04,0.005156067,-4.3789609086316545e-06,-0.0003289422771323175,-4.327702018539243e-12,-2.3555887352627534e-10,-2.6559864058482283e-05,-0.001336304572921754,-3.6733945171367176e-10,-4.241554671075713e-08,-0.016099694985373263,-7.3093426294218444e-09,-0.03239602267576379,-3.8124847765212164e-06
0.06,0.003699341,-1.4477575511641344e-05,-0.0006890406072237101,-1.0414751734888096e-11,-3.692716065402931e-10,-5.825737356669932e-05,-0.0017623399155662915,-2.346000060791503e-09,-1.758684322938151e-07,-0.018532727196882037,-6.128225342114102e-09,-0.011049226497515555,-9.912334317464384e-06
0.08,-0.002572788,-3.1534950540477756e-05,-0.0009803028779503517,-1.8521367458784303e-11,-4.1627034275989754e-10,-9.157419814915126e-05,-0.0013751165546515764,-8.314226102261219e-09,-4.435190573353248e-07,-0.007624027941074266,1.4225691458147338e-09,0.04722256818183433,-1.6584680873059667e-05
0.1,-0.009603838,-5.110670570677542e-05,-0.0008870963250701746,-2.597076556312482e-11,-2.9825794639307654e-10,-0.00010600806695544814,0.00010067432737450888,-2.075395559906031e-08,-8.068579293604036e-07,0.019213221490741665,1.0561896485877798e-08,0.09791854452930124,-1.837586394153403e-05
0.12,-0.009294972,-6.29606664606393e-05,-0.00020508306604063883,-2.981165426450807e-11,-8.327545124443016e-11,-8.623214451023547e-05,0.0017899941472566013,-4.016823690544423e-08,-1.1044840328721367e-06,0.04716272232337534,1.1322239791555777e-08,0.07178951977888139,-9.29088545061205e-06
0.14,-0.005236585,-5.654501541355453e-05,0.0008822733584827983,-2.939884472312816e-11,1.1663368997894633e-10,-3.988078639375201e-05,0.00266559485925938,-6.290706940461041e-08,-1.101062894894515e-06,0.05772533591387838,8.924490472149438e-09,0.018001454598795097,1.1135562000043546e-05
0.16,0.005456912,-2.804986761004707e-05,0.001902645591918478,-2.5995849805310227e-11,1.8823911042408785e-10,1.0009098703423681e-05,0.0019946436745781034,-8.104879610592387e-08,-6.308170145419806e-07,0.03837989102575998,-1.7350520169906458e-09,-0.08065431220171831,3.559622245490131e-05
0.18,0.01537017,1.4801933508475325e-05,0.0022186246273197133,-2.3257477114393825e-11,4.9889458833848896e-11,2.893866583424015e-05,-0.0003258188191635872,-8.525727100570828e-08,2.6213599205146997e-07,-0.01061536968117255,-1.2488539131213366e-08,-0.14794514069148929,5.099179982430358e-05
0.2,0.01339025,5.33383398059937e-05,0.001463819082891713,-2.453706818481224e-11,-1.7064372101652308e-10,-3.3781740000249665e-06,-0.0027255173128702946,-6.980572485051707e-08,1.2631610007014784e-06,-0.06190988741200636,-1.030323124647653e-08,-0.09377327049101959,4.497393435950096e-05
0.22,-0.0002381045,6.830219768665051e-05,-2.2608251887200087e-05,-2.9005280657003606e-11,-2.2907821879726849e-10,-6.64044531307559e-05,-0.00309573219685208,-3.7148474322694686e-08,1.9064299949024895e-06,-0.07833793044850892,3.854912259196319e-09,0.05060817987400104,1.6330934102516793e-05
0.24,-0.01164698,5.344983934244797e-05,-0.0013663296203611363,-3.218540448369801e-11,-5.757089692674166e-11,-0.00011170818967067769,-0.0011334660606489137,1.746841620716022e-09,1.8577979774364513e-06,-0.04954891570361023,1.3322222718221977e-08,0.14107883614502684,-2.0922437779638885e-05
0.26,-0.01216637,1.945464235458385e-05,-0.0018695157165195908,-3.096562819816562e-11,1.6776417567514762e-10,-0.00010810926884291271,0.0013978173924208564,3.2670744858488684e-08,1.1475498673334538e-06,-0.0004874702844965492,9.804447849079412e-09,0.11241676582813612,-4.683992889717279e-05
0.28,-0.00264591,-1.5248239824125228e-05,-0.0014862327737852337,-2.66099960550192e-11,2.2335322042961316e-10,-6.5615096432671e-05,0.002476465773415656,4.5649429873914804e-08,1.3990464445318474e-07,0.03377106939045619,-3.558596719382967e-09,-0.000153588911703432,-4.999097002552361e-05
0.3,0.008840227,-3.7565568840950665e-05,-0.0007421121416934857,-2.3749840104622392e-11,1.9703348349368424e-11,-2.354638864858168e-05,0.001382870474310583,3.927996268186972e-08,-7.235103226510535e-07,0.034785804063817906,-1.647440940079608e-08,-0.10448000037822477,-3.4211911093009795e-05
0.32,0.006554315,-4.651100561090747e-05,-0.0002038865457196205,-2.619980474746746e-11,-2.4323930669259815e-10,-1.3914897037686298e-05,-0.00028186471613789643,1.938710413693571e-08,-1.1954946251809854e-06,0.019379355294864932,-1.0037857980579878e-08,-0.06309689021726843,-1.3270427911147952e-05
0.34,-0.001082593,-4.7380950451881184e-05,9.680836988126602e-05,-3.2221557153081224e-11,-3.1772458575823673e-10,-2.6457723523055075e-05,-0.0007021745183967406,-5.997778340520449e-09,-1.2894891251281772e-06,0.013394142016136161,2.3307523411286724e-09,0.01794978908920237,2.7645000837180874e-06
0.36,-0.006213331,-4.248028991359595e-05,0.00041451948558418134,-3.756955913545502e-11,-1.9036518800965514e-10,-3.39529718293324e-05,9.135363831222781e-05,-3.045922037869601e-08,-1.1210644525280342e-06,0.019748516380094602,1.0354957228481121e-08,0.059569999501100826,1.3507347530173457e-05
0.38,-0.003830792,-2.975105133418432e-05,0.0008732286885519675,-3.945894383446136e-11,-5.593806798926977e-12,-2.2582646664958155e-05,0.0009337026396099552,-4.955990638532843e-08,-7.583766000121938e-07,0.024189206252010303,8.237548493968041e-09,0.025916291273246767,2.272127664225293e-05
0.4,0.002552231,-7.880791756497574e-06,0.00127613055431819,-3.840944127825592e-11,8.643678023864324e-11,-3.064013587909366e-06,0.0008144632732921385,-5.9600647804529756e-08,-2.1841579623176284e-07,0.012900055447461206,9.91157267371534e-10,-0.03523081516611258,3.081636700893553e-05
