,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0008217382456471073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008061252189798123,0.0
0.01,0.0008333830495547619,-1.8013301605185838e-08,-4.832289286981753e-06,-5.723397935429612e-14,-1.1373702275925735e-11,-3.8852598333021694e-07,-7.631690605640906e-05,-2.5288160166336393e-13,-8.315893067412652e-11,-0.0009535929588301763,-1.127253913477122e-09,-0.007211795786659333,-2.476252164766294e-08
0.02,0.0008427181760029861,-1.3054316333060134e-07,-1.872331832228487e-05,-2.273918518642197e-13,-2.2663940414676222e-11,-1.4964964600619662e-06,-0.00014428905059471977,-4.328800646688438e-12,-8.659692266767275e-10,-0.0018107920569098968,-1.1347190668640691e-09,-0.006390144319927576,-1.462278099684418e-07
0.03,0.0008509870481703598,-4.2074168153029763e-07,-4.0532049048799335e-05,-5.113856232094993e-13,-3.4180148729829397e-11,-3.2456175618365293e-06,-0.0002042765721079492,-2.4544221075225292e-11,-3.5234136649956933e-09,-0.0025273147294234146,-1.1732619500503388e-09,-0.005616476150079718,-4.0804618135346105e-07
0.04,0.0008601622904913642,-9.614695781539544e-07,-6.865836799871183e-05,-9.129298871979397e-13,-4.622189172847277e-11,-5.557615209306725e-06,-0.0002568750564487759,-8.687310460184361e-11,-9.534217457711075e-09,-0.0030674857638677503,-1.2395428099741534e-09,-0.0049144633038335555,-8.19445953755072e-07
0.05,0.0008684122574409925,-1.8069802039009408e-06,-0.00010119735187626623,-1.4385351967779874e-12,-5.902575295861755e-11,-8.36130391018824e-06,-0.0003027285676595697,-2.3221953620895202e-10,-2.0323703263234165e-08,-0.003406668073431289,-1.3245971064793083e-09,-0.004267911377212549,-1.3608272603231608e-06
0.06,0.0008752653988737622,-2.990825167916293e-06,-0.0001360595680775655,-2.0966112267419598e-12,-7.273592617785735e-11,-1.159212271058413e-05,-0.00034238323952663266,-5.142150349796259e-10,-3.701033569145649e-08,-0.0035303734604087518,-1.4195669197428207e-09,-0.0036731071292141868,-1.99410044072195e-06
0.07,0.0008817285526718947,-4.526053926079528e-06,-0.0001710713439324658,-2.8965687362255862e-12,-8.741924553958373e-11,-1.5190760090790882e-05,-0.0003763932708132086,-9.95236261629486e-10,-6.0288396288916e-08,-0.0034352407007056654,-1.5176125252314154e-09,-0.0031388168849714195,-2.670459315859653e-06
0.08,0.0008877085431193583,-6.399898829554264e-06,-0.00020410422715009461,-3.848016162051228e-12,-1.0304610914182987e-10,-1.910456291703755e-05,-0.0004053254327247669,-1.7421342550190546e-09,-9.022835898638995e-08,-0.0031318269158044977,-1.6098132020123113e-09,-0.002660444843840503,-3.33514832477657e-06
0.09,0.0008927886452021327,-8.587431641598574e-06,-0.00023312331804554244,-4.960132332272324e-12,-1.1953663431449437e-10,-2.328407846344058e-05,-0.000429716052333445,-2.8205553039515694e-09,-1.265753623233179e-07,-0.002636748172476334,-1.6875842485594705e-09,-0.0022294547070515125,-3.93378012686965e-06
