,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.001232607368470661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012091878284697185,0.0
0.01,0.001250074574332143,-2.6083846826689457e-08,-7.278941163541959e-06,-8.4086342703241e-10,-1.6886074579809514e-07,-5.828620890813696e-07,-0.00011445469202843578,-2.9878777501624726e-13,-1.1024900070914801e-10,-0.0014340541296610386,-1.6918398758469593e-05,-0.0108148783531658,-3.543089892100118e-08
0.02,0.001264077264004479,-1.9377995692213674e-07,-2.818236582686113e-05,-3.3749122000427443e-09,-3.380184673685654e-07,-2.2461198329588374e-06,-0.0002163822761601366,-5.841405712946009e-12,-1.233724958544794e-09,-0.002721521132833381,-1.7002094221079843e-05,-0.00958238373156271,-2.1552628426718664e-07
0.03,0.0012764805722555398,-6.3018097203167e-07,-6.097290952020206e-05,-7.6134752710778e-09,-5.105169078487011e-07,-4.869540470738924e-06,-0.0003063288587913829,-3.485048643638038e-11,-5.161411321933907e-09,-0.0037976119339618378,-1.7571858615264037e-05,-0.008421994784479766,-6.075150147056372e-07
0.04,0.0012902434357370464,-1.444180993254452e-06,-0.00010324538524201422,-1.3612269407246474e-08,-6.908494584863199e-07,-8.336086185464274e-06,-0.0003851932656898521,-1.2636122172898206e-10,-1.4125826432670737e-08,-0.004609144046390558,-1.8557844163687078e-05,-0.007369100831368287,-1.2239460438916158e-06
0.05,0.0013026183861614888,-2.7168407078398746e-06,-0.00015215756124620843,-2.1468228641007486e-08,-8.825787194180034e-07,-1.2539757280367706e-05,-0.0004539479853199177,-3.4142544186013293e-10,-3.026316936550143e-08,-0.005119490021338947,-1.9826550304804028e-05,-0.00639926180510754,-2.0351364180196715e-06
0.06,0.0013128980983106433,-4.498841552366645e-06,-0.0002045697343666558,-3.130799215946809e-08,-1.0878867956683224e-06,-1.7383875707990737e-05,-0.0005134087335899793,-7.608347237617587e-10,-5.526258186902932e-08,-0.005306756371651096,-2.1248009652800014e-05,-0.005506975471897733,-2.983531108122491e-06
0.07,0.001322592829007842,-6.808610999630612e-06,-0.00025721091396720055,-4.327354570448999e-08,-1.3077190783544716e-06,-2.2779700035293872e-05,-0.0005643939667014683,-1.4791751825762125e-09,-9.012964633261774e-08,-0.005166412101962549,-2.2715685600426666e-05,-0.004705453939910508,-3.995435804503754e-06
0.08,0.0013315628146790374,-9.62948508296852e-06,-0.0003068863918379728,-5.7508494452673544e-08,-1.5417597634885661e-06,-2.8647493938122183e-05,-0.0006077717758617714,-2.5963357281714142e-09,-1.3501580094054447e-07,-0.004713222454153748,-2.4096747884798722e-05,-0.003987839224428149,-4.9897579554459985e-06
0.09,0.0013391829678031989,-1.2918691460765558e-05,-0.00035059618132345246,-7.41479587599364e-08,-1.788595271396787e-06,-3.491454897862602e-05,-0.0006443310524390904,-4.209766361694007e-09,-1.8938764659878928e-07,-0.003974808509046406,-2.5263144420618888e-05,-0.0033410225195015268,-5.885493962422485e-06
0.1,0.0013456967605774358,-1.660804518969382e-05,-0.0003856231230212988,-9.331129614899092e-08,-2.045733257808051e-06,-4.1514893102417876e-05,-0.0006747752270152709,-6.409972117466896e-09,-2.5201525399336714e-07,-0.0029911197952322754,-2.6101800940063133e-05,-0.0027590816754617534,-6.605475174583187e-06
0.11,0.0013512621866071928,-2.059493104206989e-05,-0.00040983289600710564,-1.1508028680049971e-07,-2.3092189807195546e-06,-4.8391653918285173e-05,-0.0006996860403776929,-9.268060903185746e-09,-3.2068151858130144e-07,-0.0018185788159503658,-2.6520569520873533e-05,-0.0022335380748127465,-7.08489383563561e-06
0.12,0.0013557856650646296,-2.476284525575629e-05,-0.0004216252783706038,-1.3949761461861802e-07,-2.574485453000824e-06,-5.5492055072394775e-05,-0.0007195701303830611,-1.2832424024665687e-08,-3.9272494044455895e-07,-0.0005197449890172981,-2.6448579171211087e-05,-0.001753055671815436,-7.273746835526642e-06
0.13,0.0013592044036193768,-2.8982892110337495e-05,-0.0004200810640105812,-1.665548603398719e-07,-2.836382536253727e-06,-6.276784517436291e-05,-0.0007348301727319895,-1.7121214768987358e-08,-4.650780343918684e-07,0.0008378735250220964,-2.5838563922403815e-05,-0.0013066479712379852,-7.1408223807632035e-06
0.14,0.0013616127933228932,-3.312017238614406e-05,-0.0004049354943765821,-1.9619276876625977e-07,-3.089424462278338e-06,-7.01742054187945e-05,-0.0007457651603941898,-2.2122220762644215e-08,-5.34453297049697e-07,0.0021851548493141064,-2.4669611721128346e-05,-0.0008854655079361738,-6.673205528893104e-06
0.15,0.0013629776150068538,-3.703978682320804e-05,-0.0003766395219314618,-2.2829452260030012e-07,-3.3280382379772946e-06,-7.766910982215471e-05,-0.0007525768026989849,-2.7788734980903394e-08,-5.975081707774277e-07,0.0034544531363060976,-2.295453174693679e-05,-0.00048041540217790566,-5.878341749272926e-06
0.16,0.0013633243907152156,-4.061480938166546e-05,-0.0003362980048173596,-2.6268839420290296e-07,-3.5469002176469304e-06,-8.521211048654366e-05,-0.0007553877416495924,-3.404120567300371e-08,-6.510746458626441e-07,0.004583511704055613,-2.072968826753556e-05,-8.444229512590169e-05,-4.782613798925168e-06
0.17,0.0013626247626213595,-4.373250613054851e-05,-0.00028559656721085787,-2.991518967798014e-07,-3.741201625170066e-06,-9.276357920193073e-05,-0.0007542579000735085,-4.077006352693623e-08,-6.923399011513099e-07,0.005518452201164505,-1.8058699584305032e-05,0.00030826886291446297,-3.4293735492256574e-06
