,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0003042635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029848249350000002,0.0
0.01,0.0003085752,-2.9882270096757026e-08,-8.239759638989861e-06,-9.527600642700517e-10,-1.8436565195164247e-07,-1.2025439488363225e-07,-2.1769979240562455e-05,-2.3031731717244393e-13,-8.220349947047347e-11,-0.0015621509965835793,-1.620904601513679e-05,-0.0014487352491270816,-2.4618236557416066e-08
0.02,0.0003120317,-2.086334822939033e-07,-2.9284910185406644e-05,-3.5173844317912995e-09,-3.2124315495188725e-07,-3.913789483063507e-07,-3.0636529050997946e-05,-3.4932424739983864e-12,-6.647286197512874e-10,-0.002559395753507816,-1.1143672855570873e-05,-0.00039883850962996333,-9.863612072444851e-08
0.03,0.0003150934,-6.365402429447836e-07,-5.758081144446978e-05,-7.253591574771556e-09,-4.195423181321264e-07,-7.076816978932918e-07,-3.11719034464652e-05,-1.65406059779447e-11,-2.0718556010306304e-09,-0.003009891511679679,-8.389545352446718e-06,0.00022010300252388494,-1.8543927374522116e-07
0.04,0.0003184907,-1.3633513533745086e-06,-8.798020057845504e-05,-1.183677748780648e-08,-4.934207532785182e-07,-1.003161883151293e-06,-2.7298790720332884e-05,-4.760802564257687e-11,-4.269529121995342e-09,-0.002994954820283066,-6.636354077942715e-06,0.0005017956893598785,-2.4966114962201135e-07
0.05,0.0003215454,-2.3880501301558293e-06,-0.00011636087150117752,-1.708850548494168e-08,-5.557521202614614e-07,-1.2491505983647563e-06,-2.1809651258480396e-05,-1.0333930894922699e-10,-6.940905359502698e-09,-0.0026290547610221576,-5.99498178530675e-06,0.0005651663771991274,-2.776441678128102e-07
0.06,0.0003240829,-3.6736964102660285e-06,-0.00013978653510559238,-2.2944489220218975e-08,-6.15499151172141e-07,-1.43963053509031e-06,-1.6380261133638024e-05,-1.8663136925138354e-10,-9.710835167913712e-09,-0.002022524885463652,-6.044578131843368e-06,0.0005048614792212892,-2.707182372508994e-07
0.07,0.000326476,-5.160921607065324e-06,-0.00015633964825768958,-2.9406413605001192e-08,-6.778348413172738e-07,-1.5798097903658308e-06,-1.1902664965280041e-05,-2.9679844375628613e-10,-1.225786017719593e-08,-0.001271806343164099,-6.452128604208119e-06,0.0003868539470811786,-2.341791878182078e-07
0.08,0.0003286902,-6.7748724196871344e-06,-0.00016500525367856505,-3.651385271465552e-08,-7.447189458169075e-07,-1.6814133850519893e-06,-8.684074786869592e-06,-4.302268486276613e-10,-1.4323543420569728e-08,-0.00045843551701213534,-6.907061645316029e-06,0.0002597956191238127,-1.7583654748933494e-07
0.09,0.0003305712,-8.434412051294287e-06,-0.00016549456575537373,-4.431116202838503e-08,-8.153818954377316e-07,-1.7570896794592153e-06,-6.651577034785777e-06,-5.811336691940595e-10,-1.5730698587979058e-08,0.00035453395773299857,-7.17188593780645e-06,0.00015258147850647353,-1.040255902541057e-07
0.1,0.0003321791,-1.0058612259631977e-05,-0.00015806098843625498,-5.2824527880047436e-08,-8.871918119058764e-07,-1.8174788098604634e-06,-5.536378904950508e-06,-7.423748354971802e-10,-1.638220418700859e-08,0.0011205059463306778,-7.1198162841629685e-06,7.586594924944526e-05,-2.6061777475573633e-08
0.11,0.0003335529,-1.1571168096354117e-05,-0.00014336016080370215,-6.204861224173897e-08,-9.565956527564065e-07,-1.870149304173029e-06,-5.0163281217947e-06,-9.061684138525341e-10,-1.624819329407612e-08,0.0018050077136479163,-6.699217984807056e-06,3.058776384832736e-05,5.216634452680875e-08
0.12,0.0003346695,-1.2904111792783522e-05,-0.00012233403243093588,-7.19395716271767e-08,-1.0198243089546094e-06,-1.919382274796266e-06,-4.8008435494245805e-06,-1.0647436883985288e-09,-1.5351134197427266e-08,0.002382791221363143,-5.898890217038814e-06,1.2855021285796135e-05,1.2607655489762095e-07
0.13,0.0003355134,-1.3999986238173537e-05,-9.613870925937716e-05,-8.24165152734744e-08,-1.0733222844912991e-06,-1.9668540438853193e-06,-4.656355883161251e-06,-1.2107725863625846e-09,-1.3753213569686462e-08,0.002835950616096945,-4.761712190104461e-06,1.6068608986717116e-05,1.9206205849509122e-07
0.14,0.0003361079,-1.481357479032663e-05,-6.608175140003732e-05,-9.33660521994941e-08,-1.114059452946553e-06,-2.0123663358617996e-06,-4.41554737039219e-06,-1.3377052696985528e-09,-1.1547248523383978e-08,0.0031527151570003367,-3.354913669134825e-06,3.2554475973197014e-05,2.473653878991732e-07
0.15,0.0003364448,-1.5313135819069574e-05,-3.356474160766564e-05,-1.0464868143989914e-07,-1.139725906672985e-06,-2.0544771184995654e-06,-3.976620425421197e-06,-1.4400265960186544e-09,-8.849498432848949e-09,0.003326800414343513,-1.7594529218819058e-06,5.541685344267523e-05,2.9005178176430015e-07
0.16,0.0003365304,-1.5481202759278774e-05,-2.8072488546104096e-08,-1.1610612637844912e-07,-1.1488722231262143e-06,-2.091045461959221e-06,-3.300352615899248e-06,-1.5134628037754683e-09,-5.792583106219946e-09,0.003356849150356626,-6.502397241221064e-08,7.897107073302117e-05,3.189495116341771e-07
0.17,0.0003363577,-1.5314518231549778e-05,3.309785295494552e-05,-1.2757011703482173e-07,-1.1409264374760035e-06,-2.119703452098748e-06,-2.397215194063397e-06,-1.5550905509779775e-09,-2.518409534991568e-09,0.0032461904506800284,1.6370505285471376e-06,9.920504081448395e-05,3.3349311482349525e-07
0.18,0.000335936,-1.4824288830674849e-05,6.444316596991768e-05,-1.3887034599318108e-07,-1.116255961881195e-06,-2.1383704035977707e-06,-1.3175072356129496e-06,-1.5634784804451745e-09,8.286003773599669e-10,0.0030024911469917195,3.2638726310315475e-06,0.0001139252062812117,3.336277121821208e-07
0.19,0.00033526,-1.4034570510003817e-05,9.273479326156399e-05,-1.4984431210146718e-07,-1.0759625108786558e-06,-2.1455102975732202e-06,-1.2342959785471867e-07,-1.5385881936759128e-09,4.1055983089050136e-09,0.0026380875591434615,4.742186777751539e-06,0.00012200062089604913,3.197568022954346e-07
0.2,0.0003343394,-1.2982027413962858e-05,0.00011684782658359434,-1.6034381932610573e-07,-1.0219203266607655e-06,-2.140371338296664e-06,1.1119483610240713e-06,-1.481855856494278e-09,7.177277790535659e-09,0.0021694055823746924,6.010622855765965e-06,0.0001235224003596822,2.927299400473131e-07
0.21,0.0003331662,-1.1713416554614176e-05,0.00013583866111643614,-1.7024323914640577e-07,-9.56499926123178e-07,-2.1229381255631377e-06,2.3271867392218987e-06,-1.3959825842789661e-09,9.91870179062186e-09,0.0016171280599296598,7.017718781233105e-06,0.00011883620760341925,2.538706250786994e-07
0.22,0.0003317511,-1.0283549314868208e-05,0.00014898474317642088,-1.7944189165924842e-07,-8.825019211793319e-07,-2.093690330922365e-06,3.461875212681361e-06,-1.2848095057522306e-09,1.2220122842754669e-08,0.001004980113121915,7.726141646572943e-06,0.00010848802492910534,2.0497098982708305e-07
0.23,0.0003300864,-8.753703376152687e-06,0.0001558161194531705,-1.878707403751465e-07,-8.030409392952607e-07,-2.053810379484927e-06,4.470600003622849e-06,-1.1532278518928137e-09,1.3991519978817496e-08,0.00035932670739798197,8.111787402692843e-06,9.327844749762546e-05,1.4820345912751368e-07
0.24,0.0003281873,-7.188061118705005e-06,0.0001561351667711052,-1.9549170496897184e-07,-7.213932556720114e-07,-2.004729284824658e-06,5.308658169481022e-06,-1.006870624218452e-09,1.5166214600922267e-08,-0.00029259829486660534,8.162130334155287e-06,7.405870372322845e-05,8.60610731142991e-08
0.25,0.0003260416,-5.6512447797824875e-06,0.00015001242867205007,-2.022991313450899e-07,-6.408581829886769e-07,-1.9482989363111245e-06,5.943362287206202e-06,-8.518887769460462e-10,1.5703338158747736e-08,-0.0009236105951781139,7.884423504201429e-06,5.206377509620367e-05,2.1177570086344482e-08
0.26,0.0003236343,-4.207545115978663e-06,0.0001377979365497419,-2.0831967237932044e-07,-5.64610469482749e-07,-1.8865890822050146e-06,6.363538882630555e-06,-6.948808050560805e-10,1.5588185729809814e-08,-0.0015059765230703663,7.313172055290699e-06,2.77288035788213e-05,-4.362173705596121e-08
0.27,0.0003193101,-2.91350318507744e-06,0.00012012057761864972,-2.1360992948945222e-07,-4.951695765484814e-07,-1.82155502792182e-06,6.600775480681834e-06,-5.421941398649796e-10,1.4837346420380098e-08,-0.0020132165082458464,6.529065146297988e-06,1.530612025479872e-05,-1.0562775089375991e-07
0.28,0.0003122462,-1.8193304790805867e-06,9.786652006594344e-05,-2.1824630843808405e-07,-4.3428123606982223e-07,-1.7546133515205013e-06,6.7393918727811545e-06,-3.9997606442233795e-10,1.3492605996607918e-08,-0.002417891435350067,5.614364860139854e-06,1.7028542632840503e-05,-1.620524280116284e-07
0.29,0.0003073722,-9.667711430596608e-07,7.21442619681742e-05,-2.223287357828175e-07,-3.8414026559323515e-07,-1.6871333556165082e-06,6.746318659526841e-06,-2.739792078312884e-10,1.1623145638609336e-08,-0.00270413763832163,4.390318900325801e-06,-1.3543634335267394e-05,-2.1023643114505464e-07
0.3,0.0003042649,-3.8410740682577886e-07,4.414096150306645e-05,-2.2597682522864668e-07,-3.477156244226269e-07,-1.6211188270876336e-06,6.426614149868298e-06,-1.6894155410063086e-10,9.321534922470212e-09,-0.0028741925813439077,2.8367080919960465e-06,-5.8180735712321375e-05,-2.4812722763128856e-07
0.31,0.0003003977,-8.793009578429779e-08,1.5022314660041129e-05,-2.2933613776196893e-07,-3.269375782331267e-07,-1.560014201430496e-06,5.717737863893284e-06,-8.862741391481856e-11,6.697393889772602e-09,-0.002931061374900661,1.3127162136995166e-06,-8.237447399432444e-05,-2.7467124327536646e-07
0.32,0.0002959345,-8.364730429656144e-08,-1.4069581871541134e-05,-2.3256453045476549e-07,-3.2150891425365154e-07,-1.5071903089617535e-06,4.797882188466708e-06,-3.5684700032473494e-11,3.866107108871899e-09,-0.00286864515741804,-1.9331253258239069e-07,-9.200868789098411e-05,-2.896036109529918e-07
0.33,0.0002963524,-3.653363043281585e-07,-4.198177520988258e-05,-2.358178474310084e-07,-3.318415880041295e-07,-1.464785423268699e-06,3.637068127785954e-06,-1.1605083800209987e-11,9.446025256034012e-10,-0.002696881904879402,-1.926768743189299e-06,-0.00013402653000772166,-2.927390244972534e-07
0.34,0.0003870457,-9.18112441823773e-07,-6.853592356576055e-05,-2.3934983606536995e-07,-3.8616180716957113e-07,-1.4479385422985617e-06,-1.3563660711421418e-06,-1.671268375694623e-11,-1.9554122090131736e-09,-0.00267513523328615,-8.580310459022859e-06,-0.0007934918927381413,-2.8658427435802945e-07
0.35000000000000003,0.0004103662,-1.7391180777329995e-06,-9.582355788056731e-05,-2.436730515548006e-07,-4.805134289100954e-07,-1.4972330614339134e-06,-8.133343919200191e-06,-5.051693452425008e-11,-4.799577111010344e-09,-0.0027602377962448314,-9.74364338798871e-06,-0.0005675581935660695,-2.833770681813552e-07
0.36,0.0002864254,-2.8314023231961218e-06,-0.00012187542786884603,-2.4883780283104474e-07,-5.389657994163369e-07,-1.5832548175282492e-06,-7.007554953955034e-06,-1.1266894161375469e-10,-7.626305727183947e-09,-0.0022982955690777187,-2.2259239530163233e-06,0.0006740870419004018,-2.799694201161063e-07
0.37,0.0002473105,-4.149110483647625e-06,-0.00013998885838274465,-2.543112735497647e-07,-5.54272973706003e-07,-1.619990251475366e-06,-3.5550141612242673e-07,-2.02554644921167e-10,-1.0302633154984706e-08,-0.0012873319536196536,-1.4627981911232574e-06,0.0006298156143769991,-2.4904791534573167e-07
0.38,0.0002683566,-5.596097653762024e-06,-0.00014776257985629938,-2.599769802083364e-07,-5.845852181838481e-07,-1.6021855416136451e-06,2.989923428853058e-06,-3.1705303169179896e-10,-1.2486851343098067e-08,-0.0003065844888516763,-4.616604134785422e-06,7.762246841218042e-05,-1.831433046755549e-07
0.39,0.0002654145,-7.075106240615772e-06,-0.00014668492736033022,-2.660771618220229e-07,-6.371034216290119e-07,-1.5712962202965189e-06,2.9496093477057595e-06,-4.4973436274574285e-10,-1.3912237315042842e-08,0.0005060507752556074,-5.601858626753074e-06,-6.111131573034029e-05,-1.0070905609210422e-07
