,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0003042635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029848249350000002,0.0
0.01,0.0003085752,-1.3666505350961107e-07,-2.9963190499674738e-05,-3.5116632373807717e-09,-3.664723823415783e-07,-1.2740516648413082e-08,1.342714172743212e-07,-9.650576128949962e-14,-2.3381420748272697e-11,-0.002991432693518219,5.762665185355667e-06,3.5133547823483155e-05,-2.6441815513236887e-09
0.02,0.0003120317,-5.806892295309942e-07,-5.860298631147092e-05,-7.229097601770685e-09,-3.8954034264676567e-07,-1.2449009890131405e-08,-3.5749387350229164e-08,-4.556876842533903e-13,-4.815092680204579e-11,-0.0027957734854722697,-2.6364895006607963e-06,1.0691594516067842e-05,-2.4189933975350526e-09
0.03,0.0003150934,-1.301588278419013e-06,-8.506341061573302e-05,-1.1298408994897393e-08,-4.279355680502592e-07,-1.2716147042234042e-08,-4.512792092509008e-08,-1.0539296295120973e-12,-7.10591184336701e-11,-0.002489482707307104,-4.861485440050238e-06,-1.3196327675003491e-07,-2.1555110182557132e-09
0.04,0.0003184907,-2.270456627990009e-06,-0.00010805586614018921,-1.5830839371227485e-08,-4.796228258207485e-07,-1.3149340285356296e-08,-3.45580874026159e-08,-1.8671209793997082e-12,-9.103278156483745e-11,-0.0020859710243602385,-5.769265259932162e-06,-4.3590508412506466e-06,-1.8174743706160843e-09
0.05,0.0003215454,-3.447581578157629e-06,-0.00012654826085951054,-2.0931540844897346e-08,-5.421639164436045e-07,-1.35922194077298e-08,-5.331131714475551e-08,-2.861727611039884e-12,-1.0718886660320313e-10,-0.0016005985069368028,-6.552045653803601e-06,2.1261764048141228e-06,-1.4044659295806456e-09
0.06,0.0003240829,-4.783877638863065e-06,-0.00013976838119585504,-2.669048727765203e-08,-6.102357239182312e-07,-1.408703272526701e-08,-4.383734107485495e-08,-3.9960054883573395e-12,-1.1886574985265826e-10,-0.001030659982618495,-7.203180845332096e-06,-3.560619139059574e-06,-9.186816281839502e-10
0.07,0.000326476,-6.223307482001956e-06,-0.0001470812282533222,-3.315933534943073e-08,-6.83826731411541e-07,-1.4576347401096321e-08,-5.645618936230039e-08,-5.222202537584319e-12,-1.2548944931385283e-10,-0.0004247177798780068,-7.708043586748727e-06,-1.3833783187510926e-06,-3.977498313537494e-10
0.08,0.0003286902,-7.705128601672424e-06,-0.00014821829228639326,-4.0374067794116555e-08,-7.593130041605804e-07,-1.5120583579701907e-08,-5.330954780118272e-08,-6.4882858295162705e-12,-1.2681169097354803e-10,0.00019661931503163347,-7.2851815140157275e-06,2.8339260248024575e-06,1.3269918659154984e-10
0.09,0.0003305712,-9.167069921801725e-06,-0.000143125928991808,-4.83336379131062e-08,-8.32004411548638e-07,-1.5620010826199424e-08,-4.5310734521044405e-08,-7.740779850171058e-12,-1.2278858274047062e-10,0.0008187104332362037,-7.204149831181988e-06,-2.0893290464004104e-06,6.694597154736047e-10
0.1,0.0003321791,-1.0547707348618842e-05,-0.00013200584515610182,-5.700411249529376e-08,-9.010261599259386e-07,-1.6081498135161282e-08,-4.93751633043632e-08,-8.926825096220545e-12,-1.1356137724717738e-10,0.0013973286130926695,-6.636926375078612e-06,6.406529782937171e-07,1.170186009472518e-09
0.11,0.0003335529,-1.1789079728560808e-05,-0.00011537064232388328,-6.632855592563988e-08,-9.62526923920123e-07,-1.652199241899481e-08,-3.989231953522264e-08,-9.996332516321044e-12,-9.956064596522899e-11,0.0019161434352356647,-5.576873348816201e-06,1.7885163002762583e-06,1.6183416607929026e-09
0.12,0.0003346695,-1.2839353545149066e-05,-9.393701997216484e-05,-7.621908019335452e-08,-1.0137111396803625e-06,-1.6880880713384948e-08,-3.076986047271476e-08,-1.0904366318512306e-11,-8.139513625391862e-11,0.0023546554656494697,-4.606606554329214e-06,-3.16395226699121e-07,2.0010675302475987e-09
0.13,0.0003355134,-1.3655080834199466e-05,-6.86315378611636e-05,-8.656524675060264e-08,-1.0533125080848666e-06,-1.7161619662486646e-08,-2.602965403167019e-08,-1.161308621659534e-11,-5.984286079586438e-11,0.002687670889141041,-3.3080703745426085e-06,1.050642628871285e-06,2.2936333171283407e-09
0.14,0.0003361079,-1.4202974723466609e-05,-4.055640931914874e-05,-9.723990017353841e-08,-1.0792635322812019e-06,-1.7365570922210314e-08,-1.5596606773329157e-08,-1.2093270473631283e-11,-3.5845245786488664e-11,0.0029051954165919074,-1.8018083903538484e-06,1.572492742934052e-06,2.4865943171476087e-09
0.15,0.0003364448,-1.4461313270149843e-05,-1.0917862577780003e-05,-1.0810155474295112e-07,-1.090426371277897e-06,-1.7470115679206707e-08,-4.242110396429374e-09,-1.2325575591661877e-11,-1.0435915731725953e-11,0.0029991476227942916,-3.6750972685645894e-07,4.5055130225616323e-07,2.5747501258537183e-09
0.16,0.0003365304,-1.4420705024625637e-05,1.9009997440524015e-05,-1.190013690190896e-07,-1.0867420499339803e-06,-1.747396670867324e-08,4.272937439715108e-09,-1.23012168280486e-11,1.529527478342535e-11,0.002963229380469625,1.0812926425941838e-06,4.0064683522308877e-07,2.5516232260546087e-09
0.17,0.0003363577,-1.4084627551469502e-05,4.7940177121263537e-05,-1.2979041576195952e-07,-1.068404156773284e-06,-1.7384863656115558e-08,1.2857234329310972e-08,-1.202245473619373e-11,4.024189344015973e-11,0.0027999569855324752,2.5467551307920694e-06,1.1049170486799762e-06,2.4182461624495716e-09
0.18,0.000335936,-1.3469237259851406e-05,7.464019438411962e-05,-1.4032506941667183e-07,-1.0360967388813487e-06,-1.720487536088466e-08,2.2452432301172623e-08,-1.1502472237750886e-11,6.333943511554006e-11,0.0025183630717403823,3.9075555448757696e-06,1.1054102305813268e-06,2.182421414387395e-09
0.19,0.00033526,-1.2602674897781442e-05,9.797747432112426e-05,-1.5047219992152712e-07,-9.912152792017702e-07,-1.6937394882301687e-08,3.1574134865765007e-08,-1.0764805760038273e-11,8.360689241626993e-11,0.0021315914408966967,5.042789266639265e-06,1.8637457839553763e-07,1.8557289781412128e-09
0.2,0.0003343394,-1.1523527074911187e-05,0.00011698010951115823,-1.601165529900995e-07,-9.358748709406452e-07,-1.6592913048982698e-08,3.7641379111943224e-08,-9.84205867251034e-12,1.0020056370974788e-10,0.0016555553420930136,5.937602107352821e-06,-2.7792685479866453e-07,1.4515546084738754e-09
0.21,0.0003331662,-1.0279457874471263e-05,0.00013085701184449065,-1.6916422316343292e-07,-8.725226151471324e-07,-1.6191118610882e-08,4.1916127376133974e-08,-8.774734542280145e-12,1.1242976920401e-10,0.0011110208417492618,6.644564667480403e-06,3.04144359771657e-07,9.868040807032457e-10
0.22,0.0003317511,-8.924668555317365e-06,0.0001390505855216283,-1.775476722510748e-07,-8.036831244612645e-07,-1.574651804749499e-08,4.582710368309476e-08,-7.609083497892695e-12,1.1980055951239246e-10,0.0005233429285429466,7.070805276628012e-06,5.099446247741179e-07,4.834396367468498e-10
0.23,0.0003300864,-7.517750025083359e-06,0.00014125479221156225,-1.8522659663865653e-07,-7.322246132620569e-07,-1.5273840888457875e-08,4.873397567131257e-08,-6.395271419341006e-12,1.2203509193519798e-10,-8.145057330505962e-05,7.198310510775005e-06,2.3254870567732382e-07,-3.614559512125687e-11
0.24,0.0003281873,-6.119144054967308e-06,0.0001374347513358815,-1.921907276024914e-07,-6.610943170756598e-07,-1.4786403824384716e-08,4.9247515332696085e-08,-5.185208448161885e-12,1.1908785934574623e-10,-0.0006766899824472172,6.9871233018240116e-06,-8.163917303767067e-07,-5.486430281576938e-10
0.25,0.0003260416,-4.7881592948044595e-06,0.00012780944561708408,-1.9845861015820125e-07,-5.934105652137229e-07,-1.4306845842789478e-08,4.663218784348636e-08,-4.029977105959935e-12,1.1113393436089144e-10,-0.0012382839823665212,6.489572253236264e-06,-6.941374335099702e-07,-1.0336297047970427e-09
0.26,0.0003236343,-3.580651301918619e-06,0.00011285778360522181,-2.040758206182766e-07,-5.315305567837001e-07,-1.3847000121853437e-08,4.398517976468151e-08,-2.9778398638405396e-12,9.8568962437695e-11,-0.0017387744443212532,5.813270138466196e-06,-2.4324245524756064e-06,-1.4679116802378316e-09
0.27,0.0003193101,-2.545733817432291e-06,9.335643272006652e-05,-2.0910598343888868e-07,-4.7658752883166183e-07,-1.3390461191465664e-08,4.598539821419389e-08,-2.0714451426984695e-12,8.204064768747383e-11,-0.0021462128931523184,5.130522506393079e-06,-5.51438282797806e-07,-1.824713364855097e-09
0.28,0.0003122462,-1.7252992851229338e-06,7.035035632983786e-05,-2.1362871639907543e-07,-4.293478540783609e-07,-1.2906886116196856e-08,5.267128022667423e-08,-1.3474012403373046e-12,6.242802213335673e-11,-0.0024321812489718564,4.377533559258911e-06,2.5053563947181304e-06,-2.078793666461185e-09
