time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4705445300000005e-05,0.0
0.005,-5.0819435837708705e-11,-2.3756537906305216e-08,-2.5513777307349166e-12,-9.009123272998004e-10,-2.868938468667921e-10,-8.983947342026206e-08,-7.023345374458858e-14,-3.9380333249659364e-11,-8.003686997389648e-06,-4.394138193077568e-08,7.09810780736602e-06,-2.068678468837449e-08
0.01,-2.3372460282327e-10,-4.560106793325338e-08,-5.504603940608339e-12,-9.702116346457852e-11,-4.2567817217335134e-10,5.308421275908265e-08,-8.391414432408952e-13,-2.9144068014679696e-10,1.0025845619766224e-06,3.7257663298477393e-07,4.8052680893195986e-05,-7.96495481702164e-08
0.015,-3.2177120849123355e-10,2.377881461116567e-08,6.844110818407535e-13,2.933251677678637e-09,5.281993150001764e-10,3.614320452128488e-07,-3.2531320078635273e-12,-6.49656859336143e-10,2.982986952126379e-05,8.61784769281738e-07,7.255228279335773e-05,-3.9572226034183184e-08
0.02,3.836001486399428e-10,2.7910626768842293e-07,2.7884785063769413e-11,8.285208609024482e-09,3.2349284471309526e-09,7.438113663693158e-07,-5.328040999972923e-12,3.2708820109728914e-11,7.460365263969534e-05,1.2967419846920944e-06,7.824045857710871e-05,3.564027820577084e-07
0.025,2.931344902701752e-09,7.771526052173904e-07,8.681752916715493e-11,1.559064139953089e-08,7.870342760085919e-09,1.1091358053893798e-06,3.06917293210071e-12,3.852990090383408e-09,0.00012551456701739546,1.6385474232687663e-06,6.61508947606487e-05,1.2474802726585198e-06
0.03,8.538535630312795e-09,1.5188228585482923e-06,1.8565097008769702e-10,2.413200181884259e-08,1.416686157836572e-08,1.37824664895499e-06,4.24225137009131e-11,1.2967649119381364e-08,0.00016913168040472954,1.7576183221122904e-06,3.962485470819575e-05,2.4965155940142397e-06
0.035,1.8299772670802785e-08,2.4311191701820975e-06,3.2814229008515626e-10,3.287066882858674e-08,2.144542605662782e-08,1.4876985660871085e-06,1.4175725145189038e-10,2.8178370055760862e-08,0.00019076030552091913,1.6824541685843311e-06,3.603770264887901e-06,3.621085956767457e-06
0.04,3.277718158047362e-08,3.3710038175094676e-06,5.12464600239496e-10,4.063309449377806e-08,2.876956932575085e-08,1.3973249568948078e-06,3.2811002747712425e-10,4.7467364572298116e-08,0.0001778778859055837,1.3733665533890286e-06,-3.689050797770399e-05,3.968831832208839e-06
0.045,5.1645271539514685e-08,4.144842689635971e-06,7.308555910405472e-10,4.6270916599101034e-08,3.5104184553237604e-08,1.0946178635335054e-06,6.108434035485567e-10,6.580958642560023e-08,0.00012287628403900811,8.405538841379776e-07,-7.77341774581594e-05,3.0902772365589586e-06
