,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.00014723014970013216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47916239260464566,0.7313531255544592,-0.47771806483608736,0.0
0.01,-0.00014816364064421344,1.4539027772260098e-07,1.358758270992534e-05,2.79109788060027e-07,2.8076134993803045e-05,-6.324720753302438e-08,3.919958801512196e-06,-8.010775862918073e-10,-2.27283145869943e-07,0.0004507303601679058,1.5010879676799482e-05,0.001619744544767987,-3.636168290655475e-05
0.02,-0.00014906294066545971,3.3660916179627807e-07,2.7545989861145082e-05,5.606645167993191e-07,2.823308175515704e-05,3.072984207305137e-08,1.2328782118792492e-05,-4.2068437599971914e-09,-3.352599963486931e-07,0.0021453394210678156,1.4267730936060041e-05,0.00012277127790127906,3.213544330175707e-05
0.03,-0.0001498010642827084,7.287289590999303e-07,5.111258241487639e-05,8.435964105692402e-07,2.8341459644291485e-05,1.4407601767851038e-07,9.156737202391812e-06,-4.51845257472565e-09,3.7466640391696074e-07,0.0022885463556485686,7.465218891736236e-06,-0.0005820036395821071,8.836091688663698e-05
0.04,-0.0001498587819729836,1.338099713781615e-06,6.866362438026912e-05,1.1273014678957288e-06,2.8393890197243553e-05,2.0664889581472081e-07,3.6598205244946537e-06,2.6853942977654093e-09,9.175608627762524e-07,0.0010394389848632501,3.988576475030814e-06,-0.0004151803249395347,5.574642080151876e-06
0.05,-0.00014902389345032186,2.045285183695942e-06,6.94525146794725e-05,1.4114438155299817e-06,2.8436469607933778e-05,2.297311262907357e-07,1.681759949801915e-06,1.0718598972204441e-08,5.946975498619269e-07,-0.0009249244115248356,4.975128344630875e-06,4.487551670845358e-06,-4.895680332068743e-05
0.06,-0.00015248744705862087,2.663790777010261e-06,5.159290318795449e-05,1.6960862456715249e-06,2.8494400982312037e-05,2.5133417756101695e-07,2.9314600480982204e-06,1.4652990616363437e-08,2.6346990424398094e-07,-0.002461814881615204,6.216539836068069e-06,0.0001686328228605316,-1.2759365788659498e-05
0.07,-0.0001649097115181902,3.04876901670124e-06,2.5299417281090313e-05,1.9813250063339333e-06,2.855011440336525e-05,2.878165904088055e-07,4.076065687248207e-06,1.6731044900177168e-08,1.2370333464999236e-07,-0.002525189250160348,4.2113133863208585e-06,4.851030379421362e-06,-3.1019408685984545e-05
0.08,-0.00018156505503934663,3.190537501124837e-06,4.908343797395148e-06,2.2669644206273297e-06,2.8569305988744454e-05,3.2431040796324986e-07,2.7505553120640836e-06,1.5657198706575303e-08,-3.9990087354321617e-07,-0.0014571814030044372,-9.190835224964777e-07,-0.0002593877543788925,-6.057062395225588e-05
0.09,-0.00015273282107105857,3.1863475952094626e-06,-3.954390523373069e-06,2.552472611209786e-06,2.851754709429383e-05,3.3012881655153804e-07,-2.212582870261906e-06,9.44298590670742e-09,-7.287469162389541e-07,-0.00038222209366067794,-9.540970677360261e-06,-0.0006348312011844048,5.275157886795387e-06
