,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.004000888486294309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.5186314160698506,0.0
0.01,0.004001536720911639,-3.343438287820078e-07,-0.0001296917656111567,2.6191609279260686e-07,2.4520707598277033e-05,-1.6069476530567482e-06,-0.0002541002203063707,-1.8032614271360364e-09,-7.107791294918206e-07,-0.027372422223574805,-0.0003479908726672365,-0.008991787358193143,-0.00021915340077910048
0.02,0.004001639495240125,-3.2170648848997952e-06,-0.00045610553482561305,4.917187902386846e-07,2.1673668391850572e-05,-4.2077553959347126e-06,-0.00023432296596384905,-2.8673477268264756e-08,-5.510482613843564e-06,-0.03285270653445163,-0.00024021796429257725,0.009949158481386527,-0.0006983038049414125
0.03,0.004000653128632972,-9.145151764613898e-06,-0.0006924635330271206,7.001385743055363e-07,2.0208695121440664e-05,-5.969562943528047e-06,-0.00011612555927664728,-1.1707777087014133e-07,-1.1492031468942e-05,-0.010897315749888864,-9.421131150777473e-05,0.011250413687872801,-0.0002987170556215052
0.04,0.003998011694917742,-1.60697073832651e-05,-0.0006366362916028255,8.984137686812819e-07,1.9505219648348003e-05,-6.67649560080449e-06,-3.748500167396621e-05,-2.3078529361654892e-07,-9.72545114497189e-06,0.02220156192055958,-5.763951650832044e-05,0.004146073434374259,0.0005793172235551321
0.05,0.0039920681353755915,-2.0851235665645463e-05,-0.00027896302770102693,1.0906995129440181e-06,1.896492438398841e-05,-6.942980236199619e-06,-2.337828425602192e-05,-2.949131753405612e-07,-3.088768285359548e-06,0.046286976721339246,-4.826789101310125e-05,-0.0003126447821759082,0.0006068439410660317
0.06,0.004001341405196466,-2.120519935926006e-05,0.00020944479906775634,1.2784809354723747e-06,1.8667703705910207e-05,-7.189509639938388e-06,-2.33049584393112e-05,-2.9910590045100527e-07,2.055178283434152e-06,0.047105371560214646,-2.553449953549003e-06,0.0011790608592168739,0.0004997634250702293
0.07,0.004094726787127671,-1.7029227583159497e-05,0.0005916871186021958,1.4662807174245906e-06,1.9027131993270246e-05,-7.309826096664552e-06,4.8444825546167865e-06,-2.508577390641972e-07,7.783224437098929e-06,0.026954934060935326,7.392241839618285e-05,0.004451139012645405,0.0005885702833586162
0.08,0.004198627629031834,-1.020824842089119e-05,0.0007278259854088874,1.66177500718856e-06,2.0193260500361775e-05,-7.0070133592872524e-06,5.7372490580700255e-05,-1.5070326369195453e-07,1.1203235106649253e-05,0.0003124460191326617,0.00015685354849222233,0.0054068829152764675,-1.9139505505133027e-05
0.09,0.004294449340931812,-3.3242593907648987e-06,0.0006103986424946693,1.8717701232648335e-06,2.1833656519854386e-05,-6.196465939248891e-06,9.98104458763048e-05,-5.1756455535204484e-08,7.667989336521143e-06,-0.022747948792687045,0.00016597765410102105,0.0024832627948456754,-0.000551330503165884
0.1,0.004364478255666047,1.3604157417950012e-06,0.00030315649706469546,2.0977759573607005e-06,2.3274172629747924e-05,-5.15233686758853e-06,0.00010074370567261262,-5.765423578675242e-10,2.9707155542377453e-06,-0.03665463132987504,0.00011043990537301651,-0.0024235619199454994,-0.000337288566028236
0.11,0.004120205922381802,2.509700451552521e-06,-7.142936270198094e-05,2.334805947552354e-06,2.3998336513030213e-05,-4.301107746967695e-06,6.589055326670985e-05,1.33960337576351e-08,-3.275671531886331e-07,-0.03551707790033143,3.0494022936589094e-05,-0.004552381571128583,-0.0004245781443543091
0.12,0.004170329540767818,2.0630813831947774e-07,-0.00036769074617694304,2.574453684348491e-06,2.3745066804055835e-05,-3.935807657836463e-06,2.2347585767522883e-06,-1.567481492944428e-08,-5.719637585507309e-06,-0.02274420434077143,-8.002045816613013e-05,-0.007484598945731197,-0.0005441084191944597
0.13,0.0044687301319649075,-4.359113742456493e-06,-0.0005207753830713482,2.806079285970989e-06,2.241598078274733e-05,-4.31492120905541e-06,-7.837071620845349e-05,-9.202875462842524e-08,-8.53207297771591e-06,-0.007979806648758053,-0.00017721436005796454,-0.0076747509364185895,4.2189081555094043e-05
0.14,0.00419369535108556,-9.707364819116933e-06,-0.0005214729448654901,3.0213045162093464e-06,2.065885400891053e-05,-5.347572452994002e-06,-0.00011518459986555983,-1.6817382855961176e-07,-6.357416095892151e-06,0.00845569214692432,-0.00016013291188531065,5.346964350594341e-05,0.00024549353967319356
0.15,0.003465397307312593,-1.4190786738705207e-05,-0.0003444217039529122,3.221595159555985e-06,1.959205414620197e-05,-6.33954893566997e-06,-7.037067608359114e-05,-2.235204168641835e-07,-5.02666392848758e-06,0.026780756638522557,-4.6059961953962e-05,0.007759116506834335,8.404394959898864e-05
0.16,0.003181222284855735,-1.6060950648916668e-05,-1.1131995316294953e-05,3.4168300290645494e-06,1.960665006834008e-05,-6.669049263337443e-06,2.2240784160473852e-06,-2.633828735032259e-07,-2.050578103908898e-06,0.03775785811432719,4.538665832541644e-05,0.006463147519303436,0.0005985304951335643
0.17,0.003298720481855882,-1.4278839776663123e-05,0.00036167118308299894,3.6159369179394137e-06,2.028090962627762e-05,-6.408115720531846e-06,4.291629171740048e-05,-2.469879958289606e-07,5.581246796296378e-06,0.0342239828269474,8.579444810083436e-05,0.0022633431553746863,0.0007338664568554837
0.18,0.002630118306154492,-9.170177117542213e-06,0.0006351147852198698,3.82457474676146e-06,2.1607842311349543e-05,-5.7867964208539316e-06,8.800099079152215e-05,-1.6568738922179817e-07,9.411725497523872e-06,0.019285455690472825,0.0001813345320978571,0.00619384575663065,8.351855477221372e-06
0.19,0.0019529738486049608,-2.1733006614467694e-06,0.0007314714424078528,4.051166338850113e-06,2.383769247538996e-05,-4.5826180458399984e-06,0.0001523938245022165,-7.694605389672071e-08,8.172011836447843e-06,-0.00027420472077874236,0.00025648252914986513,0.005912143056051561,-9.11840938209083e-05
0.2,0.0013759600612730759,4.821525397330143e-06,0.0006394161914093695,4.302737144583036e-06,2.648236756639475e-05,-2.8324741364938886e-06,0.0001898864820822527,4.985414092620625e-09,8.501830058880529e-06,-0.016971550177192873,0.00026015472042721643,0.001293473333652151,5.3801923850344826e-05
0.21,0.0006763738725411464,1.0197039948491163e-05,0.00042259873196749036,4.5799150874396315e-06,2.886870358269782e-05,-9.36469133732027e-07,0.0001826590888557749,8.478952503223765e-08,6.457315679600977e-06,-0.024898044396231944,0.00020946434091104194,-0.0026540991398487646,-0.0005137160218730559
0.22,0.0016791647961887188,1.308871705578188e-05,0.00014420476008534397,4.875460387131538e-06,2.9851850787253947e-05,4.785230821214721e-07,7.849706130107624e-05,1.187230594665502e-07,2.8287057911296034e-07,-0.03183167328298836,-2.104427294453981e-05,-0.015734634920602508,-0.0005432392296716802
0.23,0.0030182035136362847,1.2767855171144862e-05,-0.00022504017552925484,5.168736056962001e-06,2.8410261135694764e-05,3.906378463423869e-07,-9.890310777289462e-05,1.021354621353174e-07,-2.9833418868852375e-06,-0.04154520644386667,-0.0002550367302939782,-0.017557464564310676,-0.00020654091513925632
0.24,0.005380658761200066,8.347698860565028e-06,-0.0006654286861241678,5.436028678340977e-06,2.4678142489917113e-05,-1.5187263555736005e-06,-0.0002821844714436287,5.608804144168284e-08,-7.129104369377607e-06,-0.04531992413052871,-0.0004757138411176087,-0.017198546813836202,-0.0007186141391867006
0.25,0.007987785426778185,-5.336527842087681e-07,-0.0011032095268775854,5.656384513760048e-06,1.9172722755637994e-05,-5.12246794861939e-06,-0.00042859396735032214,-5.749413311131679e-08,-1.5731560136587323e-05,-0.04064314329916105,-0.0006076545338068728,-0.011336377441367979,-0.0007932108377913566
0.26,0.0075003459179238,-1.3287132021929755e-05,-0.0014017223883760882,5.820681970756262e-06,1.4044352569737014e-05,-9.436754007048126e-06,-0.00039014772711260366,-2.4222319049816606e-07,-1.9862351604054232e-05,-0.013108496596544311,-0.00039829273424507594,0.014993010831460568,-1.1543534197751282e-05
0.27,0.009435252840419942,-2.717784189063714e-05,-0.001298117635236452,5.942126164325903e-06,1.0291884228986001e-05,-1.2772340785259675e-05,-0.00029604376845114946,-4.3208795630317903e-07,-1.739222466304287e-05,0.03334043647081461,-0.00036724722157112366,0.003797740912712705,0.0004303613239321942
0.28,0.01000825309001474,-3.785775628153238e-05,-0.000782415686500993,6.028328934500765e-06,7.135536829277719e-06,-1.549183170340205e-05,-0.00024296878145478124,-5.791722660177314e-07,-1.1395345214620777e-05,0.0663312398999383,-0.00025545904137866393,0.006753607375855369,0.0008120448281873985
0.29,0.008396133193750075,-4.2059140226906094e-05,-3.236449183457247e-05,6.0920821005549975e-06,6.167913956619204e-06,-1.724306083102948e-05,-7.989932633327365e-05,-6.443658635164437e-07,-9.394467033630324e-07,0.08161171698521355,7.309426558146925e-05,0.02312795315862623,0.0012194569574893385
0.3,0.006858126490728286,-3.822179162409352e-05,0.0008004809300335093,6.16288601265645e-06,8.510087290650238e-06,-1.682555319677353e-05,0.0001638540356748886,-5.929115992313078e-07,1.0971720565310767e-05,0.0818001197470277,0.0003819027011501691,0.02351476863399163,0.0010737039358270119
0.31,0.004931539394823822,-2.638506384100128e-05,0.0015320138981200465,6.271464346048992e-06,1.3598910313197185e-05,-1.4074712598404371e-05,0.0003767152018985369,-4.353940643757751e-07,1.998091718200435e-05,0.06085322921085788,0.0006172034060212828,0.01786037187754369,0.0007472666024737583
0.32,0.002905261645198993,-8.625185787072776e-06,0.0019532583175731733,6.440870666281011e-06,2.0488170752030612e-05,-9.555622967147397e-06,0.0005120839510108005,-2.0285088670307496e-07,2.5978189071966218e-05,0.021056681829567825,0.0007402731889893516,0.008927976879321842,0.00040535974830233686
0.33,0.004676774736913291,1.1073182305136633e-05,0.0018865527113909367,6.678279392030245e-06,2.6440842776086648e-05,-4.652331966218274e-06,0.0004141894166713055,6.591245776600935e-08,2.642026874832895e-05,-0.03860294828444233,0.0004146336796087141,-0.02363555454497296,-0.0004045055482147773
0.34,0.019459536056215334,2.644116510948359e-05,0.0009945798177039677,6.9391237687043e-06,2.317412079948243e-05,-3.627268413245729e-06,-0.00035403009157566906,2.9105319120318127e-07,1.6553638995486318e-05,-0.1532621949264621,-0.0010898349973406246,-0.11057972238923008,-0.001651879434552233
0.35000000000000003,0.03785916179749186,2.607012637929307e-05,-0.0013400492828523902,7.089966345462446e-06,4.5720698612956785e-06,-1.3311938527776855e-05,-0.0016018115293552982,3.425670987150703e-07,-9.911485286818414e-06,-0.3138261565599093,-0.002541774741111974,-0.12309490137818696,-0.003839994978207773
0.36,0.04120173888824871,-4.705130423243504e-06,-0.004892770654308108,7.008475662821939e-06,-2.0612443824891052e-05,-3.28062468874631e-05,-0.0020635960193065355,8.386979945386973e-09,-6.058143513479038e-05,-0.3590962351847593,-0.0024089542709149897,0.01568004163324252,-0.005930368028710016
0.37,0.03365396995875235,-6.912017658241696e-05,-0.007625703404134583,6.702004429941564e-06,-3.848480410004648e-05,-5.018199228193284e-05,-0.0012395191809379382,-8.764017732724314e-07,-0.00011190805739180278,-0.14240780170467915,-0.0011126545006294175,0.11953533627788249,-0.003240411143125267
0.38,0.0046091527880539745,-0.00014566714713899913,-0.006903967657401375,6.313226818400793e-06,-3.413193477875947e-05,-5.3866862106824075e-05,0.000672839269031961,-2.0421556297394157e-06,-0.00010856067244494322,0.32071821848714366,0.0019041071694368,0.22362578305373831,0.004259051707744016
