,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0008992569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7194699522010379,-1.0981383480963212,0.7106482420120379,0.0
0.01,0.0008994026,-3.0305548358138805e-07,-4.424855918199202e-05,-4.3567407736929467e-07,-4.4174031387143767e-05,-1.5132143712359754e-07,-4.771580743795988e-05,1.0724596322301497e-09,2.6747777346503663e-07,-0.005188038941706052,-9.148221282334612e-05,-0.0042152884888012054,2.3114572139232607e-05
0.02,0.0008994257,-1.0955007775812227e-06,-0.0001206045572445341,-8.817331717155823e-07,-4.499342318006611e-05,-7.313293838211063e-07,-5.8809362296143456e-05,2.0637101475385423e-09,-4.2936482639974223e-07,-0.008938760709890747,-6.613230444924012e-05,0.0014039513541957427,-0.00018148411422051433
0.03,0.000899204,-2.7213294205905574e-06,-0.00019913158353377722,-1.3343423658336785e-06,-4.546985970235676e-05,-1.208012908814969e-06,-3.422846027976138e-05,-1.3078284495517033e-08,-2.5846894214337944e-06,-0.005744940703995893,-3.163970528032023e-05,0.002818596542144447,-0.00017111904579410067
0.04,0.0008986103,-4.885615095463942e-06,-0.00022114823569560426,-1.7902985430011528e-06,-4.5699949942770046e-05,-1.427316988549516e-06,-1.2141819766955743e-05,-4.2549531600634054e-08,-2.7898493815947622e-06,0.0017315526760573186,-1.8357392651310867e-05,0.0013698851299895065,0.00012367963205459878
0.05,0.0008972744,-6.8761196389674586e-06,-0.00016431302817376171,-2.248210835164948e-06,-4.5884102769388414e-05,-1.5090782624846744e-06,-6.6589086289908645e-06,-6.240866450929129e-08,-1.1819214660722805e-06,0.009214988113266043,-1.8825170291683624e-05,-8.098710283410693e-05,0.0001363219447787006
0.06,0.0008993587,-7.986752720316288e-06,-5.3353149762830476e-05,-2.707939238844003e-06,-4.605002649445393e-05,-1.586076517052245e-06,-8.685046580376138e-06,-6.924789038461066e-08,-2.8863144484293506e-07,0.011883478206612175,-1.1816051142643502e-05,-6.43345596891276e-05,8.084400562628508e-05
0.07,0.0009203484,-7.96118594834056e-06,5.285229316382835e-05,-3.1687407583447078e-06,-4.6075991671054256e-05,-1.6634704764647603e-06,-5.28568064151365e-06,-6.615208228010493e-08,1.1212728995643664e-06,0.008592663761072816,8.564584743769865e-06,0.0008156851230600171,0.00019708104797233226
0.08,0.0009437016,-7.096008548952871e-06,0.00011053488003156388,-3.628650608608111e-06,-4.586474437141365e-05,-1.6619647533963361e-06,6.635319183350473e-06,-4.581587353973109e-08,2.714041899405348e-06,0.0028419499977439255,3.3036878657924373e-05,0.0014342684371959902,6.312218135983024e-05
0.09,0.0009652389,-5.945377067441788e-06,0.00011009583661846664,-4.085352309014172e-06,-4.545301311452211e-05,-1.525434683165967e-06,2.0070597242505176e-05,-1.9916383139079618e-08,2.1015349406928423e-06,-0.0028550819951238815,4.3101583901708485e-05,0.001081887265576148,-0.0001439654949744124
0.1,0.0009809789,-5.07109739713025e-06,5.714183939482759e-05,-4.537588655825542e-06,-4.500455366754311e-05,-1.2868038460735863e-06,2.5815721882142986e-05,-5.4405090475948876e-09,9.678143183128642e-07,-0.007384732370594199,2.8670910501321645e-05,-5.154255485723125e-06,-5.196256915911319e-05
0.11,0.0009260752,-4.904618926219969e-06,-2.5769790507099728e-05,-4.985895633294759e-06,-4.4685716185049406e-05,-1.040726878764819e-06,2.2126576080917247e-05,2.6752235600407774e-09,6.42505635642501e-07,-0.008496339572445777,2.2113761005471133e-05,-0.0007549799915147481,-6.299825566531639e-05
0.12,0.0009373412,-5.560542543741275e-06,-0.00010196444913167986,-5.432142066545858e-06,-4.461522935457703e-05,-8.779083405054001e-07,8.717947403618118e-06,3.323045387378291e-09,-7.422640296677442e-07,-0.00645854155956424,-8.711906322150798e-06,-0.001769721642991745,-0.00018781600143350817
0.13,0.001004411,-6.85968834216268e-06,-0.00015355253206226994,-5.879287351686677e-06,-4.486653227901749e-05,-8.90095083970129e-07,-1.1640944502871254e-05,-1.182446776151757e-08,-2.00130884262053e-06,-0.0038627064211712303,-4.000941905743516e-05,-0.0020645159014767434,-2.268637354216552e-05
0.14,0.000942593,-8.536717615576203e-06,-0.0001759470984193838,-6.330098328098128e-06,-4.5301229501212324e-05,-1.0816510887663103e-06,-2.38769887623809e-05,-3.000655216526379e-08,-1.4610251083650215e-06,-0.0002996422054379888,-4.35076519034322e-05,-0.000420260047001908,7.528518160358722e-05
0.15,0.0007788976,-1.0230290646278782e-05,-0.00015436856018673266,-6.784949262204432e-06,-4.56296857559197e-05,-1.3059221670132284e-06,-1.8014919014408154e-05,-4.281615003725114e-08,-1.3069914145244995e-06,0.00468997506990837,-2.0004562615569266e-05,0.0013607738831968308,-3.676400575468894e-05
0.16,0.0007150252,-1.146869819784219e-05,-8.747867460924442e-05,-7.2418894875968725e-06,-4.572383120249666e-05,-1.4187213915390908e-06,-4.7827227191605076e-06,-5.6612428718270355e-08,-1.1954070611175888e-06,0.008171129426786439,8.245187776562135e-07,0.0012320375496877034,0.00010988071477792145
0.17,0.0007414346,-1.1918461893788859e-05,-2.222684759336937e-06,-7.69891579817421e-06,-4.566359974420205e-05,-1.4205018559270814e-06,3.1872804672513692e-06,-5.966211351498986e-08,7.995288042154092e-07,0.008333831450313078,1.0809142296938634e-05,0.0004931437523743032,0.00022761292149541153
0.18,0.0005911567,-1.1554451289905666e-05,7.124531437163231e-05,-8.154521637497154e-06,-4.541043388396019e-05,-1.3430720790601145e-06,1.408304269421807e-05,-4.33633729060388e-08,2.0625118956023486e-06,0.006061565222830884,4.0309523300113836e-05,0.0015541295671626931,3.0376519708156646e-06
0.19,0.0004389588,-1.060005293324522e-05,0.00011281695909188624,-8.606196020436276e-06,-4.4883695630398774e-05,-1.1187005859763767e-06,3.090128306478697e-05,-2.4729750316591538e-08,1.6163517592048019e-06,0.002001071085183076,6.438763030371109e-05,0.001625937337960931,-2.520925160137764e-05
0.2,0.0003092667,-9.44798076283072e-06,0.00011031129959695707,-9.051672277011404e-06,-4.420222703755115e-05,-7.425906641361531e-07,4.264073454236614e-05,-7.280608821185012e-09,2.080989193780013e-06,-0.0023101157346280543,7.154337706499758e-05,0.0006364767949668393,8.338604203826622e-05
0.21,0.0001520247,-8.509962862610794e-06,7.324770598830544e-05,-9.490320870397695e-06,-4.35433476570363e-05,-3.0022797105609834e-07,4.422775071720238e-05,1.540496830601915e-08,2.1046647433976994e-06,-0.004764866349027924,5.9403183183717734e-05,-0.0003184961272487963,-0.0001135910669559266
0.22,0.0003774163,-8.049824695390662e-06,1.4611059269438405e-05,-9.923610596973705e-06,-4.320737108116004e-05,6.114677078931942e-08,2.2883424298796836e-05,2.8227402632177767e-08,3.6414020897907966e-07,-0.0072819488713464775,4.704660997223442e-06,-0.0034072480362402624,-0.00016761927665246324
0.23,0.0006783844,-8.326679376232062e-06,-7.568805230333931e-05,-1.0356482075165383e-05,-4.346677238302425e-05,9.73639063131952e-08,-1.657749726884443e-05,2.635867170708549e-08,-4.6995123348120987e-07,-0.010622475165717044,-5.462522218974142e-05,-0.003995921004688624,-2.036516485245314e-05
0.24,0.00120938,-9.646295505279243e-06,-0.0001903762201645739,-1.0794982416493544e-05,-4.433708237065355e-05,-2.8066115486485614e-07,-5.9155362203122745e-05,1.9290425894917532e-08,-1.217415716590632e-06,-0.011883161713417273,-0.00011725790919055179,-0.004081992426894859,-0.00017701951732474223
0.25,0.001795369,-1.2133010505850302e-05,-0.0003049318024322029,-1.1244991117287052e-05,-4.5737242393785314e-05,-1.060689266316896e-06,-9.476956059260993e-05,-4.622715296666553e-09,-3.703478123188815e-06,-0.010640465544361627,-0.00015962804307313727,-0.0028528893630769547,-0.00025038977808766266
