,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0008992569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194699522010379,1.0981383480963212,-0.7282916623900378,0.0
0.01,0.0008994026,9.41887188672102e-08,-1.783683649361812e-05,4.2743787067682795e-07,4.246510806811077e-05,-5.16613884710019e-07,-6.413101534999398e-05,-1.5275911993447157e-09,-4.772418107553844e-07,-0.006872062352015734,-8.42797143511681e-05,-0.00038397423113464835,-0.00010264816518605694
0.02,0.0008994257,-4.4481036126931853e-07,-8.905538403839747e-05,8.48510154483054e-07,4.181610813903202e-05,-1.105208487311757e-06,-4.806829900742845e-05,-1.273955288928834e-08,-1.8352147916650176e-06,-0.006230675879501407,-4.4875508991279456e-05,0.002854575217867722,-0.000139363556592186
0.03,0.000899204,-1.5592128400285203e-06,-0.00012342168811946567,1.264955755951724e-06,4.151732295059661e-05,-1.4408139405022962e-06,-1.9971369511519323e-05,-3.612333148720495e-08,-2.5884662585976013e-06,-8.164736704036057e-06,-1.8718388586164147e-05,0.002311243114830358,1.0245348406385645e-05
0.04,0.0008986103,-2.6653226158376534e-06,-8.527456536972555e-05,1.6793569501737153e-06,4.137296779553339e-05,-1.5541351546008095e-06,-5.628396515789313e-06,-5.878472233699846e-08,-1.7290243025557967e-06,0.007402632378237489,-1.2239951464737553e-05,0.0006010075907489643,0.00013595935282654853
0.05,0.0008972744,-3.061737985899152e-06,1.2581061497968785e-05,2.092520116504074e-06,4.1266231038674575e-05,-1.597758752896017e-06,-4.229085517465985e-06,-6.9036560516563e-08,-3.3401310393814213e-07,0.011284384041063938,-7.970485401576077e-06,-6.450509426456086e-05,0.00013308349793158354
0.06,0.0008993587,-2.3774436824235776e-06,0.00012140457784545415,2.504990380335453e-06,4.1253232735024774e-05,-1.6374687725157946e-06,-2.713947711505266e-06,-6.575885536826245e-08,1.0009297530078508e-06,0.009601929774319923,7.4546501727945635e-06,0.0005105909945794795,0.00013871325291209356
0.07,0.0009203484,-7.645985900570803e-07,0.00019201385715892285,2.918232920195305e-06,4.143017257325772e-05,-1.6273783271315662e-06,5.788856018729464e-06,-4.913013661566943e-08,2.237270094561647e-06,0.00416662288128844,2.9226377136204462e-05,0.001134819728952019,8.537780350308284e-05
0.08,0.0009437016,1.2596175349212513e-06,0.0002025503232247246,3.33423048792423e-06,4.179304577678759e-05,-1.5102526661918057e-06,1.7489090982015797e-05,-2.4873564981458e-08,2.3647108806877527e-06,-0.0019727016039017276,4.3721238857971634e-05,0.0010508955393249142,-5.945427706821095e-05
0.09,0.0009652389,3.0976885457539096e-06,0.0001569974434160631,3.7543083082160733e-06,4.221881946285222e-05,-1.2947697435870168e-06,2.4123758956005914e-05,-5.6038556949040475e-09,1.415843195738945e-06,-0.006802699200178397,1.8171343182993294e-05,0.00018486067811129825,-0.00010568333386015859
