,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0008992569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008821710189,0.0
0.01,0.0008994026,-1.5856828824694825e-07,-4.6704591154203495e-05,-5.2372280601986406e-09,-1.041957380591106e-06,-2.787846074455812e-07,-3.966865916394681e-05,-3.006096714265838e-10,-1.3856668703949744e-07,-0.008672699192896672,-8.736714528951414e-05,0.0005727054449467142,-4.8089385907307174e-05
0.02,0.0008994257,-1.0900860436681125e-06,-0.00013745017751171185,-1.8623170858908513e-08,-1.5031917896817275e-06,-5.67962281056922e-07,-1.4186082533708305e-05,-5.273263935909074e-09,-8.869774356571027e-07,-0.007466955843912547,-1.1120609437535544e-05,0.003026128290381165,-6.227456711673077e-05
0.03,0.000899204,-2.70176267581299e-06,-0.00016963030744374856,-3.377239900999541e-08,-1.5170309011407589e-06,-6.004078315321279e-07,2.6509289864569427e-06,-1.5279481033515057e-08,-9.455982362639773e-07,0.0014768283062640934,-4.004637776166019e-06,0.0001629022509441469,2.933944244536569e-05
0.04,0.0008986103,-4.185249098067934e-06,-0.00011529528095914068,-4.957770554909686e-08,-1.6863722644321967e-06,-5.988685177133091e-07,-4.3050350500626975e-06,-2.350352316054858e-08,-7.147382749876867e-07,0.008433233024799761,-2.7736543896431162e-05,-0.0009931562229585282,2.9196892238398612e-05
0.05,0.0008972744,-4.875459511261821e-06,-2.0687103454008567e-05,-6.785602512713137e-08,-1.9547470544072157e-06,-6.757558648674425e-07,-8.931064632542194e-06,-2.7888188453584636e-08,-5.660868215031879e-08,0.009750376465380453,-1.9061656167170735e-05,0.00022577509157972834,8.214056702808082e-05
0.06,0.0008993587,-4.6145994492979225e-06,6.985162971311116e-05,-8.786743510487923e-08,-1.993267082452518e-06,-7.347473039281179e-07,-1.45026773092963e-06,-2.5557643094460077e-08,3.937324403238389e-07,0.007951577311210972,1.0226244751458841e-05,0.0010562619073741712,1.643821157043231e-05
0.07,0.0009203484,-3.578102800519132e-06,0.00013068991229151164,-1.0676963679096068e-07,-1.7540770231296037e-06,-7.010791137884097e-07,7.3772999190844e-06,-2.0101974457613112e-08,7.862546733125637e-07,0.003939614718595583,3.204641869042776e-05,0.0005997802400552791,5.561684306152519e-05
0.08,0.0009437016,-2.1548839736661204e-06,0.00014556793941227931,-1.226331517963471e-07,-1.4180596419335225e-06,-6.088331129537424e-07,9.997674108642048e-06,-1.090921411704596e-08,8.642410667553505e-07,-0.001099155972253202,3.260840408927149e-05,-3.2789135887047004e-05,-4.194405126628465e-05
0.09,0.0009652389,-8.45364794188627e-07,0.00010749708663751279,-1.3532582286329378e-07,-1.138048031743521e-06,-5.167308840619525e-07,7.9205030824231e-06,-3.9765275965953384e-09,6.120543541902288e-07,-0.006324564852476288,2.2139074471008888e-05,-0.0003396564346592986,-6.738038079293139e-07
0.1,0.0009809789,-1.4412175413392018e-07,2.8435678061028747e-05,-1.458497384392742e-07,-9.935652909368925e-07,-4.5678834144375195e-07,3.85582066075098e-06,1.0472612771554748e-09,2.1670541664916354e-07,-0.008932416063810388,6.169847956842172e-06,-0.0004779488894743171,-8.97387201295291e-05
