time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479677076087929,0.7321386950815759,-0.488498786276929,0.0
0.01,2.4381319112165576e-08,-2.2576202108296616e-05,2.747570095996476e-07,2.7173598038400443e-05,-4.527997350998011e-07,-6.119616970702936e-05,-1.051537542338942e-09,-3.4598038934273596e-07,-0.006575919017107218,-7.762787623417922e-05,-0.0010608423499300634,-8.078960500338137e-05
0.02,-5.608000260302921e-07,-9.466673473970356e-05,5.431302696616127e-07,2.6558469202845402e-05,-1.0390672317834447e-06,-4.994825525752381e-05,-1.0149417191388245e-08,-1.591806600586139e-06,-0.006698101274002333,-4.410876608632042e-05,0.0025917759168194165,-0.00014648923994874
0.03,-1.7656434325387569e-06,-0.00013667729575874026,8.07008956450867e-07,2.6259072205087663e-05,-1.39950294681363e-06,-2.2554133765471052e-05,-3.2104307580223805e-08,-2.582605022484202e-06,-0.0010122391536537545,-1.882487854527881e-05,0.002398840068942948,-2.0966375082103047e-05
0.04,-3.057100765562469e-06,-0.00010908200704748416,1.0688208781072064e-06,2.611428306526255e-05,-1.532189106698538e-06,-6.831004811579799e-06,-5.590821733264271e-08,-1.911036344208285e-06,0.0064062851924603925,-1.3672612819370933e-05,0.0007421577737609653,0.0001325207167116372
0.05,-3.7329172752116383e-06,-1.840888266019208e-05,1.3293957890702957e-06,2.6005721506654555e-05,-1.5828860261524556e-06,-4.667206178092639e-06,-6.78487381508151e-08,-4.919088235066875e-07,0.010914273160220284,-1.7223600470767098e-05,-5.598761127070806e-05,0.00013251571698858974
0.06,-3.36327496853689e-06,9.07402661515456e-05,1.5891701715401718e-06,2.5970485456232637e-05,-1.6290090046337437e-06,-3.725773074606625e-06,-6.643122246658517e-08,7.72387197186242e-07,0.009996575556032977,3.939694198748511e-06,0.00041215017805765197,0.00013062659558066856
0.07,-2.029016961267071e-06,0.00016758414686274823,1.849364926029633e-06,2.6100045866632135e-05,-1.6338783119644371e-06,3.887732519648443e-06,-5.212429496297728e-08,2.0518854581827437e-06,0.004947018381605217,2.2463043950413097e-05,0.0010787484641367473,0.00010483809299819975
0.08,-2.0790458270706427e-07,0.00018648082272417748,2.1117725132276257e-06,2.6405684187722206e-05,-1.5366888446637134e-06,1.5613718806928836e-05,-2.8508436373838107e-08,2.4207238937133078e-06,-0.0011195842787919408,3.686452600205892e-05,0.0011170654926148105,-3.978604072065405e-05
0.09,1.5105320757804288e-06,0.00014886499687418218,2.377743849156356e-06,2.678858268121664e-05,-1.3348512146909502e-06,2.342727228233336e-05,-8.166687637255334e-09,1.5306126791344787e-06,-0.006104514192705829,3.6831284305080536e-05,0.00032904017760818083,-0.0001101651999295271
0.1,2.639345844427227e-06,7.268844379571833e-05,2.6472631710899858e-06,2.7088195657993305e-05,-1.1023477355210052e-06,2.1214599063879958e-05,2.0755102885237203e-09,5.748437373109789e-07,-0.0086133641720757,2.0747369624388168e-05,-0.0007747787268679862,-8.326683968409664e-05
0.11,2.9359725120182156e-06,-1.1851112976195743e-05,2.9188707844970517e-06,2.720075769798464e-05,-9.352222970463509e-07,1.1582231768807949e-05,3.3201924691360776e-09,-3.8883350720007573e-07,-0.007727631335376628,1.326691370581723e-06,-0.0011364321929269727,-0.00011765269297144446
0.12,2.479368848000226e-06,-7.409032465706636e-05,3.190529548361041e-06,2.7090240882540656e-05,-8.883812544221511e-07,-3.0759377414834306e-06,-6.623051068212513e-09,-1.55754600166032e-06,-0.004526022103728905,-2.2973632894773832e-05,-0.00163958231191344,-9.067871228265708e-05
0.13,1.5730619532758996e-06,-0.00010111123626069924,3.459909640196705e-06,2.6752093918871606e-05,-1.0050568465304858e-06,-2.0161785595243753e-05,-2.47129269028088e-08,-1.8518127046478133e-06,-0.0008987434524690141,-4.2781545052800185e-05,-0.0015765029537076758,2.895942456500073e-05
