,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.001176882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011545212420000001,0.0
0.01,0.001177381,-2.4897878534842368e-08,-6.916375907101273e-06,-8.124624101019185e-14,-1.6099265866340687e-11,-5.53789348302797e-07,-0.00010854189445229296,-1.2841307559350314e-13,-4.591147047315579e-11,-0.0013663400454894713,-1.5723306347236246e-09,-0.010177997999856461,-1.4227326566204142e-08
0.02,0.001177614,-1.8503490461428236e-07,-2.6956283417875405e-05,-3.197347878954085e-13,-3.1508201630628506e-11,-2.1249834689460424e-06,-0.0002038263054657627,-2.328624533311317e-12,-4.767190050797303e-10,-0.0026249874965304006,-1.5120201082938906e-09,-0.008890844714595855,-8.09704834059117e-08
0.03,0.001177873,-6.047630422072802e-07,-5.895603652028156e-05,-7.096935102168603e-13,-4.640039888111374e-11,-4.587718819287165e-06,-0.0002866605686114488,-1.3448128756214954e-11,-1.933902202679174e-09,-0.0037527751030542473,-1.4693383259233028e-09,-0.007690279773544006,-2.2310818694765588e-07
0.04,0.001178401,-1.398541836839859e-06,-0.00010150133854653045,-1.246693340963222e-12,-6.095088298590199e-11,-7.820200096214442e-06,-0.00035793983152101046,-4.748028890266438e-11,-5.216843367047618e-09,-0.0047299462223321,-1.4435838245271948e-09,-0.006580672981938441,-4.479820671007081e-07
0.05,0.001179123,-2.6641499356979806e-06,-0.00015300316391977107,-1.928143242231009e-12,-7.53241955088707e-11,-1.1711282680780409e-05,-0.00041858775777913284,-1.267711966126722e-10,-1.1137922878295966e-08,-0.005541175935966314,-1.4336857686279847e-09,-0.005561608003904383,-7.504899131973477e-07
0.06,0.001183409,-4.482566394235428e-06,-0.0002117482707182664,-2.75314184448104e-12,-8.968958527821194e-11,-1.6160089986255854e-05,-0.0004696657621767612,-2.813957653665082e-10,-2.042381966719266e-08,-0.006176848602565753,-1.4420886815420808e-09,-0.004663491773254313,-1.117959191525007e-06
0.07,0.001193366,-6.917254599989444e-06,-0.00027595278585090403,-3.722498413226938e-12,-1.0422130857659481e-10,-2.1076901865320562e-05,-0.0005123755934258464,-5.481619223974181e-10,-3.364759626961563e-08,-0.0066332550227792145,-1.4664481018389353e-09,-0.003901247982056438,-1.5335009305542816e-06
0.08,0.001189282,-1.0013718457036926e-05,-0.0003437898548498274,-4.838301546591273e-12,-1.1897795588989533e-10,-2.638136264802938e-05,-0.0005472312452638786,-9.686469099486028e-10,-5.119275761357981e-08,-0.006902373444251076,-1.482817973443018e-09,-0.0030829277221340505,-1.9784566976856466e-06
0.09,0.001122531,-1.3798449410791283e-05,-0.00041321743012820515,-6.10124584733664e-12,-1.33502417882767e-10,-3.198553001686712e-05,-0.0005713877839685346,-1.5870755770271505e-09,-7.325063179433317e-08,-0.006938046898870761,-1.4420454162375473e-09,-0.0017741358955667777,-2.432950376006969e-06
