,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044017224750000005,0.0
0.01,-0.0004515424,5.190773842950349e-08,1.54812507273312e-05,1.7382673979102484e-09,3.611150072090683e-07,1.673068361943165e-07,2.8042674933058112e-05,1.1551818171160303e-10,5.3364079095309295e-08,0.0030183600758311876,3.7209585970797684e-05,0.0011642468453995332,1.9984853033381755e-05
0.02,-0.0004542831,3.849485722150465e-07,5.245475558025896e-05,7.023709748967451e-09,6.725372436307742e-07,4.609075553797645e-07,2.6960319887823034e-05,2.74599590218697e-09,5.9159595056212e-07,0.0037973022090722623,2.3682506232660542e-05,-0.0010471962655798869,8.751988292126677e-05
0.03,-0.0004565326,1.0701876303680724e-06,8.068954858083241e-05,1.4691134901936568e-08,8.391483782490842e-07,6.672440343531146e-07,1.3887103301911634e-05,1.3255944710147293e-08,1.4782483617381404e-06,0.0014332250878169408,1.0905880877048661e-05,-0.001277750715848725,6.37458331579577e-05
0.04,-0.0004567085,1.8888389397551944e-06,7.686181829928393e-05,2.352409317479143e-08,9.205516024831392e-07,7.53550557130924e-07,4.718155472578191e-06,2.91849786226077e-08,1.483023639577862e-06,-0.002219569479131624,6.646501567274789e-06,-0.0005059226999947277,-6.455725859777625e-05
0.05,-0.0004541641,2.4929285350311197e-06,3.922487859787965e-05,3.3045822204252605e-08,9.824715186710182e-07,7.866305569709983e-07,2.793479193686885e-06,3.9505856768681814e-08,5.120035734946795e-07,-0.005012099443217742,5.636207681561314e-06,1.2591850039953137e-05,-0.00010464093277309447
0.06,-0.0004647196,2.6162948281874185e-06,-1.5239268911317658e-05,4.310793319648819e-08,1.023722514662025e-06,8.170339983462302e-07,3.1764228431402726e-06,4.007255515492662e-08,-3.161802027566886e-07,-0.005403727526579783,1.7615512473498484e-06,-4.776066552114018e-05,-6.046825034704403e-05
0.07,-0.0005025776,2.221840780588281e-06,-5.994036032477047e-05,5.333548796090973e-08,1.0109340804955072e-06,8.430970744819104e-07,1.590350764544202e-06,3.4126118838239913e-08,-8.688876435308975e-07,-0.0031815380073943206,-4.748339932503593e-06,-0.0003098305794303375,-5.6841187402290484e-05
0.08,-0.0005533363,1.5182743522911314e-06,-7.51553931389854e-05,6.310116480390944e-08,9.324812911969082e-07,8.407684975295047e-07,-2.260613101521398e-06,2.276742150483785e-08,-1.3563851973264332e-06,0.0001678438690820197,-1.05174181376429e-05,-0.0004195948018486356,-2.6454466310952174e-05
0.09,-0.0004654674,8.219589793945822e-07,-6.019792997178741e-05,7.169132852362017e-08,7.655184364447927e-07,7.809470606149268e-07,-1.0773882398365481e-05,9.403805664603297e-09,-1.1558810698608407e-06,0.0024918218189472693,-2.223077803017706e-05,-0.001051438011887354,6.690343809292814e-05
0.1,-0.0003401229,3.575229792674713e-07,-3.2177606619176536e-05,7.80929591626602e-08,5.045831690879718e-07,6.21024757694185e-07,-2.0700867355357938e-05,1.915333296618821e-09,-3.255798114398235e-07,0.0028012284549092546,-2.8223363348190186e-05,-0.0007532765703729931,7.571765794880334e-05
