,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.001176882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011545212420000001,0.0
0.01,0.001177381,-5.277397892649382e-07,-0.00011562482287976695,-1.3436105728367995e-08,-1.3862183013694001e-06,-4.870201669846936e-08,5.190665893266049e-07,-1.5257402770156284e-13,-3.490600366063564e-11,-0.011617425140315173,2.8518091800309488e-05,0.00017726966237544169,-3.608115973803427e-09
0.02,0.001177614,-2.2486819545233488e-06,-0.00022814199363900935,-2.7143565036277384e-08,-1.3939677271813072e-06,-4.663414868409986e-08,-3.447842399414357e-08,-6.761144853210314e-13,-6.967740472323005e-11,-0.011134750512420001,-5.349327978245236e-06,-9.81944735544164e-06,-3.4435105402544587e-09
0.03,0.001177873,-5.080154700759953e-06,-0.00033739022374377526,-4.13453010215196e-08,-1.4479330377862867e-06,-4.701328423302663e-08,-2.593960050207659e-08,-1.5430711801973673e-12,-1.0348023378869307e-10,-0.010672849423872918,-6.0304211095575655e-06,-1.933197857357854e-06,-3.3021174597131425e-09
0.04,0.001178401,-8.97769784643274e-06,-0.0004410773584507362,-5.6167753941082795e-08,-1.5201012302256924e-06,-4.739829868792792e-08,-5.2060178978895e-08,-2.7398897514093435e-12,-1.3556152886098275e-10,-0.010041515308427543,-8.099891548594626e-06,7.275998272894633e-07,-3.107249364488818e-09
0.05,0.001179123,-1.3877174596534543e-05,-0.0005376791086000188,-7.180160767192835e-08,-1.610063859346433e-06,-4.7948204287981844e-08,-5.9025972124404946e-08,-4.24672546714889e-12,-1.6545327190986751e-10,-0.009256015134774063,-9.69021389915243e-06,3.624520766988158e-06,-2.8642882931839947e-09
0.06,0.001183409,-1.9701484656115882e-05,-0.0006258475159491993,-8.843363354244451e-08,-1.7194000819358786e-06,-4.866472470937076e-08,-8.273593759807635e-08,-6.039726015419048e-12,-1.9273378239882236e-10,-0.008355783336516662,-1.2178609071012217e-05,5.885204473179886e-07,-2.584939309653524e-09
0.07,0.001193366,-2.636160326248742e-05,-0.0007045773180320736,-1.0626021949151705e-07,-1.8489590240540306e-06,-4.964505322640193e-08,-1.1269769418690891e-07,-8.091325930133061e-12,-2.170912795754607e-10,-0.00737430485348207,-1.372197063646309e-05,-9.907147224452436e-06,-2.281613566178917e-09
0.08,0.001189282,-3.3756513988094646e-05,-0.0007724389825075217,-1.2539485582909898e-07,-1.974274652186092e-06,-5.044080465378761e-08,-1.774509232342677e-08,-1.0370315270182659e-11,-2.381033878046627e-10,-0.0061302929167192976,-1.0402956000462454e-05,-3.2097836003409106e-05,-1.9005102165070022e-09
0.09,0.001122531,-4.175859856978778e-05,-0.0008247958585335454,-1.4553795369428096e-07,-2.0425961586999384e-06,-4.937524215170055e-08,2.2357534568684101e-07,-1.2837559075207836e-11,-2.5436993785940755e-10,-0.004218236099693597,-6.37910326940945e-06,-1.57322417206774e-05,-1.3115731286954778e-09
0.1,0.001026036,-5.018081254559563e-05,-0.0008558487081071988,-1.6618368258015704e-07,-2.0847503282279257e-06,-4.675619948636854e-08,2.935467208303496e-07,-1.543557510605837e-11,-2.6406090678693275e-10,-0.001964794722135711,-4.058066832545934e-06,1.1953784571579239e-05,-6.168427031605307e-10
0.11,0.001037767,-5.881276640410385e-05,-0.0008686966396198337,-1.8777738413627777e-07,-2.2506958818226275e-06,-4.6949550600588416e-08,-1.5856168377771887e-07,-1.8098853739937018e-11,-2.6802225976699e-10,-0.0007310128601839901,-1.7921035199796806e-05,2.5968989405332748e-05,-2.2685290663104415e-10
0.12,0.001176605,-6.753096060595963e-05,-0.0008751127154711429,-2.1173484309755768e-07,-2.562030049967606e-06,-5.1930264483711645e-08,-6.768146798162041e-07,-2.078819838620206e-11,-2.698936240860095e-10,-0.000717480111316606,-3.109144626689195e-05,2.4908496883302867e-05,-2.1426246256964427e-10
0.13,0.001574955,-7.635161921105368e-05,-0.0008936039177441311,-2.4023032131403596e-07,-3.1698248058679744e-06,-6.571457443991389e-08,-1.7152790239294032e-06,-2.3507033531243166e-11,-2.752860438151109e-10,-0.0032230145616609653,-6.398480688740889e-05,1.553204612130465e-05,-9.65417530694821e-10
