,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0008992569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008821710189,0.0
0.01,0.0008994026,-1.0381291565795914e-07,-3.1021916525928163e-05,-3.4784797481482984e-09,-7.21206437127548e-07,-3.347726875265333e-07,-5.5956496963614375e-05,-2.216860816108538e-10,-1.0572508653067899e-07,-0.006029851505283553,-7.406829911438808e-05,-0.0022991861674343077,-3.999892130107115e-05
0.02,0.0008994257,-7.69704760433046e-07,-0.00010478354756023515,-1.4014041664597347e-08,-1.3385772104365103e-06,-9.19031308274825e-07,-5.345511244722565e-05,-5.364914413941855e-09,-1.1362930008237023e-06,-0.007575842298009128,-4.6614907153549515e-05,0.00212888174785287,-0.000160431914006514
0.03,0.000899204,-2.1389578952491975e-06,-0.00016108568745998173,-2.9241121300853648e-08,-1.6638944639745586e-06,-1.3252220971415416e-06,-2.7130369008048065e-05,-2.4665513554765408e-08,-2.586080736750246e-06,-0.0028629557853579284,-2.1062327962383063e-05,0.0025665390942403617,-7.997819020301162e-05
0.04,0.0008986103,-3.7714369934558247e-06,-0.000152865976658965,-4.673116598708744e-08,-1.8208926462655955e-06,-1.4917736111339e-06,-8.89172637293808e-06,-5.0713406462625873e-08,-2.2583433907331008e-06,0.00458423396082192,-1.2817137670959754e-05,0.0009881587992195187,0.0001293017991746985
0.05,0.0008972744,-4.960422369836971e-06,-7.536471404657345e-05,-6.555958212508684e-08,-1.9424679043407907e-06,-1.5545014000270988e-06,-5.41976347484386e-06,-6.577237838617329e-08,-7.617635876281822e-07,0.010262076282287707,-1.1093541780646042e-05,-7.03831890060446e-05,0.00013477092557152587
0.06,0.0008993587,-5.168015016506176e-06,3.45998928440069e-05,-8.543037862950431e-08,-2.0158613378481246e-06,-1.6124978891493712e-06,-5.648122010027129e-06,-6.757258509961598e-08,3.584691574694676e-07,0.010745566907223248,-1.6686155394647754e-06,0.0002238861214071394,0.00011146041172584728
0.07,0.0009203484,-4.342991523828119e-06,0.00012301543672318613,-1.0540592252082965e-07,-1.950112046168365e-06,-1.6456444575637906e-06,3.0563969200434117e-07,-5.762554638499008e-08,1.6907860507292037e-06,0.006379987191652716,1.5626933880254645e-05,0.0009761127393460725,0.00014065292459728177
0.08,0.0009437016,-2.8924892031395865e-06,0.00015711103176117554,-1.238281019090494e-07,-1.7071796155090393e-06,-1.5857764183846137e-06,1.212014020598371e-05,-3.5277067055807286e-08,2.5363302522815675e-06,0.00042848868289913176,3.1734141051150806e-05,0.0012430841339743258,3.87919615702512e-07
0.09,0.0009652389,-1.3929860242976308e-06,0.00013398399406306028,-1.3917729566271052e-07,-1.3553923389947514e-06,-1.4092045360099483e-06,2.2150315817908903e-05,-1.2754849678978544e-08,1.7555495349997594e-06,-0.0048419450842437945,3.602076967813815e-05,0.0006237461241540858,-0.00012283926139041194
0.1,0.0009809789,-3.613987523818355e-07,6.678194318219056e-05,-1.5105527957148503e-07,-1.0391642859198412e-06,-1.1739350097918946e-06,2.3050090955024655e-05,-8.226670850146037e-10,7.344657251095177e-07,-0.00814091774596475,2.477437756789551e-05,-0.0004779216980612938,-7.108604856251931e-05
0.11,0.0009260752,-1.1446735770920502e-07,-1.7223120512948546e-05,-1.604660123393327e-07,-8.71045429901705e-07,-9.756753232425504e-07,1.572380873238138e-05,3.1455063982656148e-09,1.3319245985039956e-08,-0.00803759364168264,7.936699210490993e-06,-0.000990196139326528,-9.738911863816879e-05
0.12,0.0009373412,-6.488626558865815e-07,-8.502103187884765e-05,-1.6917554762927838e-07,-9.109329633726562e-07,-8.835188803614482e-07,1.5133215449179294e-06,-2.71324324657482e-09,-1.2454848324365733e-06,-0.0052963717484700076,-1.6483452930933466e-05,-0.0016923522264953234,-0.00012769975474033823
0.13,0.001004411,-1.7097831713584488e-06,-0.00012178183245033011,-1.7947646308264754e-07,-1.1855003309264438e-06,-9.59767732348808e-07,-1.6878732278317048e-05,-1.9656801538040382e-08,-1.90326556910295e-06,-0.002066628636543634,-3.7372476801732395e-05,-0.0017676486620221222,9.148619498744242e-06
0.14,0.000942593,-2.9723976516084206e-06,-0.0001246726558841016,-1.9323109528075237e-07,-1.5610287799044068e-06,-1.186712295769097e-06,-2.5658043473068726e-05,-3.66805029835925e-08,-1.4295744375954506e-06,0.0016410834283844152,-3.4671135133259624e-05,-4.4042608170651815e-05,5.2176179617552734e-05
0.15,0.0007788976,-4.06640361591586e-06,-8.704509750063425e-05,-2.102240038744389e-07,-1.7971686182718034e-06,-1.4101076944621622e-06,-1.6113855750854306e-05,-4.9352695083617475e-08,-1.1812966140324973e-06,0.005854317394806595,-1.0768649115740743e-05,0.0016963786751114651,1.3022604995907659e-05
0.16,0.0007150252,-4.589482887527881e-06,-1.319527506477738e-05,-2.283937768304605e-07,-1.8045508165292816e-06,-1.4892054628317529e-06,-1.8981672667476254e-07,-5.9022988773236924e-08,-5.400821494349525e-07,0.008441957788306333,8.537278672756866e-06,0.0014272452439500869,0.00013603651752507615
0.17,0.0007414346,-4.295839132467729e-06,7.085835976619389e-05,-2.458412494586463e-07,-1.6705711636450165e-06,-1.4383078447546224e-06,8.82798211712666e-06,-5.5967974385613536e-08,1.2124312681237025e-06,0.007793439987875159,1.7406933956493268e-05,0.0005083826387658825,0.00016875702839941635
0.18,0.0005911567,-3.2447785848580597e-06,0.00013401176733061792,-2.6133988168058195e-07,-1.3943566878267415e-06,-1.306455864089836e-06,1.9069591536477167e-05,-3.8016739398196245e-08,2.0886981278679048e-06,0.004561179410067682,3.821346126720537e-05,0.0014150151890431138,1.1028881606162371e-06
0.19,0.0004389588,-1.7473226255692178e-06,0.00015812735549613786,-2.730588984772608e-07,-9.220705828842919e-07,-1.0413564586951361e-06,3.386138526288043e-05,-1.836956805507596e-08,1.8149653708867551e-06,0.00018485885657399157,5.4412012457278766e-05,0.0013682654906998599,-1.597970104676692e-05
0.2,0.0003092667,-2.2640497535172753e-07,0.00013964761122053733,-2.7947963753803995e-07,-3.611183405400077e-07,-6.49702199451712e-07,4.271436217432636e-05,1.4468807858991653e-10,1.9595905451577063e-06,-0.0036224139745878285,5.5083626637943176e-05,0.00033380572888076787,1.843736771710871e-05
0.21,0.0001520247,9.494359616130495e-07,9.242708024361938e-05,-2.804745367986394e-07,1.441591903044976e-07,-2.211792028796064e-07,4.147820248743387e-05,1.8737895173876377e-08,1.5156490825129548e-06,-0.00549274082365524,4.433919382051258e-05,-0.0005622305534554324,-0.00011913590086421756
0.22,0.0003774163,1.5767045022552414e-06,3.0195833270232692e-05,-2.775633895370014e-07,3.5775702199184037e-07,1.0263220625683028e-07,1.8313727747159473e-05,2.6810426733780427e-08,9.18025992147173e-08,-0.0071977640580332,-3.271002924663901e-06,-0.0035238649795493455,-0.00012293105455919078
