,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-3.680753742503304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.4790216180771639,0.0
0.01,-3.704091016105336e-05,1.326285282273123e-07,9.798590956032432e-06,2.7865070655937097e-07,2.7980571531885552e-05,-1.0417246952522554e-07,-2.990523256546361e-06,-8.367967534933035e-10,-2.3949634160467327e-07,-0.00029168476125901455,5.114543090586898e-06,0.0013320507312176155,-4.102946437126016e-05
0.02,-3.726573516636493e-05,2.420984059647015e-07,1.4651712645035839e-05,5.588039921373448e-07,2.805454424764851e-05,-8.258468905587778e-08,5.680796581558993e-06,-4.872628403203258e-09,-4.789332546895448e-07,0.001209327379027486,7.956801889294485e-06,0.00038101249671365633,1.0424704121028146e-05
0.03,-3.74502660706771e-05,4.6555171347273566e-07,3.125765963607453e-05,8.396997768635539e-07,2.8118517375335988e-05,-2.005001755484953e-08,5.727959409259965e-06,-7.771903768833766e-09,1.1452228768637119e-08,0.0019334052634253363,4.5089400671771696e-06,-0.00026683488526274557,7.260982907393893e-05
0.04,-3.74646954932459e-05,8.729996586275811e-07,4.973067545225801e-05,1.1210596182120208e-06,2.8149171416654618e-05,2.1339542678585213e-08,2.472028654491321e-06,-4.497702117728457e-09,5.653347435712378e-07,0.0015841882332965074,2.1885847502900457e-06,-0.0002899293661781932,2.1457658453006916e-05
0.05,-3.7255973362580466e-05,1.4311163589778589e-06,5.98399262665185e-05,1.402670663967271e-06,2.8174888284505866e-05,3.6040831108002816e-08,9.583508266719385e-07,1.1317204603147998e-09,4.6840622269770184e-07,0.00031623967397667596,3.461950159322491e-06,4.645118061058495e-06,-2.7633794293149683e-05
0.06,-3.812186176465522e-05,2.01977650084588e-06,5.5422408555002796e-05,1.6846341238674263e-06,2.822172440063561e-05,4.992344835064025e-08,2.137282890519015e-06,4.796376158043014e-09,3.15769091019007e-07,-0.0011405225157835874,5.734384078012744e-06,0.00018520681996200827,2.531464573703407e-06
0.07,-4.122742787954755e-05,2.502043466459177e-06,3.997108566620604e-05,1.967149546024323e-06,2.828113671126891e-05,8.005377019550269e-08,3.713443871582919e-06,8.196266885566443e-09,3.444656539449304e-07,-0.0017607179903006143,5.548262769189405e-06,8.31411817650285e-05,-1.2105583862024856e-05
0.08,-4.539126375983666e-05,2.8156879719224634e-06,2.3244154420497392e-05,2.2501918407670363e-06,2.832144697564101e-05,1.1744845240267664e-07,3.3453119470176143e-06,1.0133855763861288e-08,-3.9232066665983994e-08,-0.0014876928762067032,3.4689761879286296e-06,-0.00016010907488039905,-5.689754831394669e-05
0.09,-3.818320526776464e-05,2.9819965158854693e-06,1.088536667276489e-05,2.533418159556707e-06,2.8313834918295275e-05,1.3824302414096302e-07,4.3603472852262983e-07,7.237517645262144e-09,-4.6931903095062963e-07,-0.0009759877054615063,2.85607056968451e-06,-0.00038404190313831577,-1.4820210475802935e-05
0.1,-2.7900949684053884e-05,3.051301293037539e-06,3.99680026073847e-06,2.816291769797396e-06,2.825289461211658e-05,1.2292699715102305e-07,-3.4549186151888032e-06,2.7888057757626555e-09,-3.4670066990646585e-07,-0.0003631731973911534,-7.834905168799255e-06,-0.00035442174051714126,2.592769157605071e-05
