,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.00033126783682529737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032497374792561672,0.0
0.01,-0.00033336819144948025,3.834622678219678e-08,1.142340121637858e-05,1.283059816713943e-09,2.665936996198952e-07,1.23481941689278e-07,2.0707211601862365e-05,8.640759308794441e-11,3.951802577365011e-08,0.002228233883300565,2.7475731759501918e-05,0.0008597043283481146,1.4728256387912662e-05
0.02,-0.00033539161649728436,2.8417675734788377e-07,3.872436405735174e-05,5.18541760402519e-09,4.965235286625459e-07,3.4027434311871166e-07,1.990607632579633e-05,2.027589616405749e-09,4.3643570526242986e-07,0.0028037058735232924,1.748578515261396e-05,-0.0007731908154042603,6.459715831779804e-05
0.03,-0.0003370523946360939,7.900607016569611e-07,5.9578883655520526e-05,1.0846495314421886e-08,6.195110163222558e-07,4.926362047148518e-07,1.0248224636979588e-05,9.781174831305899e-09,1.0925238325816084e-06,0.0010578988241570996,8.052492571022695e-06,-0.0009432937079800506,4.720999635884118e-05
0.04,-0.0003371822594392131,1.3945037155063868e-06,5.677701750534109e-05,1.7368310346901424e-08,6.79510544679404e-07,5.563506341306943e-07,3.4647286678953485e-06,2.1550029036936116e-08,1.0988205818942207e-06,-0.0016393695526447836,4.8886569495325295e-06,-0.00037246867954383444,-4.7802638765679674e-05
0.05,-0.0003353037602632242,1.8407922606750909e-06,2.8968110758885165e-05,2.439607441079096e-08,7.252659421352967e-07,5.806344895685994e-07,2.0676780480130343e-06,2.9188250054557445e-08,3.7449200170186195e-07,-0.0037014173899558122,4.183810491467666e-06,1.0470336173814192e-05,-7.778276557803953e-05
0.06,-0.00034309675588189693,1.93186991236943e-06,-1.126461324642393e-05,3.182497535173449e-08,7.55885350390289e-07,6.031976401727933e-07,2.35744807153263e-06,2.9564592056128972e-08,-2.3447012313977661e-07,-0.003992332241769633,1.3056981585962815e-06,-3.55989097967812e-05,-4.382302950821945e-05
0.07,-0.000371046850915928,1.6403293480620087e-06,-4.426798647257835e-05,3.937718371780961e-08,7.46475162337323e-07,6.225521408092161e-07,1.1778144664143975e-06,2.5198803039546985e-08,-6.381084331256063e-07,-0.002347107497127044,-3.4785237345918216e-06,-0.00022998883905246456,-4.213872130336973e-05
0.08,-0.0004085213738385299,1.1208315580100022e-06,-5.545513776444326e-05,4.6587252526633265e-08,6.883974011934737e-07,6.207550635003965e-07,-1.6766291521296029e-06,1.6814242915219912e-08,-1.0041829714817496e-06,0.0001246397471571203,-7.745853451803144e-06,-0.0003096695422285489,-1.9723288844951132e-05
0.09,-0.00034364884740988174,6.069978008178357e-07,-4.4427651558665236e-05,5.29287417548248e-08,5.651335429493812e-07,5.7654106807645e-07,-7.957559569632013e-06,6.927100055066897e-09,-8.536020370094233e-07,0.0018370173951825764,-1.641747228351612e-05,-0.0007756527837959402,4.998106619184199e-05
