,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.00033126783682529737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032497374792561672,0.0
0.01,-0.00033336819144948025,1.5853320339645878e-07,3.0513698600685917e-05,3.6091633899216122e-09,3.8626035111328697e-07,1.2330205113904997e-10,1.3315892288770316e-09,6.364810599582072e-13,1.2379637712567195e-10,0.0026582331046073,6.276855178503043e-06,4.6655595072197747e-07,1.0899072715671895e-08
0.02,-0.00033539161649728436,5.731955278081586e-07,4.973840254888281e-05,7.864677185925318e-09,4.7144514799049246e-07,1.4178620091452353e-10,2.205858464139021e-09,2.322885324299835e-12,2.0244330633929618e-10,0.0010581163307553227,1.0200132433323985e-05,2.2813541440625986e-07,4.306579395288619e-09
0.03,-0.0003370523946360939,1.0903684638676544e-06,5.0315194836993505e-05,1.3107250888816298e-08,5.772950872886531e-07,1.6477844565546872e-10,2.2482097231057018e-09,4.4264648178052025e-12,2.043788021668202e-10,-0.000946363135153015,1.0319341100143074e-05,-4.581797886648251e-11,-3.931079366214542e-09
0.04,-0.0003371822594392131,1.5160158565554117e-06,3.196661264923041e-05,1.934080372461615e-08,6.630050393785396e-07,1.833384326092254e-10,1.441202062964174e-09,6.1498872652340785e-12,1.2863049451741095e-10,-0.00260175708733567,6.578867399476871e-06,9.050361484015179e-07,-1.0717992587417138e-08
0.05,-0.0003353037602632242,1.6895374716005838e-06,1.5575331859950597e-06,2.6188270662784924e-08,6.959028410234819e-07,1.904003761901789e-10,7.833479354689058e-11,6.83477619532184e-12,3.541098853749655e-12,-0.0032751179406693117,2.945910903178516e-07,-2.15863410074004e-06,-1.3459060156737618e-08
0.06,-0.00034309675588189693,1.5471982756381008e-06,-2.889907893595674e-05,3.309122602089572e-08,6.739932438450619e-07,1.8677731939686033e-10,-1.8412612005262784e-09,6.221526041729512e-12,-1.2151803535033156e-10,-0.002616513583734946,-7.971292175811555e-06,4.863977379285272e-06,-1.071783342274351e-08
0.07,-0.000371046850915928,1.1556238724058929e-06,-4.6358808765683364e-05,3.9606930130137635e-08,6.232472890581231e-07,1.792113480622108e-10,-1.0933694660166465e-09,4.585721946177216e-12,-1.9305542491877375e-10,-0.0007654913443784548,-6.611460548651064e-06,-3.8969762427415265e-07,-3.1186049179263847e-09
0.08,-0.0004085213738385299,6.937114876683809e-07,-4.282735086336454e-05,4.5556383343184e-08,5.673282183799073e-07,1.7161149782148922e-10,-8.196921366132205e-10,2.6632111149482274e-12,-1.7831497850300977e-10,0.0014436287990133541,-5.633195096364378e-06,5.137499257308049e-06,5.955506416418111e-09
0.09,-0.00034364884740988174,3.53041030229912e-07,-2.4092223370634244e-05,5.051483591248389e-08,4.2915785822707256e-07,1.343739395940984e-10,-3.3751264122999505e-09,1.2430009574660902e-12,-1.0075930086970303e-10,0.0021764132744728306,-1.1975713403958085e-05,4.3434374856471247e-07,8.992374489811107e-09
0.1,-0.000251108547156485,2.1827367296314064e-07,-3.4332721707887413e-06,5.4139587250739736e-08,3.027213953250946e-07,9.59674731583413e-11,-3.27083548096191e-09,6.743598291632132e-13,-1.5348851244334945e-11,0.0018187172878000501,-1.05116375850758e-05,-3.336257461710886e-06,7.518114458022682e-09
0.11,-0.00016362101396430134,2.599977853673362e-07,1.011801546488195e-05,5.671109520785827e-08,2.169821517376245e-07,6.680597649887381e-11,-2.447402106053367e-09,8.352699682499056e-13,4.068706110422359e-11,0.0008053300078270963,-6.72305231726168e-06,-2.759723434412822e-06,3.3378958220602615e-09
0.12,-0.0003403274387897989,4.223203184980593e-07,2.4100259504217454e-05,5.992894933045199e-08,4.347825264895331e-07,1.3382291605588064e-10,7.880307308991477e-09,1.4889872206662605e-12,9.723703940440335e-11,0.0019152800987102916,2.6547558682553103e-05,-7.350709462710329e-06,7.756922032540851e-09
0.13,-0.0007497643631817574,8.06053436102236e-07,5.687672435465504e-05,6.675097931453816e-08,9.430857814071457e-07,2.9171031443401446e-10,1.6308819397987128e-08,3.037612998125029e-12,2.298233950444119e-10,0.004430805444789309,5.302837201529551e-05,5.6897676499112e-06,1.7990969227788586e-08
