,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0003680753742503304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036108194213957416,0.0
0.01,-0.0003704091016105336,4.176051876528283e-08,1.259431942395069e-05,1.4464766527097163e-13,2.989926043120361e-11,1.3809378668125405e-07,2.311042430388397e-05,9.247864424987877e-11,4.389171352256898e-08,0.002466508530132606,2.9562253030637326e-09,0.0009612790480058785,1.6760146852204512e-05
0.02,-0.0003726573516636493,3.134919999578373e-07,4.285045890127797e-05,5.815265528053858e-13,5.5528832287656736e-11,3.800827102395502e-07,2.2208258425408095e-05,2.2784571021286466e-09,4.918140573072454e-07,0.003106608717977655,1.9322047510329437e-09,-0.0008662448004948702,7.25674241291236e-05
0.03,-0.000374502660706771,8.73535859008418e-07,6.583622114000366e-05,1.213867797547487e-12,6.91693791145334e-11,5.496121142871975e-07,1.1420369333445879e-05,1.1017573553577949e-08,1.2214886237959166e-06,0.001155310840670736,4.231749017971389e-09,-0.0010555653224657952,5.124450287956046e-05
0.04,-0.000374646954932459,1.5401632278652744e-06,6.241730133940706e-05,1.9416020089893886e-12,7.582358139449622e-11,6.204534128200085e-07,3.845419256756743e-06,2.410885586372665e-08,1.2131565818767528e-06,-0.0018559304457225808,-1.6015221346965862e-06,-0.0004178641656286756,-5.3564001827701704e-05
0.05,-0.00037255973362580465,2.027299539347637e-06,3.115856371473823e-05,2.72549740319654e-12,8.085970328952692e-11,6.473401074864288e-07,2.244821168884233e-06,3.2501475262252554e-08,4.180025054253709e-07,-0.00415264159799264,-2.7691413080951428e-06,1.0639129923148846e-05,-8.434023166434517e-05
0.06,-0.0003812186176465522,2.116503283234373e-06,-1.3810281398293513e-05,3.5530643020597204e-12,8.412506651656825e-11,6.717232509190364e-07,2.538541394020837e-06,3.302033047752891e-08,-2.5381558777024985e-07,-0.004448199083112102,-7.303875585210764e-08,-4.086911521716492e-05,-5.174823807120241e-05
0.07,-0.0004122742787954755,1.7794809396000844e-06,-5.051517163369403e-05,4.3928167738683454e-12,8.292896715796682e-11,6.923347940129416e-07,1.2168645916659057e-06,2.806168113910959e-08,-7.338476229246407e-07,-0.0026050577489432586,3.102105511678076e-08,-0.00025721164561431117,-4.833132798610484e-05
0.08,-0.0004539126375983665,1.18917488042776e-06,-6.289518446525919e-05,5.193031989705289e-12,7.630318329375767e-11,6.893678849862853e-07,-1.9879479365266714e-06,1.8525166646241926e-08,-1.1273864099188956e-06,0.00014825848270285554,-9.572425435242301e-08,-0.00034393430719322843,-1.8814266455098572e-05
0.09,-0.0003818320526776464,6.064186301355116e-07,-5.0418959598911146e-05,5.894742875964679e-12,6.239795154077599e-11,6.389267503044744e-07,-8.978698050615e-06,7.557631141365195e-09,-9.384303873836501e-07,0.002076650291053044,-1.425271971075692e-07,-0.0008609285494643825,5.552211197385024e-05
