,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23959031916753099,-0.365690487150442,0.24139572887822885,0.0
0.01,-0.0004515424,7.528520567440195e-08,1.5186745700320862e-05,-1.3421823482134966e-07,-1.3646305110176781e-05,5.77178993437938e-09,-3.952478986516418e-07,1.0519828229426778e-10,1.7080980586006873e-08,0.00013642771048202884,2.0684896018231813e-05,0.0008485767948968326,1.9451863986539675e-06
0.02,-0.0004542831,2.482250652901025e-07,1.893748662364741e-05,-2.6945191051983e-07,-1.3481858046254906e-05,1.091037311613094e-08,-1.0599527140633184e-07,2.735901833821142e-10,8.830033520154182e-09,-0.0001691039279541201,-1.4129995259265504e-06,-2.7421080022169142e-05,-7.87651658451337e-06
0.03,-0.0004565326,4.0413931065385433e-07,1.0496150982706463e-05,-4.040203791892965e-07,-1.3420647967500372e-05,1.2113776077059418e-08,1.806215004345686e-07,3.937063506422829e-10,1.839811567151076e-08,-0.001365789612182547,5.159916654486063e-06,-3.479594773096728e-05,1.9197770619035096e-05
0.04,-0.0004567085,4.292151074711941e-07,-6.6759548193721725e-06,-5.380551477801236e-07,-1.3390276071727325e-05,1.3011297421480182e-08,6.264671355212592e-08,5.29585400420873e-10,3.851166487878512e-08,-0.0018944384663378139,1.8311538163423569e-06,-7.663236183216848e-06,-3.219791463010167e-05
0.05,-0.0004541641,2.636067544628817e-07,-2.6206587998743072e-05,-6.719543715532656e-07,-1.3397350342089245e-05,1.2984985903931583e-08,-6.199925328422392e-08,4.709465858420413e-10,-5.384063623616884e-08,-0.0018778351429421664,-2.773597344338241e-06,-8.655201589533035e-06,8.346349077322825e-06
0.06,-0.0004647196,-8.05422770841235e-08,-4.1248394996082055e-05,-8.060982538804646e-07,-1.3435811521128204e-05,1.2141213453595518e-08,-1.1872921661452054e-07,3.6327160038057145e-10,7.232449806330903e-08,-0.0010043408738901055,-5.294956951659713e-06,-8.911153747556688e-06,7.652719372918683e-06
0.07,-0.0005025776,-5.189457906558008e-07,-4.4071558039257516e-05,-9.406940283247076e-07,-1.3482473537060032e-05,1.113672396630663e-08,-9.62054784038659e-08,2.4518395062310977e-10,-1.294167994618623e-07,0.000426347051535228,-4.775852920205215e-06,-3.846954701056116e-06,-2.6649005878313497e-05
0.08,-0.0005533363,-9.220998921972144e-07,-3.452773670336634e-05,-1.0757139519802192e-06,-1.3516821443192026e-05,1.0460670004664845e-08,-3.185139121142834e-08,4.1653053284277e-11,1.2034229844426592e-07,0.0015295730962642112,-2.2338165422824963e-06,6.451928938819296e-06,3.427447429206021e-05
0.09,-0.0004654674,-1.1767371628000855e-06,-1.6280378766779724e-05,-1.2112004180722896e-06,-1.3583331613719102e-05,8.431601808315368e-09,-2.0994146029607488e-07,3.677521511627378e-12,-1.6387357711514622e-07,0.0016686966307612183,-4.488743705038933e-06,3.344008901176587e-05,1.4160824590488567e-05
0.1,-0.0003401229,-1.2662372990765717e-06,-2.8278283122683647e-06,-1.3472556410958438e-06,-1.3627019815134361e-05,6.553141512994656e-09,-1.7915453082176975e-07,1.0152452117773686e-10,2.1029528064747858e-07,0.0011801235553205724,-3.462919875234227e-06,1.0331886144271385e-05,-5.786181773344618e-05
0.11,-0.0002216223,-1.2539715199336545e-06,3.5577096870634956e-06,-1.4836421847471792e-06,-1.3647879256286184e-05,5.238894463740835e-09,-1.1569863551153615e-07,1.626153037098845e-11,-2.3764408720676297e-07,-0.00025155169975878133,-1.680952511642908e-06,-1.3714964216121617e-06,9.712419615834998e-05
0.12,-0.0004609686,-1.2259982310839046e-06,3.057043502018155e-06,-1.6195144728207613e-06,-1.3502305248919695e-05,9.548513275263735e-09,5.779200947160477e-07,3.5942656206934047e-10,2.696301898287175e-07,0.0007315483372199727,1.400270975682183e-05,-6.168175266207943e-05,-0.00015045791660897232
0.13,-0.001015545,-1.1520923349628155e-06,1.4101069631823175e-05,-1.753256505710307e-06,-1.3217154361706586e-05,1.935060819700456e-08,1.1704202950901483e-06,6.548193220404696e-11,-2.422933797692618e-07,0.0011877154330738882,3.034081655842874e-05,-3.91875287653054e-05,0.00023036198239891208
0.14,-0.001162528,-9.369868983644548e-07,2.753514570225066e-05,-1.8847101626471278e-06,-1.3092881832259684e-05,2.430804360957369e-08,3.92368074530301e-07,8.377720359510105e-10,1.8774793712028437e-07,0.0016690383421061883,1.4596511603827411e-05,8.384780079798149e-05,-0.0003333555388625454
0.15,-5.893648e-05,-6.920459173774087e-07,9.724439313537797e-06,-2.017248401406257e-06,-1.3510310845277227e-05,1.009413395368369e-08,-2.0250111907812297e-06,2.679845337742981e-10,-6.686840173575533e-08,-0.006134172560705711,-4.3758979853092406e-05,0.0001880761260660141,0.0003883867541459421
0.16,0.0009308621,-9.233372266546811e-07,-6.064285361220635e-05,-2.154332444452331e-06,-1.3938821302070604e-05,-6.5203492080934506e-09,-1.9337768066107793e-06,1.0939923502491214e-09,-7.964460208271016e-08,-0.007447797605750803,-5.538782697196015e-05,-8.784583432792925e-05,-0.0004365758382667824
0.17,0.0009930247,-1.9305848129686632e-06,-0.0001353416191095265,-2.294924982888442e-06,-1.4137683963794733e-05,-1.3746946929987073e-08,-4.970539060040986e-07,-2.2998691394227364e-10,1.690787086765288e-07,-0.006200970744626999,-3.0520174009847356e-05,-0.00019396469804247585,0.0003922353195417894
0.18,-0.0003691773,-3.3929785119633416e-06,-0.0001374501319934379,-2.4351832781441583e-06,-1.3809072749619467e-05,-5.291973626143138e-10,1.9882062700863685e-06,-9.722048680016121e-11,-3.8733896458081857e-07,0.006381978517793083,3.5456264529359904e-05,-0.00021082527897238468,-0.00036917648132991503
0.19,-0.003571971,-4.254204835167472e-06,-7.607581169455069e-06,-2.5678961378488264e-06,-1.2553533801979549e-05,4.5692123245294884e-08,5.850539546263393e-06,-1.1797546317269297e-09,4.448209992849673e-07,0.020492596133642613,0.00014241559510302926,-0.000186042080105156,0.0002951635758843723
0.2,-0.002747505,-3.303213135089888e-06,0.00018033719517304638,-2.693726521203923e-06,-1.2792654717154193e-05,4.273314531730669e-08,-1.2245103363404858e-06,-1.5940330969733875e-10,-4.443208350176737e-07,0.01300716685811018,8.644667735688283e-06,0.0008012401064143027,-0.00014171538263781729
0.21,0.001192632,-1.2105031088548995e-06,0.00019483408861059763,-2.826508538554164e-06,-1.4025252896463523e-05,-4.958483612066682e-09,-6.46172542026338e-06,8.384131590994907e-10,7.107810138785552e-07,-0.011582827321513708,-0.00013549486233977587,0.0004382716279463933,-1.3850235503335296e-05
0.22,0.005353868,-1.9779884536972933e-07,-2.703207801953008e-05,-2.9739231933562707e-06,-1.558228564837446e-05,-6.733522893501146e-08,-7.1869485764543305e-06,1.1931510765982594e-09,-5.793014092119118e-07,-0.0328507571976297,-0.00019433288039238938,-0.00019020853329582144,0.00022003244348852238
0.23,0.005367364,-2.1009795276405782e-06,-0.00033689547383671946,-3.1322031173742412e-06,-1.589523264612916e-05,-8.301991214239259e-08,-6.839247495460614e-07,9.74491758093801e-10,3.4034216967554294e-07,-0.023761813630674644,-7.070042181438196e-05,-0.0008697032057882192,-0.0004228901012817601
0.24,-0.004023569,-5.996320241635713e-06,-0.00034617569588526277,-3.2772180847907337e-06,-1.2443574835980957e-05,3.866703003531297e-08,1.6359286341559052e-05,-1.973877018844362e-09,-5.387145947132858e-07,0.027003992489305753,0.0003450014791088682,-0.0014295352046519577,0.0005508706279821083
0.25,-0.00762649,-7.6151279327341415e-06,4.7237205114337484e-05,-3.396084676302036e-06,-1.1469246007992794e-05,9.636633424055087e-08,5.489327450555407e-06,-1.5206221872237375e-09,2.2818264818515478e-07,0.04744138154394639,0.0001864917075489539,0.0013877402329883215,-0.0006067526138960368
0.26,-0.001413641,-5.170788088548207e-06,0.00037270606271374066,-3.518637458411724e-06,-1.3677675377730397e-05,2.4012071533636487e-08,-1.115251645465897e-05,-1.5298628218913556e-09,2.2810877190671077e-07,0.008906507257835108,-0.00019730732021155245,0.001727749960810307,0.0006433444466268773
0.27,0.003515852,-1.4761509908621453e-06,0.0003143625089490216,-3.6609464833370587e-06,-1.4830919084762878e-05,-3.772855930337654e-08,-6.804448524872096e-06,1.7277872493127951e-09,-6.065009969815055e-08,-0.02086223003141556,-0.00016762522273119224,-0.000504512134021376,-0.000573512415995848
0.28,0.004181836,2.522039477128501e-07,1.7940939092074063e-05,-3.809899188733439e-06,-1.4722585409160106e-05,-4.7608359236354416e-08,3.2012785247825745e-07,1.6057436957725392e-09,4.465654341964861e-07,-0.03303404614656659,-2.2271720989557042e-05,-0.0009228787096264152,0.00044655728156138205
0.29,0.004273393,-1.1632679649422458e-06,-0.00029364174589325794,-3.959036147387319e-06,-1.5125932647522635e-05,-5.710669239100275e-08,-1.1003025434514862e-06,1.753710417907115e-09,-7.207806085165691e-07,-0.02732199565050296,-5.744277153336974e-05,-0.00017835573890591372,-0.00029861758013584143
0.3,0.001300719,-5.137730453285682e-06,-0.0004532307829176395,-4.108113980988666e-06,-1.4550596249641331e-05,-3.0563499407091165e-08,3.406757100587774e-06,-5.941677228968748e-10,4.2102369817307426e-07,-0.0007993322046733059,3.960155095531631e-05,-0.0005172683371529457,6.028661634890529e-05
0.31,-0.006968522,-8.958516727381444e-06,-0.0002262041915471246,-4.241286513859749e-06,-1.1639561658730851e-05,7.917085524626933e-08,1.3999501696133624e-05,-2.58161572308403e-09,-7.82065961161168e-07,0.04690963986204137,0.0003141388519796451,-0.0006384966319310098,0.00015949111035978283
