,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23959031916753099,0.365690487150442,-0.23778490945683312,0.0
0.01,-0.0004515424,8.373678167720476e-08,2.0642378224698268e-05,1.3842696920203326e-07,1.4072000783204034e-05,1.22312826749821e-08,-9.860793917154134e-07,-2.6968244237726424e-11,3.0742113818276487e-10,0.0027731269268644887,-5.0286877382892115e-05,-0.0007379084938694547,-1.0014626117561934e-06
0.02,-0.0004542831,3.783410989247257e-07,3.685427922338845e-05,2.782440640010338e-07,1.4030094168010364e-05,8.1294428352213e-09,5.887701321002952e-07,4.472889358017831e-11,1.3815074926355825e-08,0.0015400975555244084,1.2686470756154145e-05,-0.00012236814850517808,6.117407478951828e-06
0.03,-0.0004565326,8.058878184041521e-07,4.6261297527257155e-05,4.1874981098101e-07,1.4071231471926736e-05,9.47518163722267e-09,1.8416789491882558e-07,2.0247473818020777e-10,2.0559033404515086e-08,0.0002621818764805828,8.938824636206544e-06,5.6111066104369556e-05,-3.966116153145637e-06
0.04,-0.0004567085,1.262660172017285e-06,4.3101410761917426e-05,5.598661502346828e-07,1.4143224198664279e-05,1.1481447004405895e-08,1.21635342229639e-07,3.6751207859504445e-10,1.2156226834943237e-08,-0.0009212046791059469,5.233228759629616e-06,1.4850774928409916e-06,-7.0027235188301735e-06
0.05,-0.0004541641,1.6291241473981906e-06,2.8849171153530348e-05,7.015537501106419e-07,1.4190709844494589e-05,1.273746653606387e-08,9.601239622220882e-08,4.786338063041712e-10,4.748588322132791e-09,-0.0018124304746822972,3.034878380936412e-06,-1.4428429833374112e-05,-3.1170417165324272e-06
0.06,-0.0004647196,1.8207082723980057e-06,9.226872433712815e-06,8.435636927299416e-07,1.420594430716703e-05,1.3298078299367344e-08,1.5020188252663753e-08,5.023215055961989e-10,-5.8211801849349375e-09,-0.0019708636539175067,-3.1766448359282773e-07,-1.3358907271679432e-05,-1.4335905516180895e-06
0.07,-0.0005025776,1.8228246264576956e-06,-7.625796515383261e-06,9.855828655377068e-07,1.4194110247328145e-05,1.3282751004223361e-08,-2.8049811562393298e-08,4.2913294923775416e-10,-1.4622280407872415e-08,-0.0012692802653759133,-2.6759503982190513e-06,-1.3874866316168633e-05,2.550279313624131e-08
0.08,-0.0005533363,1.7021626665420698e-06,-1.4462952750346793e-05,1.127365779088521e-06,1.4160926559551716e-05,1.2764923768129505e-08,-6.072892825507102e-08,2.9385629822328756e-10,-1.3801941664046877e-08,-4.415515278922977e-05,-3.7774221068112568e-06,-4.626155845760538e-07,7.559590759999486e-07
0.09,-0.0004654674,1.5702681853676298e-06,-1.0883221875549836e-05,1.2685254725904064e-06,1.406173902532108e-05,9.999025406616464e-09,-3.193709057436676e-07,1.568879240757415e-10,-1.1743114838614088e-08,0.0006512873498353139,-8.786851327713396e-06,3.540166722097726e-05,-2.0552167679673114e-06
