time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47916239260464566,0.7313531255544592,-0.4747606701296457,0.0
0.01,1.8029741207008944e-07,2.4022658111420857e-05,2.8037038626470705e-07,2.8337863735133783e-05,4.918683874332104e-08,2.2736719363710775e-05,-7.280763352542117e-10,-1.918617598085709e-07,0.0024787180900254224,4.2019444690025165e-05,0.00240186775894341,-2.2809240143786568e-05
0.02,5.95567555499518e-07,6.280410817060654e-05,5.657587877159228e-07,2.8721317462491487e-05,3.402171754279476e-07,3.0432237883206293e-05,-2.3596907724311894e-09,6.353105871315459e-08,0.004695708237507229,3.151530554866555e-05,-0.0005793994895265386,9.082782234127792e-05
0.03,1.448427397228718e-06,0.00010530524814804902,8.542587412865833e-07,2.8951352804293736e-05,5.919879636959626e-07,1.8512567471118356e-05,4.419624704291784e-09,1.3646332491873036e-06,0.0032528179859901973,1.4951092119686038e-05,-0.0014387213270969368,0.00013012420997405753
0.04,2.6076575527116925e-06,0.0001203079041921157,1.1443870827127485e-06,2.906081077821263e-05,7.128666412341197e-07,6.849800370903848e-06,2.225164329406741e-08,1.9099241681014073e-06,-0.00040603310724854347,7.51901891798551e-05,-0.0008003611458123061,-3.6757400087107975e-05
0.05,3.7195912723049162e-06,9.591863926938019e-05,1.4354572072754803e-06,2.9151037211704668e-05,7.584279766114742e-07,3.511443022678689e-06,3.725895919524115e-08,9.560701244744304e-07,-0.004277873651295089,8.966038071947513e-06,1.1102490568598578e-05,-0.00012052198637982239
0.06,4.422683428355765e-06,4.1616170439731816e-05,1.7274183122048046e-06,2.9238972521605748e-05,8.000242451019381e-07,5.031443659252356e-06,4.166957994440423e-08,4.305815995757349e-08,-0.006081143070658157,7.852292699103702e-06,0.0001391366516506065,-5.6969177950568156e-05
0.07,4.545508471207678e-06,-1.471691159471006e-05,2.0200974287930934e-06,2.9285767074652073e-05,8.537718506879506e-07,5.146349933638782e-06,3.9580624239468776e-08,-4.772823239439342e-07,-0.004680374689550931,1.0450578828147261e-06,-0.00019759693769530462,-6.598583357699341e-05
0.08,4.216291106290499e-06,-4.556527809428922e-05,2.3128463376934756e-06,2.924865340098697e-05,8.889730823660595e-07,1.2945903477243636e-06,3.09049183745224e-08,-1.282830927866186e-06,-0.0013599018535431773,-8.288735495631805e-06,-0.0005402711225595547,-7.595782328470926e-05
0.09,3.7441891271125323e-06,-4.438349172397344e-05,2.6046151002856946e-06,2.907541867633182e-05,8.552081207681643e-07,-9.422061189470597e-06,1.5954807347983516e-08,-1.500829440430516e-06,0.0013016669089103705,-2.5983926315170658e-05,-0.0013436647372437327,4.46428939259219e-05
0.1,3.3872299975104096e-06,-2.551096665057636e-05,2.8938546131103294e-06,2.8754712055859235e-05,6.933378667886702e-07,-2.2426100621730883e-05,4.7341059596308716e-09,-6.625803764664453e-07,0.0022144154953774864,-3.622708154238374e-05,-0.0010470289196755078,9.038821518054062e-05
0.11,3.242168839127552e-06,-3.97078075955222e-06,3.1795973275149564e-06,2.8400040422126342e-05,4.334856801685425e-07,-2.7746683683984936e-05,1.2158704769086014e-09,-2.1772287763434456e-07,0.0019477213303912833,-3.258973159744882e-05,-2.6125873492932605e-06,-7.353635346867052e-06
0.12,3.2965355635001506e-06,1.533826732679176e-05,3.4626206041540887e-06,2.8275221690147664e-05,2.1851013179932044e-07,-1.0341993948924024e-05,-2.070526179307401e-09,-4.4251138252653886e-07,0.0022607987466472523,9.250749862757535e-06,0.002937892264517017,-8.535341178354488e-06
0.13,3.6023927196884163e-06,5.122456061714418e-05,3.746922130751739e-06,2.8691021399640486e-05,3.1312926713442856e-07,3.237493729962581e-05,-5.203304166460779e-09,2.1925150733055464e-09,0.005472794835771316,7.205128047407805e-05,0.00481550258258065,9.9909500512262e-05
0.14,4.456417258723094e-06,0.00012491626440875382,4.037670923887331e-06,2.9465788132728364e-05,8.048532845040951e-07,5.916765259735541e-05,1.1002599701547594e-09,1.3470759726507742e-06,0.00865565648875441,7.641178512123037e-05,0.000718806058070981,0.00015379300631858487
0.15,6.093530331069081e-06,0.0001920696985339251,4.334278763385517e-06,2.9648105260192474e-05,1.2208114364944582e-06,7.766748041233834e-06,2.1986431706582048e-08,2.7565879269707565e-06,0.002388121659357284,-4.6241320650633466e-05,-0.009017324543120014,0.0001069889577753057
0.16,7.881196895807678e-06,0.00013788704719477774,4.626751134610198e-06,2.8692431846702897e-05,8.397263929443999e-07,-8.159508006276513e-05,5.1799106318839844e-08,2.7876974532316737e-06,-0.013909843756319623,-0.00013702593752198955,-0.007718997569499203,-0.0001432460237998916
0.17,8.328290726444867e-06,-6.632488082471315e-05,4.907199656545542e-06,2.7461860266435887e-05,-1.6423488117773979e-07,-0.00010211638057212665,6.613572346022896e-08,-5.311035105737549e-07,-0.024448989484063655,-0.00010022819315920473,0.002424098575104283,-0.0004990235061399927
0.18,6.513738923085435e-06,-0.00027874649486881657,5.179556817516314e-06,2.7287498102514375e-05,-8.076206258811719e-07,-8.615734052619412e-06,3.439097245917422e-08,-5.698749615166975e-06,-0.01383480711485588,6.387531638238353e-05,0.013225782333006447,-0.0004230554030785433
0.19,3.5233059905302766e-06,-0.0002607290303792648,5.460232934613265e-06,2.9295923937814667e-05,-5.275659613966144e-09,0.00018193652430797955,-3.4337249210861786e-08,-6.9103195295156615e-06,0.020958254754632227,0.00032975793210958393,0.02111773837335948,0.0002496830443968706
0.2,2.568477609842944e-06,0.00011617553723196319,5.767661260913526e-06,3.1892675176180324e-05,2.2410032092059983e-06,0.00021303031683385433,-7.739153974800249e-08,-4.487381701790293e-07,0.04830768607175989,0.0001585691395275396,-0.01113320214572422,0.0009830248738628992
0.21,5.989720230217968e-06,0.000526383997989587,6.086724384346288e-06,3.112392227735674e-05,3.185212342317997e-06,-6.697229679554903e-05,-2.9740966418168424e-08,9.746292662380703e-06,0.023543610871978093,-0.0003086857227777712,-0.03689661771829883,0.0008311199905813268
0.22,1.1397758171979094e-05,0.00044160823340539524,6.376476981238091e-06,2.632109272916904e-05,7.263879833390367e-07,-0.0004076837765945368,8.940838393552778e-08,1.1654098830834786e-05,-0.043690070777541085,-0.0006105526905343939,-0.027183185024554107,-0.0006005766749398733
0.23,1.262905893767502e-05,-0.0002716694892815599,6.612621765945187e-06,2.1347164176296538e-05,-3.826299426185855e-06,-0.00042826151249761,1.4906176257119135e-07,-2.011049388902439e-06,-0.08880875737569605,-0.00035604136501661554,0.017147082263094526,-0.001936370466527094
0.24,5.834792767592769e-06,-0.0009964494242812125,6.8255243625100606e-06,2.2959292197429675e-05,-5.743152278706704e-06,0.00015184161113207436,3.204636109227105e-08,-2.0399626263332038e-05,-0.034812231683943345,0.0006694141168463452,0.0814559459352798,-0.0013311227745056494
0.25,-3.831201711225311e-06,-0.0007285328849070649,7.095036965552295e-06,3.131385202787816e-05,-1.0097404739319412e-06,0.0007008829342008991,-1.9876970090627242e-07,-2.1115631355421774e-05,0.08818114528327808,0.0009018573518242146,0.026329540881264213,0.0014041804359708095
0.26,-5.391696680941918e-06,0.0004864072739592339,7.4383159963135636e-06,3.5624707801694855e-05,5.200574199648142e-06,0.00037430755794520446,-2.95031487180918e-07,5.270294106279928e-06,0.1295727006358822,-0.000100513666818694,-0.07332142824829535,0.0033744512884091218
0.27,4.82848551359167e-06,0.0013996909927263155,7.776222339981619e-06,3.0846300732084196e-05,5.145930309910573e-06,-0.0003650563553621049,-9.119377112439222e-08,3.1870478565303994e-05,0.03646833989482853,-0.0007551913315074488,-0.06237887410260834,0.0012478467876638195
0.28,1.8433522058557437e-05,0.0011125293048589455,8.049471620866372e-06,2.428013816257765e-05,-2.7118716324649364e-07,-0.000593613707770597,2.2257820010486602e-07,2.4526642859150402e-05,-0.0876148699715707,-0.0004806225934584907,0.01166238363448957,-0.0024758827686966337
