,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044017224750000005,0.0
0.01,-0.0004515424,5.091311579415589e-08,1.535438997573424e-05,1.7634090825357814e-13,3.644734105731441e-11,1.6833884113152094e-07,2.8171372239855088e-05,1.1253139393724919e-10,5.349459408112783e-08,0.003006621450317968,3.575981717407208e-09,0.0011719336856043125,2.044064471740897e-05
0.02,-0.0004542831,3.821651391828136e-07,5.2234661144076384e-05,7.08894598125473e-13,6.769173312821302e-11,4.6332880060150827e-07,2.7073563217273732e-05,2.778198441112668e-09,5.996257839536292e-07,0.003787081878162793,1.9114904729775733e-09,-0.001055974251893392,8.844281121863147e-05
0.03,-0.0004565326,1.064853969611917e-06,8.025569420171664e-05,1.4797425427465214e-12,8.432202551528654e-11,6.700069125164522e-07,1.3923727063273635e-05,1.3430914847893416e-08,1.488657168128404e-06,0.0014087040046883161,3.1269909801414296e-08,-0.001287017360817003,6.246083017077167e-05
0.04,-0.0004567085,1.8774972595548016e-06,7.609265133588555e-05,2.3669108573116475e-12,9.242871535740184e-11,7.563800517202633e-07,4.684281023058253e-06,2.9384346102770926e-08,1.4786198822389696e-06,-0.0022622142184382304,-1.1451803928112234e-06,-0.0005099547849352654,-6.513198114738443e-05
0.05,-0.0004541641,2.4713642731068617e-06,3.7981533441201646e-05,3.32247226237076e-12,9.854814213725282e-11,7.890858938571466e-07,2.729028516201013e-06,3.963046021775765e-08,5.109618452562659e-07,-0.005060045631442222,1.514744844944193e-07,1.1563291848199261e-05,-0.00010314685935976426
0.06,-0.0004647196,2.580137158807105e-06,-1.682991011391357e-05,4.33122795661954e-12,1.0255304537878364e-10,8.188130885679781e-07,3.102369716023731e-06,4.025250225367972e-08,-3.142545293640196e-07,-0.005422866362130875,-1.294565091490927e-07,-4.983907916953099e-05,-6.300057423988406e-05
0.07,-0.0005025776,2.1692688304704247e-06,-6.158539262262003e-05,5.354968533050766e-12,1.0109937032800117e-10,8.44012841105202e-07,1.487301210639613e-06,3.4184137280999776e-08,-8.933775078544583e-07,-0.0031771290393056663,3.6503156861237296e-08,-0.0003140621291692463,-5.813531163242273e-05
0.08,-0.0005533363,1.4496089316717888e-06,-7.667553490636036e-05,6.330506874994845e-12,9.303393663867416e-11,8.404172036378825e-07,-2.404394681835075e-06,2.2592005275916247e-08,-1.3703743629955763e-06,0.0001835389728789731,-2.131843385837079e-08,-0.0004210505608992368,-2.329020158974048e-05
0.09,-0.0004654674,7.394638955965902e-07,-6.143431771372497e-05,7.186129538394689e-12,7.609724118946769e-11,7.790611454943032e-07,-1.0928198594902528e-05,9.236010787584485e-09,-1.1461790746756238e-06,0.0025347216660156963,-1.5943614983487772e-07,-0.0010520401576127971,6.705943180762179e-05
