,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044017224750000005,0.0
0.01,-0.0004515424,2.1339491610420827e-07,4.1392273156404e-05,4.8852155928334565e-09,5.229792725705864e-07,1.669579896322607e-10,1.95530470103918e-09,8.566279924289247e-13,1.6793484109407484e-10,0.003606640268162123,8.75453090488544e-06,-2.0893223608818104e-07,1.4818342535097067e-08
0.02,-0.0004542831,7.758590267016415e-07,6.747371561732662e-05,1.0647130072220745e-08,6.384742472159028e-07,1.9202575971378823e-10,3.009143335634379e-09,3.144175486400743e-12,2.7463336828242024e-10,0.0014353845080071165,1.384561246524033e-05,1.8290609191558568e-07,5.8431857546405695e-09
0.03,-0.0004565326,1.4774218736115422e-06,6.824915350908323e-05,1.7748044676000123e-08,7.819543552399241e-07,2.2318092044501284e-10,3.0316379786349057e-09,5.997797813803902e-12,2.7723121924060264e-10,-0.0012849989367519923,1.3864829504793616e-05,1.0355246455088934e-06,-5.3389307712228135e-09
0.04,-0.0004567085,2.0550105140908774e-06,4.335118895810311e-05,2.6193133595844524e-08,8.98291039062855e-07,2.4837996500083367e-10,1.8877135757559213e-09,8.336477822048631e-12,1.7444430350213025e-10,-0.0035312138309209202,8.711977484606663e-06,2.1098744378513425e-06,-1.4545931869593132e-08
0.05,-0.0004541641,2.2901626265158404e-06,2.0900145655190805e-06,3.547174559129092e-08,9.427564087625916e-07,2.579128623788651e-10,2.4547888592101903e-11,9.264625770278843e-12,4.7150500025884345e-12,-0.004444853021920585,1.7448797481110515e-07,-9.152231825767814e-07,-1.8265503848790762e-08
0.06,-0.0004647196,2.096931431062294e-06,-3.9217226967237316e-05,4.48244868288575e-08,9.142777719401448e-07,2.5330634151060184e-10,-1.2933297206213439e-09,8.432188768526129e-12,-1.6490485934141607e-10,-0.0035347925534450647,-6.604019254811843e-06,-7.666139451973683e-06,-1.4498950166776797e-08
0.07,-0.0005025776,1.5656512674109825e-06,-6.290038361899587e-05,5.3652451593844083e-08,8.442622613580424e-07,2.4275151959506967e-10,-1.446627723759601e-09,6.212814477354184e-12,-2.6193512643323116e-10,-0.0010382517157147765,-8.885246354523004e-06,-5.83731934610313e-07,-4.229862410744072e-09
0.08,-0.0005533363,9.355047119350293e-07,-5.8073676847349264e-05,6.170660497195517e-08,7.67232360976076e-07,2.321715026188987e-10,-1.5014520167962802e-09,3.5903572316935173e-12,-2.4178532542253426e-10,0.0019667022901556945,-9.108519687983482e-06,1.1890260854783472e-05,8.12046163336166e-09
0.09,-0.0004654674,4.743438809634333e-07,-3.250577761413391e-05,6.841536006913986e-08,5.801097280637448e-07,1.8172513517991002e-10,-4.7870840209662984e-09,1.6678527205189318e-12,-1.3595095799393227e-10,0.0029586523412312776,-1.6953787820949755e-05,5.011330049786231e-06,1.2227012461155876e-08
