,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.4749809775443035,0.0
0.01,-0.0004515424,1.802974504553086e-07,2.402260749742878e-05,2.8037080144579726e-07,2.8337768612481963e-05,4.918688202808866e-08,2.2736789916416535e-05,-7.280843102961592e-10,-1.9186328775714857e-07,0.0024787121932787204,4.2000466911648604e-05,0.0024018749163639552,-2.2809147549269292e-05
0.02,-0.0004542831,5.95566841184469e-07,6.280402607289534e-05,5.657573440691299e-07,2.872104946933017e-05,3.402181320493883e-07,3.0432327689715484e-05,-2.359695019621e-09,6.353312871986874e-08,0.0046957089576971645,3.150184174499637e-05,-0.0005794042445537162,9.082829399470742e-05
0.03,-0.0004565326,1.4484258435408555e-06,0.00010530514498205235,8.542540355155482e-07,2.8950980952619348e-05,5.919894957816973e-07,1.8512591362299612e-05,4.41966676644883e-09,1.3646397647302164e-06,0.003252809539375595,1.4939505423652855e-05,-0.0014387255439420044,0.00013012429957980038
0.04,-0.0004567085,2.607654496373854e-06,0.00012030762502578636,1.1443783656109005e-06,2.906030071649545e-05,7.128681119490295e-07,6.84983143074711e-06,2.2251748668933377e-08,1.9099284942209315e-06,-0.00040467102050903425,7.728734640501111e-05,-0.0008017437605773725,-3.675814285242424e-05
0.05,-0.0004541641,3.719519535602269e-06,9.591711551519798e-05,1.4354440246715884e-06,2.915056277413544e-05,7.584440185268444e-07,3.5093800941988035e-06,3.725621585182006e-08,9.565169641005773e-07,-0.004277675279484472,8.989994171024196e-06,1.0995699202875908e-05,-0.0001204650141874257
0.06,-0.0004647196,4.422548753072164e-06,4.168091282204776e-05,1.7273997157903917e-06,2.9238298632593315e-05,7.999768993336441e-07,5.012198364693654e-06,4.169108810525274e-08,4.068487341618533e-08,-0.006080604709520099,7.51330486072066e-06,0.0001408586758855912,-5.770473891619906e-05
0.07,-0.0005025776,4.546180135033458e-06,-1.4687273249120603e-05,2.020072435736751e-06,2.928534333717382e-05,8.536470531732993e-07,5.155269720747662e-06,3.9551940570028844e-08,-4.78798789756327e-07,-0.00468782197633813,9.039226184226479e-07,-0.0001960543418033922,-6.46983234695044e-05
0.08,-0.0005533363,4.216939372165862e-06,-4.5582281125594854e-05,2.312818738758167e-06,2.9248555643146327e-05,8.889701312114598e-07,1.3100000295255614e-06,3.090732589251854e-08,-1.2759154478166153e-06,-0.0013628761031878045,-8.239256412523321e-06,-0.0005404122853782667,-7.577529057476188e-05
0.09,-0.0004654674,3.7446145072523242e-06,-4.439396580426387e-05,2.6045870870356655e-06,2.9075455238920337e-05,8.553678937119072e-07,-9.402628541332265e-06,1.5999849315130795e-08,-1.5018384470110677e-06,0.0013052309256816053,-2.5717813560074965e-05,-0.0013459776691610303,4.340166526785316e-05
0.1,-0.0003401229,3.3876168611953153e-06,-2.5502364987864053e-05,2.89382669545738e-06,2.8754653656821388e-05,6.936742675036289e-07,-2.2428792356681545e-05,4.719766706060374e-09,-6.700669958925883e-07,0.0022133989675766907,-3.623083857828835e-05,-0.0010494623320737306,9.112799032829144e-05
