,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0020553569244984504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795749779754295,0.7319828611203923,-0.49973802940475925,0.0
0.01,0.0020363317464643232,-1.0873695568899699e-07,-6.227269043421531e-05,2.6998573421951333e-07,2.6189199021365553e-05,-8.804122104476206e-07,-0.00013237613404337562,-1.3363606516197782e-09,-4.849240603615072e-07,-0.014256385647418601,-0.00017737462784454816,-0.003896217912865596,-0.00013415249864711184
0.02,0.002016812993322964,-1.5412695240011921e-06,-0.00022745088579246276,5.240936688636573e-07,2.475713306452343e-05,-2.2039730341381547e-06,-0.000116675349382345,-1.743423492049124e-08,-3.164671941959692e-06,-0.016143568531738706,-9.479494454361914e-05,0.0054383139445017825,-0.00037794033224597314
0.03,0.0019969230850558728,-4.469177903953015e-06,-0.00033799172674219913,7.676400440332974e-07,2.405381966290844e-05,-3.061716422952887e-06,-5.452266469379364e-05,-6.717503206802205e-08,-6.438668454045111e-06,-0.004252208491245274,-4.4273578170231365e-05,0.00576215131254218,-0.0001737264076878426
0.04,0.0019770718503738472,-7.782002815866195e-06,-0.0002964240814085073,1.0064563699729586e-06,2.37393240466557e-05,-3.377102417352237e-06,-1.493285650767575e-05,-1.314761195862223e-07,-5.560818549411252e-06,0.012468608971424877,-2.5047013776022253e-05,0.0020339316846096356,0.00032564517368937045
0.05,0.0019575338995535705,-9.89296046879316e-06,-0.00010647530038792824,1.2426632621061787e-06,2.350985463334242e-05,-3.474656097453674e-06,-8.257162786407794e-06,-1.6723699146204525e-07,-1.4829544155010805e-06,0.02394064992106104,-1.9556678636248326e-05,-0.00016880113632850025,0.0004026220628533051
0.06,0.001937570539297579,-9.709937291759524e-06,0.0001427442552049574,1.4770878528340005e-06,2.3417561857765903e-05,-3.5616961528982235e-06,-7.59004521878271e-06,-1.6460090971095546e-07,1.7690506144174222e-06,0.023789963373344047,5.721971320232777e-06,0.0007110805650214491,0.00026775269877398096
0.07,0.0019176622680332632,-7.237542814337261e-06,0.00033387964851115236,1.7122680738771941e-06,2.3695951139648395e-05,-3.5687244102500755e-06,9.443163505895227e-06,-1.336973850028598e-07,4.434011381037349e-06,0.013251170163123077,5.155499654131701e-05,0.0026167056142961387,0.0002662426717020411
0.08,0.001897547830391011,-3.464790410095887e-06,0.0003978637296211589,1.9525553982456827e-06,2.4428486009263667e-05,-3.3275284099193504e-06,3.945659655112841e-05,-7.822584810708114e-08,6.286114150986056e-06,-0.0003494443850498852,9.125622675507095e-05,0.0030065492838669827,4.684689711814639e-05
0.09,0.0018729339019741473,2.958949681739002e-07,0.0003358224061235919,2.201700626851548e-06,2.541354618271577e-05,-2.803881363364945e-06,6.232465799221296e-05,-1.9251878998486286e-08,4.9306495650298325e-06,-0.011420450543532107,9.963868528177489e-05,0.0012691553337476347,-0.00028504783754265683
0.1,0.0018412852762566864,2.9523481013638227e-06,0.00018452135492157842,2.46042772795955e-06,2.628030393803626e-05,-2.160625821468538e-06,6.18567232230405e-05,1.4474622918651665e-08,1.8530614366696422e-06,-0.017951401830706565,6.845830722744528e-05,-0.0013845657451999338,-0.00027308766412493645
0.11,0.001801650972564152,3.865408729514754e-06,-2.5761655568506316e-06,2.7257966215428263e-06,2.670135791479277e-05,-1.6491763966839115e-06,3.713672903955623e-05,2.148759076872044e-08,-3.0276308388181504e-07,-0.018356779445456745,1.363205160660741e-05,-0.0033517351330815404,-0.0001896692787207528
0.12,0.0017538392923346034,2.9933554490960405e-06,-0.00016256478642530617,2.9925385807444013e-06,2.655619562659427e-05,-1.4584213207169718e-06,4.261534558783228e-07,7.913560509348909e-09,-2.5472582825569824e-06,-0.0128650866990897,-4.053589418545611e-05,-0.0037105578414076135,-0.00025826276910062665
0.13,0.0017152130058988347,8.587528088633348e-07,-0.0002502777959334311,3.2553953881714064e-06,2.5958438416111e-05,-1.6271627287882537e-06,-3.23662237701223e-05,-2.9469207335247727e-08,-4.68109005685824e-06,-0.004452891832757155,-7.441127813648252e-05,-0.0026338752575069124,-0.00011343136251944848
0.14,0.0016723187137443834,-1.7166904426828206e-06,-0.0002497893502087513,3.5110689656082024e-06,2.5170163438499908e-05,-2.0517191998210875e-06,-4.927724199376503e-05,-7.696363906930135e-08,-4.349856990382813e-06,0.004541928243940591,-7.819378452510184e-05,-0.0006931083816565653,0.00015677569854926233
0.15,0.001622875230806877,-3.846346743407759e-06,-0.00016288631379257455,3.759158951503054e-06,2.4487925140330003e-05,-2.54523692074138e-06,-4.6190859480778516e-05,-1.1118862691564452e-07,-2.4733166847292865e-06,0.012430972058187328,-5.4337432770945604e-05,0.0012361643751774842,0.00017869001796755237
0.16,0.0015618497047104843,-4.767274854865631e-06,-1.4862451088962867e-05,4.001971656382908e-06,2.414503805123614e-05,-2.9190554315403582e-06,-2.6295457670191904e-05,-1.2770545822477744e-07,-8.376312427785135e-07,0.016268373353322846,-1.2383534342713665e-05,0.0025954355620637914,0.0001771604351289589
0.17,0.0014748185575893503,-4.108742454400806e-06,0.00014389527751235154,4.2436065016983305e-06,2.4261707920360553e-05,-3.037936797235981e-06,3.4902458487228464e-06,-1.253427551277061e-07,1.5000624291895658e-06,0.014645877068594965,3.508570611034101e-05,0.0031652549071278513,0.00028353060446763886
0.18,0.0013737967541733041,-2.0184586273345015e-06,0.00026490732598624065,4.488685686231948e-06,2.4818836695096418e-05,-2.847701137630958e-06,3.385721744641321e-05,-9.677674377096652e-08,4.038679252266823e-06,0.009054276402974543,7.355853776937205e-05,0.002731765762472832,0.00017395417893556996
0.19,0.0012557914041418853,9.587767552631542e-07,0.00031743486546073586,4.74097270232123e-06,2.567210210388214e-05,-2.388839723900482e-06,5.600338339063697e-05,-5.192290181388875e-08,4.527760111135407e-06,0.0011778988588181105,9.317919114201767e-05,0.0015840325280584155,-6.1115900229282e-05
0.2,0.0011581764931655567,4.048797801721161e-06,0.0002863870817138624,5.00235718069871e-06,2.659416006411459e-05,-1.7776378669532905e-06,6.339124854469599e-05,-1.1147846487798117e-08,3.5782771621999083e-06,-0.007254340684869354,8.696663167435947e-05,-0.00010590206598976026,-9.672126927031766e-05
0.21,0.0010669841795823225,6.435377352118434e-06,0.00018105753756179422,5.272254235685355e-06,2.7337847830930895e-05,-1.1759425484904713e-06,5.443549668002419e-05,1.9808885087048254e-08,2.55468091693846e-06,-0.01311717393611378,5.8967726251454855e-05,-0.0016063452315638882,-0.00013690679412553368
0.22,0.0009617881330243342,7.5505553349561555e-06,4.006469417262635e-05,5.547953062679002e-06,2.773721468674899e-05,-7.276586907976604e-07,3.3901059174709796e-05,3.6020094401810207e-08,4.3445745365361505e-07,-0.014274827743644608,1.994309626818236e-05,-0.00238317681824482,-0.0002788138380075741
0.23,0.0009394367484473877,7.271226862078379e-06,-9.123265897709938e-05,5.8255827120016235e-06,2.771427841691946e-05,-5.231210739140765e-07,6.029242792817796e-06,2.6465285597124056e-08,-2.2162262633232393e-06,-0.011460687070681819,-2.4038527402750476e-05,-0.0029660978302448737,-0.0002025567133652369
0.24,0.0012745149838579515,5.859741903434687e-06,-0.0001835931126273765,6.10044055163521e-06,2.715286464404534e-05,-6.526344413929623e-07,-3.4563066151399416e-05,-2.328095509445832e-09,-3.22194196684156e-06,-0.006969976288534185,-8.620596296597671e-05,-0.004540607512067751,-1.72114351012711e-05
0.25,0.0017096256466522515,3.7496803179974913e-06,-0.0002312197046823064,6.366793728492245e-06,2.6044114482255097e-05,-1.2234411837255479e-06,-7.814931507761795e-05,-3.4930416723329075e-08,-3.3421494397792195e-06,-0.0026600174536093313,-0.00013004838300197108,-0.003683628884542045,-3.9114955820242865e-05
0.26,0.0022493555909553335,1.3643005644243277e-06,-0.00024049441774064912,6.6203373582718435e-06,2.4638104411266193e-05,-2.1625008807034772e-06,-0.00010636381755578861,-7.132505481815421e-08,-3.967964319790605e-06,0.0005636127727556839,-0.00014581701143995263,-0.0017475472463582276,-5.397645899233661e-05
0.27,0.0025515854848297296,-9.656589207821553e-07,-0.0002203154314039704,6.859847027186759e-06,2.3317336837743655e-05,-3.2425666965288895e-06,-0.00010347287930019174,-1.1152071881661456e-07,-3.819360470653298e-06,0.0037074788734208497,-0.00011411909711976642,0.0019309047391878054,9.160079964968659e-05
