,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.006166070773495351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795749779754295,0.7319828611203923,-0.5400641322634189,0.0
0.01,0.00610899523939297,-2.902006338271425e-06,-0.0005592807326994417,2.072616715201169e-07,2.05726560375298e-05,-2.271776259108699e-09,-2.2694060483039213e-08,-1.2759620993524589e-11,-2.3677639549365627e-09,-0.047650308498427746,-0.00011476912633050229,-2.662138698900085e-06,-5.610481128379835e-07
0.02,0.006050438979968892,-1.041670091448423e-05,-0.0008916754091735721,4.057964613080201e-07,1.901664135938412e-05,-2.585582837733789e-09,-3.770599525830862e-08,-4.4429810500733586e-11,-3.511782493533157e-09,-0.016631256501593916,-0.0001845905018281191,1.8445453217053043e-06,4.598168827033705e-08
0.03,0.005990769255167619,-1.954142646489978e-05,-0.0008705999527509982,5.864867647184987e-07,1.7129690790160264e-05,-2.9724123411497754e-09,-3.5300497905967324e-08,-8.253847327893078e-11,-4.439081200620497e-09,0.02071902218685548,-0.00017753457984479026,1.1044112874225576e-08,-1.0882949325935823e-05
0.04,0.005931215551121541,-2.6664726488771475e-05,-0.0005047683326690462,7.49824397461157e-07,1.5665124977091132e-05,-3.274827603325606e-09,-1.857579436269964e-08,-1.1228516598792066e-10,-4.063977771246914e-09,0.050101115136513885,-0.00010683275158029915,1.6862013156315747e-05,-3.056851996435274e-05
0.05,0.0058726016986607125,-2.8946697086448125e-05,6.549538417784101e-05,9.032141731005322e-07,1.521041527010224e-05,-3.36598112929236e-09,3.108290497165857e-09,-1.2251809819976531e-10,-3.2200101897854823e-11,0.0602342708213532,1.4292074660665621e-05,5.320182292517517e-06,-2.892837453047012e-06
0.06,0.005812711617892737,-2.5400680236520646e-05,0.0006222243047545623,1.0581350337240412e-06,1.5968161371751784e-05,-3.2024522995510805e-09,2.8580176897756174e-08,-1.0866002697391569e-10,2.817952736375329e-09,0.04741673058996579,0.00013405206902657174,4.607149606400407e-06,4.5620997661290075e-06
0.07,0.00575298680409979,-1.7264878722006186e-05,0.0009530946066437488,1.2258417239325945e-06,1.769143590475868e-05,-2.83577723554145e-09,4.274531987422624e-08,-7.588533723680466e-11,3.55038204935718e-09,0.016570265701544573,0.00019997348247224878,-1.523473906805961e-06,-2.899762790446042e-06
0.08,0.005692643491173033,-7.525097833961473e-06,0.0009323782151320814,1.4131486524773422e-06,1.976697127241753e-05,-2.3962864454339187e-09,4.234816252547148e-08,-3.6693843613536637e-11,3.768132224610757e-09,-0.020552506172676177,0.00020048421542712136,-5.4271616125034505e-06,-4.757954594376834e-08
0.09,0.0056188017059224426,2.2798807238504576e-07,0.0005693996977854018,1.6198884021807028e-06,2.1455452708667185e-05,-2.036479382912857e-09,2.727086425205602e-08,-5.7121640819561965e-12,2.2466279667628936e-09,-0.04961954018406825,0.0001265355072374852,-5.305743698030829e-06,-2.434934699336753e-07
