,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.007193749235744576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.5499533800219578,0.0
0.01,0.007127161112625131,-7.016767501257851e-07,-0.00023915286471387878,2.4889989903595233e-07,2.1850917298422055e-05,-2.785954465386684e-06,-0.0004501675259815541,-2.576908851264638e-09,-1.0898476127684023e-06,-0.04853177042160761,-0.0006110545296853925,-0.016740373760621763,-0.0003643184247213604
0.02,0.007058845476630373,-5.9186933092477e-06,-0.0008215850641999685,4.4031919238710596e-07,1.6850106268588577e-05,-7.413273284511988e-06,-0.00041719051694028903,-4.855979118925713e-08,-9.820811004609197e-06,-0.05870177970522,-0.0002884044540299169,0.017842021538444386,-0.0013400574897475602
0.03,0.0069892307976955545,-1.6580199770571976e-05,-0.0012442675283661866,5.945675042857443e-07,1.4353875072267245e-05,-1.053071697675326e-05,-0.00020233719763137142,-2.1423801736615649e-07,-2.2368237243207938e-05,-0.019456501257888198,-0.000155389077701934,0.02058743923432002,-0.000772256583010905
0.04,0.006919751476308465,-2.902719650648733e-05,-0.0011462725952820362,7.319853195702759e-07,1.323839472860653e-05,-1.1719121187360564e-05,-5.746580814225426e-05,-4.447767442141214e-07,-2.049767299285493e-05,0.03917420237243792,-8.802886483064154e-05,0.007738055797396753,0.001097763517097932
0.05,0.006851368648437497,-3.769169317991037e-05,-0.000514322705643861,8.601572346356634e-07,1.2416217058603446e-05,-1.2090050124874667e-05,-3.084464522044953e-05,-5.803268525649967e-07,-6.061374160670468e-06,0.08204945176815061,-7.32857309175966e-05,-0.000607109319432475,0.0014458514770314054
0.06,0.006781496887541527,-3.849376922316467e-05,0.0003588854766959768,9.81587768758888e-07,1.2002364847746014e-05,-1.2424475765304538e-05,-3.14088759103213e-05,-5.792237133093354e-07,5.304373671804661e-06,0.08509887620149488,6.112776853264834e-06,0.002024337865837028,0.0008950058394737274
0.07,0.0067118179381164215,-3.1115663473549215e-05,0.0010574726766280375,1.1042958988965946e-06,1.279855842248231e-05,-1.2519914553400186e-05,2.408134536296194e-05,-4.814926211157006e-07,1.4441256289641124e-05,0.05006417394691082,0.00015995637554649944,0.008907602497050249,0.0009733023319189668
0.08,0.006641417406368538,-1.883229790413477e-05,0.0013193471797483746,1.2429006994277596e-06,1.5161358178064659e-05,-1.1768858751490428e-05,0.00012942431917269842,-2.9355576012939785e-07,2.203070361747375e-05,0.002501936095503504,0.0003017038134438682,0.010845220255592397,0.00030785562800582367
0.09,0.006555268656909516,-6.223445726832269e-06,0.001136633264332139,1.4108035062450063e-06,1.8485837366455858e-05,-9.998583340613213e-06,0.00021504538408382418,-8.12943802837017e-08,1.818024835538336e-05,-0.03691776128354313,0.0003412554319447425,0.005170987286273687,-0.0009884096306514122
0.1,0.006444498466898402,2.816811086703825e-06,0.0006304110454837289,1.6117016508457199e-06,2.153809885904414e-05,-7.739972336349237e-06,0.00022101796410306287,4.460128652590722e-08,7.021568819478017e-06,-0.06140574889584052,0.00025053054030309274,-0.004123961464122777,-0.0009993473294227788
0.11,0.006305778403974532,5.892863954109137e-06,-2.1448430273512297e-05,1.836680204268261e-06,2.3149072061804665e-05,-5.873026436950617e-06,0.0001401862163558563,7.410861678069399e-08,-4.005628535922222e-07,-0.06504562486225002,6.462394859695075e-05,-0.011364411880962655,-0.0005970697940408842
0.12,0.006138437523171112,2.6501873190289667e-06,-0.0005970867926234194,2.068097179299689e-06,2.2815321965972293e-05,-5.092569015927326e-06,1.2914881045444436e-05,3.6156203604310566e-08,-7.78821756343027e-06,-0.04714244458479758,-0.00012516386397375123,-0.013113093387126767,-0.0009226668948348455
0.13,0.006003245520645921,-5.21844037990258e-06,-0.0009282153922914161,2.2875520443518173e-06,2.0869559190878873e-05,-5.582301798660234e-06,-0.00010509509178577335,-8.702210829184019e-08,-1.6191878935603137e-05,-0.018263244727554084,-0.00024817613007768746,-0.00970122642084631,-0.0005285294135307112
0.14,0.0058531154981053424,-1.4896839297818288e-05,-0.000955485323077911,2.4830673980372132e-06,1.8200501968137584e-05,-7.013430824588024e-06,-0.00016987804177170387,-2.564294074642223e-07,-1.5816745283613397e-05,0.012868684062488478,-0.00026826866733589694,-0.0030183578947869383,0.000548462139698034
0.15,0.005680063307824069,-2.330659080701528e-05,-0.0006785967358298557,2.6525638357158966e-06,1.582446394083192e-05,-8.743816139915807e-06,-0.00016474570817911344,-3.806176737471187e-07,-8.881507379438413e-06,0.04135890564332437,-0.00019350983741163452,0.003807962682603555,0.0006507532197965096
0.16,0.005466473966486695,-2.76918246544654e-05,-0.0001726341058226449,2.803262134456942e-06,1.4547442313907578e-05,-1.0105932049446072e-05,-9.937349179794385e-05,-4.415131835102199e-07,-3.5367951743744485e-06,0.05669644139000318,-5.4826146539649345e-05,0.008767642399822861,0.000530442331575301
0.17,0.005161864951562726,-2.6577360320140044e-05,0.0003881772537168526,2.948690705212916e-06,1.4808705559715363e-05,-1.0606238848689431e-05,3.1292235665337385e-06,-4.4300149774362734e-07,4.091030676805042e-06,0.0524078080611302,0.00010625008327939944,0.011053417951049832,0.0010061453353611017
0.18,0.004808288639606565,-2.034060641483407e-05,0.0008280287374916315,3.104534181940808e-06,1.6585472007433445e-05,-1.002715215329348e-05,0.0001105770051719137,-3.5119884319323654e-07,1.3785313822266333e-05,0.033825497168784455,0.0002410038338118009,0.009803606008718602,0.000718077712323191
