,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.009249106160243025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09073373143198409,0.0
0.01,0.009163492859089455,-1.0470822342487645e-06,-0.0003148012739650039,-3.6128641950195807e-12,-7.449494437033364e-10,-3.449597298148979e-06,-0.0005753543916594589,-2.2821796270979442e-09,-1.1097509377753553e-06,-0.061465840205088884,-7.540622305001648e-08,-0.023262733984858994,-0.00042105716316661484
0.02,0.009075658469953337,-7.8152895711968e-06,-0.0010643453602978072,-1.4445668734389399e-11,-1.371662985481636e-09,-9.429309539164893e-06,-0.000543580620383147,-5.681767664031198e-08,-1.2122672644814599e-05,-0.07654663465654121,-2.0023737262773436e-08,0.022644518832022294,-0.001745560920762832
0.03,0.008986153882751428,-2.167385283531385e-05,-0.0016233403472209254,-2.998093128179089e-11,-1.6901859841432182e-09,-1.3509578857295009e-05,-0.00026605217210393084,-2.6745273143083853e-07,-2.8871470795936224e-05,-0.026896237795910823,-3.854634513093511e-07,0.0269314593140591,-0.0010712523000496656
0.04,0.008896823326682311,-3.800278812773438e-05,-0.001514672270471746,-4.766140781568411e-11,-1.831890438865081e-09,-1.507266830415114e-05,-7.505995521356654e-05,-5.679029519529091e-07,-2.6945973387159416e-05,0.04899980147879387,2.405281290608932e-06,0.010312500344445509,0.0014035376187642758
0.05,0.008808902547991068,-4.959726202198544e-05,-0.0007089327917249997,-6.651643116465077e-11,-1.9368565568168827e-09,-1.5550546760444725e-05,-3.932360432077429e-05,-7.473903375597122e-07,-8.192142775123747e-06,0.10560137213008465,2.7995663401621904e-06,-0.0008450941257967698,0.001889905149895038
0.06,0.008719067426839106,-5.1073724630265355e-05,0.00042237074229978824,-8.62453177727202e-11,-1.9924667377937002e-09,-1.5984632915423126e-05,-4.175658143482238e-05,-7.489646578009488e-07,6.541730179800247e-06,0.11089669680406328,2.9781396847455816e-06,0.0023956482322560146,0.0011445901958689816
0.07,0.008629480206149684,-4.189410116789818e-05,0.0013378100435848966,-1.0584769276219596e-10,-1.8948973714004104e-09,-1.612871112185977e-05,2.8435385341595568e-05,-6.262769136010133e-07,1.8311663389605057e-05,0.06614133588539883,-6.242729712555038e-06,0.011468821760328268,0.0012757166402249213
0.08,0.008538965236759549,-2.6236955684530517e-05,0.0016900809343934429,-1.2346044179642014e-10,-1.5973732483786743e-09,-1.5182918454149577e-05,0.00016540334112727503,-3.851185491960281e-07,2.8546495072205904e-05,0.004529769064456301,7.13422202970337e-05,0.014168776213073709,0.0004543133329234523
0.09,0.008428202558883663,-1.0035769539140679e-05,0.001464365527183287,-1.3737403594045586e-10,-1.1732346225721636e-09,-1.2901496532673609e-05,0.000278621888147773,-1.0776951131636563e-07,2.394799979942821e-05,-0.04764319607798022,-0.0011132353023295067,0.007689134819256106,-0.0012683747306742807
