,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0004010949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2397966197082153,-0.36600536692306546,0.18938899113489083,0.0
0.01,0.0004032784,-2.21478421270973e-06,-0.0004991515551325325,-1.9521856826108329e-07,-1.9758743928057844e-05,-2.511119145092835e-07,1.9660464691553843e-05,-1.003751543145046e-09,-2.314824427286828e-07,-0.041139818846911175,0.00045797993356723465,-0.0007818966533680305,-1.8936731699041522e-05
0.02,0.000405339,-8.721161322303662e-06,-0.0007748505421697135,-3.9603282470463147e-07,-2.1284369756436205e-05,-2.580993544546563e-07,-5.920576244761908e-06,-4.221699267415849e-09,-4.0024295835871435e-07,-0.018577558873609568,-0.00014020721084478244,0.0019818871039651853,-1.5385623925757985e-07
0.03,0.0004072813,-1.6804012763564894e-05,-0.0007847262835843596,-6.14845183327161e-07,-2.2661269372642633e-05,-2.902516963244435e-07,-4.637252748644433e-06,-8.189824340191334e-09,-3.646002839726964e-07,0.01509244594180334,-0.00017957569986758182,-0.00010388412285472493,-2.0746383668931133e-05
0.04,0.0004091656,-2.3440191135759925e-05,-0.000499379041301778,-8.489548789033699e-07,-2.401347366052677e-05,-3.2619055269748423e-07,-2.518160944983599e-06,-1.1560140494814485e-08,-2.848781722994836e-07,0.04032918294366622,-9.751991027484586e-05,0.00013543226105788841,9.56422773655801e-05
0.05,0.0004111496,-2.6164814092418558e-05,-2.8574616430200756e-05,-1.0924957662116445e-06,-2.4520453102996562e-05,-3.4131065075377807e-07,-2.038619236190839e-07,-1.2641247677384068e-08,6.124637934153266e-08,0.05087508399168726,3.9786326085020085e-06,0.00028170343238619056,-7.500448632110496e-05
0.06,0.0004136603,-2.3987908679849694e-05,0.0004487158051858588,-1.3357114051559063e-06,-2.3950548237426234e-05,-3.299995924895665e-07,2.39926844141488e-06,-1.167000572397077e-08,1.8097739433124424e-07,0.04125584082146819,0.00010693959518697643,0.00023830586553408306,0.00016907191975079963
0.07,0.0004173265,-1.7783996501381973e-05,0.0007508512478335803,-1.5685572429619167e-06,-2.2509681933326035e-05,-2.958825910065239e-07,4.21104744112465e-06,-8.08515940866543e-09,3.77515546541963e-07,0.01720731692344614,0.00017264144817798893,0.00011150829893140368,-0.00013612411334425027
0.08,0.0004229361,-9.947369302550264e-06,0.0007640176225838796,-1.7847383791883387e-06,-2.072294238374562e-05,-2.508123606302349e-07,4.524647142106303e-06,-4.2393165579342246e-09,4.858717704201854e-07,-0.01448438377487793,0.0001740533331191993,-5.302390481484731e-05,9.176423413290603e-05
0.09,0.0004285827,-3.4879694327557173e-06,0.0004853406632330656,-1.9839819948392166e-06,-1.922476836411441e-05,-2.1043266312284861e-07,3.277610629896898e-06,-6.415788714146758e-10,1.1252558705135428e-07,-0.03950888082706025,0.00011516524360216662,-0.00020265712328088048,-0.00011618840040706496
