,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0004010949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193168147513208,1.0979046119888582,-0.7697244433246453,0.0
0.01,0.0004032784,-2.197270781242248e-06,-0.0004879110261234347,3.642395948587658e-07,3.716742674539424e-05,-2.3797134854545068e-07,1.8407156384490767e-05,-1.2749330593911068e-09,-2.64283017301574e-07,-0.03574805195919467,0.0003547608546439207,-0.004025689382408298,-2.23906562749046e-05
0.02,0.000405339,-8.453996509914205e-06,-0.0007380025372317413,7.276381001848634e-07,3.5053204173925276e-05,-2.6381430382463403e-07,-4.543602151678888e-06,-4.656832914581862e-09,-3.97784472945252e-07,-0.015117275699896682,-0.0002591024240529982,0.0019015503269446676,4.1928755820097585e-07
0.03,0.0004072813,-1.59784165866195e-05,-0.0007113146572265267,1.071658597816224e-06,3.3540808665836565e-05,-2.954288306527955e-07,-4.682177295345984e-06,-8.648494113649219e-09,-3.7181355698613897e-07,0.01827899720852194,-0.00018589897223263152,5.7041252653322605e-05,1.7212633223774587e-07
0.04,0.0004091656,-2.1730274448301186e-05,-0.0003977561241850893,1.3996370789561324e-06,3.22093839749513e-05,-3.2931456593900793e-07,-2.346312894685186e-06,-1.1768964308512333e-08,-2.3542580209614584e-07,0.042600001379838465,-9.436425924029546e-05,0.00014223060599546922,3.400470458693981e-05
0.05,0.0004111496,-2.3365036561756343e-05,8.424454038498149e-05,1.7187357789694562e-06,3.179958904186082e-05,-3.418081548763476e-07,1.0424173007834739e-07,-1.2732911774515365e-08,6.829445484829882e-08,0.0507236433633558,1.6865497709780963e-05,0.00027791969580567844,6.8089837826426636e-06
0.06,0.0004136603,-2.0095042416761337e-05,0.0005512644461283475,2.039413689173963e-06,3.2512710336221345e-05,-3.2761568089279604e-07,2.6617235870245546e-06,-1.126637599124521e-08,1.799889908847106e-07,0.03955040287271966,0.00012237296858200186,0.00022900870943337592,3.469432698658716e-05
0.07,0.0004173265,-1.2993443338372128e-05,0.0008252411319880367,2.3719754964585925e-06,3.41079469682069e-05,-2.9151499926291513e-07,4.3331535419964e-06,-7.785304557015236e-09,5.324894886662104e-07,0.013562584290349344,0.00018691052619286552,9.514632665913458e-05,-1.1492080732075638e-05
0.08,0.0004229361,-4.582662582140604e-06,0.0008047661713787065,2.7226700602370104e-06,3.6027725425067346e-05,-2.461372723667659e-07,4.461243770427848e-06,-3.736831708916238e-09,2.2788851683060117e-07,-0.01769519850207571,0.00018497288291738356,-7.136813187433311e-05,2.8368723699289267e-05
0.09,0.0004285827,2.126175229603848e-06,0.0004963072282533957,3.0913386906942256e-06,3.759116767986306e-05,-2.0722841425845855e-07,3.0574331607216506e-06,-3.8502479699168676e-10,4.4444311778356334e-07,-0.0416591694815136,0.00011645265047283138,-0.00021562451096515667,-0.000101468300448125
0.1,0.0004291933,4.787641439283918e-06,2.226247228394792e-05,3.471402876390432e-06,3.823864321184324e-05,-1.8797839263792114e-07,6.570763690793228e-07,5.184040543785204e-10,-2.447411825985052e-07,-0.05043032759218172,7.466711539783066e-06,-0.0002746438627319603,0.00014332591405374787
0.11,0.000424924,2.6090518949481834e-06,-0.00043921852427355123,3.85234616122093e-06,3.777231810441584e-05,-1.9388743719702335e-07,-1.8028341669683554e-06,-3.5082022843917473e-10,-2.205841529336016e-08,-0.038390847989814514,-9.85345947301236e-05,-0.00023275335412786813,-0.0002667590748129095
0.12,0.0004155643,-3.3398068499838516e-06,-0.0007075349671858543,4.2239446437898216e-06,3.644709683338999e-05,-2.2060151161690474e-07,-3.357719334947765e-06,-4.1933357839928535e-09,-4.866204927016503e-07,-0.013889583147353113,-0.0001584228328267434,-9.91527336362541e-05,0.00034135561190254014
0.13,0.0004031643,-1.0557503509341982e-05,-0.000683824093585799,4.5801750853329804e-06,3.480647455166441e-05,-2.571031576624017e-07,-3.586273958472532e-06,-7.288474628179942e-09,-4.562396749505822e-07,0.018521921743925307,-0.0001578520910371639,8.284229584254454e-05,-0.0003711033866631245
0.14,0.0003881423,-1.6067674379952e-05,-0.00037872702021933313,4.921520396284738e-06,3.3582169764009583e-05,-2.863299472567696e-07,-2.0770582466347584e-06,-1.0999926844654726e-08,6.657871151437598e-08,0.04082341149284385,-8.217263630423688e-05,0.00020423946810577132,0.00033500091429243886
0.15,0.0003653296,-1.7554260466905797e-05,9.60179369552421e-05,5.25499514876804e-06,3.3296445722825396e-05,-2.9471580594903267e-07,4.6170283048379405e-07,-1.1425262121897968e-08,-3.914169973712503e-07,0.050335947021589084,4.6149558370067734e-05,0.00024835468512682257,-0.0001379530196913871
0.16,0.000330824,-1.4205259046238904e-05,0.0005562820130288252,5.591322201002255e-06,3.415017834666598e-05,-2.760228815979358e-07,3.145372617258025e-06,-1.001928869142644e-08,7.505911707806869e-07,0.039731378394221945,0.00018618001654835403,0.00018104097538793051,-2.5719679966017955e-05
0.17,0.00028275,-7.017816016823531e-06,0.0008396871611067796,5.941355766867572e-06,3.5979870569712865e-05,-2.3288144111566147e-07,5.125090673441925e-06,-6.8224225570205686e-09,-3.385172450032434e-08,0.014334007734370463,0.00021221932300426183,7.734294866032498e-05,0.0002365239756761976
0.18,0.0002780874,1.6115916343665557e-06,0.0008367232069076624,6.312249252714137e-06,3.8212840703862516e-05,-1.782903825404002e-07,5.486146058924448e-06,-2.013087451464883e-09,6.81904305099086e-07,-0.01418996018570623,0.000217381241740644,-7.044135078210223e-05,-0.00035694343362813446
0.19,0.0003393959,8.792750163719771e-06,0.0005589182151283179,6.704758061113871e-06,4.019154244071557e-05,-1.2753739880569898e-07,4.35391504826152e-06,6.439358800085256e-10,1.778688555574634e-07,-0.03980210974088952,0.00016135805932496194,-0.00020757004154578484,0.0003952380317257129
0.2,0.0004260692,1.2209486075501678e-05,0.00010945090522170752,7.112782253200363e-06,4.122542268484838e-05,-9.729968613866106e-08,1.7611813474382559e-06,3.0662958507699992e-09,-1.0596991448700637e-07,-0.047164916927243644,5.2075825451344815e-05,-0.00023882448515377686,-0.00045776215213937576
