,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0004010949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795749779754295,0.7319828611203923,-0.529982606548754,0.0
0.01,0.0004032784,-1.66303709863215e-06,-0.00045360505033928937,2.2292962941232275e-07,1.9805436990049287e-05,-7.973296554652862e-07,-2.536290564831112e-05,-2.3669080138087776e-09,-7.407245014574956e-07,-0.061051028360219944,0.00012118245536045513,0.0188234171070589,-0.00010935780453476859
0.02,0.000405339,-8.317703718483658e-06,-0.0007820304083774764,4.3224292712167765e-07,2.1396563689057372e-05,-6.480273613111379e-07,6.3405653516803344e-06,-1.2417967764426595e-08,-1.188935812564522e-06,-0.007529822955369192,-0.00015179896962214112,-0.007311830489710958,-3.1543039616384154e-05
0.03,0.0004072813,-1.611691468148863e-05,-0.0007425648695282668,6.328695689254009e-07,1.869624328810998e-05,-8.121836914859825e-07,-2.0763199726172935e-05,-2.3948191090723388e-08,-1.10919092311131e-06,0.014998987838005157,-0.00020428199321757823,0.002165668679539351,-5.590790394449305e-06
0.04,0.0004091656,-2.2319532273578746e-05,-0.0004506392579615772,8.133495264078485e-07,1.761912436680942e-05,-9.149229391963415e-07,-4.1576048604978835e-06,-3.3212557832155034e-08,-6.708487804086293e-07,0.04256579495236097,-7.413036548051255e-05,0.00018505604839635925,3.527292981026116e-05
0.05,0.0004111496,-2.445419907977358e-05,3.8373701296288125e-05,9.865211707180247e-07,1.7118286805282883e-05,-9.544025599987668e-07,-2.4342231311014217e-06,-3.65740648125024e-08,6.680795946571003e-08,0.05154502736860812,-5.775617992226367e-06,0.0007559068680164927,5.16264070522833e-05
0.06,0.0004136603,-2.159370229542313e-05,0.0005166712470909314,1.1596697052354817e-06,1.772048328028769e-05,-9.313180326404732e-07,6.981863403011274e-06,-3.2728404912520674e-08,7.910662945867477e-07,0.041419621937794984,0.00011699417153934744,0.0007679655000425722,4.906418808928517e-05
0.07,0.0004173265,-1.4725599918555814e-05,0.0008141057787008861,1.3439120176940332e-06,1.9225061538225277e-05,-8.330752112685268e-07,1.1898362453599922e-05,-2.3152197176588745e-08,1.2290963087348675e-06,0.015996668038205625,0.00017561254438708263,0.00030329160761857765,4.459735608483735e-05
0.08,0.0004229361,-6.303232002281513e-06,0.0008172779056166629,1.545302898508776e-06,2.1063189783763393e-05,-7.043384933119056e-07,1.3185573624550046e-05,-1.133521028428235e-08,1.194395872009316e-06,-0.015526329553528673,0.00018088509522756757,-9.61468498582585e-05,2.8526409234578155e-05
0.09,0.0004285827,6.313321799921317e-07,0.00052695483748805,1.7642285836951093e-06,2.2619795301652928e-05,-5.849749330270793e-07,9.914663647868853e-06,-1.663453659958587e-09,7.343309919686226e-07,-0.04093784351325497,0.00012004289639014343,-0.0005501973008055772,1.0952082012530501e-05
0.1,0.0004291933,3.6209183102777913e-06,5.451292065387369e-05,1.994845690521265e-06,2.3333519254150506e-05,-5.169801632547598e-07,3.334301104273573e-06,2.304663672355791e-09,-9.637137199825815e-09,-0.05084231947331763,1.836056629238303e-05,-0.0007539707521895811,7.874053688148599e-06
0.11,0.000424924,1.7095230060668052e-06,-0.00042069300299966,2.227323391518337e-06,2.298969973077754e-05,-5.204919597199853e-07,-3.934977997021301e-06,-7.755478676015934e-10,-7.545522127899641e-07,-0.04149313082534681,-8.44960949845236e-05,-0.0006843597874423291,1.4773263636166977e-05
0.12,0.0004155643,-4.200082544890928e-06,-0.0007185903968104565,2.451723829276712e-06,2.1783994445494882e-05,-5.884946026963645e-07,-9.119678823988088e-06,-9.551965497111203e-09,-1.2493597625359552e-06,-0.01644021871896989,-0.00014809798152719267,-0.00034968444531707776,1.5213675939783344e-05
0.13,0.0004031643,-1.1695376235240942e-05,-0.0007277845293937882,2.661741302861583e-06,2.020782800678823e-05,-6.919262289702705e-07,-1.080889130106379e-05,-2.0527715885181335e-08,-1.2802775000456288e-06,0.014530545104510822,-0.00015485470871956508,9.142066462822229e-05,-3.2394132254880484e-06
