,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0004010949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007246972692,0.0
0.01,0.0004032784,-8.353053665531429e-08,-2.514821969856421e-05,-2.8860663397460727e-13,-5.950142727883352e-11,-2.75571671784651e-07,-4.5950252169231316e-05,-1.8444350755112064e-10,-8.788824252949379e-08,-0.004910362217844245,-6.007585159783255e-09,-0.0018576635056366498,-3.351101510733466e-05
0.02,0.000405339,-6.242264840393001e-07,-8.502621968006718e-05,-1.15387558327067e-12,-1.0954761372614304e-10,-7.531186200447495e-07,-4.340518672306294e-05,-4.525250678228075e-09,-9.685859566915952e-07,-0.00611191532610631,-3.5901915975079787e-09,0.0018078609989407083,-0.00013986680999685135
0.03,0.0004072813,-1.7311827878301615e-06,-0.000129650458245562,-2.3945625054116693e-12,-1.349912262440831e-10,-1.0789420073131157e-06,-2.1252754480498777e-05,-2.1375360459746568e-08,-2.308033523760396e-06,-0.0021483729815348655,-1.2718311785080599e-09,0.0021503843202188835,-8.511273358954732e-05
0.04,0.0004091656,-3.035359365938184e-06,-0.00012097273123809002,-3.806607349244452e-12,-1.4632334232057058e-10,-1.203841068858416e-06,-6.012313390830783e-06,-4.537236387556761e-08,-2.144359439334292e-06,0.003911943909164725,-1.108658368683601e-09,0.0008245861361630034,0.00011250026472217991
0.05,0.0004111496,-3.96129214311236e-06,-5.6602635284186725e-05,-5.312727512753901e-12,-1.5472127169463226e-10,-1.2422360623327072e-06,-3.146939577417138e-06,-5.9611573114149e-08,-6.541583125072739e-07,0.008438594388690933,-1.218089809344385e-09,-6.500157507170947e-05,0.00014811501324009184
0.06,0.0004136603,-4.078707250718989e-06,3.377574614073453e-05,-6.88872449039822e-12,-1.5914751855506416e-10,-1.276952719357851e-06,-3.3171598988045765e-06,-5.984006490927021e-08,5.020273781972619e-07,0.008850368722919095,3.6228321961119284e-10,0.00019338979197546562,9.250401489457492e-05
0.07,0.0004173265,-3.3456023431145717e-06,0.00010676588944840398,-8.454330390734202e-12,-1.513265531721534e-10,-1.2882100380578324e-06,2.298296942677995e-06,-5.011500581943658e-08,1.4781677001822707e-06,0.005273842798659501,1.092481886130143e-08,0.0009145955317440449,0.00010529026334581983
0.08,0.0004229361,-2.0960638959415078e-06,0.00013492886963620084,-9.860820865633574e-12,-1.2753865955135299e-10,-1.2124491773225758e-06,1.3217820821758706e-05,-3.0631253390261155e-08,2.291330719667714e-06,0.0003747803205954203,3.6855990576955816e-08,0.001132280832654656,3.1540449685324174e-05
0.09,0.0004285827,-8.018783078994983e-07,0.00011704833937417447,-1.097194760734919e-11,-9.403712654282817e-11,-1.0302794978833691e-06,2.223617386131754e-05,-8.599391075642914e-09,1.8818963240933447e-06,-0.0037442512602262517,6.003526862220965e-08,0.0005549581468839804,-0.00010156318426836732
