,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0004010949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007246972692,0.0
0.01,0.0004032784,-3.4989944055677854e-07,-6.760068227818807e-05,-7.975366427630896e-09,-8.478799088960966e-07,-2.708784503856098e-10,-2.5894049419135494e-09,-1.403487367644192e-12,-2.740486911912157e-10,-0.005829695687917254,-1.2592313713093982e-05,-2.75575073525388e-07,-2.3881740348035817e-08
0.02,0.000405339,-1.263649005738071e-06,-0.00010908470935626764,-1.725887920147654e-08,-1.023281994364916e-06,-3.076001908339574e-10,-4.5813254029851676e-09,-5.116707905052809e-12,-4.4364011045491093e-10,-0.002191258358227394,-2.1342380529854345e-05,7.603605960271565e-07,-8.91797252104004e-09
0.03,0.0004072813,-2.389914499901051e-06,-0.00010860824178334245,-2.858577850906594e-08,-1.2421158115228413e-06,-3.539037412734181e-10,-4.4684948123233504e-09,-9.694014454682341e-12,-4.407848857433352e-10,0.0022809464145543573,-2.1043922013190235e-05,2.414538328909506e-07,9.452261376385884e-09
0.04,0.0004091656,-3.2955859103882297e-06,-6.642728051493121e-05,-4.195149186986755e-08,-1.4166703187403437e-06,-3.9088538341690235e-10,-2.579641071007785e-09,-1.3357321913358446e-11,-2.668970295866937e-10,0.005873932892789989,-1.2432945059997602e-05,-1.0600486165876856e-07,2.4163954909705784e-08
0.05,0.0004111496,-3.6328504277706414e-06,1.2832383411703217e-06,-5.653233468544253e-08,-1.4762771792324301e-06,-4.0324787521680484e-10,3.5761553781850737e-10,-1.468208836023237e-11,1.1328726652175724e-11,0.007216311778490702,1.3559831334138414e-06,2.945866567186039e-07,2.962176989893678e-08
0.06,0.0004136603,-3.27145618839782e-06,6.86229015911185e-05,-7.099805489689e-08,-1.3936888414536151e-06,-3.849320662041047e-10,3.210416757024889e-09,-1.3139031769734606e-11,2.8744592835816125e-10,0.005803141648899658,1.465023027454531e-05,3.2150792911590425e-08,2.3757660667748925e-08
0.07,0.0004173265,-2.34830125308827e-06,0.00010989728232172251,-8.402218641885948e-08,-1.1968378330886063e-06,-3.4188084759781733e-10,5.102046314982137e-09,-9.295620373726735e-12,4.5608899450610244e-10,0.0021774067191433245,2.3323890425585373e-05,1.1128117503521717e-07,8.84259575761534e-09
0.08,0.0004229361,-1.2145200812925998e-06,0.00010940122771866132,-9.478837205424277e-08,-9.564153850787517e-07,-2.8917226191529874e-10,5.091156485033551e-09,-4.596762057941313e-12,4.530618808920409e-10,-0.0022683874038361444,2.2967990775373947e-05,-1.6203106298500982e-06,-9.420538257245634e-09
0.09,0.0004285827,-3.000848989499558e-07,6.752168249283947e-05,-1.0329424915385785e-07,-7.586436564264728e-07,-2.452447330979576e-10,3.088656192200262e-09,-8.076898691524794e-13,2.803204296485965e-10,-0.005826060195258122,1.4022615673877672e-05,-7.512972408584904e-07,-2.3849866408228305e-08
