,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0004010949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.4866296727113035,0.0
0.01,0.0004032784,4.247800416395469e-08,-1.6833601996898714e-05,2.754347436742991e-07,2.731477238328091e-05,-3.9105004000775986e-07,-5.101759158253327e-05,-1.0378242799017782e-09,-3.305985042357055e-07,-0.0054628013731399805,-6.302155238938068e-05,-0.0006139757712563254,-7.487282571012359e-05
0.02,0.000405339,-4.181266875541355e-07,-7.509503705865406e-05,5.458857643712403e-07,2.6824348268043676e-05,-8.69578334583199e-07,-3.9762905235782265e-05,-9.445683235129501e-09,-1.4530526220655675e-06,-0.005247075517246319,-3.4121756097543754e-05,0.002263545340432521,-0.0001313355289367941
0.03,0.0004072813,-1.3635705549147544e-06,-0.00010584525879161267,8.128332516087378e-07,2.6600151887187234e-05,-1.1490050175528824e-06,-1.6605669721506074e-05,-2.9419386731325832e-08,-2.361012221603965e-06,-0.0003658624422591128,-1.3526167237154496e-05,0.001971255870997779,-2.2137430111813334e-05
0.04,0.0004091656,-2.337254547083597e-06,-7.876833215556235e-05,1.0782969184773727e-06,2.6501126335882046e-05,-1.2398360765724619e-06,-3.972210268381412e-06,-5.125083880593013e-08,-1.7428385941612466e-06,0.005626546517149361,-8.024034349005116e-06,0.0005694249095003212,0.00012944389510589102
0.05,0.0004111496,-2.7703183015867365e-06,-2.0058968840591096e-06,1.3429359797964404e-06,2.64306619544903e-05,-1.2666830374040674e-06,-2.4785454041905282e-06,-6.148060923398044e-08,-2.941653639321667e-07,0.009063903563220399,-5.184625099269313e-06,-6.342328452929591e-05,0.00013711745577328713
0.06,0.0004136603,-2.334578544677809e-06,8.752751999677348e-05,1.6071189892065877e-06,2.6424010370318367e-05,-1.2906772089687491e-06,-1.5527697774290516e-06,-5.8276653443089345e-08,8.714117297481546e-07,0.008104195325670083,5.85432433820865e-06,0.0003740019603669653,0.00010258390989318971
0.07,0.0004173265,-1.1167700240858639e-06,0.00014878835582590722,1.8719129502296027e-06,2.656347926590738e-05,-1.2756006902541515e-06,5.651785000911248e-06,-4.459320672357374e-08,1.8442801823790917e-06,0.0038186125347372812,2.2543709312122795e-05,0.001010639348518555,8.494684875512458e-05
0.08,0.0004229361,4.779538870757164e-07,0.00016191981102453684,2.138924979488472e-06,2.6860198873571613e-05,-1.1651250502613979e-06,1.6428597023859206e-05,-2.3186388948841005e-08,2.263960651295352e-06,-0.0010998721396800748,3.4953017962427446e-05,0.0010037254622032588,-1.5165991028362816e-05
0.09,0.0004285827,1.97252434730411e-06,0.0001306979918657194,2.4093430201698222e-06,2.7222870086685522e-05,-9.604455121838947e-07,2.3256030252736374e-05,-3.242546438654649e-09,1.5612947837568995e-06,-0.004882177026123924,3.68515986203799e-05,0.00026817732577355535,-0.00010827655966213397
0.1,0.0004291933,2.9943096968279047e-06,7.043250552338284e-05,2.683137424474316e-06,2.75140737302845e-05,-7.305330738808059e-07,2.1111476973506144e-05,6.884821472683577e-09,5.024598708397334e-07,-0.006835555722077558,-1.3722639658375613e-05,-0.0006637024757775167,-9.035887046208275e-05
0.11,0.000424924,3.354661129067448e-06,2.303942883526308e-06,2.958985359255813e-06,2.7621900753218587e-05,-5.661136209147864e-07,1.0738149503928746e-05,7.856009354944821e-09,-2.8628564189365896e-07,-0.006420864509023544,-4.032945524895526e-07,-0.0013013902580047698,-7.846641086800549e-05
0.12,0.0004155643,3.0895958359767144e-06,-5.143086709553433e-05,3.234881591715663e-06,2.752582927805359e-05,-5.263308195496129e-07,-2.7990692652759598e-06,7.425619075065155e-10,-1.159183541577355e-06,-0.004086909909956277,-1.8453583796915196e-05,-0.0013048852876611228,-8.918073905301304e-05
0.13,0.0004031643,2.4223135187206423e-06,-7.664372938995495e-05,3.5090018030538028e-06,2.728100041873329e-05,-6.133210548164011e-07,-1.37775513372892e-05,-1.446241532085048e-08,-1.7584837351741222e-06,-0.0008957171400289787,-2.8397517555137086e-05,-0.000823845526670669,-1.552036564637536e-05
0.14,0.0003881423,1.666420135463046e-06,-6.90413400597668e-05,3.7803460261786023e-06,2.6986289813062687e-05,-7.804643305414604e-07,-1.8418694839736986e-05,-3.120875116875398e-08,-1.4501633372332386e-06,0.0024354259770521802,4.848645586635891e-05,-0.0001447101619243829,6.461588273690903e-05
0.15,0.0003653296,1.143799024500231e-06,-3.102889889971928e-05,4.048991372703399e-06,2.6757565494480027e-05,-9.574014001201346e-07,-1.5831046501829024e-05,-4.228386455883917e-08,-7.764616539025373e-07,0.0050200557207274454,-1.697665449294783e-05,0.0005782306064175402,6.076150783260875e-05
0.16,0.000330824,1.1086352820576524e-06,2.559523541172625e-05,4.31596311838306e-06,2.666425868498174e-05,-1.078136203854353e-06,-7.582644081710748e-06,-4.703092730876785e-08,-1.537625309449791e-07,0.005957468789180964,-9.213329353746635e-07,0.0010137126957211473,7.507070642911984e-05
0.17,0.00028275,1.6530496301710864e-06,8.159166824903442e-05,4.5828541739106065e-06,2.674293391478966e-05,-1.0992814402566804e-06,3.5794608734040445e-06,-4.414852729500309e-08,7.885834381558402e-07,0.004964470608951749,1.6281096276007934e-05,0.0011466028053706834,0.00010419426259869772
0.18,0.0002780874,2.6835384910041676e-06,0.00012069494882822125,4.851337564146971e-06,2.6975292028020037e-05,-1.008354698626632e-06,1.4222606576035977e-05,-3.1734966968037806e-08,1.5833803813408397e-06,0.0026976159894238627,2.907072523664067e-05,0.0009208461052713224,3.9103067547694836e-05
0.19,0.0003393959,3.977580177184026e-06,0.00013309518332917198,5.122668467737852e-06,2.7299803635560998e-05,-8.267973646759385e-07,2.131339736097259e-05,-1.5385038275241173e-08,1.55929057523044e-06,-0.00029380484600502466,3.434379627226258e-05,0.00046302650251808797,-3.117669782804985e-05
0.2,0.0004260692,5.242610974964512e-06,0.00011491998317054865,5.39735175184232e-06,2.76298131922205e-05,-6.009279746582365e-07,2.2810802142680532e-05,-1.5057526193206837e-09,1.222577783997014e-06,-0.0032393215018790833,3.006624602397423e-05,-0.00016011563391468697,-2.9909984981927308e-05
