,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0008502547869816519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008340999460290006,0.0
0.02,-0.0008497827293033517,1.6238835786168953e-06,0.0001647187746255219,1.9597560770168373e-08,1.0060338265957884e-06,3.365906124167781e-08,2.366937534374192e-08,4.88259229754439e-13,5.030683755938618e-11,0.008035706452596474,3.7674308276470017e-06,6.160526299922977e-06,2.4860840728547863e-09
0.04,-0.0008503882349487228,6.4813663895912276e-06,0.00031838529861627144,4.054407397426093e-08,1.096953199481693e-06,3.420586079595274e-08,3.675627239335075e-08,1.9780425126404213e-12,9.785335194081448e-11,0.0072456453958753666,5.943500236223545e-06,-1.8965570066980728e-07,2.2419291752025266e-09
0.06,-0.0008548256699581125,1.4222928221961298e-05,0.00045183948875687443,6.384455985713739e-08,1.2409761744579384e-06,3.514580079354286e-08,5.048431715463185e-08,4.3602064790044165e-12,1.3914746236340247e-10,0.006029283718876896,8.154033906115563e-06,7.3824135424852e-06,1.8658416542499464e-09
0.08,-0.0008489613860764569,2.435730603580357e-05,0.0005563686736001141,9.036607723361435e-08,1.4158491686840195e-06,3.6035120969702327e-08,3.845399107927747e-08,7.48288056699951e-12,1.71503626944101e-10,0.004351549483692033,9.356088117305414e-06,5.19586658537176e-06,1.3473099505495597e-09
0.1,-0.0008400182835319057,3.6228066535847964e-05,0.0006241822731776404,1.2066954958735481e-07,1.6190034209084473e-06,3.6972952664185845e-08,5.7457559769121135e-08,1.114313194388212e-11,1.9250268670651468e-10,0.002398703050723345,1.09091839219453e-05,-1.6447692716030533e-05,7.429354315178095e-10
0.12,-0.00086361374077744,4.90689759728095e-05,0.0006538804430097982,1.5552021267375834e-07,1.8714067606716064e-06,3.905685929958051e-08,1.112016407078287e-07,1.5103692065567266e-11,2.016875611367971e-10,0.0005874132611328802,1.2357530384457874e-05,-3.3348159673633575e-06,1.8230131583791436e-10
0.14,-0.0008676700948095587,6.212914644473241e-05,0.0006453445884336815,1.9529114818779669e-07,2.104033321122118e-06,4.061895786234359e-08,7.366844772771293e-08,1.913220244994483e-11,1.9906167463682625e-10,-0.0014437190232248168,1.0637253216904882e-05,1.3699371088649439e-05,-4.4499371478577535e-10
0.16,-0.0008017008465590905,7.457675144830294e-05,0.0005906817008837743,2.388856314575012e-07,2.2493898794686123e-06,3.979225788402297e-08,-6.652603115801299e-08,2.297204821755512e-11,1.8221920535343258e-10,-0.004010922227928357,6.2757035687380225e-06,-1.123822021202375e-05,-1.23704032376626e-09
0.18,-0.0007710291658074745,8.544697815166376e-05,0.0004898044439013143,2.854322801302464e-07,2.4025645969351405e-06,3.955775516779669e-08,-1.2149919529894567e-08,2.6324912619942195e-11,1.5104518247861258e-10,-0.005994826136903178,7.155772594235124e-06,-1.2034510791275772e-05,-1.8536856950739197e-09
0.2,-0.0007993823331833688,9.396361741478903e-05,0.00035856142754022243,3.3529331594993404e-07,2.577541491887821e-06,4.121705294660709e-08,6.561506859693088e-08,2.8949830377423853e-11,1.1042970775025693e-10,-0.0070500469266546635,6.818012389182143e-06,1.7342061745685873e-05,-2.1812770015317636e-09
0.22,-0.0007860906835796686,9.965217448728775e-05,0.00020740894513932912,3.877756341710716e-07,2.6602637858091642e-06,4.152334407401586e-08,-2.387658152303899e-09,3.069988777392338e-11,6.368361578767518e-11,-0.00801332723396812,2.899093234542266e-06,-1.7703303445211656e-06,-2.4786714229512938e-09
0.24,-0.000782100937489375,0.00010216303337392,4.2460626703033933e-05,4.414190727985517e-07,2.696368677139012e-06,4.162843034275473e-08,8.597861722749901e-09,3.146707040093804e-11,1.265681948593807e-11,-0.008384054015475524,9.965726235697248e-07,-1.6744950700971466e-05,-2.5943143005968563e-09
0.26,-0.0008489372494006735,0.00010137736779577425,-0.00011823652967617203,4.95953736739564e-07,2.7515594258259716e-06,4.382239085756348e-08,1.0492174967935734e-07,3.121386132446197e-11,-3.711323364343736e-11,-0.0075724555872926525,1.0838554755608631e-06,3.996733199534974e-07,-2.3452882544816502e-09
0.28,-0.000833794502431132,9.752671661577125e-05,-0.00026530347903821257,5.501870166889954e-07,2.6590880192616433e-06,4.3194318304365684e-08,-7.96924086015112e-08,3.001203347387247e-11,-8.259846005017107e-11,-0.007092547626190189,-7.93565430127173e-06,2.551364247061318e-05,-2.1917426043153e-09
0.3,-0.0006654778580231993,9.076774459724116e-05,-0.0004124915393821962,6.003935059218474e-07,2.348002403889271e-06,3.675760131363984e-08,-3.5856930827994814e-07,2.791188421574401e-11,-1.280084722967006e-10,-0.007584597569886147,-1.6411320019889958e-05,-2.1445069134539384e-05,-2.3411239287980472e-09
0.32,-0.0006264358566100434,8.106598207662531e-05,-0.0005535999549688949,6.451411754946466e-07,2.124904053823289e-06,3.34813787702314e-08,-1.2501969570984188e-07,2.4902624718091735e-11,-1.716527718520151e-10,-0.006405539573345371,-1.1150470460231238e-05,-8.992073221375562e-06,-1.9820115126025395e-09
