,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.00011311727976817153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011096805145257627,0.0
0.02,-7.505327108028993e-05,8.787784947806981e-08,1.1460808106030735e-05,1.5593088969700272e-09,1.389602115789504e-07,9.949790135624414e-08,4.855021326260975e-06,6.463165556472063e-10,1.3021788599771216e-07,0.0007362223575754741,3.1557931035947823e-06,-0.00038437665942819637,1.7818347732421946e-05
0.04,-0.00015969070269686325,3.9955053651496044e-07,1.654094921309578e-05,5.067268097856474e-09,2.25572647827514e-07,1.6879660697615994e-07,4.19085614885203e-06,5.596249255567099e-09,2.4011381085191175e-07,-0.00017810260191059084,6.834756782488074e-06,0.0002214506645537401,-1.3934608178427384e-05
0.06,-0.00015005844988405734,6.51337422792422e-07,6.570799802005295e-06,1.0689401346333201e-08,3.182481746711222e-07,2.5366643761428175e-07,2.7050003594279245e-06,8.481425069639363e-09,1.1476657493788378e-07,-0.0007976047528890594,1.3813988302667697e-06,-0.00026014503087348756,2.637405386720715e-07
0.08,0.000124688347833668,5.516435351712857e-07,-2.1838898539501837e-05,1.553947255010779e-08,8.099505785112365e-08,1.4704891342442956e-07,-1.548791364211945e-05,8.069883728411376e-09,-2.8663964788526555e-07,-0.0023134027747529237,-2.3474799673013638e-05,-0.0009425091682398405,-3.417745126965899e-05
0.1,0.00011054424347295414,-3.419981681962359e-07,-6.0881909171440534e-05,1.3187617907562662e-08,-2.6731478311568e-07,-1.6965538139289075e-07,-1.0628268230996363e-05,-4.162354453294081e-09,-8.92885078960313e-07,-0.00036102079585203844,-1.0235020454705005e-05,0.0007217564612261478,-1.7533638673475756e-05
0.12,0.00041069039661202936,-1.3678135037110348e-06,-3.346087618222757e-05,4.793297208924639e-09,-6.299334409057318e-07,-4.081511204300308e-07,-1.829670711396038e-05,-1.9543179987369372e-08,-3.7982583112213506e-07,0.0020404559316590434,-2.5915355466442663e-05,-0.0007725332836417099,4.981184104023884e-05
0.14,0.0006698929082134028,-1.745042824712088e-06,-1.1827699052039874e-05,-1.2857808197589864e-08,-1.1092914144229205e-06,-8.422939510955468e-07,-2.0858455396395645e-05,-2.2594164861117593e-08,-1.7804761239615218e-07,-0.00011701798757319612,-1.88494006601239e-05,0.0004165924415951797,-1.340062799936887e-05
0.16,0.0005265814398874972,-2.0216318345939657e-06,-1.041082889364101e-05,-3.617781657535821e-08,-1.1052024714753398e-06,-1.007143712512548e-06,6.91866655057083e-06,-2.6553199092426432e-08,-1.4452335386372014e-07,0.0013745989872952032,1.4943116360832772e-05,0.0012773794645569803,8.373840249089486e-06
0.18,0.0008748396371331127,-1.8677143146142088e-06,2.1274713678280305e-05,-5.7318443440512484e-08,-1.127855405358055e-06,-9.342240746813953e-07,-9.184804929697694e-06,-2.493189582036775e-08,4.3688834947363873e-07,5.571263396800573e-05,-1.8353612868365604e-05,-0.0015698886922491937,3.230842495727238e-05
0.2,0.0013538891252701934,-1.8463738949375757e-06,-3.875452242558915e-05,-8.533468731218246e-08,-1.7401332625000821e-06,-1.3903363574026014e-06,-3.24045516722435e-05,-2.0542625497920837e-08,-5.142838948912081e-07,-0.0055586022004379945,-3.8680301320328635e-05,-0.0005227453663596009,-0.00010122474549992364
0.22,-0.00011615883433798018,-3.311885004357579e-06,-5.954472970082198e-05,-1.1853225119074043e-07,-1.1197670533821254e-06,-1.2958324687289485e-06,6.035156750996796e-05,-4.4430498525012205e-08,-1.289868316189919e-06,0.008172667829366227,9.295800814312539e-05,0.005379609680005285,7.922122866880718e-05
0.24,-0.0009538940529517287,-1.750386109863941e-06,0.00024343013154420374,-1.216126150719352e-07,7.919837824971685e-07,3.499950224705608e-07,8.204423815823042e-05,-2.9808693276961824e-08,3.572685585609457e-06,0.01614876989422651,9.217207334809128e-05,-0.0010696376339156474,0.0002892687429291211
0.26,-0.001447210695343246,5.133298406869626e-06,0.0003670527121905182,-8.7913398746867e-08,2.5811507077654276e-06,1.7671579883410634e-06,6.495415562023786e-05,7.181875527384443e-08,5.1633602151070164e-06,-0.00627105629805905,9.167599908602933e-05,0.0001199467119134786,-0.00010786591788983267
0.28,-0.0018760929739789986,9.923552205403177e-06,7.002301336201831e-05,-1.908051773764841e-08,4.177519381706204e-06,3.063131346885886e-06,5.8975879096420764e-05,1.3993622173042724e-07,9.938320606858322e-07,-0.01864056828243776,5.41816581171861e-05,-0.0014801672362061325,-0.0002966257468213999
0.3,-0.0024423427145649945,8.168611001984158e-06,-0.00020014576662578782,7.035379968442163e-08,4.522527105864135e-06,3.833412597916752e-06,1.434695899173427e-05,1.0879097981313453e-07,-3.168059250770683e-06,-0.005436508728149959,-1.6684604625621578e-05,-0.002473161711520335,-4.1463469565529085e-05
0.32,-0.0022044809682515163,4.203287689541618e-06,-0.00015341071036007877,1.5154657729837286e-07,3.3901586302676584e-06,3.4346725257119923e-06,-5.1605787499292235e-05,5.1338451229394026e-08,-2.1742406922825826e-06,0.007310844929679096,-7.592670494923116e-05,-0.0019099129802514715,9.363003417611955e-05
0.34,-0.003453365085291534,3.0115627710694006e-06,6.209865684625196e-05,2.145105511020605e-07,3.486592311181826e-06,3.0123727484388376e-06,3.886467985385736e-05,3.173727983098163e-08,5.367208896187385e-07,0.015417341517927478,9.014096389373455e-05,0.006942502521945987,0.00019401954560404884
0.36,-0.0027347948331363837,7.2465728879570056e-06,0.00031936877209448193,2.994536951829717e-07,4.760985047391904e-06,4.054907596304743e-06,2.8685748392774047e-05,8.867954202954929e-08,4.9932550909626034e-06,0.0031140404501309796,2.370144354325362e-05,-0.003987477172661215,0.0001125088863837497
0.38,0.0047213216041877715,1.0657385365634309e-05,-0.0002118967903983673,3.6049258456979845e-07,-5.639781067455703e-07,1.1901311013190958e-06,-0.0003680365880604772,1.591990965804826e-07,-1.0482805057974158e-06,-0.06361371157248871,-0.000528758118622411,-0.021339079751025468,-0.0008219905866872247
0.4,0.005159445560016791,-7.6178481490526e-06,-0.001506692560825649,2.5850900817879844e-07,-8.677799175115631e-06,-6.298957837935226e-06,-0.0002621328846657486,-8.313217152331307e-08,-2.322353068380439e-05,-0.03236500243946097,-0.00027164508014267856,0.014593906028441904,-0.0007136542152329037
0.42,0.004181191608158346,-3.544869782244261e-05,-0.000847443372873069,4.4313377315430847e-08,-1.2191102809660117e-05,-9.159676446337077e-06,-6.45818388112197e-05,-5.087794140657564e-07,-1.1747200845052616e-05,0.09128029983579232,-9.569624181113287e-05,0.004347849887045763,0.0014184295588354837
0.44,0.004953175464315531,-3.23649787551059e-05,0.0010748184317120712,-2.1032090980676715e-07,-1.2608690672863952e-05,-1.010648180091913e-05,-1.8384599934400232e-05,-4.5936102083065895e-07,1.589553934250711e-05,0.06891847386720501,0.00010364201143909293,0.006603957649333085,0.0011544564133556152
0.46,0.004622540068210484,-4.53509932777684e-06,0.0013452789042666508,-4.1605516752427933e-07,-6.934584120411166e-06,-8.130814021101054e-06,0.0002285796972682655,-3.4026838710707937e-08,1.9480611535979713e-05,-0.03738670424568317,0.00039619425919182365,0.010273973186856558,-0.0008053275352629468
0.48,0.004944530794692888,1.0786174884654242e-05,5.587827417159826e-05,-4.884191802916599e-07,-1.419673412911874e-06,-3.321724261138512e-06,0.0001665648936148258,1.750716171414945e-07,1.4924530815582625e-06,-0.07629681783919334,7.437528824376549e-05,-0.014428755867602248,-0.0009349333349779835
0.5,0.004719697743595672,-1.4235723212626303e-06,-0.0011202576122842376,-5.301548601346759e-07,-3.963020629007679e-06,-3.0346564568194865e-06,-0.00012623922238122972,2.008922649222299e-09,-1.7395408781617878e-05,-0.03041862589812002,-0.000281698265343674,-0.011234595891972047,-0.000457119311035943
0.52,0.005594019310825832,-2.49422876703691e-05,-0.0009926260256064552,-6.767399199434243e-07,-1.0893881302095936e-05,-7.327732312823339e-06,-0.00026427873853703644,-3.3384590108884306e-07,-1.3134278458914243e-05,0.0398108147173511,-0.0003391208684592311,-5.220711794810764e-05,0.00047371661647905433
0.54,0.005382175817781917,-3.430599606369883e-05,0.00012994771302903688,-9.404987202851084e-07,-1.4194244995317048e-05,-1.119959121115421e-05,-7.374602933240397e-05,-4.7210524349013245e-07,1.6951869413348711e-06,0.06175989443307188,3.547265135716321e-05,0.014534076645712365,0.0010728930280864066
0.56,-0.0001835585346970376,-1.9915655655810577e-05,0.0012796034824713797,-1.167122700137862e-06,-6.2164079922714746e-06,-7.804999362888545e-06,0.00043803947834079865,-2.6287561083855017e-07,1.6619261509439474e-05,0.05147528336209102,0.0006898679883007794,0.023185971901011026,0.00047171237207608956
0.58,-0.002876822270846225,1.2773922288759862e-05,0.0017563579266686856,-1.1548119173210808e-06,6.92795011080195e-06,2.6080675135854407e-06,0.0004912451226307293,1.8433575680972944e-07,2.68260111594406e-05,-0.016681436563683264,0.0005517092861447664,-0.009940013380981202,-5.933148861641917e-05
0.6,-0.004737101840962869,3.840795853540088e-05,0.0005412621456910289,-9.291487114638951e-07,1.4451040397363412e-05,9.936264631258238e-06,0.00023729921261684306,5.568703474778609e-07,6.101103619893821e-06,-0.09340520047949513,0.00019706711430578282,-0.012242385318035596,-0.001297191782259531
0.62,-0.007268414603752807,3.1427299603465574e-05,-0.0010680650818579432,-6.213294945952389e-07,1.5344072036821645e-05,1.262557522886367e-05,4.164463606201623e-05,4.516395802116144e-07,-1.5794903157807823e-05,-0.04416558118095788,-9.565166635875062e-05,-0.00878921363520439,-0.000924479281250324
0.64,-0.0071833211246864525,7.921610978852654e-06,-0.0009877845216204372,-3.5718533673772515e-07,1.0242957355891749e-05,1.094611951692e-05,-0.00020437387295250975,8.361385407587202e-08,-1.369517523029185e-05,0.04301348666073857,-0.0003310215847824681,-0.007661333517779983,0.0009929997017902974
0.66,-0.01000622498846259,-2.333467627225254e-07,0.00028059416336439623,-1.8975786437670865e-07,8.300707172389549e-06,8.111022912587735e-06,2.027530408263223e-05,-2.372984452693912e-08,1.7197485913438998e-06,0.07460558588982508,0.00018719501732046727,0.021671100294051972,0.0008393726637232575
