,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.004251273934908259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4820464561467734,0.7357551172766541,-0.44034145884532333,0.0
0.02,-0.0042489136465167585,3.85059942662392e-06,0.0005055384293527407,6.301103075280322e-07,3.4905401644053505e-05,4.220556900051002e-06,0.00025586792838714885,2.0600390422081058e-08,4.9438235305764335e-06,0.03665129298277081,0.00025159433828310374,-0.009595521962942222,0.0007804450690224881
0.04,-0.004251941174743614,1.854012367723979e-05,0.0007662345641746497,1.3606768917651955e-06,3.754651524017227e-05,7.006048892349587e-06,4.4367984878847765e-05,2.3852916982220256e-07,1.1376795447239748e-05,-0.019724809840631963,7.065941323008973e-05,-0.004884394751980492,-0.000612648948584869
0.06,-0.004274128349790562,2.628025690536245e-05,-0.00010252229206970565,2.1246829474039693e-06,3.8699956398033133e-05,7.619723764521682e-06,3.0202867713129234e-05,3.2604880963007526e-07,-1.4144062245156473e-06,-0.05137140378203589,1.710417326809821e-05,-0.0008761919069809887,-0.00048391380328991623
0.08,-0.0042448069303822845,1.6471545121137417e-05,-0.0007163664933762937,2.8885371708343985e-06,3.6976892790903326e-05,7.4864160384026515e-06,-6.513804133063607e-05,1.7959773625980193e-07,-1.2345646490803228e-05,-0.00491843802797981,-0.00018526983513796058,-0.006786218817032064,-0.00011320538223462146
0.1,-0.004200091417659529,4.3350498733791675e-06,-0.00036028574320936147,3.5868785717242032e-06,3.294633114672679e-05,5.229479142780329e-06,-0.0001298716066081854,7.245460070052081e-10,-4.160837571052326e-06,0.035446759605736955,-0.00016003404521618136,0.0019653263622420036,0.0003416934410726571
0.12,-0.0043180687038872,4.683937021272715e-06,0.0003754628838970882,4.229792130725156e-06,3.2203073025181866e-05,3.7082667620466847e-06,1.4479283539146753e-07,-1.330820085943896e-08,4.57830346865394e-06,0.030291693682558962,8.904487463227972e-05,0.008539380947431618,0.0007086886493676332
0.14,-0.004338350474047794,1.6297545841012445e-05,0.0006721000858809354,4.90288313359754e-06,3.546180484420121e-05,5.091569835211872e-06,0.00011558395675431039,1.5508667513143355e-07,8.162322455664135e-06,-0.0037638085978366487,0.00019615483078840035,0.002051201564823135,-0.00029081636693470674
0.16,-0.004008504232795453,2.634485624554283e-05,0.00022285745482388594,5.644337802718983e-06,3.8170436840868446e-05,7.160743258063971e-06,6.543954929035708e-05,2.8041581370102906e-07,4.15831069309337e-06,-0.03557667253572716,4.709857292833908e-05,-0.0056927124834305065,-0.00046104474627314644
0.18,-0.003855145829037372,2.371113772355488e-05,-0.0004503433577783313,6.403817327411875e-06,3.716280567902189e-05,7.292380470083952e-06,-5.043777314700208e-05,2.2941553526331258e-07,-8.203739183969733e-06,-0.02486926915399154,-0.00013712598439272194,-0.005201798141288211,-0.00017816911959114487
