,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.004251273934908259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041704997301450025,0.0
0.02,-0.0042489136465167585,6.536679226126556e-07,9.616887497632488e-05,1.1641044148830189e-12,1.1559284353656822e-10,7.679461604541038e-06,0.000735928782762547,1.848457853044859e-11,4.1518128297208885e-09,0.00924545319067227,5.721651753949619e-09,0.03210415944637738,7.452620522138665e-07
0.04,-0.004251941174743614,4.900951220047377e-06,0.0003493225210715223,4.639045335196132e-12,2.3333107020325396e-10,2.8250417624852488e-05,0.0012939909643688678,4.2986576977982025e-10,4.846211779002587e-08,0.015441571800430452,6.143443120540382e-09,0.023944529171749815,4.188920489937444e-06
0.06,-0.004274128349790562,1.5185611904658671e-05,0.0006860006242972974,1.0585836103983092e-11,3.6416330031615e-10,5.846028269052719e-05,0.0017052161706206978,2.599884146505528e-09,1.8841404647850886e-07,0.017488919032261952,6.976466796621006e-09,0.017421070261561988,1.010122637619431e-05
0.08,-0.0042448069303822845,3.2317670576587343e-05,0.0010192747222813902,1.9321398086571902e-11,5.121386781677223e-10,9.565130735191746e-05,0.0019951323546823687,8.835169101955922e-09,4.573482595769712e-07,0.015122054467667428,7.795893246925756e-09,0.011799335998474336,1.6729257445203775e-05
0.1,-0.004200091417659529,5.537036866934033e-05,0.0012652836955750846,3.116508418285577e-11,6.739602382316179e-10,0.0001375947685441813,0.002184232721429132,2.1712336544122227e-08,8.476994921303529e-07,0.008938608046857253,8.313456811848141e-09,0.007292939507410697,2.188584084958397e-05
0.12,-0.0043180687038872,8.192304206573483e-05,0.0013618141257970404,4.632888787535052e-11,8.430137142066189e-10,0.00018258867432746138,0.0023081034284177897,4.323170288993985e-08,1.3104275126986843e-06,0.0005148540319358788,8.484554066268135e-09,0.005173472371939891,2.372078405859512e-05
0.14,-0.004338350474047794,0.00010866875354148672,0.001283238568546361,6.485385278832811e-11,1.0072941575669943e-09,0.00022960183382575138,0.0023842903630320995,7.409375484470033e-08,1.7677431248938942e-06,-0.008309498025429705,7.818530309289251e-09,0.0025148604049242754,2.1273381763611064e-05
0.16,-0.004008504232795453,0.0001321168659929898,0.001035317920554245,8.645291007054101e-11,1.146644852122946e-09,0.00027741205103260175,0.002378959268474705,1.1332054965020223e-07,2.133046313880683e-06,-0.016267505033149735,6.012097368557345e-09,-0.0028979671719032707,1.4617408747868078e-05
0.18,-0.003855145829037372,0.00014913887611512716,0.0006478260412879908,1.104543436984233e-10,1.2464353412005342e-09,0.00032420288245922353,0.0022899918714470017,1.5828501471617985e-07,2.33006750093185e-06,-0.021955673396464075,3.8971001078969e-09,-0.005948783052666535,4.641970997095132e-06
0.2,-0.003996911665916844,0.0001575110673783541,0.00018333489402538487,1.3602885616375628e-10,1.3041981861228966e-09,0.00036880472520976537,0.002169432897086232,2.0504748011432268e-07,2.3070387780640653e-06,-0.023738324188061977,1.8476251431587265e-09,-0.006171293568639125,-7.071318465338885e-06
0.22,-0.003930453417898343,0.0001565293112560105,-0.00027333037586630066,1.6232505842356013e-10,1.317643104317091e-09,0.0004107966383849195,0.0020217821505054715,2.489949427686311e-07,2.049804414722947e-06,-0.021291285799158226,-4.738034201090535e-10,-0.008569029696911434,-1.8401633901903966e-05
0.24,-0.003910504687446875,0.00014714793189986932,-0.0006452251303652738,1.8844688945651965e-10,1.288122809349524e-09,0.000449397671532867,0.001832559362777481,2.8566762620397306e-07,1.587803924351607e-06,-0.015396059468901411,-2.385821276651434e-09,-0.010327223121572675,-2.7231080906965437e-05
0.26,-0.0042446862470033675,0.00013169954116742355,-0.0008712291625345285,2.1366307482244634e-10,1.2307128561647859e-09,0.00048409793585337755,0.0016427548750386136,3.115849275383714e-07,9.882639851729428e-07,-0.006826791533246661,-3.2337583028008154e-09,-0.008714076645467648,-3.1944148936561995e-05
0.28,-0.00416897251215566,0.00011355262856584767,-0.0009126277143122533,2.375746434813157e-10,1.1583612773364958e-09,0.000515049834027014,0.0014452184839017265,3.248983222349594e-07,3.440762204218391e-07,0.00259425178007649,-3.872685748473881e-09,-0.010902616299276535,-3.1626628367709684e-05
0.3,-0.0033273892901159964,9.635961587342872e-05,-0.0007828402426463526,2.598973838873253e-10,1.0710254595261918e-09,0.0005412000947031026,0.0011433664978181197,3.257289648708914e-07,-2.436246318555619e-07,0.009739568333874408,-4.7338762354520725e-09,-0.018853018741793414,-2.6412590656530512e-05
0.32,-0.0031321792830502166,8.294439393180437e-05,-0.0005466113197530179,2.804058320776587e-10,9.8193830572408e-10,0.0005602922235735353,0.0007664886638721155,3.161127818701857e-07,-6.893408993752536e-07,0.013380266298543988,-4.093328474785718e-09,-0.01868365950607262,-1.7760437496333533e-05
0.34,-0.0038172558897260267,7.480693594659045e-05,-0.0002622484936262912,2.993638614063018e-10,9.209191845317478e-10,0.0005724814728476153,0.00048113804274899135,2.994355962602711e-07,-9.449260079110746e-07,0.014842241210547613,-1.9905292483746173e-09,-0.010044882463542723,-7.727191701555606e-06
0.36,-0.0038611208167108418,7.253476993252113e-05,3.287864018411471e-05,3.1747172367511657e-10,8.941766111953026e-10,0.0005802165401764234,0.0002986339346519184,2.7965586044486924e-07,-1.000552385841897e-06,0.014194770342630269,-6.929794515997401e-10,-0.008162095680573295,1.9967979590711194e-06
0.38,-0.0034953817139848015,7.583523831861626e-05,0.00028488153671085676,3.3526184106634646e-10,8.869127593260035e-10,0.0005844410838011671,0.00011888915317285466,2.606198514406352e-07,-8.763739243203176e-07,0.010476784863201926,-6.945232583488448e-11,-0.009641546635346145,1.0030722905015618e-05
0.4,-0.0026501048843000324,8.321992848106795e-05,0.0004308504450226756,3.529698756528504e-10,8.827528652252487e-10,0.0005845424277949171,-0.00012456288314666497,2.4549319636626113e-07,-6.195431193570101e-07,0.0036259003231659355,-4.109738938051777e-10,-0.01441839094822115,1.5050726793190911e-05
0.42,-0.002618003105508256,9.201973012444265e-05,0.0004224566867285065,3.705681287704545e-10,8.77882075340074e-10,0.0005794295602728861,-0.00037397554709052726,2.3624733096153493e-07,-3.0189349249099363e-07,-0.004345575649751063,-1.7131888963017872e-10,-0.010624846605530657,1.5981002845168147e-05
0.44,-0.0034812977315818302,9.916527893085673e-05,0.0002737835655831614,3.8815614200636184e-10,8.836937801797117e-10,0.0005705985829129667,-0.0004729065668367893,2.3325072563676272e-07,-8.63768746787524e-09,-0.009838377843151986,6.503963756454567e-10,0.000287611532259752,1.271809770471843e-05
0.46,-0.0031487952955762235,0.00010247516336034699,4.8976523941769744e-05,4.0588267196343344e-10,8.849265189268602e-10,0.0005610562844512635,-0.0004881043563815182,2.3524022733808122e-07,1.8744097049973275e-07,-0.012347229826010556,-5.717241957636787e-10,-0.0017800342600662869,6.5675023959307585e-06
0.48,-0.0028847435437583425,0.0001009179668017645,-0.00020628787705075465,4.233831279315885e-10,8.608812996033457e-10,0.0005508515778252494,-0.0005366519346484211,2.3982368285869077e-07,2.46567122020074e-07,-0.012807501295454929,-1.8394676129518395e-09,-0.0030691836118088654,-7.084191199334823e-07
0.5,-0.003947791209863638,9.436228454384992e-05,-0.00043862565605921796,4.402703326307647e-10,8.29733370615064e-10,0.0005402366291929402,-0.0004908077688164191,2.441387713078016e-07,1.6221708228079577e-07,-0.009606172810597773,-1.2683017483472447e-09,0.007178566949015291,-7.509648366668418e-06
