,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-1.705264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23959771339990749,-0.3657017730840693,0.2397649997983075,0.0
0.02,-1.131442e-05,-8.965568776448253e-08,-3.278504651833563e-06,-2.7362356325278194e-07,-1.371233460878007e-05,7.40678678347704e-08,-9.840814402835706e-07,2.4897383367685137e-09,2.548000887924103e-07,-0.0003232424094180564,-2.2292254192937677e-06,-0.00028587541582447695,-2.5158269342131476e-06
0.04,-2.407367e-05,-2.9129300616156276e-07,-1.897230767928463e-05,-5.481708025681989e-07,-1.3732425358655613e-05,4.541302655781546e-08,-3.8377658024216116e-07,3.5771584315635537e-09,-1.527888319449721e-07,-0.0009183475458399148,2.72359388556187e-07,0.00015454650206694898,-5.775161432594768e-06
0.06,-2.262159e-05,-7.895196987265896e-07,-2.6678998432714724e-05,-8.22878195222578e-07,-1.3748444945309773e-05,4.6549063552004376e-08,-5.747315307145744e-07,7.790210814833665e-10,-1.7009643177089603e-07,0.0002494851597339143,-2.4221426621895414e-06,-0.0001303508847766699,-1.1800221465087492e-05
0.08,1.8797e-05,-1.2375701585785046e-06,-1.7832868761171896e-05,-1.0986188525503833e-06,-1.3834635263541664e-05,-2.137225891681468e-09,-4.04737833794788e-06,-2.4311193105270226e-09,3.25436097570863e-09,0.0003899962581817573,-5.0210184017185355e-06,-7.835049102616898e-05,2.1434053652784904e-05
0.1,1.666475e-05,-1.5312649819641236e-06,-1.2096291908464286e-05,-1.3759128061947783e-06,-1.3873226663919538e-05,-6.098551128121047e-08,-7.078461207109569e-07,-1.9185606730870756e-09,-7.140406525417421e-08,0.00020804963746756666,1.1442941725836597e-06,0.0002539740443520122,-4.979213160325146e-06
0.12,6.191234e-05,-1.7477641524337656e-06,-1.0505859891525669e-05,-1.653213728962944e-06,-1.3865529362250898e-05,-5.925837054961256e-08,-4.925568876604994e-07,-1.1265009364164204e-09,1.6365352961066653e-07,-7.829199763853545e-05,-1.2537179142416144e-06,-0.0001432895215779939,-5.105479974895271e-06
0.14,0.0001009876,-2.0096217734510174e-06,-1.7669339288243933e-05,-1.9309457061475332e-06,-1.3914654836051561e-05,-9.386612075526452e-08,-2.637626091970458e-06,-1.2284284833102694e-09,-1.36751543505903e-07,-0.0006461237016762711,-3.318132024983378e-06,-5.140848826026834e-05,7.120203258811e-06
0.16,7.938313e-05,-2.4688251833242963e-06,-2.525165580339932e-05,-2.209686384942037e-06,-1.3948864632399817e-05,-1.296817914922733e-07,-4.030030976388345e-07,-2.77090568311852e-09,-1.7429259881580237e-07,0.00017357825268815574,-3.39495294161829e-07,0.00012904424721191243,-2.3808993958135077e-05
0.18,0.0001318837,-2.8941531348148434e-06,-1.659255309340909e-05,-2.4890277035198906e-06,-1.4000517854800062e-05,-1.527442292380164e-07,-2.956558510633295e-06,-6.1534868701527165e-09,7.582914864159551e-08,0.0004253759568072085,-4.5457201504617295e-06,-0.00018894779681981333,2.8230138323818917e-05
0.2,0.0002041013,-3.178569046708113e-06,-1.4622214087803852e-05,-2.770049915008684e-06,-1.4102580852361858e-05,-2.3893552743093904e-07,-4.894775231221722e-06,-5.25565708621322e-09,-1.4600186442195745e-07,-0.00039331914664159084,-4.909412285210302e-06,1.740867404234625e-05,-5.532405037061034e-06
0.22,-1.751116e-05,-3.524466021139786e-06,-1.4217930828995157e-05,-3.0515185435726705e-06,-1.3969131822160387e-05,-2.0807211458981056e-07,1.0564034934130422e-05,-6.0188314138047296e-09,2.6025183194758506e-08,0.0012161243105197617,1.6576811412767622e-05,0.0008456675003827852,-9.34103219196931e-06
0.24,-0.0001438013,-3.4333420433072654e-06,2.555599438842722e-05,-3.327508653740899e-06,-1.363762791213384e-05,6.959075725342369e-08,1.3543522939906873e-05,-3.1884740772919147e-09,5.824025092680612e-07,0.0018937994926672697,1.612702569737945e-05,-0.00022077154417748934,6.34597059137892e-05
