,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593966094000001,0.0
0.02,-0.00366154,1.3563786094645845e-06,0.0001977753401024715,2.318262153509375e-08,2.2203523112798392e-06,5.824258276850485e-06,0.000519382203483738,1.221690179244459e-11,2.5502424099631126e-09,0.018581894391492756,9.563582753212285e-05,0.0170752045613881,4.1860660542731143e-07
0.04,-0.003664149,9.891587946028049e-06,0.000693655087159567,8.488918745890445e-08,3.8650816218780875e-06,1.8692297437280833e-05,0.0007248752065826437,2.2202524986124158e-10,2.2625992001254447e-08,0.029753195728246765,7.034232674011515e-05,0.0044583624940807524,1.6812192736314377e-06
0.06,-0.003683269,3.0090669232050156e-05,0.0013400163923906756,1.7507659518227727e-07,5.101168433387792e-06,3.3528274144950395e-05,0.0007345616775489396,1.106772275523625e-09,7.056119907021484e-08,0.03376262930029513,5.477429433028286e-05,-0.002710885652223346,3.077631009689888e-06
0.08,-0.003658001,6.359232522519512e-05,0.0020030418989297836,2.873502489387792e-07,6.096817262555603e-06,4.7383450301104676e-05,0.0006391183482076606,3.2072089233518337e-09,1.4270411049898913e-07,0.03160920541553497,4.600010580905686e-05,-0.006251068632073382,4.035004642740022e-06
0.1,-0.003619467,0.00010957928670080877,0.002572591410596232,4.182062762022648e-07,6.978895770394719e-06,5.8823080600658345e-05,0.0005021504577508097,6.8984913447613116e-09,2.2737118829437698e-07,0.024684922005155114,4.3123343344681625e-05,-0.0070909700212167075,4.311950742421812e-06
0.12,-0.003721135,0.0001653504911413918,0.0029721814607068767,5.666585258770913e-07,7.88172297045249e-06,6.755990323137664e-05,0.0003775665812740239,1.2291674514621174e-08,3.1057411231349975e-07,0.015010329233759969,4.749958871394511e-05,-0.005299947702907225,3.903314721583531e-06
0.14,-0.003738613,0.00022708576914356874,0.0031650647424915582,7.33907962502484e-07,8.848312684483199e-06,7.413209110809556e-05,0.0002838829291434712,1.9228193238298258e-08,3.7992522882479684e-07,0.004139103366419638,4.89314963813825e-05,-0.004021311283598174,2.957790619732652e-06
0.16,-0.003454365,0.0002904410842815769,0.003130628900548766,9.20072329570544e-07,9.7378406619504e-06,7.892719924707359e-05,0.00019300287053424848,2.733598982078364e-08,4.2648545370949086e-07,-0.007785934345100486,4.005296273495995e-05,-0.004841975247910017,1.648444084154373e-06
0.18,-0.003322207,0.00035068081447835897,0.0028532920015718268,1.1225270356242948e-06,1.0492075779653813e-05,8.19059709873331e-05,0.00010925675446460163,3.609478668833879e-08,4.4419961560005693e-07,-0.019775244483004113,3.531229502398009e-05,-0.003549053796381362,9.188649610979247e-08
0.2,-0.003444375,0.00040308515260289855,0.002354504163875921,1.3395057285682006e-06,1.1207165975618232e-05,8.36000589631811e-05,6.970897013474643e-05,4.488714256839104e-08,4.295265165995449e-07,-0.02956150368014522,3.548242230870524e-05,-0.0006683445401166367,-1.5567817986947893e-06
0.22,-0.003387104,0.00044376027125947394,0.0016898845397668107,1.5701499491237524e-06,1.1823770918053119e-05,8.487683072385352e-05,5.847325493907839e-05,5.306111346568825e-08,3.827773791681176e-07,-0.03648919066204429,2.5580040957526307e-05,-0.0005113515639983204,-3.082183299811807e-06
0.24,-0.003369913,0.0004699308653280554,0.0009130378629134011,1.8110184115525027e-06,1.2225100374519315e-05,8.596185126869914e-05,5.0586754659365035e-05,6.001131468614548e-08,3.080431984856241e-07,-0.04071096040567759,1.4167000083470382e-05,-0.00034874313263416785,-4.338870583241996e-06
0.26,-0.003657897,0.0004799428562850451,8.647400934052554e-05,2.0581397420286994e-06,1.2473325197283695e-05,8.706639206474074e-05,6.642405056214801e-05,6.523780756751781e-08,2.1159716286445545e-07,-0.04120911137951212,9.85533408427025e-06,0.0016466159038483422,-5.2375686414505e-06
0.28,-0.00359265,0.0004735742734503413,-0.0007147823036630374,2.3084006326220144e-06,1.2492716388299368e-05,8.857970103733743e-05,7.829565314541065e-05,6.838451445244078e-08,1.0160522825903235e-07,-0.03861650747716837,-8.332709647382308e-06,-0.00033634417448573893,-5.684488379280615e-06
0.3,-0.002867408,0.0004517550539224074,-0.0014586876668061172,2.5540730304232124e-06,1.1952176264496988e-05,8.961088936121676e-05,5.009078259162242e-06,6.92719100292475e-08,-1.2970844600358195e-08,-0.0360555861521096,-4.458351897861784e-05,-0.006340466675988147,-5.719747642834419e-06
0.32,-0.002699184,0.00041552804127332457,-0.0021544519324659707,2.7832836107501766e-06,1.0929470520793336e-05,8.853552864303609e-05,-0.00010793566933540728,6.78782470479304e-08,-1.2579396355105972e-07,-0.03315166274004613,-5.6728075650470944e-05,-0.004964400549572241,-5.537370543409688e-06
0.34,-0.003289555,0.0003661845253229132,-0.0027560370520233446,2.9914489051824968e-06,9.932452775678828e-06,8.589446798806456e-05,-0.00013413377210753604,6.42756843265059e-08,-2.3320910571532932e-07,-0.026013464879530386,-4.343626680197721e-05,0.001662107061634225,-5.156491617048207e-06
0.36,-0.003327356,0.0003065586115779387,-0.0031716095313890666,3.1809298011155212e-06,8.992483800613007e-06,8.34935433475657e-05,-0.0001085243785076279,5.862477393454417e-08,-3.2936386636078953e-07,-0.0153396614340909,-5.042933939548855e-05,0.0009036103668795016,-4.385335843530157e-06
0.38,-0.003012177,0.0002407873514037737,-0.0033708036696716314,3.3496228750125045e-06,7.827104240349342e-06,8.125929224063184e-05,-0.0001254023261103648,5.12334609769054e-08,-4.059132804252972e-07,-0.004819894187792328,-6.543239858204652e-05,-0.002253640951746249,-3.218452647747174e-06
0.4,-0.002283752,0.00017299535942495562,-0.003382061152303798,3.491562214743296e-06,6.296486735385811e-06,7.795131797287268e-05,-0.00021978037517943156,4.256025545832061e-08,-4.5691928620583334e-07,0.0030885769842888414,-8.620914224985107e-05,-0.006587206237413933,-1.877605243998375e-06
0.42,-0.002256088,0.00010640276480930226,-0.0032557535281832846,3.6008232975980358e-06,4.660687871939651e-06,7.25029633369627e-05,-0.0003131639310164191,3.313344573994547e-08,-4.816675503569856e-07,0.009667498078069244,-7.68529463162082e-05,-0.0029453288278871352,-6.20916061107779e-07
0.44,-0.00300004,4.376323938829455e-05,-0.0029777425299289902,3.681041941197882e-06,3.475923626599933e-06,6.626634167771395e-05,-0.00028411753090865294,2.345403265608353e-08,-4.824008835517613e-07,0.018813073733908496,-4.279167968255192e-05,0.00503320802529153,5.493775611046522e-07
0.46,-0.002713503,-1.1348709237646374e-05,-0.0025023181872074513,3.7419113266498482e-06,2.60466541431301e-06,6.132115131283804e-05,-0.0002222892073424491,1.3998621103655445e-08,-4.58921157284718e-07,0.02817048130359356,-4.409235338439371e-05,0.0014488268316675706,1.818193636012974e-06
0.48,-0.002485954,-5.5304053724685966e-05,-0.0018729164814114598,3.7854182316153724e-06,1.7619095347704358e-06,5.7044440517672414e-05,-0.0002102928639850784,5.2704465682832106e-09,-4.0963785409634106e-07,0.03424684718766323,-3.901516498630228e-05,-7.90821516083865e-05,3.0910246370992062e-06
0.5,-0.003402045,-8.555757410960176e-05,-0.0011323732995695357,3.815700484572642e-06,1.4090771480369608e-06,5.341203817157965e-05,-0.00012786616760123394,-2.2277502623174695e-09,-3.365276357595409e-07,0.0402586133486666,3.13562431848019e-06,0.007484313596347611,4.192417744848083e-06
0.52,-0.004185658,-9.966475148757841e-05,-0.0002537597693325946,3.846762015949085e-06,1.8036798182338972e-06,5.2555581098014794e-05,4.9894041660242564e-05,-8.051242733500333e-09,-2.4239800449316324e-07,0.04759743422311812,3.4917473207322046e-05,0.009837436709687094,5.221025050060699e-06
0.54,-0.003610158,-9.489012821746777e-05,0.0007406311675445263,3.888899316377694e-06,2.364004553674314e-06,5.479895615283091e-05,0.00014283427294661284,-1.1786556021597577e-08,-1.2781722928536704e-07,0.050419552182893686,2.157653213760366e-05,0.0003656369663820125,6.21040760101403e-06
0.56,-0.001633464,-7.034065154236996e-05,0.001685007952902702,3.9370307402658115e-06,2.2872637252684075e-06,5.6558319718007856e-05,-1.5789352544331436e-05,-1.3052014126156415e-08,3.140756905416898e-09,0.04167443357962297,-2.6394138308806145e-05,-0.014390913652974593,6.7585023270363295e-06
0.58,-0.0002850522,-2.94532671930523e-05,0.002341035429347653,3.976424046257633e-06,1.6088785695965598e-06,5.322251273315059e-05,-0.0003212480209776568,-1.1649953710052726e-08,1.3544613355906476e-07,0.022913240068991866,-3.962211507489363e-05,-0.015469714198477175,6.268490680450439e-06
0.6,-0.001011988,2.0652480527028207e-05,0.002611517583955382,4.004531278282946e-06,1.3857800602191473e-06,4.495805286776438e-05,-0.00044998730173049866,-7.77936868289868e-09,2.4627520538566684e-07,0.005459645137932656,1.5127292230787508e-05,0.0011503119964924645,4.672671825853221e-06
0.62,-0.001706039,7.319211029183799e-05,0.0026085637843377193,4.03806443519443e-06,2.094106936343479e-06,3.687233525194452e-05,-0.00032972905632571245,-2.0526588843683915e-09,3.196700919617674e-07,-0.004655223987247553,5.2555365031101836e-05,0.009797358266130155,2.6659752076100576e-06
0.64,-0.0008715937,0.000123916010700711,0.002435561230970515,4.089049395866181e-06,2.9263839134548207e-06,3.166893237860106e-05,-0.00021623238529639753,4.749547826044618e-09,3.5460145529114994e-07,-0.013122045474528613,2.976168761228276e-05,0.002132521384405233,8.793130510758215e-07
0.66,0.000434687,0.0001692740000603188,0.0020603785818090557,4.15105095996405e-06,3.150879723106317e-06,2.7156121752156716e-05,-0.00026142653773308884,1.1909887890798083e-08,3.561056676095387e-07,-0.025041728173188275,-6.603698279962489e-06,-0.0058096876075302735,-7.246238170940589e-07
0.68,-0.001365527,0.00020482085141693203,0.001473866418004561,4.217168899780233e-06,3.668808239732083e-06,2.2201165731859256e-05,-0.0001729678327617608,1.8778112436291217e-08,3.253305839713554e-07,-0.031216294951600693,5.516634657577041e-05,0.012580860901567107,-2.33012090223187e-06
0.7000000000000001,-0.006120739,0.00022857661446447887,0.0009496770012221625,4.3109576275506235e-06,6.145317313752553e-06,2.3579509722838654e-05,0.0004063027979113057,2.4734183800857327e-08,2.669515792189493e-07,-0.01696739219034158,0.0001854061498232952,0.04138322491648973,-3.3045046244146905e-06
0.72,-0.006033658,0.0002457660522825622,0.0008411426168550618,4.46717087799327e-06,9.285978838538044e-06,3.81540113320913e-05,0.0009675256913987204,2.9426594317421387e-08,2.0444310451750903e-07,0.004558277781548046,0.00012907766007300842,0.016337127601120764,-2.6686870158548184e-06
