time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001672863984,0.0
0.02,1.3172832524737666e-08,1.6957501610087059e-06,2.3332619985827815e-10,2.0983554327874524e-08,1.4854416571664006e-08,7.581762463444733e-07,1.0088032054957322e-10,1.895521249991145e-08,0.00011207890312994552,5.092880480964945e-07,-5.835860498931534e-05,2.5269545430973767e-06
0.04,5.99166378742954e-08,2.5208652779268785e-06,7.661503471925608e-10,3.392401207785712e-08,2.5569661130210647e-08,6.026241194741156e-07,8.317296939797976e-10,3.898152138841652e-08,-2.6584072729495307e-05,9.827252036183512e-07,3.370864419881656e-05,-1.8280137056944198e-06
0.06,9.803779746422534e-08,1.0005910090312872e-06,1.6059112927901737e-09,4.750098506928161e-08,3.782132870160705e-08,3.9759260570340975e-07,1.2848683229975568e-09,1.309646541807011e-08,-0.0001233348678093502,1.4162576724613309e-07,-3.483615999773456e-05,-2.4857206452778954e-07
0.08,8.25901298000084e-08,-3.3170553219889245e-06,2.331955657379934e-09,1.2188700703659544e-08,2.2024519747116626e-08,-2.3119622442096016e-06,1.217769393053013e-09,-3.9683957267561346e-08,-0.0003449302919179171,-3.5103739853741445e-06,-0.00014289468713415542,-5.477617324293953e-06
0.1,-5.12957603451126e-08,-9.119853157229519e-06,1.9792311272269666e-09,-4.040699687281361e-08,-2.556053173653189e-08,-1.6196324469769776e-06,-6.461002696416786e-10,-1.3511380906645608e-07,-5.8780094775660853e-05,-1.5825651175825442e-06,0.00011010965634156229,-1.8324583447107118e-06
0.12,-2.0584803653225608e-07,-5.044780267429441e-06,7.125332079868369e-10,-9.488643820211808e-08,-6.145214626507218e-08,-2.752397817217036e-06,-2.9214085972407688e-09,-5.953725095726815e-08,0.00030856971611675234,-3.91882539905729e-06,-0.00011709185800125724,6.787971332422672e-06
0.14,-2.628935845601695e-07,-1.7977159408219118e-06,-1.947063981300433e-09,-1.6739512880718456e-07,-1.2698217370606137e-07,-3.158866563853392e-06,-3.403480364357745e-09,-2.226370322523517e-08,-1.9494457700950196e-05,-2.85139826164393e-06,6.39797466062799e-05,-2.0400300912920078e-06
0.16,-3.045710258275933e-07,-1.595152170274783e-06,-5.4650111230825965e-09,-1.6690406133655055e-07,-1.520446861047301e-07,1.0357588896175801e-06,-4.0180494251648724e-09,-2.5199807820844798e-08,0.000202075168248584,2.2184912249697235e-06,0.0001952914741219145,1.9216603989699902e-06
0.18,-2.8248096141554697e-07,3.1969973997689162e-06,-8.6553885805153e-09,-1.701110285222697e-07,-1.4077212505639947e-07,-1.3879289649745098e-06,-3.750725147560818e-09,6.479976571432842e-08,1.5185488873491567e-05,-2.830703832223493e-06,-0.0002381151278438805,4.151254483169707e-06
