,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593966094000001,0.0
0.02,-0.00366154,5.681040557346461e-07,8.392845079847553e-05,9.947788191351241e-13,9.801014724109843e-11,6.6171207384537405e-06,0.0006340543060811694,6.5257024042426616e-12,1.4306695598395333e-09,0.008167622031983948,4.701262884196367e-09,0.027639521631834352,2.512858467095538e-07
0.04,-0.003664149,4.347241164049653e-06,0.00031583776978643394,3.877557395947405e-12,1.8956410885737202e-10,2.432890731933496e-05,0.0011132065889921821,1.4471027002837945e-10,1.6185599102342453e-08,0.014711307942075749,4.489198936197258e-09,0.020458357882089183,1.395575429891532e-06
0.06,-0.003683269,1.3941065744619844e-05,0.0006587481817179758,8.563634544973967e-12,2.7901933081513066e-10,5.027156538930549e-05,0.0014611549723392736,8.729845687240461e-10,6.354609753088285e-08,0.01921705635063506,4.4843149783757585e-09,0.014524429402758195,3.476888846176952e-06
0.08,-0.003658001,3.1145763778535874e-05,0.0010690281829324887,1.5044412406306126e-11,3.693188208291825e-10,8.202955065241933e-05,0.0016970553537817912,3.0112783132625795e-09,1.5924195968079445e-07,0.02140537862011461,4.562935917995503e-09,0.009249521988917132,6.153386629323776e-06
0.1,-0.003619467,5.682965928996123e-05,0.0014987094325437807,2.3352139102159345e-11,4.6193942153526625e-10,0.00011751598536263704,0.001837156051264326,7.614446666419372e-09,3.103997123355601e-07,0.021161248048619234,4.709795872748224e-09,0.004932296083909886,8.94058438422045e-06
0.12,-0.003721135,9.090831010359137e-05,0.0019011802809244572,3.355647815464817e-11,5.596725218139256e-10,0.00015509421412982757,0.0019135968798061986,1.578108630892341e-08,5.143309097902157e-07,0.018775930938888144,5.059029108828161e-09,0.0028154482080966804,1.1353857500381199e-05
0.14,-0.003738613,0.0001324371173896398,0.0022377323219570718,4.5775662439708346e-11,6.628541867032233e-10,0.00019376468209698287,0.0019457276075753286,2.8463694210647195e-08,7.594515075060224e-07,0.014591892138485031,5.2397896230238494e-09,0.0005168345166802583,1.3005641380018069e-05
0.16,-0.003454365,0.0001797411440676036,0.0024725608620893118,6.006216115010753e-11,7.647437598027938e-10,0.00023247625698771972,0.0019111561422663309,4.63140779353522e-08,1.0276658308959064e-06,0.008569556560435655,4.907830759848242e-09,-0.0037826140808204997,1.3625962755351233e-05
0.18,-0.003322207,0.00023042511514352672,0.0025709511046199027,7.632957033397457e-11,8.612266172243917e-10,0.00026980688361512116,0.0018156989572759921,6.95740126430777e-08,1.2963372258522164e-06,0.0011155728746509042,4.68304248851803e-09,-0.005649329124672213,1.3027573291373726e-05
0.2,-0.003444375,0.0002815455148090629,0.0025152119766657464,9.449211207144895e-11,9.547976562853258e-10,0.0003050527284942644,0.0017119165329599288,9.80017855281083e-08,1.540163787396925e-06,-0.0066376433837666594,4.6247729465487275e-09,-0.004743065167031383,1.1145015978291087e-05
0.22,-0.003387104,0.0003300153873554394,0.0023080506921337772,1.1448041949271231e-10,1.042332536955875e-09,0.0003382865171373782,0.001608978122832855,1.3084416447542635e-07,1.7342561068801363e-06,-0.01400544878351693,4.098065990720823e-09,-0.00551771069197393,8.092933724563234e-06
0.24,-0.003369913,0.00037291798444062045,0.001960228292787397,1.36104760692986e-10,1.1179061989105512e-09,0.0003693462295973581,0.001496164887555285,1.668941564040801e-07,1.857609665100839e-06,-0.020600287256037818,3.4309758298323167e-09,-0.005751128022558588,4.110970050355634e-06
0.26,-0.003657897,0.0004076355405995966,0.0014952120769121235,1.5912333219265706e-10,1.1825310442547573e-09,0.00039829319765637724,0.001406528070005171,2.0456781773386618e-07,1.8946045190985985e-06,-0.025540217984653307,2.994794183475147e-09,-0.0033194310290177945,-4.811688804802765e-07
0.28,-0.00359265,0.00043220109695130967,0.0009513019928873541,1.8330426774372234e-10,1.2320671900551675e-09,0.0004256707896393932,0.0013269427709420632,2.420413509090095e-07,1.8369856429220747e-06,-0.028593188821743117,1.9359756645020987e-09,-0.00461547338739314,-5.280268736925674e-06
0.3,-0.002867408,0.00044535975990816584,0.0003575165404744302,2.0819725857041354e-10,1.2506726890126193e-09,0.0004507987761257758,0.0011635063431684153,2.7740872415790894e-07,1.6846341953943612e-06,-0.030743822088925683,-5.874913749925881e-11,-0.01147580613630373,-9.902021934291488e-06
