,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.003663574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593966094000001,0.0
0.02,-0.00366154,6.3065739626010225e-06,0.0005467837688635381,8.593418801002064e-08,5.130488477333792e-06,1.5502252403673896e-09,2.3537412804821547e-08,2.550423466000093e-11,2.2208566399953075e-09,0.0113608750368006,0.00010941504905819993,6.170183331728923e-07,4.647596256500755e-08
0.04,-0.003664149,1.6602722216397697e-05,0.00034520814926212014,2.1062158058536735e-07,7.200928709391044e-06,1.998509567862317e-09,1.5189045235981138e-08,6.720869069016371e-11,1.3858792035828717e-09,-0.0287644677166694,6.921041969959251e-05,-3.3603704894751864e-06,-1.1822619033416415e-07
0.06,-0.003683269,1.683995444754838e-05,-0.0003220613586419382,3.598175411508396e-07,7.2532331165572246e-06,2.0153548196900654e-09,-1.3984460332754593e-08,6.756967856424536e-11,-1.3502356950408779e-09,-0.028936954588561627,-6.53350718008237e-05,9.140806444799568e-06,-1.1837741131087709e-07
0.08,-0.003658001,6.919823835531915e-06,-0.0005349509904490966,4.857936540635267e-07,5.194271540661159e-06,1.5693444129171685e-09,-2.454883143565067e-08,2.6379222926659576e-11,-2.2146724211728004e-09,0.010481923007217415,-0.00011147885700674444,2.4273479803314847e-06,4.3435305061879925e-08
0.1,-0.003619467,6.562500689397712e-07,-6.589269204417216e-06,5.726243439991418e-07,3.85531360422089e-06,1.272622655714406e-09,-1.2926389432164778e-09,3.4164357924069776e-13,-4.282554494327132e-11,0.03517804038217464,-4.387748624297408e-06,-1.563660505374939e-06,1.442527197580612e-07
0.12,-0.003721135,6.794144914343618e-06,0.0005420211165594597,6.590971118581437e-07,5.173532919114338e-06,1.566655640591295e-09,2.4939829630598244e-08,2.5153278757621205e-11,2.2011497146738196e-09,0.012270195192844812,0.00011227897118324981,1.3819111587715055e-05,4.984842684723628e-08
0.14,-0.003738613,1.7188099434993593e-05,0.0003589866281830781,7.849206809867629e-07,7.2774560662561655e-06,2.0231650440214386e-09,1.4493523939785203e-08,6.725408831976923e-11,1.4420603555190876e-09,-0.028133912635774562,6.951850210023816e-05,5.2835387269919304e-05,-1.156369207507002e-07
0.16,-0.003454365,1.7576372975119467e-05,-0.000333420774059394,9.33050793004333e-07,7.048286331830791e-06,1.9442845798836227e-09,-1.9240827218531805e-08,6.823883868699629e-11,-1.3959659430892317e-09,-0.03179905751893216,-8.175585624916641e-05,-1.850556140507281e-05,-1.3004596058699414e-07
0.18,-0.003322207,6.911386856972305e-06,-0.0005917072239505087,1.0525506944624465e-06,4.727118509527734e-06,1.4286490025462134e-09,-2.744596857103253e-08,2.4020960925262306e-11,-2.445465308356168e-09,0.009500427797722102,-0.00012557257763901424,-3.943189062466328e-05,3.946652858471608e-08
0.2,-0.003444375,-2.9544119145025697e-07,-2.63804425974642e-05,1.1295086822108624e-06,3.3633260372916135e-06,1.144119547580009e-09,-4.2889388152636213e-10,-5.843670345216835e-12,-1.2195673514996484e-10,0.03938956049659351,-2.498713551826866e-06,2.4839163039259394e-05,1.6151352417320426e-07
0.22,-0.003387104,6.186896954959222e-06,0.0005860266602306745,1.204803551537624e-06,4.58897505834072e-06,1.3997261567631948e-09,2.461793969163988e-08,2.0426111708725953e-11,2.3839776079029695e-09,0.013563840763161809,0.00011615007374646055,-5.002006525887697e-06,5.5139161163168804e-08
0.24,-0.003369913,1.7447078666160802e-05,0.00038865007647783637,1.3203395951909081e-06,6.836611305195143e-06,1.88555804864387e-09,1.8320708489944052e-08,6.61207662192183e-11,1.5654899000140587e-09,-0.030536776748195396,7.756385576867647e-05,-6.988313433135686e-05,-1.2553122405185163e-07
0.26,-0.003657897,1.8182829416751483e-05,-0.0003135903335811862,1.4662077852388409e-06,7.2687116597609875e-06,2.015285189650232e-09,-9.378626145776288e-09,6.853930902640981e-11,-1.3155706164594086e-09,-0.03013773663968423,-5.213404669265633e-05,2.7431458251856422e-05,-1.2335463539514535e-07
0.28,-0.00359265,8.15955487936555e-06,-0.0005538193606919626,1.5921804993861645e-06,5.152964641468264e-06,1.55212501073201e-09,-2.7052063285173567e-08,2.6925976835905437e-11,-2.2918642114939733e-09,0.009294881126211912,-0.00012171592445957089,2.1965934632014158e-05,3.86144725118831e-08
0.3,-0.002867408,9.902545852078015e-07,-8.939837237724788e-05,1.669660793556671e-06,2.9178540747800806e-06,9.80752192198967e-10,-1.501199643497959e-08,-2.786639342401792e-12,-3.785008925411134e-10,0.030877880203013963,-5.2127590397839684e-05,-6.673022027531019e-05,1.2681586952881544e-07
0.32,-0.002699184,4.941914302798744e-06,0.00042635807290879207,1.7302423245603963e-06,3.5109729133232848e-06,1.083460771238877e-09,1.742311498120523e-08,1.3167372407922565e-11,1.7337335165549393e-09,0.013825281331986003,8.474589221963462e-05,-2.5597061442786544e-05,5.633181475428982e-08
0.34,-0.003289555,1.4183676870829305e-05,0.0003945629619698817,1.8253736100724365e-06,5.98755540417199e-06,1.6879114931192024e-09,2.732679061646849e-08,5.0669671146977104e-11,1.593205696096981e-09,-0.0165220406291093,0.00011021865140300265,4.116553317760529e-06,-6.819394026118947e-08
0.36,-0.003327356,1.7322251440247585e-05,-0.000120409983710292,1.9552936175792534e-06,6.642247120385877e-06,1.8399239261804666e-09,-4.87923092831844e-09,6.300559646790348e-11,-5.209312918287248e-10,-0.028031008521800016,-2.5513019503536523e-05,6.334386542450163e-06,-1.1482772538373709e-07
0.38,-0.003012177,1.0435518333063427e-05,-0.00048428794289679517,2.073298055242585e-06,4.899888874354426e-06,1.4273823026332685e-09,-2.8043533982178185e-08,3.428529571874638e-11,-2.005733177501382e-09,-0.00348360066485271,-0.00012032033474135596,2.0368386160977122e-05,-1.3785327331039543e-08
0.4,-0.002283752,2.078497448886721e-06,-0.0002618943376873847,2.1450183822464783e-06,2.422838915508022e-06,8.030148794786581e-10,-2.3514193566449985e-08,-2.735128411847943e-13,-1.0837279325096383e-09,0.022679594050586054,-8.89142592529729e-05,-1.3601525405059467e-05,9.335244073550505e-08
0.42,-0.002256088,2.0745102567208243e-06,0.0002613246759353197,2.1892336951894255e-06,2.3684162833715247e-06,7.836595706281177e-10,1.1995291763854245e-08,-4.71165011460589e-13,1.0617555276376905e-09,0.02260420206334513,5.5749162292776987e-05,-1.9295294550885768e-05,9.244591546612389e-08
0.44,-0.00300004,1.044648939834019e-05,0.0004886121761114011,2.2595716395441074e-06,4.820078944998449e-06,1.3990790770597614e-09,2.9899619089263784e-08,3.356649187040372e-11,1.9836088926688752e-09,-0.0030097940662237995,0.00012347610624050586,0.00011956210660966817,-1.2839924099644628e-08
0.46,-0.002713503,1.7191205979278127e-05,8.640830942629747e-05,2.369605976537633e-06,5.888566552821777e-06,1.6002037098987687e-09,-1.1053808767331107e-09,6.076974965895661e-11,3.3014874127518216e-10,-0.031888718780917556,1.0877389624040255e-06,-4.82788694807505e-06,-1.3075486850026852e-07
0.48,-0.002485954,1.2806785446968639e-05,-0.0004715078991614935,2.4798900915971725e-06,4.763993225635201e-06,1.3335662497641624e-09,-2.1442375663479503e-08,4.234091825419002e-11,-1.952781558709286e-09,-0.016232721543958294,-9.421807625786071e-05,-0.00014885634555505131,-6.616737634711212e-08
