,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-1.705264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.4792154136209035,0.0
0.02,-1.131442e-05,2.2321476672352602e-07,1.1965814010445697e-05,5.584367075660572e-07,2.8017620958011528e-05,-1.0535815680570051e-07,4.196077757111555e-06,-4.7873329809550345e-09,-4.563606744042325e-07,0.000992493373564246,6.432126232427948e-06,0.0004083414224320403,1.3699118888246218e-05
0.04,-2.407367e-05,7.770617279998208e-07,4.621939991415485e-05,1.1197954602098225e-06,2.810384950519081e-05,-1.5454977512646847e-08,2.7148711118224325e-06,-4.709205127752126e-09,4.1566171903566516e-07,0.0017898693278994848,2.7422739336813162e-06,-0.00021241235400931702,4.801742668763642e-06
0.06,-2.262159e-05,1.9072775341676634e-06,5.7302365944217184e-05,1.6825578457258385e-06,2.818413650201086e-05,2.159501483055277e-08,2.34454023991137e-06,2.317782119402656e-09,4.2853321121011223e-07,-0.0008684860415194007,5.813202106408344e-06,0.00014694367104761685,2.2980570591452207e-05
0.08,1.8797e-05,2.7755930899707747e-06,2.639767298342239e-05,2.247152327142949e-06,2.8252488708127853e-05,7.11579833363514e-08,1.1585909973312192e-06,8.482292886919155e-09,-1.5738220741959435e-07,-0.0018727789862659494,-8.091276796212687e-07,-0.00026728770527853496,-5.327852647497936e-05
0.1,1.666475e-05,2.9636513021221293e-06,-2.9972871344094598e-06,2.8115326651242355e-06,2.8163769174283658e-05,4.6177398400659156e-08,-3.3906446146853378e-06,2.2306135266856e-09,-2.7918013426256486e-07,-0.000559533247834948,-7.410008869807028e-06,-0.0001873601563387728,-6.991061635568016e-06
0.12,6.191234e-05,2.9398843348897257e-06,6.052669764450969e-06,3.3729601387560385e-06,2.7969346200249677e-05,-6.562456040681574e-08,-7.338987182339494e-06,-6.836352840632349e-09,-4.3148175323735256e-07,0.0010677150187757278,-8.801263977370466e-06,-6.585109051809868e-05,4.1016636849015636e-05
0.14,0.0001009876,3.303057955660404e-06,3.100478888745261e-05,3.9307615305581444e-06,2.7838334374894018e-05,-1.9385918068679253e-07,-4.20932678577305e-06,-7.820092910808537e-09,5.0641995966760816e-08,0.0012342970443223467,-2.0558674232867835e-06,0.0002985974087610088,-1.857486650092173e-05
0.16,7.938313e-05,4.106489946264053e-06,4.612491347676968e-05,4.4879344429624395e-06,2.7913783945067426e-05,-1.9632335861377863e-07,3.968850621600893e-06,-5.9003753167287415e-09,3.8041867636972456e-07,0.0003377924252903619,7.99025163629452e-06,0.0003167973809483082,2.9609878292082882e-05
0.18,0.0001318837,5.042691165104443e-06,4.334753885454543e-05,5.047454364855637e-06,2.8012447036437062e-05,-1.1701019193524118e-07,1.7747806534711904e-06,3.1211936782072913e-10,5.694542064966651e-08,-0.0009125756776780514,6.751044725888944e-07,-0.00032848730509627,-1.3841532789616941e-05
0.2,0.0002041013,5.6282243261953666e-06,1.251027892216435e-05,5.6071824240188525e-06,2.7929669068444365e-05,-1.5053319237271413e-07,-4.875630633725763e-06,1.6548104676701062e-09,-6.479741179293097e-08,-0.0016897244209093942,-8.404439198764213e-06,-0.000273126775934579,-4.99806760356902e-05
0.22,-1.751116e-05,5.666726126554778e-06,1.4164898037713009e-06,6.16532116031963e-06,2.794919434983131e-05,-1.7025143087030648e-07,6.163986133742341e-06,-7.935257755578992e-09,-4.94969832787909e-07,0.001274842607255161,1.0088030434132755e-05,0.0007438596965619604,4.957407005129732e-05
0.24,-0.0001438013,6.200086909258803e-06,5.9701922048253934e-05,6.7265464605510376e-06,2.818010474576466e-05,1.8685198752379178e-08,1.0008972413661586e-05,-7.758958339185193e-09,3.6767593106258497e-07,0.0034641034025321427,1.2897707574219264e-05,-4.187070103253698e-05,2.728042990700672e-05
0.26,-0.0002181697,7.880955345475691e-06,9.495753456155797e-05,7.293005466696065e-06,2.8483790533434973e-05,2.161896971986346e-07,1.0687357048726576e-05,7.677320648496287e-09,1.1270224403155747e-06,-0.0003639760154602323,1.796399556874828e-05,0.0001799211996279526,1.2924442216021167e-06
0.28,-0.0002828245,9.463148315149842e-06,5.3438134823984346e-05,7.866266476586215e-06,2.882629126594665e-05,4.536125845105189e-07,1.1700704388707582e-05,2.2046339447448387e-08,2.118921562417293e-07,-0.003244337811955017,1.313335491313905e-05,-0.00020661616937830973,-3.215284997124673e-05
0.3,-0.0003681877,9.920555208268161e-06,-1.7636812111998408e-06,8.444416930772138e-06,2.893608475801198e-05,6.17265015518261e-07,3.56584683227093e-06,2.0973359307493332e-08,-4.3623147984964244e-07,-0.0015816482353389338,-2.0231623831246104e-06,-0.000512402195660705,-4.962798697014158e-05
0.32,-0.0003323296,9.748258954883738e-06,-7.931840460105043e-06,9.021437653936128e-06,2.8718678657864174e-05,5.559596044945665e-07,-9.241053591481637e-06,8.632049391626906e-09,-4.3719903176460526e-07,0.0007024486615012371,-1.580962477412684e-05,-0.00040471038812775473,3.7975354437274006e-05
0.34,-0.0005206012,9.869924669912084e-06,2.7692775970044295e-05,9.594261307796102e-06,2.8658934071234086e-05,4.483173220510929e-07,3.358547855220453e-06,2.93275974754932e-09,-2.2728341577062383e-07,0.0028732511598925925,1.1238246093295268e-05,0.0010793927574571371,2.7011641578235298e-05
0.36,-0.0004122754,1.0997247060780949e-05,7.93996656735258e-05,1.0169506613405732e-05,2.8838449613102192e-05,5.717091730753167e-07,3.769599580443488e-06,1.0524869959122637e-08,9.579551211436525e-07,0.0012123995161696655,4.474867867990118e-06,-0.0004698240941517773,1.3901202870386317e-05
0.38,0.000711748,1.2256305903622314e-05,8.594962333354613e-06,1.0741072833828208e-05,2.8017897436642e-05,1.5395535641784368e-07,-5.36817459152872e-05,2.2666705659055927e-08,-4.3800940367947715e-08,-0.00959733745310215,-8.241037192550926e-05,-0.00313761351416475,-9.35499193712463e-05
