,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.001353924034616969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013281994779592467,0.0
0.02,0.0012085558650616242,-2.4721122920732994e-06,-0.00024358668451335264,-3.012047009454278e-08,-1.514750275752414e-06,-4.900733301043191e-08,2.0641130425388177e-07,-1.9436734237635773e-12,-2.00830783078306e-10,-0.010670904499543415,-4.996558674891238e-06,-1.238727395972577e-05,-9.27585750626571e-09
0.04,0.0010404543559862532,-9.195121172477442e-06,-0.0004131340818306497,-6.16048093739074e-08,-1.6599299774985282e-06,-4.4442303906842065e-08,2.0362262480422365e-07,-7.578569659254556e-12,-3.494308601063966e-10,-0.006036314836348224,-1.1808035472367535e-05,8.261532154483098e-06,-5.349639278798293e-09
0.06,0.0010795120771658364,-1.842277518773374e-05,-0.000497642559316502,-9.956989266782636e-08,-2.1593801231764256e-06,-4.750031224088523e-08,-2.538561319696399e-07,-1.5417361843108132e-11,-4.241127930285867e-10,-0.002367798442082434,-2.8672691040024234e-05,2.2804628053979233e-05,-2.132364123230197e-09
0.08,0.001294171937295153,-2.868334154327028e-05,-0.0005207312368376969,-1.501007887502829e-07,-2.906122572941901e-06,-5.8029613282786386e-08,-5.932176616603419e-07,-2.41746618394233e-11,-4.4494723925343e-10,1.6386769041032857e-05,-4.0454148833499876e-05,2.0772691543387723e-05,-2.2031834235952067e-11
0.1,0.0017292349214249642,-3.906450396109591e-05,-0.0005168835683115729,-2.184724232994861e-07,-3.9061881590556135e-06,-7.698831474514316e-08,-9.942893119808676e-07,-3.3039514435166176e-11,-4.410300830218868e-10,0.0003046324679019936,-4.918321320425065e-05,-1.3777461346648357e-05,2.924324172301051e-10
0.12,0.0019328524171855735,-4.91866569912201e-05,-0.0004870595435421719,-3.0400809555519273e-07,-4.6336429406300175e-06,-8.924142813370042e-08,-5.293239091141811e-07,-4.1683059059567195e-11,-4.162941294489136e-10,0.0026918302114444194,-3.385077585843499e-05,-8.720977971097589e-06,2.2611861495762603e-09
0.14,0.0020601608819255045,-5.820710902993988e-05,-0.0004061183147110327,-4.026829498731873e-07,-5.22122177921624e-06,-9.737159201261814e-08,-4.2078450782777717e-07,-4.9402314752953324e-11,-3.4795757582379233e-10,0.005267002581971148,-2.871265034743581e-05,4.657372746463655e-05,4.4857330731162435e-09
0.16,0.002371437297247135,-6.524956877188296e-05,-0.0002985276352830939,-5.140497832585613e-07,-5.904303357828746e-06,-1.106962344201705e-07,-6.50401549931338e-07,-5.54301399728672e-11,-2.549923487216258e-10,0.005292774741171086,-2.7497635248667496e-05,-3.785674055406616e-05,4.575223558816793e-09
0.18,0.0014658620219154396,-6.946999484867877e-05,-8.655338922142988e-05,-6.245454124017958e-07,-5.0671074206127415e-06,-8.282248343758793e-08,1.8041773400727798e-06,-5.909646510231069e-11,-8.025451857427083e-11,0.01588095762212292,5.3631213398647876e-05,-2.8030650537576134e-05,1.3264864253510148e-08
0.2,-0.00012194676255599158,-6.703363097633098e-05,0.0003788750710472844,-7.073271117618661e-07,-3.1081241718623635e-06,-2.3262744654268477e-08,3.2465407477853773e-06,-5.723177968368823e-11,3.0863065855611027e-10,0.030144475039498353,0.00011277063349209027,-1.4387356285702584e-05,2.5396971063673928e-08
0.22,-0.0020210811178985938,-5.2537941954658955e-05,0.001111060859423281,-7.416554702990257e-07,-1.8830871390187874e-07,5.388118951491737e-08,4.095367284624623e-06,-4.5223890133803156e-11,9.272895486704733e-10,0.042106958483773924,0.0001688966564653918,-2.5488176922938184e-05,3.573473880269919e-08
0.24,-0.004582080840379145,-2.1055438812560433e-05,0.002074612230157701,-7.02143708482436e-07,4.317253174530442e-06,1.6003881190032738e-07,5.565194116385668e-06,-1.8835951604013993e-11,1.7441710342637498e-09,0.05294002518243994,0.00024217980861196767,7.06234479311142e-05,4.5077929236550556e-08
0.26,-0.0048209409915181325,2.9887174169636464e-05,0.0029484189478724532,-5.881620650411401e-07,7.14636510031275e-06,1.963486546097026e-07,1.3067265816293576e-06,2.425187848748438e-11,2.505178423459136e-09,0.03267217875060407,0.00015801507751557475,2.1035613760079196e-05,2.8720720432709348e-08
0.28,-0.0031345650802943777,9.253888141897427e-05,0.003168045157188005,-4.3333511412881703e-07,8.307924606533281e-06,1.582994574474862e-07,-2.4097548785105154e-06,7.778627912522126e-11,2.7215062424518157e-09,-0.011354620861320608,5.5038209675430105e-05,-9.62696760344918e-07,-8.32952892357503e-09
0.3,0.0030047029516915573,0.0001480172903117028,0.0020924969134185605,-3.07408607790914e-07,3.974591402438449e-06,-4.338897706188064e-08,-1.1342315226231264e-05,1.2601638396130977e-10,1.8556662065054067e-09,-0.09529555976924622,-0.00023574583653604778,-0.00011735391384816267,-7.91208869651758e-08
0.32,0.004658685796625196,0.0001686952364867332,-9.975032912409893e-05,-2.3582887678587223e-07,2.9612965931597082e-06,-1.2567547857923158e-07,-3.227759328522881e-06,1.4516433061195176e-10,-9.188609524050197e-12,-0.11972186717216085,-0.00010272552885312071,-3.755788932615408e-05,-1.0228890645134071e-07
0.34,-0.0007732118346283874,0.0001465069628306468,-0.0018955519815371782,-1.2569449121801757e-07,7.977395936030581e-06,4.5166473402885164e-08,1.0172363097598048e-05,1.272338044095468e-10,-1.5964176827076884e-09,-0.05593044978647223,0.00021330454251496794,-6.920510840354929e-06,-5.056784085745252e-08
0.36,-0.0023142812962693143,9.983307485232641e-05,-0.0026573419778501916,3.0835852771639714e-08,7.431378496266223e-06,1.1364669786205433e-07,2.17544113625518e-06,8.751945651856137e-11,-2.275519536284615e-09,-0.020032244315101054,-6.217932359770667e-05,7.352955524733348e-05,-1.8405418954632038e-08
0.38,0.0017193426426155688,4.1879473463105795e-05,-0.003192353095645405,1.0748452402725185e-07,-2.244813584571036e-08,-3.222442904244745e-08,-8.851441147773561e-06,3.799797440084142e-11,-2.7212882340219895e-09,-0.033822982542128135,-0.00038624052172162656,-2.9614648734518285e-05,-2.835772800361216e-08
0.4,0.002005510050546453,-2.70811818984726e-05,-0.0036062629420102444,6.897842755949391e-08,-3.780250965322167e-06,-8.362945334995777e-08,-1.6302012649884201e-06,-2.0940207889936897e-11,-3.090784986481857e-09,-0.006269112803640389,-0.0001947777169968544,1.3499813708261511e-05,-6.173452009224914e-09
0.42,0.002460072137422164,-9.864144717944722e-05,-0.0034603476655066493,-4.708201692370823e-08,-7.805320783021776e-06,-1.2156748422692765e-07,-1.9158118987922656e-06,-8.241702167785919e-11,-2.9798561839180812e-09,0.020563623753068798,-0.0001939496465009835,-2.5247141476388707e-06,1.6980454568181697e-08
0.44,0.0016721604789822551,-0.00016134387185978146,-0.002691646225811525,-2.2639467784821628e-07,-9.949221010712927e-06,-1.1581486892718142e-07,8.535630832167875e-07,-1.3663629537617286e-10,-2.340390640638495e-09,0.05546455300681938,-6.436592226881366e-05,-7.143333663220224e-05,4.664389181664795e-08
0.46,-0.0050676092702517,-0.00019857565838719078,-0.0007506359935354438,-3.7096811764775155e-07,-3.998429696155608e-06,1.0638824273442113e-07,1.3000091582748657e-05,-1.697467442140221e-10,-7.303045276041566e-10,0.13692735577748347,0.00035555939948629656,4.0143231620505624e-05,1.1495319782259955e-07
0.48,-0.012104768992062151,-0.0001817026376199591,0.002639714779338265,-3.663303069816609e-07,5.034207314393037e-06,3.857151340739001e-07,1.4537379853562863e-05,-1.5746417941181826e-10,2.1346367953085163e-09,0.19711499683032044,0.0005360870069725139,7.10078446911535e-05,1.6741542689064173e-07
0.5,-0.014611178500993801,-8.991409877479479e-05,0.006475060650222002,-1.9475546738573039e-07,1.2623042494815912e-05,5.337132350360485e-07,6.746428586008099e-06,-8.128881698087643e-11,5.4330263285027785e-09,0.17992681402506994,0.0004691492368613659,5.608833802477238e-05,1.5528567442878876e-07
0.52,-0.0026360666390543267,6.392684345534278e-05,0.008269968332162947,-1.0973746095016456e-09,6.596046622375921e-06,1.8275997625272146e-07,-2.106507590032617e-05,4.944365585782579e-11,7.098909071307292e-09,-0.005525996434064097,-0.000265441409341486,-0.00011748809591730514,1.7502449220301551e-09
0.54,0.006125062519025732,0.0002176666147709531,0.006598389912928809,1.0665618762838001e-07,3.991025256677855e-06,-1.347542717388418e-07,-1.5285086744320613e-05,1.8248196589626543e-10,5.767581414951461e-09,-0.15823099764851628,-0.00018089577052733674,-4.9680324032164245e-05,-1.3104866964676592e-07
0.56,0.010072142932875783,0.00031200661380534616,0.0025806231605303184,1.9079741470788847e-07,3.895820200548218e-06,-2.8683011550411587e-07,-6.929606326906771e-06,2.6610017853914157e-10,2.3696428667527092e-09,-0.23660385090508007,-0.00011158438265465934,-5.95223269667885e-05,-2.0119342425438998e-07
0.58,0.01816810051714724,0.000310527019714038,-0.0029900009724759475,1.8364966761992138e-07,-5.650903038406356e-06,-5.815801590293972e-07,-1.6555867619795307e-05,2.684876546513478e-10,-2.358358858800053e-09,-0.3129247701586081,-0.0006021943927790492,-0.00018418271074524366,-2.6667418571009417e-07
0.6,0.01337438740171921,0.00019360585593409632,-0.008347744360642364,6.983336979641003e-08,-6.2084134369769345e-06,-4.928497718853619e-07,7.109834813120668e-06,1.7172701647787058e-10,-7.02334704391004e-09,-0.2125524659985129,-0.00014309874084228805,-4.927341084986353e-05,-1.865298385247808e-07
0.62,-0.006560023003915472,2.0934227156794984e-06,-0.009845126394291847,7.618655243835786e-08,7.08118202427758e-06,1.577402450700804e-07,3.635941215603006e-05,8.31195943794861e-12,-8.502536010240366e-09,0.06753902196417276,0.0006515476923994457,5.649106948293035e-05,4.812823757335179e-08
0.64,-0.011889200966622942,-0.00017189749510279533,-0.007148821588325876,1.952723658626207e-07,4.848845584487139e-06,3.943993690853716e-07,8.316084194897725e-06,-1.4301821263135299e-10,-6.273612234294092e-09,0.19503888131207311,-5.1810396006862075e-05,7.789059246518168e-05,1.6384859794909027e-07
0.66,-0.010288950868477163,-0.00027320338159742756,-0.002901628538014359,2.2141902248339914e-07,-1.7311286154759387e-06,3.3668750683431357e-07,-4.013419016161039e-06,-2.3290244068003527e-10,-2.639362292247449e-09,0.22210504020250504,-0.0002115362867150302,-1.9522393740197246e-05,1.9069527150400835e-07
0.68,-0.011599976766838917,-0.00028516883599962665,0.0017631330622959159,1.8899036926732904e-07,-6.505015810652624e-07,3.667520206310685e-07,2.9567286706988124e-06,-2.4624692958354287e-10,1.3573737171904439e-09,0.2381525105454196,0.00016903747160673189,7.496664052348266e-05,2.0460782308197312e-07
0.7000000000000001,-0.011247643895156282,-0.00020429071215151428,0.006186101178224078,2.068709364105682e-07,3.1073636363070743e-06,3.829739276238141e-07,9.72587832609222e-07,-1.797220775344067e-10,5.1804460355267784e-09,0.19737383318396154,0.00028542982220519826,7.710556062171751e-05,1.7129667725598614e-07
0.72,-0.006579591541630453,-4.8224297296337455e-05,0.009028664506967885,2.903688980292612e-07,5.563454784550596e-06,2.6584064187026965e-07,-6.629982999852125e-06,-4.763619744420083e-11,7.695666962950539e-09,0.08201251613431901,0.00017444145161101335,3.40816834017172e-05,7.448369876851112e-08
0.74,0.002681962051474898,0.00013741313834323327,0.008952897145788001,3.885623518172959e-07,4.082841153993514e-06,-2.0952088216801368e-08,-1.5618101385338406e-05,1.117518601038796e-10,7.744820188433714e-09,-0.09014597122182628,-9.751366565170783e-05,-1.7749584324377576e-05,-7.175726363074179e-08
0.76,0.013368540536465592,0.0002867153330895193,0.005410961909094385,4.2610391337022057e-07,-9.67502513139865e-07,-3.8966216253778674e-07,-1.9295292891263672e-05,2.4227056455090086e-10,4.818025329358824e-09,-0.25884413758551794,-0.0003411717934094184,-0.00014717721054030575,-2.1711939820367359e-07
0.78,0.019796554438448546,0.0003366159854959383,-0.00069005953052938,3.635138177206173e-07,-6.163472828588031e-06,-6.48531242124121e-07,-1.2592623104312014e-05,2.8920649162257935e-10,-3.6272809261180047e-10,-0.3412245571454299,-0.00039563895154097126,-0.00018797375466443958,-2.910414912468272e-07
0.8,0.013887258330487966,0.0002595415816313547,-0.006684661336486792,2.728271089161799e-07,-3.504633126526882e-06,-5.007903849340847e-07,9.82295224414694e-06,2.2708845196258305e-10,-5.5736210577202205e-09,-0.24708829371292104,6.826110537585736e-06,-7.360241893615473e-05,-2.162176476683741e-07
0.8200000000000001,-0.0031084162015809574,9.177386888881842e-05,-0.009269254285662,3.1401515914331265e-07,7.556027397677699e-06,6.299243000123498e-08,3.0731718793196047e-05,8.474751388066487e-11,-7.960411631801232e-09,-0.005816940977315844,0.0005027091550881338,7.76794990184149e-05,-1.3639066530883202e-08
