,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.001895493648463757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018594792691429458,0.0
0.02,0.0016919782110862737,-2.850884944885163e-07,-4.139061573427708e-05,-4.9551755349624505e-09,-4.85154029176872e-07,-3.2975548234835505e-06,-0.000309742467998695,-8.214176543458412e-12,-1.7954009132664992e-09,-0.003897779650484426,-2.273272870518357e-05,-0.01255828508717516,-3.1812135293979584e-07
0.04,0.0014566360983807544,-2.0678033973438254e-06,-0.00014401677610346064,-1.9075071996959847e-08,-9.221785371754869e-07,-1.1634765938335892e-05,-0.000506412481216676,-1.829320492049158e-10,-2.041613294832823e-08,-0.006023756656305994,-2.1335739223684366e-05,-0.007295061015217444,-1.7386177770595049e-06
0.06,0.001511316908032171,-6.200114016790878e-06,-0.000270349247307663,-4.20368964799625e-08,-1.3873130934215952e-06,-2.310397435844882e-05,-0.0006349581248044079,-1.0827452881706737e-09,-7.724957786228486e-08,-0.00636036296878861,-2.5284522831180677e-05,-0.005623534789104392,-4.0319581845827956e-06
0.08,0.001811840712213214,-1.2836406271457845e-05,-0.00039058150636662304,-7.533234819322692e-08,-1.9655615960464503e-06,-3.6986278722092865e-05,-0.0007559810579001917,-3.601174753834586e-09,-1.824575174481916e-07,-0.00553108920970176,-3.246505501212568e-05,-0.006437521151736513,-6.44722364281974e-06
0.1,0.00242092888999495,-2.167268367706927e-05,-0.0004891215728689432,-1.2183232943343002e-07,-2.7177339767196915e-06,-5.362705346620523e-05,-0.0009187693247976556,-8.678457367932486e-09,-3.314578226003656e-07,-0.004336180090336778,-4.250699762961378e-05,-0.009697824768759007,-8.328853497179892e-06
0.12,0.002705993384059803,-3.223521309764949e-05,-0.000562480580187845,-1.8500262449629933e-07,-3.612722867698738e-06,-7.391507401545116e-05,-0.001108567962803502,-1.7057981796796803e-08,-5.099155678210918e-07,-0.0029144439718229794,-4.6643062999465745e-05,-0.009272874293027453,-9.369047181833252e-06
0.14,0.0028842252346957063,-4.394723467784336e-05,-0.0006023969677720088,-2.666986746340937e-07,-4.5605919395153845e-06,-9.784164327095067e-05,-0.0012793033443194183,-2.915220618567486e-08,-6.998271244931303e-07,-0.0010027144906960645,-4.783167773245514e-05,-0.007814483260521372,-9.457651095293658e-06
0.16,0.0033200122161459894,-5.60623417401311e-05,-0.0006029068359980294,-3.6768788355409177e-07,-5.547517941808973e-06,-0.00012505845685970352,-0.0014452416099488506,-4.4994877317571165e-08,-8.814306519703587e-07,0.0008670952908955915,-5.055619520489066e-05,-0.008696005982494988,-8.539848205330575e-06
0.18,0.0020522068306816155,-6.778525941807253e-05,-0.0005588861110744346,-4.872994760005424e-07,-6.3401886497710885e-06,-0.00015468788947701714,-0.0014701932866286582,-6.422305025036714e-08,-1.0352635430283848e-06,0.004029204200936593,-2.843264755048036e-05,0.005637058081022094,-6.6818399090790264e-06
0.2,-0.00017072546757838822,-7.777937778313228e-05,-0.0004184975933591781,-6.173844276373828e-07,-6.545912313318811e-06,-0.00018158273779164688,-0.0011545586760499363,-8.608066491862409e-08,-1.1399875431828436e-06,0.010638910326725256,8.394717792289258e-06,0.025079962587248567,-3.494345336684898e-06
0.22,-0.0028295135650580313,-8.34125047756897e-05,-0.00011209950874181625,-7.436449503016315e-07,-5.926612966497293e-06,-0.00019833334441551943,-0.0004585677933923694,-1.0925630152125594e-07,-1.159021630274306e-06,0.020410564013160458,5.446064874036968e-05,0.04363941116733724,2.0923099686309625e-06
0.24,-0.006414913176530803,-8.080911544172327e-05,0.0004120591178109124,-8.471660659798904e-07,-4.214861773923453e-06,-0.00019721417593944986,0.0006430488173746627,-1.314764409121976e-07,-1.0329157514339027e-06,0.032284770200615265,0.00011764155505894144,0.06546822612581858,1.1167055206912606e-05
0.26,-0.0067493173881253855,-6.542103597740021e-05,0.0011543381323638842,-9.063814856663396e-07,-1.6256314866366529e-06,-0.00017210110299692327,0.001827873691188238,-1.49094340526511e-07,-6.855789748160145e-07,0.040494011218076185,0.00014216849228120172,0.053362730292501256,2.4163889570621706e-05
0.28,-0.004388391112412128,-3.4247419533641076e-05,0.0019499695171229378,-9.110332535311121e-07,1.1320157874822435e-06,-0.00012723021523113919,0.0025482334848373183,-1.569746686159887e-07,-5.2260427453090285e-08,0.036557479394591766,0.00013361128839152296,0.020025132372010535,3.916474637140518e-05
0.3,0.00420658413236818,1.0847478751064723e-05,0.002477238491346752,-8.680028290878784e-07,2.8465779835596155e-06,-7.79278658874667e-05,0.002116237824246479,-1.492934280197129e-07,8.60034245460245e-07,0.011936171623488988,3.636668869067862e-05,-0.05973451544919312,5.089962238507629e-05
0.32,0.0065221601152752745,6.025780044738777e-05,0.002337336901292083,-8.053118029379048e-07,3.3305683613363155e-06,-4.8018587118089985e-05,0.0008544010496205251,-1.2164186781422804e-07,1.9068286755931912e-06,-0.02620713772616711,7.956813858348705e-06,-0.06589711339840479,5.127368890033238e-05
0.34,-0.0010824965684797425,9.967674968241898e-05,0.0015219944168135449,-7.314185059504903e-07,4.322908512449915e-06,-3.829138742728278e-05,0.0003929959339438543,-7.404528815872372e-08,2.8004918299966605e-06,-0.050642942312215646,8.62884217450316e-05,0.016334167451836672,3.548491298947475e-05
0.36,-0.0032399938147770397,0.00011957004229089963,0.0004592726076823834,-6.285449352549426e-07,5.909377395700801e-06,-2.6028170974904484e-05,0.0008849749714176305,-1.2631222959688414e-08,3.2502033021329157e-06,-0.05302937173204807,7.042340343791503e-05,0.031839837981465766,8.42406909051673e-06
0.38,0.0024070796996617963,0.00011844061864059056,-0.0005607715519321602,-5.045497121375889e-07,6.079370635877325e-06,-6.017721352342227e-06,0.0009244071684625435,5.210417644301142e-08,3.1273666818784317e-06,-0.04958467004945703,-5.232803651372686e-05,-0.025824142543842462,-2.0340929136196362e-05
0.4,0.0028077140707650347,9.757236931676557e-05,-0.0015058189802234624,-3.9650972571235847e-07,4.580029830087163e-06,7.294918740885219e-06,0.0004059656149600261,1.0884112277588145e-07,2.464132552143786e-06,-0.043482871234058376,-9.634221622892986e-05,-0.026086717274903196,-4.505302402214484e-05
