,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.002707848069233938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026563989559184934,0.0
0.02,0.0024171117301232483,-4.053136510787456e-07,-5.902102606103384e-05,-7.149191391236895e-13,-6.966473449094819e-11,-4.712857166866201e-06,-0.0004426047136925909,-1.16966208760045e-11,-2.591177414270263e-09,-0.005561280513106524,-3.2495949819910663e-09,-0.017944849463514465,-4.6047244365140017e-07
0.04,0.0020809087119725064,-2.9477111137066594e-06,-0.00020542554201980875,-2.7398028371674913e-12,-1.3217896309368783e-10,-1.6626640955842688e-05,-0.000723772762094065,-2.639561750116518e-10,-2.9410023776956913e-08,-0.00859323811985654,-3.0619422761168913e-09,-0.01042392568129034,-2.498955611856963e-06
0.06,0.0021590241543316727,-8.84135896093575e-06,-0.0003855003551648871,-6.030711261923531e-12,-1.9879530045546087e-10,-3.301742567465133e-05,-0.0009074931873813631,-1.5594170616999287e-09,-1.1099214573503933e-07,-0.00906265532813911,-3.6247414722523352e-09,-0.008037169723225443,-5.781800887636765e-06
0.08,0.002588343874590306,-1.8303551312149115e-05,-0.0005567048309672611,-1.0800876071947594e-11,-2.816423874997649e-10,-5.2858069672670236e-05,-0.0010804958150897998,-5.1716951011065074e-09,-2.618132843807286e-07,-0.007863134312978453,-4.648896550704662e-09,-0.00920182763925239,-9.238330419278603e-06
0.1,0.0034584698428499283,-3.089299203983506e-05,-0.0006965455312187561,-1.74633218192998e-11,-3.893882113932467e-10,-7.66417567498647e-05,-0.0013132505965334738,-1.2453373173414781e-08,-4.752522390998695e-07,-0.006140260377114678,-6.0885418512457434e-09,-0.013860896088948384,-1.1927075759551437e-05
0.12,0.003865704834371147,-4.5925785877616094e-05,-0.0008000967018508393,-2.6512583390054994e-11,-5.174312250661094e-10,-0.0001056405635694497,-0.0015845788997792649,-2.446488302219603e-08,-7.307308188814638e-07,-0.004094558675911352,-6.6748649385495185e-09,-0.013253693241195012,-1.3410957420742458e-05
0.14,0.004120321763851009,-6.257220250583873e-05,-0.0008555815500445573,-3.8211158500317026e-11,-6.52924900832098e-10,-0.00013983974877953222,-0.0018285899753021277,-4.179302597672409e-08,-1.0024819698877376e-06,-0.0013499439563783152,-6.834997200166892e-09,-0.011170081789716145,-1.3531898079983528e-05
0.16,0.00474287459449427,-7.97621971567471e-05,-0.0008545147740783537,-5.266672488848824e-11,-7.939182987172917e-10,-0.0001787408296751539,-0.0020656001613096634,-6.448395731346405e-08,-1.2622426981476737e-06,0.001334314878318573,-7.2037352957798895e-09,-0.012430910002520987,-1.2210715865160736e-05
0.18,0.002931724043830879,-9.635565792055973e-05,-0.0007897348994808741,-6.977923067115663e-11,-9.067802341940692e-10,-0.0002210920040709273,-0.0021013086571300076,-9.201585762744985e-08,-1.4821038798850797e-06,0.005851822958477802,-4.045491407145274e-09,0.008051851625014986,-9.541989743924095e-06
0.2,-0.00024389352511198316,-0.0001104415404640468,-0.0005873759987561623,-8.837807199396509e-11,-9.356150921619963e-10,-0.00025953372007449997,-0.0016503722987002976,-1.2330227074915448e-07,-1.6314160940715509e-06,0.01528006597399946,1.2170918439746714e-09,0.035838352582293474,-4.963162323901052e-06
0.22,-0.0040421622357971875,-0.0001182647206225751,-0.00014833081242382874,-1.064184860562729e-10,-8.464907004333105e-10,-0.00028348059276481707,-0.0006558144088095119,-1.564592052332458e-07,-1.6576643641461387e-06,0.029206517777548853,7.83625423578238e-09,0.06236449764524726,3.056167105282932e-06
0.24,-0.00916416168075829,-0.00011430368964202982,0.0006009045570542984,-1.2119449637861888e-10,-6.009390608702992e-10,-0.00028189069422096134,0.0009185401974866723,-1.8822469558125557e-07,-1.4757004188763567e-06,0.0461110565522031,1.6859898591820022e-08,0.09356433004088423,1.6069797849750742e-05
0.26,-0.009641881983036265,-9.208136504722105e-05,0.0016604014631722286,-1.2962209151140585e-10,-2.3015332707442836e-10,-0.0002460092391921488,0.002611742243340116,-2.1336901463061e-07,-9.766122103192106e-07,0.05775936748515181,2.034164756775647e-08,0.0762805031487798,3.469054327964197e-05
0.28,-0.006269130160588755,-4.7344381564816065e-05,0.0027944417031656506,-1.3023697311817186e-10,1.6461861808322578e-10,-0.00018188631789550715,0.003641710593995629,-2.245351925783756e-07,-6.810186831104534e-08,0.052049047996430786,1.912468063428041e-08,0.028655034844703765,5.615194296398875e-05
0.3,0.006009405903383115,1.7212630128988065e-05,0.0035435056713079773,-1.240355930246779e-10,4.091174311138746e-10,-0.0001114181930577112,0.0030253743423211054,-2.133907103954732e-07,1.2391421963016681e-06,0.016812691228306482,5.176309172960636e-09,-0.08530989753860863,7.289650413319266e-05
0.32,0.009317371593250391,8.785462680111007e-05,0.00333821643099314,-1.1502512830846021e-10,4.785344254644538e-10,-6.86403881742348e-05,0.0012232153859899038,-1.7364167025215113e-07,2.737780978285396e-06,-0.03773228691474033,1.1383368449247033e-09,-0.0941202168009717,7.333966959679221e-05
0.34,-0.001546423669256775,0.00014408781630195305,0.0021672718863213823,-1.044001812505753e-10,6.215106655598977e-10,-5.468548132651605e-05,0.0005645796516618176,-1.0536113761082358e-07,4.014919948113226e-06,-0.07265879436447062,1.2351141744776362e-08,0.02336280299790333,5.0649799284250394e-05
0.36,-0.0046285625925386285,0.00017230714372016643,0.0006432523686642339,-8.962996110559148e-11,8.475485296212948e-10,-3.709914336434916e-05,0.0012677595939039827,-1.7359482175695417e-08,4.6553713009923465e-06,-0.07602474686281092,1.0023810441406322e-08,0.045495916324137256,1.1882120551450682e-05
0.38,0.0034386852852311377,0.0001703888310718677,-0.0008183528222075198,-7.187120071373555e-11,8.695978835662341e-10,-8.439817410436592e-06,0.001323679007947627,7.532939378011862e-08,4.475969261301879e-06,-0.07100455001308303,-7.583233610497508e-09,-0.03692200899905168,-2.9298389553435648e-05
0.4,0.004011020101092906,0.000140203001502552,-0.0021707499313275962,-5.642553308264304e-11,6.541480404268856e-10,1.0633708733522468e-05,0.0005822505612679085,1.5649959380157005e-07,3.522815824635258e-06,-0.062166975757116244,-1.383677212044021e-08,-0.037319035171857744,-6.46796267219953e-05
0.42,0.004920144274844328,8.550447437045931e-05,-0.0032342758564487518,-4.650311875012727e-11,3.196357094934754e-10,1.4558576641795527e-05,-0.0002021127707126622,2.121378737198914e-07,1.9567163424821447e-06,-0.04277955861796811,-1.9349973730958814e-08,-0.04100950047473153,-8.989508687475184e-05
