,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0002456895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024102139950000004,0.0
0.02,0.0002193103,-5.6394554209621424e-08,-7.84608651623838e-06,-9.435839442571888e-10,-9.156849250869914e-08,-4.0753696763233743e-07,-3.759921193196585e-05,-1.7619737242850612e-12,-3.3738186267991737e-10,-0.0007333188550729865,-4.137372808156448e-06,-0.0013901625925320227,-5.4410448540592394e-08
0.04,0.0001888058,-3.901334362129783e-07,-2.673517637026859e-05,-3.559515356434539e-09,-1.6828815834209754e-07,-1.3793256026195444e-06,-5.696228693829127e-05,-3.1298966076450277e-11,-3.2683831878803958e-09,-0.001088144525721898,-3.628223992672595e-06,-0.0005815134859107693,-2.6118254048811726e-07
0.06,0.0001958934,-1.1466746527807352e-06,-4.8929108941805736e-05,-7.678918033962432e-09,-2.4524851737262427e-07,-2.6162976902069244e-06,-6.577794611982152e-05,-1.6717149323891846e-10,-1.1251540842081812e-08,-0.001081164553505283,-4.144260694005208e-06,-0.00031677032304119353,-5.381847711247504e-07
0.08,0.0002348466,-2.3289157802616043e-06,-6.855313563666065e-05,-1.3484668990008083e-08,-3.390166198566372e-07,-4.001416859491401e-06,-7.298755993324504e-05,-5.160360464973771e-10,-2.4382972578763195e-08,-0.0008571007064937893,-5.255133389779057e-06,-0.0003972051984886862,-7.577200707685887e-07
0.1,0.0003137952,-3.852585255831703e-06,-8.289587740321269e-05,-2.142457199272477e-08,-4.6025999556727395e-07,-5.568133727916568e-06,-8.487654518599588e-05,-1.1636574680375855e-09,-4.069920458929386e-08,-0.000582542852615437,-6.823441665443353e-06,-0.0007747627899757209,-8.513703179380632e-07
0.12,0.0003507446,-5.6074600799506495e-06,-9.172797899640608e-05,-3.2033004906704904e-08,-6.018523648697089e-07,-7.411879807488923e-06,-9.918914751045725e-05,-2.147365129936008e-09,-5.757857935412866e-08,-0.0002901903331307471,-7.25408753787923e-06,-0.0006610487203594022,-8.198096745268023e-07
0.14,0.0003738466,-7.47534654609039e-06,-9.401267850155071e-05,-4.551462169559727e-08,-7.459166460240358e-07,-9.510881280762334e-06,-0.00011009232460437545,-3.4545862716093286e-09,-7.275290126624367e-08,7.001510963892022e-05,-7.110719065543496e-06,-0.0004345108098173458,-6.832834858162768e-07
0.16,0.0004303323,-9.317958369158778e-06,-8.913105640039467e-05,-6.186919220704841e-08,-8.899685683815167e-07,-1.180655266532532e-05,-0.0001196825170854344,-5.0325538210343166e-09,-8.429257839901565e-08,0.00039941723533729403,-7.1900679281269e-06,-0.0005206346809326345,-4.578619304952094e-07
0.18,0.0002660023,-1.0991997022045787e-05,-7.647605948885795e-05,-8.081669815454377e-08,-9.901662586373293e-07,-1.4173592931101842e-05,-0.00011127820584367538,-6.7913979734815165e-09,-9.065762324216657e-08,0.0009548160226475665,-2.732899175148483e-06,0.0012546713529707563,-1.673173986694837e-07
0.2,-2.212904e-05,-1.226326595407593e-05,-4.671034746396776e-05,-1.007071100790286e-07,-9.756560281735786e-07,-1.5986971529271944e-05,-6.279224398614264e-05,-8.613388211233876e-09,-9.016800556986953e-08,0.002132752396829812,4.2251033100819055e-06,0.0034368466769895073,2.484876201403684e-07
0.22,-0.000366755,-1.2663854543119078e-05,1.2367601390837752e-05,-1.1883428156984248e-07,-8.094342233290395e-07,-1.6419653963191257e-05,2.562413837266797e-05,-1.0326922327179016e-08,-7.89079552096146e-08,0.0038383080661253985,1.2498036812916974e-05,0.005250364357293771,9.33742211844535e-07
0.24,-0.0008314862,-1.151936617354843e-05,0.00010877774681247124,-1.3180494786246951e-07,-4.509689923461094e-07,-1.4706307734130067e-05,0.00015238071673524963,-1.1654428129653921e-08,-5.033068177524341e-08,0.00583632873326881,2.3368485315493912e-05,0.007256016739131358,1.9891197669875795e-06
0.26,-0.0008748309,-8.068783576189173e-06,0.0002402140201079186,-1.3594574338848432e-07,4.669539577431424e-08,-1.037292106991225e-05,0.0002732028762395903,-1.2173745314681116e-08,3.0464501554271254e-09,0.007014450623383852,2.6440701326900957e-05,0.0049230531355522215,3.3883384465541706e-06
0.28,-0.0005688131,-1.893776508582648e-06,0.000373368686500821,-1.2995267934128892e-07,5.412481156980938e-07,-4.2590917933688996e-06,0.0003229301126882188,-1.133832519202635e-08,8.50525082193785e-08,0.005827918045515493,2.2898637988402054e-05,0.00033639718122182997,4.753057138252649e-06
0.3,0.0005452477,6.482858173777556e-06,0.0004475304416118612,-1.1582884882429033e-07,8.050230025698393e-07,1.5588948711268664e-06,0.00022681814241748676,-8.628197468721943e-09,1.8791316482732382e-07,0.0008212521438265872,3.285906955483378e-06,-0.009288991282314307,5.318182056933277e-06
0.32,0.0008453873,1.5107241474664198e-05,0.0003917379004129765,-9.938403300538154e-08,8.223298297532105e-07,4.2647838149449205e-06,4.5443406369212455e-05,-3.853906971095263e-09,2.8568327555063994e-07,-0.006372135083240447,-2.147042823039038e-06,-0.008784090021394683,4.1224290249057365e-06
0.34,-0.0001403107,2.129955975251186e-05,0.00021367056155878125,-8.225816307309539e-08,9.410088437822873e-07,4.229521381313184e-06,-1.1854531292923561e-05,2.5022110381078933e-09,3.3951845516736097e-07,-0.010475363929886579,1.2811602918844783e-05,0.002376521131876246,1.0097092682621287e-06
0.36,-0.0004199605,2.344921663256881e-05,2.319825019955972e-06,-6.104468217137373e-08,1.1679287176854055e-06,4.595075569177204e-06,5.367632404661481e-05,9.241106009331796e-09,3.2193798467372543e-07,-0.010164809995071057,9.2925576116289e-06,0.003990486152827281,-2.7286799785295733e-06
0.38,0.0003120001,2.1565675816912985e-05,-0.00018624744207182845,-3.7431417074992615e-08,1.113907555831429e-06,5.920202615355062e-06,5.360057845289364e-05,1.4919504576098042e-08,2.3615382602659312e-07,-0.008837986864115495,-1.4339258683789165e-05,-0.0035809090550227352,-5.6466476634422605e-06
0.4,0.0003639294,1.616088697401955e-05,-0.0003487450154686999,-1.8559105603209638e-08,7.488976687082245e-07,6.2956954346920665e-06,-1.5125701578903402e-05,1.8379733989507437e-08,1.0426000349520535e-07,-0.007167049070845774,-2.1849784171909265e-05,-0.003302370521144034,-7.34733777715301e-06
0.42,0.0004464164,7.929571280853877e-06,-0.0004648416206815963,-8.392178985791127e-09,2.4739823343072266e-07,5.330345712455495e-06,-8.144086021516869e-05,1.894293558341292e-08,-4.971141779427378e-08,-0.004290001421758747,-2.7862940148736448e-05,-0.003321579237453702,-7.846942357929023e-06
0.44,0.0003034382,-1.983578633570192e-06,-0.0005138542552764202,-8.986138228035665e-09,-3.025400201988952e-07,3.1764196666282017e-06,-0.0001276330149755261,1.640751922043567e-08,-2.0148903143623943e-07,-0.00044912997707314824,-2.6569690630916763e-05,-0.0013963957272583995,-7.133401126927448e-06
0.46,-0.0009195925,-1.1996539871895849e-05,-0.0004669248361708786,-1.8680919379450184e-08,-5.818387443237787e-07,1.0903121678724907e-06,-4.7207325475016666e-05,1.1060078959060914e-08,-3.267934429168831e-07,0.005722371646226283,-1.0131010958211797e-06,0.008784449662154503,-5.1715316722495555e-06
0.48,-0.002196589,-1.9638294212627403e-05,-0.0002682748342777552,-2.863764170184557e-08,-3.1718174713875524e-07,2.430824653879665e-06,0.00020492246916302867,3.697976318208032e-09,-3.97555958581948e-07,0.014380406429529752,2.7958451579190293e-05,0.015893323441501486,-1.598862850507661e-06
0.5,-0.002651414,-2.1569301485173147e-05,0.00010014859860036133,-2.8352336517239927e-08,4.00529644924277e-07,9.545574826696257e-06,0.000498657508738434,-4.240740533597177e-09,-3.783674406746947e-07,0.02185708845308755,4.452389006520674e-05,0.013533909698353046,3.786919757984362e-06
0.52,-0.0004783532,-1.505261324919858e-05,0.0005476297008859424,-1.3598816160362798e-08,9.71031612894143e-07,2.0522686408296614e-05,0.0005216028166340478,-1.0634017236724152e-08,-2.4011446401248637e-07,0.020715723369256693,1.3578244386493882e-05,-0.009725112010127082,9.985656810895956e-06
0.54,0.001111483,-6.063007476568255e-07,0.0008576461439527051,7.452518402193047e-09,1.0791682762460604e-06,2.8231486729761162e-05,0.0002149488125006752,-1.3101792405063506e-08,7.407716918432411e-09,0.008956494686969163,-3.0554659655995103e-06,-0.020048784706824425,1.4152308910121147e-05
0.56,0.001827739,1.7272617668288187e-05,0.0008762724697277901,2.8207149597006914e-08,9.78723502466174e-07,2.8594019837636705e-05,-0.000174216014165881,-1.0071873808057302e-08,2.9374008285233846e-07,-0.007251739855478193,-8.63330733252756e-06,-0.01870429992346209,1.3576159321057395e-05
0.58,0.00329687,3.223812312292145e-05,0.0005651251502956929,4.414719427473346e-08,5.11480664231782e-07,2.104279206324031e-05,-0.0005948705554625611,-1.7926545719664756e-09,5.146524399734223e-07,-0.02381960920092074,-3.971788693863483e-05,-0.022934887310838467,7.691274798436127e-06
0.6,0.00242698,3.788889854769575e-05,-3.513380496802602e-05,4.6953800618214435e-08,-2.128651861844624e-07,5.782907875551162e-06,-0.0008748470926493679,9.422598794579044e-09,5.734757679208635e-07,-0.03429992244094002,-3.4493770517568176e-05,-0.006077398681154531,-2.294206798629955e-06
0.62,-0.001190413,3.0367181315608936e-05,-0.0006983810951535243,3.9252079624682784e-08,-3.9026342145704196e-07,-1.04578821021435e-05,-0.0006375105984181176,1.9691391053393142e-08,4.172430830565849e-07,-0.028697927005966094,1.5426193150678636e-05,0.027456285404713853,-1.3050220968215109e-05
0.64,-0.002157471,1.1793087857676413e-05,-0.0010974791246810287,3.409490998359074e-08,-1.4257007608697625e-07,-1.77152196188322e-05,-9.034063120940212e-05,2.4891263418260266e-08,8.132581799689102e-08,-0.010268887782016674,1.0622120450395054e-05,0.026871296174220793,-1.9434016019892932e-05
0.66,-0.001867082,-1.0854952483585e-05,-0.001101946014040895,3.196952595532344e-08,-1.2808003862224345e-07,-1.5028888587526946e-05,0.0003174028146974714,2.25728207322613e-08,-3.0973492494790793e-07,0.009277152294163019,-6.487905309820606e-06,0.014404837328069587,-1.8406916123128526e-05
0.68,-0.002104987,-2.9925846994886505e-05,-0.0007537083632261392,2.8462986147699987e-08,-1.9264374821766118e-07,-6.158783617196337e-06,0.0005530312876996672,1.311531182402855e-08,-6.108168966485408e-07,0.024765194129111913,2.322218589916915e-06,0.009415565057259866,-1.0824877155086954e-05
0.7000000000000001,-0.002041051,-3.931304431096979e-05,-0.00015477875353590124,2.5912294638959567e-08,-1.3234874089568814e-08,6.350338729912039e-06,0.0006782181851482684,-5.494786090393094e-10,-7.178408156010283e-07,0.03380231693732446,1.7055372794858485e-05,0.003537961129107728,4.653674833399827e-07
0.72,-0.001193964,-3.5502878974311847e-05,0.0005341181615037998,2.9410641933580986e-08,3.835845533518397e-07,1.9886957479951423e-05,0.0006427113152251021,-1.4017500280956749e-08,-5.90205661972387e-07,0.033290168109395814,2.325335330338827e-05,-0.0062991191947172455,1.2053431233439121e-05
0.74,0.0004866816,-1.8755753157478494e-05,0.0011015283747602613,4.11344726855178e-08,7.57058969416431e-07,3.054731012859106e-05,0.00038200594417349935,-2.2772981331867987e-08,-2.572641512609875e-07,0.021584599078110465,1.3654935007850321e-05,-0.018717800049540732,2.042885931249045e-05
