,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0002456895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024102139950000004,0.0
0.02,0.0002193103,-4.484969759188384e-07,-4.418971036413524e-05,-5.4645358220350416e-09,-2.7599594865007317e-07,-8.904838567226576e-09,2.7912727081649816e-08,-3.526357710547919e-13,-3.642374171826074e-11,-0.0019457059578809868,-4.328227855929928e-07,7.014079131749206e-06,-1.6937602463505774e-09
0.04,0.0001888058,-1.6676620605036095e-06,-7.501302591513315e-05,-1.1185915192503824e-08,-3.0302836884229765e-07,-8.105299482583754e-09,2.8044790474001e-08,-1.3744202108726444e-12,-6.343551296170601e-11,-0.0011119453665018593,-2.3452352682909114e-06,1.767354958931818e-05,-9.836957611636152e-10
0.06,0.0001958934,-3.3412533158587265e-06,-9.04454962780536e-05,-1.8090291320777828e-08,-3.9353656150702474e-07,-8.66234262769025e-09,-5.295042778316165e-08,-2.7960321408167545e-12,-7.707045728339847e-11,-0.0004457888331230794,-5.1768759759846395e-06,1.9500679839899423e-05,-4.008149249945132e-10
0.08,0.0002348466,-5.205497340537689e-06,-9.47186940536077e-05,-2.7268862042410533e-08,-5.288877126395551e-07,-1.0560349161493188e-08,-1.1645489453128467e-07,-4.387095782982246e-12,-8.092508069326336e-11,-1.00546298641449e-05,-7.255010359066318e-06,1.7088905779340377e-05,-1.524417230156492e-11
0.1,0.0003137952,-7.093897163766863e-06,-9.401276693365515e-05,-3.971634625061299e-08,-7.088456403355728e-07,-1.3969651441410625e-08,-1.8023390433742123e-07,-5.999654674120347e-12,-8.021895560593077e-11,5.834839376930596e-05,-8.773973573823236e-06,-3.2866775837683045e-06,5.4917603569472643e-11
0.12,0.0003507446,-8.931922978202184e-06,-8.849341426702179e-05,-5.525143895752782e-08,-8.402658280015495e-07,-1.6177152565110374e-08,-9.558820625699235e-08,-7.56925002088829e-12,-7.564324064060764e-11,0.0004962040554384171,-6.316533646627889e-06,-6.551599598695712e-06,4.1816482614708364e-10
0.14,0.0003738466,-1.0567455657131227e-05,-7.37624760564109e-05,-7.314797067887909e-08,-9.462564478183768e-07,-1.7663224417072485e-08,-6.558316517293785e-08,-8.968889657831453e-12,-6.320594692773917e-11,0.0009671416844237076,-4.931190290585925e-06,-7.629373723448555e-07,8.218202789855622e-10
0.16,0.0004303323,-1.1837618076927415e-05,-5.4231617040507654e-05,-9.340364388695628e-08,-1.0688222549934848e-06,-2.0052098938434563e-08,-1.0615816273094368e-07,-1.0055991549311362e-11,-4.6332084265541195e-11,0.0009758393654106771,-4.2848040283866365e-06,-2.3547414130676864e-05,8.391809568087245e-10
0.18,0.0002660023,-1.2602721986740498e-05,-1.5680173646878085e-05,-1.1343067154975516e-07,-9.175042647264104e-07,-1.500954519797865e-08,3.3969434655762464e-07,-1.0720732228658402e-11,-1.4546443228046589e-11,0.0028932379559292332,1.0460939620073485e-05,-1.8137432279229982e-05,2.4124590706795586e-09
0.2,-2.212904e-05,-1.2160505881161228e-05,6.873216724466171e-05,-1.2844409448610057e-07,-5.645146752208811e-07,-4.223856741682351e-09,5.813114357702805e-07,-1.0382257003582934e-11,5.5995493458225344e-11,0.005462429720944387,2.101406460907479e-05,3.449925016212269e-06,4.599640136575056e-09
0.22,-0.000366755,-9.52818597441707e-06,0.00020147974462094256,-1.346563729168179e-07,-3.469825288560553e-08,9.781292169813425e-09,7.313272775777462e-07,-8.201580728042615e-12,1.6815580068564375e-10,0.007630942465764583,2.9926962632353954e-05,2.9317182274037624e-06,6.47905991372855e-09
0.24,-0.0008314862,-3.819406591858305e-06,0.00037616917419971074,-1.2749567082575525e-07,7.783010294230976e-07,2.8963997417945134e-08,9.733513127711732e-07,-3.41660063897999e-12,3.1627570738609715e-10,0.009562011284843828,4.215901843635395e-05,5.702127589450113e-05,8.149364514693535e-09
0.26,-0.0008748309,5.416616318416995e-06,0.0005346954999171721,-1.0682737842655302e-07,1.293462098159748e-06,3.56122471425897e-08,2.1490487004799308e-07,4.3952778218622965e-12,4.5431501825562047e-10,0.00591256583091245,2.6053337239598934e-05,2.3204388966588515e-05,5.209304248455352e-09
0.28,-0.0005688131,1.6780371273770217e-05,0.0005744953133704651,-7.878549045602748e-08,1.4976904465518758e-06,2.864512579547846e-08,-5.123822143637749e-07,1.4105372588949317e-11,4.935506441199538e-10,-0.0021255489109874995,4.976494454587803e-06,7.03458550985617e-05,-1.5422982110795754e-09
0.3,0.0005452477,2.6838200436367878e-05,0.00037943629941295236,-5.5976188246242746e-08,7.228592305894212e-07,-7.83683237352997e-09,-2.035673712305082e-06,2.2849233311073994e-11,3.364801057951836e-10,-0.017257047572796162,-4.107523817940438e-05,-4.747309086049038e-05,-1.433468361497275e-08
0.32,0.0008453873,3.058630520219719e-05,-1.8078007333586004e-05,-4.3018835555269285e-08,5.361403108396009e-07,-2.2812031500636497e-08,-5.82948673930722e-07,2.632010529237564e-11,-1.6522054134833245e-12,-0.021711617389072707,-1.7116701421349568e-05,-9.230015403997893e-06,-1.855434088998269e-08
0.34,-0.0001403107,2.6562450682937297e-05,-0.0003437653573351138,-2.3071971611890666e-08,1.4446481726512668e-06,8.164333202031855e-09,1.85002052506584e-06,2.306843155386493e-11,-2.8951457112984476e-10,-0.010142853921634585,3.853967104924371e-05,2.2521366943191717e-06,-9.170325059814591e-09
0.36,-0.0004199605,1.8098829202776658e-05,-0.00048180498814298715,5.288391482823706e-09,1.3464296482165932e-06,2.061708736144345e-08,3.959135772748418e-07,1.5866775256334866e-11,-4.125748222064128e-10,-0.0036269821681826917,-9.46524849948678e-06,1.2484920067072766e-05,-3.3380521977118926e-09
0.38,0.0003120001,7.591628777821868e-06,-0.0005787641136256236,1.917962885031898e-08,-4.276629677294139e-09,-5.839774033352455e-09,-1.6080176571680461e-06,6.8883283855411594e-12,-4.933613698300542e-10,-0.006133272763079421,-7.010784286272563e-05,-6.629762603761722e-06,-5.141181241206556e-09
0.4,0.0003639294,-4.909950239469632e-06,-0.0006538273251173964,1.2195711352470355e-08,-6.85514677010375e-07,-1.518168612289296e-08,-2.918936454231182e-07,-3.7963016496920384e-12,-5.603662093066466e-10,-0.0011390374580189967,-3.496240392145567e-05,1.5801232739419933e-06,-1.1231993823437473e-09
0.42,0.0004464164,-1.7879856735411648e-05,-0.0006273433227489684,-8.82310624879909e-09,-1.408925984516299e-06,-2.197847262275635e-08,-3.090759395613485e-07,-1.4938654547917963e-11,-5.402559070022613e-10,0.0037674074721550685,-3.3618227289467645e-05,-4.547074654298209e-05,3.102537414231523e-09
0.44,0.0003034382,-2.9246002537125865e-05,-0.00048798442774654647,-4.127769835422935e-08,-1.7949644155074953e-06,-2.0941618751872522e-08,2.1333994827867193e-07,-2.476710166805205e-11,-4.243267810346586e-10,0.010106743383708091,-7.077922246447911e-06,-6.925109324308946e-05,8.478156459905818e-09
0.46,-0.0009195925,-3.599385942002109e-05,-0.00013606007445348024,-6.744121601069215e-08,-7.231053054403887e-07,1.9292085712583274e-08,2.3729126664407046e-06,-3.076814987454997e-11,-1.3238032478233325e-10,0.024832639268171565,6.522436413679451e-05,4.197532649365425e-06,2.0842221019911657e-08
0.48,-0.002196589,-3.2933503036770677e-05,0.0004787173368703414,-6.656686374277539e-08,9.070270277680673e-07,6.99103928239528e-08,2.5632178031104342e-06,-2.854034345773339e-11,3.871516077057403e-10,0.0356774644845598,9.12732818404787e-05,8.776806985568027e-05,3.032620100539392e-08
0.5,-0.002651414,-1.628831799246061e-05,0.0011743238855520363,-3.545183578604686e-08,2.2853129138717025e-06,9.68581447869668e-08,1.206809570104189e-06,-1.4726531484028756e-11,9.85339160330539e-10,0.032625846735076645,8.058228826858006e-05,2.2689922980616197e-05,2.816752616757376e-08
0.52,-0.0004783532,1.1609576796565053e-05,0.0014998756604553474,-3.4891977228950046e-10,1.196178994576083e-06,3.318963701223479e-08,-3.837978596360405e-06,8.980788495792533e-12,1.2874877442652426e-09,-0.0010115564781238357,-5.011526230205669e-05,-1.6249527437682586e-05,3.1683632928437865e-10
0.54,0.001111483,3.9480682376281844e-05,0.0011966673750013071,1.918523220729442e-08,7.231287903826509e-07,-2.4460632552549623e-08,-2.7721872041002363e-06,3.309907874638623e-11,1.0460014812587014e-09,-0.028704540772537392,-3.215341263051053e-05,-9.646578288227724e-06,-2.3775505743501028e-08
0.56,0.001827739,5.6588232793527627e-05,0.0004677868945255274,3.442262951696244e-08,7.015659717826313e-07,-5.2097536278981814e-08,-1.2959636171842329e-06,4.8262552574113056e-11,4.2957913756317505e-10,-0.042958369618932284,-2.467223263824753e-05,2.5576319986201626e-05,-3.65127121085794e-08
0.58,0.00329687,5.631244580765409e-05,-0.0005428079736911291,3.3087713723557476e-08,-1.028349683734598e-06,-1.0556586792206855e-07,-3.021915785618442e-06,4.868938488052412e-11,-4.281584334459464e-10,-0.05678555606233841,-0.00011266705276294191,-1.63487327219993e-05,-4.8384352652498515e-08
0.6,0.00242698,3.50934021685282e-05,-0.0015147507989239756,1.2401892780012431e-08,-1.1269112766626544e-06,-8.94357474910909e-08,1.3004627774408788e-06,3.1128882729045476e-11,-1.27444443080536e-09,-0.03854385791812249,-2.3982349409358734e-05,-1.88024435768873e-05,-3.382870293899842e-08
0.62,-0.001190413,3.578795306978455e-07,-0.0017861958658114841,1.352178791220245e-08,1.2796603259081103e-06,2.8572502764091624e-08,6.565787305772669e-06,1.4894433541898492e-12,-1.5426034737431593e-09,0.012231311663591876,0.00011211738116082871,4.426255625212768e-05,8.728437574352442e-09
0.64,-0.002157471,-3.120827682094481e-05,-0.0012968925151608374,3.508548368559611e-08,8.70433362953031e-07,7.148767247641318e-08,1.4225462747182364e-06,-2.5965571826815378e-11,-1.1380925001518765e-09,0.035320283682248224,-1.5856208443537027e-05,9.277686894187541e-05,2.970041512767352e-08
0.66,-0.001867082,-4.9585171365718355e-05,-0.0005261163159860269,3.9812522502975047e-08,-3.1170132739865994e-07,6.114639276669582e-08,-7.099952725073757e-07,-4.227074561059428e-11,-4.786006445160953e-10,0.040332988214101174,-3.689666521671333e-05,-2.8953882898253116e-05,3.4623041381934457e-08
0.68,-0.002104987,-5.174734412001827e-05,0.00032038866831610803,3.3924641550366946e-08,-1.1938301347847308e-07,6.654745836668193e-08,5.194141736935501e-07,-4.4684474657937106e-11,2.467005057292461e-10,0.0432025449009029,2.973315466889715e-05,2.666974227270814e-05,3.7123481253352616e-08
