,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0036252862416979296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035564058031056694,0.0
0.02,-0.0036057626754896974,5.585596900254339e-07,8.205390267739889e-05,9.811576838944735e-09,9.780536109451207e-07,6.536355823931238e-06,0.0006258432665694669,1.5448855361831684e-11,3.4769547207324043e-09,0.007875344571102165,4.851488045301382e-05,0.027218133054757454,6.264844266344666e-07
0.04,-0.003635514196374453,4.179010109860306e-06,0.0002976999944112939,3.9254830594487045e-08,1.979491158439978e-06,2.4031067634168276e-05,0.0011013801678785612,3.6206582944892086e-10,4.0910555266261705e-08,0.013168132086286562,5.242609093347034e-05,0.020531705867119814,3.54076214493799e-06
0.06,-0.0037198183176856145,1.2951485307587193e-05,0.0005857972285878379,8.982423880441708e-08,3.1042218054528396e-06,4.9812219339760313e-05,0.001459978987676546,2.1972204120736772e-09,1.5944382309202958e-07,0.015038835371290311,6.038463146899875e-05,0.01550678606376086,8.566076092131245e-06
0.08,-0.003723734910783461,2.761517945613241e-05,0.0008745025269582283,1.6449630267942382e-07,4.387762974947061e-06,8.17808779642255e-05,0.001721119482561771,7.481185798494952e-09,3.880067052109495e-07,0.013221427694833308,6.777235108521365e-05,0.010802984294166708,1.4248233111239387e-05
0.1,-0.003593645222165664,4.745289219069176e-05,0.0010918184514507256,2.6609501777694495e-07,5.783312899344109e-06,0.00011802165400879902,0.0018868385076109301,1.8424356918969693e-08,7.21414638663905e-07,0.007999018653248119,7.11320427665349e-05,0.005970059278323794,1.874556896886914e-05
0.12,-0.0032884066030088254,7.040481881795508e-05,0.001177403942877887,3.958335980191476e-07,7.178215057491766e-06,0.0001565787615928373,0.0019512664946939925,3.677023941756231e-08,1.118815242870409e-06,0.00023321682058037412,6.743564384756318e-05,0.000683605336283144,2.041233414938055e-05
0.14,-0.003423021163437498,9.342859023675448e-05,0.0010976741425525625,5.527204206780796e-07,8.497603665494955e-06,0.00019571698851238896,0.0019614194804139606,6.314795796384347e-08,1.5117831274318387e-06,-0.008063875533251993,6.346252237453276e-05,0.0003200564338916561,1.8215463520693752e-05
0.16,-0.004180292070453777,0.00011331056770667877,0.0008707021088853854,7.353256645919057e-07,9.756524504784782e-06,0.00023536163199691716,0.0020191563844282065,9.668036683495796e-08,1.8214521447622074e-06,-0.014019109501522298,6.137555416758922e-05,0.005200794274923868,1.2188790907950412e-05
0.18,-0.004247647095659803,0.00012769512879222446,0.0005587704445178975,9.417475857490354e-07,1.0833018063557922e-05,0.00027660574645656005,0.0020964103258144864,1.3500143578802722e-07,1.9822473404731844e-06,-0.016724910092260726,4.5594999518741575e-05,0.002539207642221257,3.6209061986234876e-06
0.2,-0.003297881164273169,0.00013544684563981393,0.00021298426553012503,1.1654687082809247e-06,1.143530793330736e-05,0.0003182424518726358,0.0020293733790423874,1.7474872142655856e-07,1.9614260116456957e-06,-0.017744706190999052,1.457341574141735e-05,-0.008850040448723187,-5.695260593182428e-06
0.22,-0.0029730280002625174,0.00013615333259346974,-0.0001406295748761089,1.3956063800663783e-06,1.1505631553259067e-05,0.0003568005738191796,0.0018141600788759622,2.1223916378840824e-07,1.7584832832701559e-06,-0.017223780508587097,-7.257726248162399e-06,-0.012557540398585981,-1.4414485121585618e-05
0.24,-0.002824171146407197,0.00013005180817629708,-0.00045968900078619316,1.623033433987992e-06,1.117836462837345e-05,0.0003904701474040495,0.001547961881907036,2.440178963701515e-07,1.395642993042629e-06,-0.014276616822008547,-2.4917254724921012e-05,-0.014005577261375373,-2.1516424687848462e-05
0.26,-0.002709406472287443,0.0001183099084922983,-0.0006976768675267945,1.840648242676981e-06,1.0538312998207257e-05,0.00041857024497011266,0.0012594504895606213,2.672768094800461e-07,9.150886227466472e-07,-0.009238383213217537,-3.829284908737213e-05,-0.014792539797163565,-2.6039627918537166e-05
0.28,-0.0042354198664493635,0.00010297483246375523,-0.0008088859308667622,2.0445941153953605e-06,9.903150177018617e-06,0.00044177544449855303,0.0011069672693105632,2.802305807859291e-07,3.7631583037655023e-07,-0.0011891149796322588,-2.4337957757698814e-05,-0.0010008954184840685,-2.7214827560492384e-05
0.3,-0.0045947870202796455,8.723358002609414e-05,-0.0007340832452581704,2.2379805124306684e-06,9.449251274702824e-06,0.00046376487366022774,0.0010941773984320456,2.8244622760522396e-07,-1.4519323666094092e-07,0.008549552512036356,-2.0029802090010262e-05,-0.00027693900571427836,-2.4220655161047086e-05
0.32,-0.0032677146003110462,7.477575562889133e-05,-0.0004910734757792003,2.4221364051170573e-06,8.92969564084221e-06,0.0004846064982925887,0.0009441147395852531,2.7511851078573925e-07,-5.633705390085659e-07,0.014717213626069169,-3.076138127186545e-05,-0.014070513969420047,-1.6975345881533192e-05
0.34,-0.003819840691772834,6.806539376420713e-05,-0.00017330353530981091,2.5958280023061668e-06,8.505831125976533e-06,0.0005011026065455872,0.0007262760940429866,2.6108637066560154e-07,-8.069972205630351e-07,0.016706236189903797,-1.1220460414823608e-05,-0.00782550882225392,-7.157019376411594e-06
0.36,-0.0019519318031806436,6.786830972674879e-05,0.00014374166510015016,2.7629115283034095e-06,8.161722358161631e-06,0.0005129572500473206,0.00040784403502742023,2.442008099482092e-07,-8.478348573492943e-07,0.013743779658840886,-2.3254197586891623e-05,-0.02323095863963513,2.916437298979021e-06
0.38,-0.0022050441697564855,7.302459127555752e-05,0.00034853521954787047,2.92255066363238e-06,7.850632131097773e-06,0.0005169734750305779,1.761750977254526e-05,2.2840580459049988e-07,-7.062949184088775e-07,0.006594661268624778,-8.57833271363656e-06,-0.015930683487153,1.0657708866820402e-05
0.4,-0.004326653402617457,8.089325029577614e-05,0.0004212413335229539,3.0802266514053277e-06,8.030355465570213e-06,0.0005157314258830601,-6.717778764823319e-05,2.1672655443918714e-07,-4.4949567496158497e-07,0.0014583907725468515,2.5493965888752357e-05,0.006580144888244781,1.4319603703053215e-05
0.42,-0.005608178604293054,8.947419796253226e-05,0.0004324347011214437,3.247160011749726e-06,8.720301024718855e-06,0.0005164343254835269,0.00017124254721899985,2.106536025268904e-07,-1.5753211815641934e-07,0.00012795833769145993,4.2858912035668995e-05,0.016786400581245576,1.4425265808674277e-05
0.44,-0.0038700533852380654,9.807762982806663e-05,0.0004209439877897877,3.42844589463007e-06,9.322046048581264e-06,0.0005219025117817196,0.00031342212856295883,2.102894320615193e-07,1.1511409769910135e-07,-0.001975420467825081,1.710915623213266e-05,-0.001837900580457347,1.2621011615068187e-05
0.46,-0.00153286235682813,0.00010574681238650708,0.00032477427295129774,3.6160327202630608e-06,9.32098997437018e-06,0.0005263983358827975,7.048761591138768e-05,2.1492804685805394e-07,3.3806825119116847e-07,-0.008338584711042105,-1.7541917872024304e-05,-0.021621428626686662,9.383328127513457e-06
