,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0036252862416979296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035564058031056694,0.0
0.02,-0.0036057626754896974,5.569421810523682e-07,8.186814045237557e-05,9.911419425160084e-13,9.833671710265638e-11,6.537833992415674e-06,0.0006260086208811825,1.5898419812827665e-11,3.544433347323337e-09,0.007864473556382643,4.857323551189785e-09,0.02722502223947002,6.345003343970576e-07
0.04,-0.003635514196374453,4.169599889716402e-06,0.0002971910740850488,3.947680371404864e-12,1.9863240180832754e-10,2.4038103060631964e-05,0.001101713562314047,3.673690569168194e-10,4.1262101196872875e-08,0.013147609913911978,5.253468720808896e-09,0.02053837714882377,3.561534030513141e-06
0.06,-0.0037198183176856145,1.2924458353039304e-05,0.0005847181196955701,9.020519616919289e-12,3.113100241662361e-10,4.9828084010630996e-05,0.0014603881979819273,2.215208847564208e-09,1.6029605786392002e-07,0.015001384838349147,6.048114653198211e-09,0.015515609542459716,8.599917938563463e-06
0.08,-0.003723734910783461,2.755768658853472e-05,0.0008724674507577621,1.650763008115118e-11,4.3988298886594367e-10,8.180656881596831e-05,0.0017217673172600957,7.52359836222904e-09,3.896344122251485e-07,0.013163611085270317,6.786541575237726e-09,0.010812588897436777,1.4290659059770702e-05
0.1,-0.003593645222165664,4.734172303706448e-05,0.0010884062599826952,2.6690909209747605e-11,5.795363209118722e-10,0.00011806197855100415,0.001887617199534811,1.8508037442808375e-08,7.239106164546243e-07,0.007918918660324755,7.11163557209904e-09,0.005980920262432695,1.878837725699169e-05
0.12,-0.0032884066030088254,7.020809428800666e-05,0.001172204823760928,3.9688387686642995e-11,7.18953923736489e-10,0.00015663676959051809,0.0019522941963393697,3.6911908146583204e-08,1.1220928170453503e-06,0.00013592751235563891,6.741501405727046e-09,0.0006925077939911621,2.0446126828509307e-05
0.14,-0.003423021163437498,9.311162073461277e-05,0.0010903453043978936,5.539813708901327e-11,8.506655197113081e-10,0.00019579724954393746,0.0019625657971065634,6.33634019240025e-08,1.515675416078633e-06,-0.008175394639606351,6.326002964518462e-09,0.00032759564790564143,1.823018538808932e-05
0.16,-0.004180292070453777,0.00011282436283127134,0.0008611022766750031,7.367307146345269e-11,9.761444018801032e-10,0.00023546615024975398,0.002020429775914836,9.697493610465869e-08,1.8253916884604865e-06,-0.014132876977910318,6.110191484720584e-09,0.005205325131620914,1.2178377191383438e-05
0.18,-0.004247647095659803,0.0001269948222017841,0.0005469804087087017,9.431839638301318e-11,1.0831104908732427e-09,0.0002767362929602574,0.0020977218292413903,1.3537080986415638e-07,1.9857216436690643e-06,-0.016828683875265062,4.52807515788356e-09,0.002537771724796826,3.5844104706142293e-06
0.2,-0.003297881164273169,0.00013449132610815611,0.0001993372663230425,1.1667853168402733e-10,1.1425875573412868e-09,0.00031839772595837473,0.0020305989853226076,1.751777571306868e-07,1.9639207339524408e-06,-0.017825239456090353,1.427435961098844e-09,-0.008860191172022457,-5.756965609435283e-06
0.22,-0.0029730280002625174,0.00013491098516438512,-0.00015556646539900706,1.396679584272038e-10,1.1491312168716002e-09,0.0003569769172113537,0.0018150272304332748,2.1270266826006493e-07,1.7595188044767812e-06,-0.01727344883378058,-7.521224962281359e-10,-0.01257300991910366,-1.4498774244738521e-05
0.24,-0.002824171146407197,0.0001285032633763218,-0.00047523056595758493,1.6237875730828596e-10,1.1161053045112302e-09,0.00039065989512286647,0.0015484413343020708,2.444839880693675e-07,1.3948155154779244e-06,-0.01428602762235005,-2.5031116970830602e-09,-0.014026239858739558,-2.161665689258806e-05
0.26,-0.002709406472287443,0.00011645292686855469,-0.0007130128222770676,1.8410424165927156e-10,1.0519333165730476e-09,0.00041876555253817735,0.0012594340692597221,2.677087955064872e-07,9.122244202113287e-07,-0.009204405545415042,-3.836262058021234e-09,-0.014816527884734103,-2.6144503391802633e-05
0.28,-0.0042354198664493635,0.00010082148692778598,-0.0008231484898592985,2.0446143890899338e-10,9.884529726938446e-10,0.00044196558352277497,0.001106441854483933,2.805851074044501e-07,3.7146914090429574e-07,-0.0011172480007577614,-2.432283895126286e-09,-0.0010224998140631516,-2.7306642769586904e-05
0.3,-0.0045947870202796455,8.48092049551747e-05,-0.0007465597121930102,2.2376141420411065e-10,9.429555408160606e-10,0.00046393975600269536,0.0010932378750350019,2.826859661834891e-07,-1.516363279380371e-07,0.008653176515381122,-1.998089908805678e-09,-0.0002970244924179726,-2.4279245068367647e-05
0.32,-0.0032677146003110462,7.212263668538753e-05,-0.0005012701100730197,2.421363928684648e-10,8.908884560022042e-10,0.0004847607729186234,0.0009427979776289791,2.7522138189494355e-07,-5.705523281722523e-07,0.014838003015920314,-3.080081530104639e-09,-0.014089262457509797,-1.69872519759196e-05
0.34,-0.003819840691772834,6.523276009137686e-05,-0.00018119939075738914,2.594678718579682e-10,8.487642532823954e-10,0.0005012304771633912,0.0007244922920775536,2.6105283348978355e-07,-8.138977162592084e-07,0.016817498184063334,-1.1187223231123866e-09,-0.007833293450408726,-7.120463743170573e-06
0.36,-0.0019519318031806436,6.489935796101297e-05,0.00013788853655353995,2.7614046982719134e-10,8.144593830464652e-10,0.0005130473188904683,0.0004059674766846962,2.4404032584246476e-07,-8.535103571363389e-07,0.013836009617332834,-2.3130676402027817e-09,-0.02323423450294801,2.9992536917102745e-06
0.38,-0.0022050441697564855,6.996044546964721e-05,0.0003441891249312713,2.920741233316035e-10,7.838582396977263e-10,0.000517021528423062,1.5881235835682508e-05,2.2814645283257357e-07,-7.09818789539431e-07,0.006648877470086769,-8.303125825781521e-10,-0.01592492999705592,1.0772188454971935e-05
0.4,-0.004326653402617457,7.775142599450086e-05,0.00041747483075838806,3.0782336863473343e-10,8.024484995386669e-10,0.0005157416467323538,-6.87066739367765e-05,2.1641947690248058e-07,-4.505506401744862e-07,0.0014648116983808851,2.5717407647896096e-09,0.006598213604668008,1.4445237215898063e-05
0.42,-0.005608178604293054,8.625521609829424e-05,0.00042831295466664275,3.245084875757783e-10,8.718080881645806e-10,0.0005164165227886481,0.0001702031824480542,2.1035078232727162e-07,-1.5607217321342063e-07,8.90458707431159e-05,4.303895476120978e-09,0.016810321162976552,1.4546414252658034e-05
0.44,-0.0038700533852380654,9.476606372067157e-05,0.0004156823864740093,3.4263204260105716e-10,9.319436146935412e-10,0.0005218694996028452,0.000312934230953488,2.100391583427643e-07,1.188414502290034e-07,-0.0020493282226677033,1.7132847640599635e-09,-0.0018175271289191317,1.2723146204939682e-05
0.46,-0.00153286235682813,0.00010231309647836225,0.0003177697723499082,3.6138512927455304e-10,9.31838448701708e-10,0.0005263584850316487,7.038876806252046e-05,2.1477020967737352e-07,3.4345945022814684e-07,-0.00843460901595071,-1.7501302976286048e-09,-0.021606613350586862,9.443972251751327e-06
