,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0036252862416979296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035564058031056694,0.0
0.02,-0.0036057626754896974,6.846271721494977e-06,0.0006871720647492379,8.48357328250271e-08,4.492959209983897e-06,1.4385291858163593e-07,2.2170797413532527e-07,5.374762404390872e-12,5.65162826543959e-10,0.03210469705412548,3.675369611279983e-05,1.578296220461437e-05,2.7738415308202973e-08
0.04,-0.003635514196374453,2.6524442425627993e-05,0.0012522217803064696,1.8398538749991322e-07,5.513595235055722e-06,1.50408043492736e-07,4.154652799227273e-07,2.181955811730043e-11,1.055371370047847e-09,0.02358394434881281,6.431584564739815e-05,3.8687024887925844e-06,2.0563835423347552e-08
0.06,-0.0037198183176856145,5.553482854655867e-05,0.0016088766909135963,3.089747430108387e-07,7.042452050181525e-06,1.6166247072105977e-07,6.044906277738742e-07,4.639818248961741e-11,1.36845319585449e-09,0.011570498170519413,8.354039777767192e-05,2.5102356199158647e-05,1.03145100351841e-08
0.08,-0.003723734910783461,8.906991189817622e-05,0.001695626525729491,4.662882590030073e-07,8.697405406554538e-06,1.7195285563388934e-07,5.173108682053595e-07,7.501510441827587e-11,1.4512453597377717e-09,-0.003036388232780761,8.316327775077792e-05,-6.274557098702796e-06,-2.1921351204130498e-09
0.1,-0.003593645222165664,0.0001213304455298836,0.0014792100482596824,6.548747032608888e-07,1.0119751332692836e-05,1.770563127540733e-07,1.7250600568147336e-07,1.0271085940525778e-10,1.2741924475881035e-09,-0.018293210133350193,6.29698310391294e-05,-2.6229193846975807e-06,-1.5298020397143787e-08
0.12,-0.0032884066030088254,0.00014627964145128735,0.00096988915376324,8.666831016246078e-07,1.0973233483115703e-05,1.7350368685190838e-07,-2.744115624747884e-07,1.242991559988645e-10,8.448941177513503e-10,-0.031879002099727355,3.1244716354600355e-05,-4.8470584411349285e-05,-2.705074729006927e-08
0.14,-0.003423021163437498,0.00015892288410401895,0.000282240491823176,1.0944400890414846e-06,1.1707199117282114e-05,1.8038704097351267e-07,3.815121128128389e-07,1.3542292094104354e-10,2.56214828241936e-10,-0.03574032352918467,2.1133733548783784e-05,-2.4247133353720238e-05,-3.0702699686129854e-08
0.16,-0.004180292070453777,0.00015785503768968635,-0.0003607285561787864,1.3371798013422218e-06,1.2476923585982435e-05,2.068159026465214e-07,1.337224385190372e-06,1.3472892947311392e-10,-3.0208729316035837e-10,-0.027547593526215164,1.85630756599775e-05,5.633979941194363e-05,-2.4026535697303265e-08
0.18,-0.004247647095659803,0.00014552064833398795,-0.0008523509905030573,1.5822566302534044e-06,1.1922823428136854e-05,2.0986989321144557e-07,-1.2047531426315365e-07,1.2424943408690663e-10,-7.284430512328083e-10,-0.021109396085895946,-4.2080911808010935e-05,2.525137630580293e-06,-1.8374132145632365e-08
0.2,-0.003297881164273169,0.00012424546565726873,-0.0012756445282406906,1.8000542224611418e-06,9.758866247195367e-06,1.7181893411697322e-07,-2.216284037575353e-06,1.0606065122512796e-10,-1.0907496100737813e-09,-0.02079235373183213,-0.00011606414749578547,-2.744625747175093e-05,-1.7842943328443472e-08
0.22,-0.0029730280002625174,9.515402336892206e-05,-0.0015998774133123871,1.9771783155989515e-06,7.924336011463164e-06,1.472590443945563e-07,-1.0934812527604257e-06,8.112956225734837e-11,-1.3740238574282535e-09,-0.011015563493910231,-9.707629893104114e-05,-1.7426927740362905e-05,-9.750352398534717e-09
0.24,-0.002824171146407197,6.182484115241742e-05,-0.0016893685741775544,2.1174716992115143e-06,6.099683078969769e-06,1.3069877118865527e-07,-7.964031551359492e-07,5.2434739155766875e-11,-1.4580839622952747e-09,0.0022238825647963095,-9.134934773610132e-05,8.387188163523282e-07,1.5424812036641481e-09
0.26,-0.002709406472287443,2.940595440515698e-05,-0.001511659876564053,2.221931843355491e-06,4.37746013021264e-06,1.1638434087829551e-07,-6.618780519308739e-07,2.4375405861340562e-11,-1.3126105416123673e-09,0.015299459999837742,-7.645136490954871e-05,-9.482505582875372e-06,1.2803417285661136e-08
0.28,-0.0042354198664493635,3.9866182050248705e-06,-0.0009412960252378337,2.3130937213445738e-06,4.885704718079292e-06,1.6002866591167822e-07,2.7153687415941317e-06,2.0896703525771597e-12,-8.397550542043363e-10,0.04119797199651906,4.190464287570292e-05,1.350041682796066e-05,3.459573102902224e-08
0.3,-0.0045947870202796455,-5.923348029425234e-06,-2.6298683723574635e-05,2.4092946341005125e-06,4.8404708826231525e-06,1.7698265966548652e-07,5.577071879618681e-07,-7.112082215623926e-12,-5.898854441265234e-11,0.04862176733278565,1.0545206246416472e-05,0.00012095116782167865,4.1683239670571245e-08
0.32,-0.0032677146003110462,2.3398304029512675e-06,0.0007937919772010614,2.494736210923656e-06,3.7768478526051105e-06,1.3572771951593626e-07,-2.399741630880167e-06,-6.39588097521853e-13,6.571507444735386e-10,0.031794206619415497,-3.12266352771734e-05,-1.0939074588404638e-06,2.800634280439396e-08
0.34,-0.003819840691772834,2.4300496518131387e-05,0.0013901904306044997,2.5859247554458457e-06,5.495690506598226e-06,1.534442440682926e-07,1.4729405679811795e-06,1.775481508725491e-11,1.1715683975083862e-09,0.027352929093839812,9.816729173928868e-05,1.4445950227882573e-05,2.3648853307854282e-08
0.36,-0.0019519318031806436,5.554579303816895e-05,0.0016243505505791763,2.69035740010697e-06,4.909652408294144e-06,1.0168510232108602e-07,-3.2028165790639046e-06,4.434089820493065e-11,1.3937843659784414e-09,-0.004707491211142417,-2.7354910964016294e-05,-7.3754769863102615e-06,-2.9418464610832034e-09
0.38,-0.0022050441697564855,8.626331686055731e-05,0.0014142272851139736,2.8059899177690065e-06,6.680927872672099e-06,1.0930688712201667e-07,9.174161126561902e-07,7.0771304562775e-11,1.219634626754358e-09,-0.01556379403664021,8.342606719853249e-05,-2.702515509672536e-06,-1.3119944846509755e-08
0.4,-0.004326653402617457,0.00011198682680685533,0.0011930826413981692,2.9761591158899123e-06,1.0352512639616422e-05,1.9054199198190725e-07,4.481029735746994e-06,9.288376878109088e-11,1.020661585855293e-09,-0.005922205171154242,0.00017416405365479337,5.3863608599448096e-05,-5.568312903380789e-09
0.42,-0.005608178604293054,0.00013486783936920963,0.0011028031005382698,3.2097034458169616e-06,1.2957063827104561e-05,2.52397898024054e-07,2.8417134078875633e-06,1.1240837801688702e-10,9.388036658353786e-10,-0.0031982773770141033,0.00012492422825926414,6.295726731130047e-06,-2.9529664354499725e-09
0.44,-0.0038700533852380654,0.0001546423697239564,0.0007850939718368108,3.4599707579927214e-06,1.1919085125987318e-05,2.0583523285372902e-07,-3.222219858956931e-06,1.2938252200250568e-10,6.827439372599206e-10,-0.02870532985898082,-6.766662727260286e-05,3.083258674625722e-05,-2.380794835151541e-08
