,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004821567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004729957227,0.0
0.02,-0.0004795601,3.003986698050067e-07,4.2234583436345706e-05,5.069980293764114e-09,4.6628833084484115e-07,6.403471792418478e-07,5.128642286054614e-05,5.312826137541288e-12,1.0372112309073918e-09,0.0037182547359556066,1.725279350659782e-05,0.0008380931484263659,1.5645354265562562e-07
0.04,-0.000483517,1.9833770131057392e-06,0.0001288398092402933,1.7303451711509626e-08,7.347275558343863e-07,1.7024052569169701e-06,4.976650646352527e-05,7.665964965203355e-11,7.023946401622332e-09,0.004501661835787513,1.0712917329512225e-05,-0.0006774191558428447,4.260273099733031e-07
0.06,-0.0004947293,5.400922680464943e-06,0.00020854104455869774,3.4017060100728905e-08,9.340835492938724e-07,2.5390119656366946e-06,3.35276765377063e-05,3.113081467795773e-10,1.6687426991426097e-08,0.003221226425607325,9.810958790716813e-06,-0.0008125849133693661,5.003547653606912e-07
0.08,-0.0004952502,1.0073222059982132e-05,0.0002508900222148707,5.46889483731621e-08,1.1351272996694863e-06,3.059796277886478e-06,1.9447864099173882e-05,7.389957674704511e-10,2.5611472493802915e-08,0.0009149053254950273,1.0328141592205395e-05,-0.0005582756924961516,3.624808415164315e-07
0.1,-0.0004779485,1.510260847262628e-05,0.0002433898671488724,7.942297976451735e-08,1.3357981006446968e-06,3.350191504169069e-06,1.032463293307574e-05,1.3074938060247135e-09,3.0337720402215415e-08,-0.0016572484404139853,9.517613194084604e-06,-0.0003460512318449536,9.664618613074429e-08
0.12,-0.0004373523,1.9477124265340913e-05,0.000186277469964893,1.078442468137132e-07,1.4949936843241913e-06,3.4893080836147147e-06,3.7422721579398913e-06,1.913230646021962e-09,2.9208253890260338e-08,-0.003980433463260021,6.18759947752269e-06,-0.0003013869486487653,-2.1028216714952898e-07
0.14,-0.0004552558,2.2292114646372873e-05,9.064178832093758e-05,1.3889793239172796e-07,1.6045360164753045e-06,3.53719004051308e-06,2.3121205512172173e-06,2.435864965436055e-09,2.2137240865957846e-08,-0.005354360543895922,4.419302419761406e-06,6.902271477585153e-05,-4.838342958710073e-07
0.16,-0.0005559715,2.3021552544723597e-05,-1.6781985179971728e-05,1.7190385913246565e-07,1.6961544354491284e-06,3.641684326193171e-06,9.652907049808854e-06,2.7691463196295606e-09,1.0683929797644172e-08,-0.0050790781025234245,4.183941911680214e-06,0.0005223553277477167,-6.334545885652284e-07
0.18,-0.0005649296,2.1752111214233214e-05,-0.00010575657580162404,2.062089183174412e-07,1.711038229775512e-06,3.89062182420065e-06,1.311150169228277e-05,2.855333697656325e-09,-1.9696271671252735e-09,-0.0037661615642156122,-2.756296167241365e-06,-9.371669853208112e-05,-6.052498613901689e-07
0.2,-0.0004386124,1.896345430200903e-05,-0.00016987868747405657,2.390705469058449e-07,1.537271480048447e-06,4.04710435507334e-06,-5.95306221552778e-07,2.702724165395316e-09,-1.2863475784003303e-08,-0.00278948057370547,-1.378885710149897e-05,-0.0010460071291536277,-4.794137184003688e-07
0.22,-0.0003954075,1.5056201084431234e-05,-0.0002180811752395311,2.6687050186181857e-07,1.236542422808965e-06,3.858849092514101e-06,-1.6556667691582774e-05,2.3575905146632844e-09,-2.1267046728705587e-08,-0.0019471672773691776,-1.5755653946807405e-05,-0.0005667957734994099,-3.6401481281956555e-07
0.24,-0.0003756098,1.0389729584522784e-05,-0.00024399818777954622,2.884812823748558e-07,9.270296578069977e-07,3.451382069357788e-06,-2.260325447383152e-05,1.867489120186731e-09,-2.7320727611607398e-08,-0.0005492725252232851,-1.4955242178079763e-05,-9.266111077737887e-05,-2.34787257272757e-07
0.26,-0.0003603463,5.515246471922109e-06,-0.00023747286628435883,3.0414120288310796e-07,6.453636348160753e-07,2.99909820737113e-06,-2.18701802696135e-05,1.2852928975908724e-09,-3.029987602349797e-08,0.0012345667893712978,-1.2876761829087001e-05,0.00011470644441527694,-5.426504854305305e-08
0.28,-0.0005633034,1.166163359333268e-06,-0.00018845893601152406,3.1537814323129214e-07,5.227813622239691e-07,2.6966296351157633e-06,-4.369359731819162e-06,6.829932550252442e-10,-2.9140924571117955e-08,0.0039004028411105136,8.448169051735593e-08,0.0013302761109549007,1.8453177904009586e-07
0.3,-0.0006110986,-1.6309616901720765e-06,-8.283372676908277e-05,3.259826322199231e-07,5.446182721243429e-07,2.8094186385055603e-06,1.2732584569455968e-05,1.5790918647512402e-10,-2.2278728741334803e-08,0.0064111561169684465,2.118191623665458e-06,0.00047350435408505,5.077242667496025e-07
0.32,-0.0004346003,-1.9538428118802767e-06,5.0166993888960336e-05,3.367881622339284e-07,5.14457139883219e-07,3.0173391009247743e-06,2.9758605945493663e-06,-1.6656605819143752e-10,-9.340985920354592e-09,0.006322837642424338,-3.97404788826574e-06,-0.0010806854673621976,7.51648812330134e-07
0.34,-0.0005080321,2.0535393133710555e-07,0.00016043430159127486,3.470700265631674e-07,5.525594198975596e-07,2.967063103975881e-06,-3.6364713745788966e-06,-1.9976437024836257e-10,5.975892152908812e-09,0.004724915014696119,7.2130747856228444e-06,0.00024888058234512697,7.416902620576244e-07
0.36,-0.0002596035,4.206707130271427e-06,0.0002298817208793398,3.5904485635507134e-07,6.193634644250003e-07,2.825927802881275e-06,-1.4684086851660609e-05,5.865707664423973e-11,1.9263403871935383e-08,0.0018088859799577665,1.1970804617879305e-07,-0.0010498916089478798,5.584626274861697e-07
0.38,-0.000293267,8.925176940416761e-06,0.00023119795354822293,3.720742860651184e-07,7.136779719562303e-07,2.4472840964861653e-06,-1.814765567321043e-05,5.339120725596764e-10,2.7063869237425894e-08,-0.0014135783983017817,8.883266253701273e-06,0.00044074809725830127,2.0341350708032796e-07
0.4,-0.0005754373,1.3165897883689818e-05,0.00019063035360295392,3.892303749363562e-07,1.0506552881290922e-06,2.3285326639210393e-06,1.163736814498216e-05,1.0916665516626638e-09,2.762379652142744e-08,-0.002106220578634957,2.312523524321524e-05,0.0020681995535190923,-1.1764654303824979e-07
0.42,-0.0007458779,1.6619896265703636e-05,0.00015834318004434805,4.1490749884892366e-07,1.5146162884405658e-06,2.9198915522565943e-06,4.444673910198325e-05,1.611176432746036e-09,2.4060353214481367e-08,-0.0010531293270245054,2.2265164777154206e-05,0.0011975854348829174,-1.98512975066742e-07
0.44,-0.0005147103,1.9590080949221732e-05,0.0001364575100806535,4.4812799759836463e-07,1.7346838074141804e-06,3.7955202447340477e-06,3.348260669887911e-05,2.055757332513253e-09,2.0549358656425298e-08,-0.0016948802558802694,9.986283830689877e-07,-0.0017077238316546115,-1.600818007950281e-07
0.46,-0.000203868,2.1796444195287827e-05,7.34197462516064e-05,4.817726254050139e-07,1.574898917816961e-06,4.033878259719724e-06,-1.2127529289048544e-05,2.4295694474911216e-09,1.6368320055628718e-08,-0.0048906624989009835,-1.53144405888421e-05,-0.0024870368856656625,-3.015721580092367e-07
0.48,-0.0001505404,2.2073347317937902e-05,-5.4207798290556845e-05,5.103385622538221e-07,1.2889586116766111e-06,3.4499661211172804e-06,-3.9698360531842016e-05,2.6754547778188282e-09,7.0991652661736195e-09,-0.007441387987619028,-1.3493741066987128e-05,-0.0005127047491361963,-6.362230951688259e-07
0.5,-0.0001403977,1.9468573004531655e-05,-0.00020592555567429909,5.335035021741496e-07,1.0287218521509587e-06,2.639192432092602e-06,-3.814806580284405e-05,2.670835176202067e-09,-8.385774637425936e-09,-0.007285379599793027,-1.3246120961258115e-05,0.00044964713511950387,-8.754564700193837e-07
0.52,-9.306681e-05,1.4014118315350259e-05,-0.00033233692486302733,5.511451671738754e-07,7.202706956184352e-07,1.9597230256573836e-06,-3.0338048615259682e-05,2.3251990325157675e-09,-2.6115191702041663e-08,-0.005127507083555943,-1.7705645082641622e-05,0.00028045276386830004,-8.529211961317231e-07
0.54,-0.0001741008,6.558782662641932e-06,-0.00040095508445320174,5.62176385939224e-07,3.9066477086157187e-07,1.4548945893638083e-06,-1.8761620864635215e-05,1.6458963739016052e-09,-4.095627261267478e-08,-0.0014811198804685686,-1.5640922602664113e-05,0.0007309258327236779,-5.953776123788693e-07
0.56,-3.371568e-06,-1.5025280333997313e-06,-0.00039401744645198257,5.66155210694981e-07,-2.4922049143061187e-08,1.0972608633138724e-06,-2.184432692625914e-05,7.34407070576302e-10,-4.877947422279791e-08,0.0018694607280514528,-2.4614749500797477e-05,-0.0007626908958286605,-1.7621947387973172e-07
0.58,-0.0001079438,-8.827926286859507e-06,-0.00032878087987076574,5.613925504095956e-07,-4.137869200147724e-07,6.167904160997165e-07,-2.180865989054622e-05,-2.4904080044105963e-10,-4.823922678825367e-08,0.0047818939730302525,-1.3316922958376155e-05,0.0005316338689890494,2.232906018553662e-07
0.6,-0.001261313,-1.4068644397541495e-05,-0.00016952761547907137,5.548353071455472e-07,-3.828319318547184e-08,8.345824741217706e-07,6.296250739534271e-05,-1.1409562540377227e-09,-3.931430681588376e-08,0.012414915106481895,4.674265618126669e-05,0.006439042405075844,7.277897846644239e-07
0.62,-0.001263797,-1.4403860188875796e-05,0.00015740414494026133,5.621364981385905e-07,7.114137611325255e-07,2.8596823652414342e-06,0.0001182663326192728,-1.7252900283476214e-09,-1.6093532920311516e-08,0.01883354535834515,3.00450653888994e-05,5.217080659106828e-05,1.6168360847704844e-06
0.64,-0.0005848349,-7.57573996880118e-06,0.0005106175534570378,5.796650100549778e-07,9.273958246799474e-07,4.721255906830439e-06,4.9983938383543435e-05,-1.6765036766616531e-09,2.266816417530929e-08,0.014508113939482472,-3.5008232127388926e-06,-0.005421796676206813,2.110788484495569e-06
0.66,-0.0005049317,4.871238897644634e-06,0.0007013382142738214,5.986263458573372e-07,1.026151698714093e-06,4.905454828607312e-06,-1.955101881799749e-05,-8.204511903678434e-10,6.122165692764755e-08,0.004547343266555211,1.3318132035223043e-05,-0.0017726744890308403,1.5982263486563502e-06
0.68,-5.962606e-05,1.9116759781526944e-05,0.0006880279118148176,6.212946222969581e-07,1.2148070833337737e-06,4.139328372418503e-06,-5.68512854644325e-05,6.563989619344872e-10,8.286045753156764e-08,-0.006037803111438051,6.124482292596198e-06,-0.00178154927123296,5.105101919090983e-07
0.7000000000000001,-0.0005869682,3.112723123338465e-05,0.0004940260621833818,6.494893109312128e-07,1.7227567841522976e-06,3.160082770327404e-06,-2.2227462510287447e-05,2.3330871785102156e-09,8.082090207772676e-08,-0.011777188606928099,4.020130300264133e-05,0.003964792264298871,-6.706762012391154e-07
0.72,-0.0007142902,3.861462842095457e-05,0.0002547790409184379,6.915489054594507e-07,2.4484524776197946e-06,3.383880127580401e-06,3.811384401123021e-05,3.762274970958272e-09,6.002588770123384e-08,-0.011770350143710244,2.9424195035982273e-05,0.0020460177421047707,-1.300119534185587e-06
0.74,0.00201167,4.0991726368131985e-05,-5.403709571873615e-05,7.352110914482034e-07,1.4064538723283982e-06,3.0332984474649874e-06,-0.00012839736813323753,4.68329770049286e-09,3.081385666510642e-08,-0.022583976710770358,-0.000122300200057727,-0.014773745927098085,-1.717070482455156e-06
0.76,0.00113088,3.451440875773647e-05,-0.000616945421827103,7.45105360175651e-07,-1.379333698841107e-07,-9.113423536328984e-07,-0.00020372556549140937,4.880177084284073e-09,-1.5357346957063494e-08,-0.029677192359244816,-3.968434333184354e-05,0.004049300355656268,-2.9352998748992837e-06
0.78,-0.0007037754,1.6972513264104415e-05,-0.0010812194447626339,7.408267984930791e-07,-1.8870384430366826e-08,-3.251320936143135e-06,1.8547814528131572e-07,3.940560808564386e-09,-7.928120969162148e-08,-0.013138275852259646,4.155038654023992e-05,0.013396996286404108,-3.115132931934801e-06
0.8,-0.002481058,-5.393244626819339e-06,-0.0010556487776088364,7.515147769523338e-07,1.2039577287242532e-06,-6.344678459628212e-07,0.0002528129787819335,1.8316319002841533e-09,-1.248675799843523e-07,0.016537700974858193,7.701667752057096e-05,0.010947336983224571,-1.1103503744373267e-06
0.8200000000000001,-0.003565623,-2.1295899946441755e-05,-0.0004486506945557903,7.903826984493211e-07,2.668829408553152e-06,5.955620107984369e-06,0.00037826593243519825,-6.776696566207793e-10,-1.150663010544718e-07,0.042233024738548855,7.26256060681503e-05,0.0026078112279659177,2.1573722340441878e-06
0.84,-0.001295845,-2.1272825477375405e-05,0.00044405375473299764,8.473781602884219e-07,2.5682420032387195e-06,1.211610571319255e-05,0.00016926924830452524,-2.345690655552706e-09,-4.316741782719901e-08,0.040515951235084405,-6.428707585891605e-05,-0.01831835290851653,4.674168394465208e-06
0.86,-0.0004847471,-5.744254843184783e-06,0.0010302401090742,8.867337643688252e-07,1.4423723950957828e-06,1.2378182507925635e-05,-0.00011461451865048135,-2.24921610383729e-09,5.153266248600864e-08,0.017128183279280045,-4.3587804631291596e-05,-0.00992525517629116,4.3108916837579565e-06
0.88,-0.0009208525,1.680581462282586e-05,0.0011612119866100648,9.130901785562272e-07,1.4713433402831185e-06,9.221639471702206e-06,-0.00015641146271021624,-4.920800448042584e-10,1.1663248439263478e-07,-0.0019705931047080206,3.899572388136197e-05,0.0035324509716447355,2.083586546427428e-06
0.9,-0.000710121,3.8821225785847396e-05,0.0010031581284532653,9.510859088244905e-07,2.3431620056260073e-06,6.813000946057764e-06,-8.576826902950407e-05,2.106641679886718e-09,1.362908821558461e-07,-0.013230412772979046,4.400192105505352e-05,0.003165904103036053,-1.8128507945376068e-08
0.92,-0.000891137,5.572959881057738e-05,0.0006677671395411716,1.0073941929615963e-06,3.300771087083767e-06,5.825623623103801e-06,-1.1368969992963779e-05,4.71966694741206e-09,1.200868982629574e-07,-0.019217595785467938,4.778045466839742e-05,0.0036879055072964037,-1.4902471908085336e-06
0.9400000000000001,-0.0006351124,6.505857518752794e-05,0.00025677574085499486,1.08060198199783e-06,3.900124083770904e-06,6.032140228214444e-06,1.904782114334799e-05,6.7596722224927394e-09,8.124855960813374e-08,-0.021731428694282854,1.1318455929207327e-05,-0.0001918165869515655,-2.300819962311335e-06
0.96,0.001432938,6.545449169550959e-05,-0.00024771020982373624,1.1521195688790427e-06,2.848464420673871e-06,5.347118915215463e-06,-0.00012445357311774611,7.888713085056367e-09,2.9729376236147768e-08,-0.030705444910140923,-0.00010843997234855768,-0.011432582233276214,-2.9025040869496387e-06
0.98,0.002101569,5.3606759324878326e-05,-0.0009657755674122683,1.1867608432197817e-06,5.856419769912932e-07,1.149308778971579e-06,-0.0002701764721237457,7.834863787005522e-09,-3.8842806281945925e-08,-0.03927750456990737,-0.00011819964965114563,-0.0039001011590175097,-3.997438193465856e-06
1.0,0.001424254,2.663506168680264e-05,-0.001703358415299811,1.1787050485336896e-06,-1.230843927224073e-06,-4.088876509301121e-06,-0.00021897050055941399,6.198865858962396e-09,-1.2676518357784944e-07,-0.03101514325628262,-7.001269700097901e-05,0.0066217950057913585,-4.5722133689892144e-06
1.02,0.0003428604,-1.2177305177698711e-05,-0.0020934562202183245,1.1429055352225824e-06,-2.2293475377900513e-06,-6.807388672395454e-06,-4.4447385065578215e-05,2.796504473797925e-09,-2.0940925543645614e-07,-0.005919888879189687,-3.400422489909308e-05,0.009298786881970325,-3.355604039812744e-06
1.04,-0.002673422,-5.285033910341857e-05,-0.0018404684560036756,1.100123175662996e-06,-1.6585256638675313e-06,-5.027058852653677e-06,0.00024711384249227904,-1.8850010896547887e-09,-2.4827255265885985e-07,0.03373412439612304,8.291634302031153e-05,0.01692916865638825,-2.090633369190945e-07
1.06,-0.004790011,-8.003457996019751e-05,-0.0007431502228849786,1.0863200855020714e-06,4.219693721101111e-07,2.7314695294983518e-06,0.0005016258121711541,-6.593251529249289e-09,-2.0670600248524011e-07,0.07397556082209722,0.00012690419267648886,0.00887795838507196,4.509147523088628e-06
1.08,-0.001629641,-7.903123843487972e-05,0.0008444426765571739,1.1048141075777928e-06,7.892258514274226e-07,1.1561311746954647e-05,0.0002732601539111099,-9.51604459000077e-09,-7.208697208014456e-08,0.07475267205711318,-6.406938583882523e-05,-0.024026955274944615,8.468397056733318e-06
1.1,0.002821049,-4.981742208627705e-05,0.0019102193496303619,1.097484410583428e-06,-1.933851739311053e-06,1.1207719468263677e-05,-0.00033207811216536275,-9.212762288862526e-09,1.0033925256642236e-07,0.025370492190856884,-0.0001874350205150893,-0.03156702820388772,7.837369274779862e-06
1.12,0.001967834,-1.028390842461931e-05,0.0018866932991248948,1.0364270277550194e-06,-3.4847002931995e-06,1.392222859662328e-06,-0.0005231913974151453,-5.936624618801241e-09,2.0998803739245272e-07,-0.021632729039417188,1.5693843111798042e-05,0.006482826851782267,2.764217292066382e-06
1.1400000000000001,-9.74912e-05,2.1864998191336905e-05,0.0012963592044970835,9.818697804545517e-07,-1.4820370302631406e-06,-6.177582493566023e-06,-0.00018067840326012764,-1.5301448287195518e-09,2.1535751683179065e-07,-0.03148744043799881,0.0001620538371845141,0.02275225777299704,-1.776041395195939e-06
1.16,-0.001032176,4.2067954639040855e-05,0.0007589014916912675,9.84541256545068e-07,1.698821469918241e-06,-5.856366252522939e-06,0.00017967109902191887,2.2797989257653518e-09,1.6115996768242314e-07,-0.021175618718662578,0.00014779049239230842,0.01298490144429205,-3.1448780727295565e-06
