,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004821567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004729957227,0.0
0.02,-0.0004795601,7.783652335297147e-08,1.0835089107265461e-05,1.3200471071452748e-13,1.3094137452538295e-11,8.665118516450683e-07,8.328141953218497e-05,2.882219769214838e-12,5.342414554228156e-10,0.001044091645863964,6.459680118283198e-10,0.0036211108140258184,8.58104682691429e-08
0.04,-0.000483517,5.574305728798801e-07,3.939605001662772e-05,5.257134323429978e-13,2.643229108086017e-11,3.1933504528388833e-06,0.00014657400202312568,5.229445270353472e-11,5.57611340289869e-09,0.0017475011577968603,6.9836460117427e-10,0.0027314824800683704,4.71397786662163e-07
0.06,-0.0004947293,1.717612797695417e-06,7.76331447295217e-05,1.200629323482257e-12,4.139916347852124e-11,6.624954752180602e-06,0.00019425250675198161,2.996283295784548e-10,2.1310825339180154e-08,0.0019960385584529296,8.040675154776661e-10,0.0020633291243958287,1.1398739005916323e-06
0.08,-0.0004952502,3.6603630857476315e-06,0.00011594311403109046,2.19608137599323e-12,5.848433734514123e-11,1.0878408687890457e-05,0.0002290061102579024,1.004339138896421e-09,5.1711130993866586e-08,0.001753267693587691,9.011670264180704e-10,0.0014376724823264107,1.8977456259425534e-06
0.1,-0.0004779485,6.289400876220299e-06,0.00014473922966487575,3.5497704041694127e-12,7.705240914959596e-11,1.570048931490372e-05,0.0002510841905450296,2.4616628561168675e-09,9.610307258843684e-08,0.0010570705286521776,9.459524882154957e-10,0.0007946512887085409,2.498056272710438e-06
0.12,-0.0004373523,9.330476843175692e-06,0.00015599067377477632,5.277623936349491e-12,9.560779002973564e-11,2.0831552511745703e-05,0.00025977333801523194,4.904330905375869e-09,1.4905173712248184e-07,2.305429867585846e-05,8.993336414117592e-10,9.017807940023108e-05,2.7213848887832477e-06
0.14,-0.0004552558,1.2379587361188764e-05,0.0001451900196822754,7.366827127752788e-12,1.1313159600706038e-10,2.604190871245396e-05,0.00026108318481355515,8.41908732098277e-09,2.014664097655909e-07,-0.0010844366160057755,8.441496173947072e-10,4.238494032106528e-05,2.4289481303593517e-06
0.16,-0.0005559715,1.5005374497165806e-05,0.0001147306991983486,9.797409268982848e-12,1.2983493639236636e-10,3.131878348627446e-05,0.0002687612672779037,1.2888257890427675e-08,2.427608181977238e-07,-0.0018789871562614388,8.135089607161361e-10,0.0006915449297634397,1.6249892792008276e-06
0.18,-0.0005649296,1.6893943017300894e-05,7.296590549154439e-05,1.2543388397016577e-11,1.4407763619710632e-10,3.680845865770708e-05,0.00027903845813076006,1.7994525983271282e-08,2.6418543962844684e-07,-0.0022395029308891587,6.017692412083053e-10,0.0003370140793347242,4.824664310208463e-07
