,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004821567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004729957227,0.0
0.02,-0.0004795601,9.103940150465217e-07,9.138023929093477e-05,1.1279473718337537e-08,5.982372280031836e-07,1.9137523810181885e-08,3.848235395479433e-08,7.147231821200107e-13,7.514886797225644e-11,0.004277291993822397,4.690443775230875e-06,-5.255733247129047e-06,3.696273670680681e-09
0.04,-0.000483517,3.5260192181271852e-06,0.0001665212300166319,2.4465958777350212e-08,7.331420099749101e-07,2.0008084981985558e-08,5.7159994839441396e-08,2.9005346160690543e-12,1.4034152197584254e-10,0.003139784264544346,8.534899421523082e-06,-1.8999424719585252e-06,2.737785651554838e-09
0.06,-0.0004947293,7.383859275611715e-06,0.00021397582839833627,4.107435193325886e-08,9.360675822393739e-07,2.15059537871337e-08,8.173297854455167e-08,6.1690266388349884e-12,1.8199815735927862e-10,0.0015421118904403444,1.0990644257343439e-05,1.0291461990296008e-06,1.3750896346608789e-09
0.08,-0.0004952502,1.1844029169603177e-05,0.0002255815461631256,6.197269341604022e-08,1.1547779066084291e-06,2.2857854517758817e-08,6.71522190354034e-08,9.97505111498817e-12,1.9307410670007102e-10,-0.0004067693247893488,1.1204127683120055e-05,2.97989837487315e-06,-2.947378094201209e-10
0.1,-0.0004779485,1.6136682406064503e-05,0.00019686376108154363,8.701153309575444e-08,1.3415399050821914e-06,2.3509831488159536e-08,9.88442638752525e-09,1.3660291135471608e-11,1.6959386604138997e-10,-0.002451303789183383,8.693597477145605e-06,1.79193338095498e-05,-2.0501362630620816e-09
0.12,-0.0004373523,1.9457300261072625e-05,0.000129119274201461,1.1512876478468845e-07,1.4565676002407665e-06,2.3072497100388558e-08,-3.6778998022934635e-08,1.6533632654239554e-11,1.1248287093269847e-10,-0.004242112697097798,4.522889741575414e-06,-5.337077916297119e-06,-3.601489897077408e-09
0.14,-0.0004552558,2.1140651568527557e-05,3.761725989250634e-05,1.45361046667797e-07,1.5529208754496161e-06,2.3984665234674553e-08,4.2557559765138405e-08,1.8014715957165156e-11,3.415614107200544e-11,-0.004762701991757396,3.3822463750415865e-06,4.118485119546534e-06,-4.0937770341204676e-09
0.16,-0.0005559715,2.0999167604646057e-05,-4.797425197490655e-05,1.7757141828735066e-07,1.6563399647669653e-06,2.747318987906868e-08,2.01940488185001e-07,1.792299821836096e-11,-4.017042349020167e-11,-0.0036581712987974113,3.3324406540193377e-06,-3.10793566203095e-07,-3.197675028516594e-09
0.18,-0.0005649296,1.9359309103111615e-05,-0.00011337356437118412,2.100973418398885e-07,1.5812330961181833e-06,2.7922314212384235e-08,-3.549050852765545e-08,1.652982298317585e-11,-9.688657417558251e-11,-0.0028212502247094958,-6.951943054976824e-06,1.1594673436128881e-05,-2.4468008526848915e-09
